CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34
8.56585393,0.33794896,-0.079393034,-0.067509782,0.159548512,-0.141774553,-0.223403749,0.568336133,-0.438359789,-0.099874978,-0.089961803,-0.188925024,-0.470254347,-0.070014484,-0.08533454,-0.269585513,-0.145226384,-0.052712524,-0.475642564,-0.413044671,-0.098494388,-0.282126302,-0.207822713,-0.237727898,-0.332168707,0.436703537,1.697400147,-0.235250274,-0.21034005,-0.138945294,-1.055800325,-0.936649108,#DIV/0!,-0.366241529
10.38315935,-0.933011977,-0.132579978,0.04582127,0.68330348,0.017281055,0.098592544,1.176609407,-0.340824494,-0.153485929,0.171000899,-0.175268836,-0.273543675,-0.001830396,-0.089836159,-0.271102379,-0.133582263,-0.050047623,-0.626848477,0.782854086,-0.192915621,-0.218677668,-0.111674847,-0.207396879,-0.231880191,0.535957034,1.66146178,-0.048168792,-0.185507888,-0.021789835,-1.080052555,-1.713893633,-21.62599564,-0.374454764
6.341482277,-1.469332754,-0.07868063,-0.315272714,-0.366856325,-0.151926736,-0.236251417,0.743412533,-0.540974491,-0.257987334,-0.472610245,-0.264607332,-0.381663434,0.029923434,-0.066699465,-0.192446972,-0.131986821,0.015487217,-0.398773995,-0.399533457,0.01211637,-0.25860958,-0.171527844,-0.2660277,-0.434030158,0.465255287,0.401987212,-0.250989296,-0.241235863,-0.120402604,-0.754595993,1.190885543,-4.29414225,-0.551728877
6.154134695,-0.967367963,-0.046012878,-0.23003005,-0.231723825,-0.240688922,-0.247874098,0.54612486,-0.579804483,-0.141308994,0.033923452,-0.23106378,-0.337424963,0.003689412,-0.052014911,-0.208873427,-0.143882409,-0.013701816,-0.360104224,-0.402527497,-0.02378661,-0.314923975,-0.265653653,-0.25010321,-0.394517555,0.42293373,1.692569829,-0.144434048,-0.24615507,-0.332401066,-0.410549343,-0.68428414,#DIV/0!,-0.118680919
5.876460771,1.165864376,0.004836513,-0.154646063,0.124090936,-0.244239034,-0.011534085,0.689013512,-0.506035968,-0.186982104,-0.330524656,-0.254642185,-0.023782024,0.012375152,-0.039816423,-0.148878752,-0.07663462,0.027811743,-0.234376586,1.248814085,0.127590041,-0.257584572,-0.22182502,-0.23229861,-0.435645055,0.417776628,0.674521644,-0.269434218,-0.281558274,-0.455504584,0.012949171,-0.073662402,#DIV/0!,-0.318628018
-0.392990486,-0.667466507,-0.033191255,0.101678537,1.000210791,-0.21618906,-0.265702476,0.583870771,-0.581841946,-0.143276931,-0.199590072,-0.212978586,-0.02779434,0.077111499,-0.077173907,-0.203774577,-0.068046939,-0.009710807,-0.437888315,-0.356148987,-0.009303796,-0.203402282,-0.051225855,-0.191291481,-0.331262239,0.474093141,1.610090721,-0.17009483,-0.216570297,-0.355065397,0.01742043,-0.100529858,#DIV/0!,-0.63385125
-0.571377197,-0.097468926,-0.135752045,-0.081464967,0.131683243,-0.142972668,-0.173438888,0.153121892,-0.601835173,-0.192800543,-0.430172726,-0.186952663,-0.144933374,-0.11657419,-0.117763914,-0.261492101,-0.092828715,-0.035626251,-0.560834501,-0.402209575,-0.011608455,-0.213915545,-0.091038715,-0.046824643,-0.079955679,0.406586636,0.75846388,-0.123702772,-0.194454275,-0.236262671,-0.650225574,-0.185306257,#DIV/0!,0.03205659
-0.652871932,-0.518545873,-0.136995762,-0.322817076,-0.755750817,-0.228475588,-0.044562121,0.274933648,-0.524217387,-0.240039287,-0.22254317,-0.260849389,-0.108694497,-0.031410262,-0.118411014,-0.231764899,-0.181002082,-0.093329199,-0.489085663,-0.447575214,-0.081670271,-0.276042437,-0.302731187,-0.27698362,-0.486970912,0.329741411,0.59490062,-0.015986203,-0.227306663,-0.347493798,-0.415703229,1.284409474,#DIV/0!,-0.395292351
-0.672533382,0.383180529,-0.083952163,0.129611151,0.890205438,-0.340670037,-0.109733268,0.68408894,-0.551276752,-0.219403781,0.038417932,-0.291359908,0.016923006,0.021900763,-0.071710264,-0.274898892,-0.249461451,-0.112774739,-0.488916221,-0.47636214,-0.123071578,-0.269467884,-0.281138303,-0.345410056,-0.560302517,0.249682006,0.798654126,0.001711683,-0.24991226,-0.523000896,-0.0629507,-1.552981539,#DIV/0!,-0.334528853
-0.732197537,-0.927820499,-0.149496493,0.183171999,0.150207529,-0.342377023,-0.049785726,1.099927478,-0.510572226,-0.190664353,-0.267268488,-0.316306788,-0.105108567,0.048934909,-0.128560689,-0.29539861,-0.297759922,-0.115776005,-0.592930238,0.699200957,-0.14928963,-0.254409823,-0.258263697,-0.227674678,-0.413417212,0.293834225,1.321169381,-0.069599971,-0.239707669,-0.578964354,-0.197491237,-0.721245708,-21.62599564,-0.674097366
