CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34
1.501181169,0.215445902,-0.031422566,-0.233003838,0.012161727,-0.103963363,-0.159405138,0.014010959,-0.231645661,1.436465586,0.283936222,-0.008372272,-0.204947034,0.910803719,-0.069586138,0.104281158,0.237867805,0.106389645,-0.066496812,-0.336691657,0.007244468,0.03165258,0.373273458,-0.22795544,0.090505769,0.207302687,0.274115829,-0.253019716,-0.118508033,0.383179134,-1.278257394,0.113719199,0.055908201,-0.160871607
3.785954718,0.145815778,0.074955082,-0.252119414,-0.140486571,-0.079933095,-0.154343909,-0.053737577,-0.215678535,1.391659689,0.281791952,-0.027219066,0.184761879,0.863122959,-0.052858118,0.060304677,0.316975474,0.117881329,-0.034878795,-0.364258448,0.01214686,0.018850583,0.359378467,-0.228034484,0.068458096,0.24261226,0.13172094,-0.132113842,-0.078829661,0.591928916,-1.362799453,0.993872307,0.07481286,0.12533634
3.346487773,0.10117797,0.280529003,-0.281000614,0.058086118,-0.175901781,-0.172748846,0.062862088,-0.237138024,0.239357493,0.209215502,-0.199825969,-0.019855829,1.004411842,-0.016779433,0.295463164,1.066310845,0.157592795,-0.023494559,-0.347659405,0.104105835,-0.033425786,0.25149198,-0.303607841,-0.323914288,0.068082913,0.345572368,-0.091543962,-0.24428775,0.19495149,-1.108157183,1.287879496,0.134281429,-0.168353487
1.836630471,0.261420416,0.219537067,-0.199247692,0.115935082,-0.177860682,-0.132425685,0.035157455,-0.267671858,0.952162547,0.129422144,-0.036079384,0.090867083,1.005809736,0.019671199,0.252303347,0.318774676,0.193418235,-0.135539895,-0.631572166,0.147109161,0.00474112,0.312925841,-0.237886771,-0.087377399,0.138899457,0.229320255,-0.138503897,-0.172704635,0.171572378,-1.019725657,0.628188897,0.095094815,0.154886683
0.90399996,0.123496874,0.156816695,-0.245090248,0.015886314,-0.211126299,-0.106827486,0.083721165,-0.248000021,0.988833665,0.240840785,-0.019104005,-0.025083284,0.969149006,0.007236831,0.192262116,-0.207101353,0.191472369,-0.189494354,-0.821041111,0.11320204,-0.005048017,0.324412072,-0.203568422,-0.028068274,0.141223793,0.187253492,-0.170317121,-0.178775926,0.124911304,-1.137909227,0.555511391,0.094406167,0.210715796
1.124070924,0.14848919,0.208402216,-0.263962249,-0.007125455,-0.201768674,-0.13659535,0.131646828,-0.246685618,1.143424975,0.262405206,0.034466329,-0.069810285,0.953935063,0.000331913,0.184888059,-0.296635459,0.189266021,-0.05311653,-0.9137524,0.141195264,-0.00405342,0.328945866,-0.150814802,-0.017684152,0.139379645,0.207749634,-0.217050073,-0.185891682,0.045116466,-1.044995941,0.115280537,0.055908201,0.12600092
0.866970079,0.056540162,0.120069126,-0.250571927,-0.010850042,-0.179910745,-0.142401057,0.112639235,-0.18879078,1.224397838,0.251861819,0.066966339,0.075955452,0.965796578,0.004717504,0.192861722,-0.442024825,0.172052785,-0.106489693,-1.007012961,0.149941867,0.024774963,0.334201097,-0.093962212,0.004578196,0.14735768,0.038206519,-0.155931091,-0.204447392,0.000293318,-1.013572002,0.217546452,0.055908201,0.171092562
0.977233658,0.240438218,0.192014537,-0.197116877,0.149346576,-0.158569567,-0.034860789,0.152281143,-0.12933096,1.224872923,0.1889394,0.079782618,-0.028891609,0.959785784,-0.010138382,0.195469145,0.172612867,0.195266307,0.000546952,-0.8839709,0.165842966,0.054120845,0.347273092,-0.067596926,-0.009113912,0.156399011,0.120401941,-0.124257044,-0.20054477,0.022704892,-1.086619161,1.086579241,0.113999474,0.338129135
2.551101058,0.193126998,0.213887013,-0.170222172,0.112309643,-0.145605593,-0.020399196,0.181199213,-0.116235405,1.137587798,0.258414349,0.076815079,-0.056970417,0.997305562,0.012408711,0.223654124,-0.127875334,0.215156894,0.049012353,-0.905621607,0.196255815,0.051888948,0.387996067,-0.038850221,0.028557176,0.150805713,0.007562509,-0.194176917,-0.197098902,0.112480233,-1.267995393,0.432781216,0.094406167,0.185835809
0.58322463,0.191790292,0.188651755,-0.179919221,0.064662109,-0.158152913,-0.059214541,0.13327355,-0.14709456,0.995962174,0.231865851,0.042653241,0.037765906,0.933964594,0.000452992,0.201964936,0.340391844,0.200843587,0.006529594,-0.778229076,0.161714741,0.021977996,0.342757142,-0.052153154,0.01503303,0.142587158,0.010442576,-0.244946271,-0.21072003,0.14793552,-1.335612451,1.135453557,0.113999474,0.337377134
2.184567222,0.102514676,0.190052749,-0.200905368,-0.01752518,-0.156567696,-0.057442254,0.130833467,-0.118241715,0.835504621,0.185380507,0.016194963,-0.08993607,0.91142952,-0.024340368,0.162255561,-0.35857676,0.170981497,-0.030228565,-0.75226222,0.146584006,-0.00507314,0.318654121,-0.087712853,-0.019012342,0.132153005,0.149655942,-0.169886128,-0.214662463,0.102370685,-1.311845389,0.571328664,0.055431577,0.153448157
3.292027955,0.147152484,0.19258005,-0.203308519,0.014361464,-0.15378988,-0.069695835,0.092818281,-0.175861706,0.84195918,0.194822988,0.02832007,-0.219803869,0.923007369,-0.017507648,0.165012302,-1.333130558,0.175354633,-0.210351904,-1.170746203,0.179467037,0.012661341,0.325509672,-0.049596197,0.032312031,0.149144576,-0.188366434,-0.271544152,-0.214888334,0.159753949,-1.370107876,0.011613741,0.055908201,0.147934122
0.206377961,0.032884552,0.171017232,-0.21210794,0.058185264,-0.164217846,-0.043429141,0.130833467,-0.153383465,0.658053482,0.153739498,0.002399492,-0.103403471,0.851824129,-0.024742329,0.131189664,0.380257477,0.16759659,0.007828035,-0.548094306,0.137550926,0.023394557,0.333481194,-0.10777489,-0.040387529,0.114613253,0.128787781,-0.168028274,-0.218820963,0.101274446,-1.470496201,0.104610486,0.094406167,0.047010169
1.916092281,0.056540162,0.135636482,-0.231100481,-0.017426034,-0.163409589,-0.010160385,0.092818281,-0.145930156,0.462386643,0.196772268,0.006546818,-0.022623338,0.863325942,-0.013052244,0.131215976,-0.082687018,0.146794495,-0.124364704,-0.861439546,0.124709136,-0.004765799,0.304411974,-0.101788534,0.018022168,0.143586278,-0.005535355,-0.235206268,-0.20900976,0.101887088,-1.490028753,0.810381877,0.055431577,0.48042106
1.295519724,0.078859066,0.206526514,-0.217021158,0.006912291,-0.162533304,-0.019860457,0.101915397,-0.18929486,0.311272523,0.124709186,-0.010516325,-0.014318857,1.508179892,-0.018965073,0.093724424,0.030367929,0.142518631,-0.049332368,-0.924229252,0.137028583,0.002796418,0.319092392,-0.087982028,0.014299303,0.127577045,0.108055815,-0.179255663,-0.213874037,0.14793552,-1.484489643,0.450589433,0.094406167,0.094885381
