Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190212101908
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,  1y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,2000,1409,813,710,703,0,562,562,625,0,572,568,533,545,1134,0,1914,1359,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Signal Check Result,Under,Under,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Over,Over,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under
Analog Gain,112,112,6,6,15,15,6,6,6,6,30,30,49,49,6,6,31,31,6,6,6,6,6,6,6,6,7,7,24,24,31,31,22,22,24,24,15,15,7,7,24,24,7,7,7,7,24,24,12,12,30,30,15,15,6,6,6,6,6,6,72,72,31,31,6,6,31,31,6,6,62,62,15,15,62,62,72,72,49,49,6,6,6,6,6,6,6,6,120,120,7,7,12,12,62,62,44,44,7,7,6,6,6,6,6,6,15,15,6,6,6,6
Digital Gain,1.00,1.00,100.00,1.00,27.13,45.55,70.26,100.00,94.43,100.00,2.84,5.37,19.17,45.80,100.00,100.00,9.19,33.24,10.91,44.44,10.83,100.00,2.14,2.39,1.00,6.01,1.90,25.52,4.68,5.00,2.33,3.71,1.82,1.00,5.82,5.57,1.37,63.62,2.49,100.00,6.01,4.40,4.65,4.36,6.31,2.72,5.23,4.45,4.58,2.50,3.35,2.69,1.83,100.00,1.44,35.29,1.49,3.54,17.09,1.00,3.64,4.18,18.73,35.48,50.98,85.33,48.98,78.70,71.23,1.00,1.18,2.05,2.54,3.76,5.92,18.28,1.00,1.00,2.69,7.93,1.25,1.78,1.99,9.50,1.03,2.65,1.00,1.00,3.47,3.51,1.54,52.26,1.00,20.36,1.96,1.95,2.49,2.22,4.09,1.95,2.06,1.49,1.18,29.50,27.05,100.00,1.00,3.09,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/02/12 10:19:11
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.00000000,-2.95649099,0.11147308,0.32548144,0.28327534,-0.17427720,0.08877759,1.17389679,-0.17494076,-0.23175959,0.33536023,-0.22578254,0.30000824,0.30899617,-0.11649292,-0.10458968,-0.16050096,-0.28768066,2.00128555,0.58916110,-0.55522287,-0.34433573,-0.03966042,-0.95783377,-0.63225192,0.03576683,-1.08058929,0.03688146,-0.02480485,-0.28946283,0.83767217,0.07976941,-0.20065923,-0.13101445,0,10:19:20.1,0,0
2,0.00000000,-2.95649099,-0.35009271,-0.73015720,-0.83558857,-0.17721531,0.05955925,-0.52290034,-0.09471696,-0.30587214,-0.17283037,-0.22231621,0.33913410,0.09303594,-0.02650886,-0.13626572,-0.15163009,-0.21289389,-1.82831168,-0.87761706,-0.46191686,-0.32739931,0.02996815,-0.62134129,-0.32587990,0.10459864,-0.97904652,-0.15421163,-0.00317843,-0.28946283,0.78130776,0.20102805,-0.20065923,0.48720080,0,10:19:20.2,0,0
3,0.00000000,-6.77161169,-0.22785348,-0.73015720,-0.83558857,-0.23677063,-0.24235186,1.70894516,-0.56782144,-0.20398794,-0.12305367,-0.20319609,0.42607230,0.14375187,0.04219999,-0.12355416,-0.16935788,-0.17004900,0.65522069,-0.06455037,-0.46843234,-0.34364384,-0.00820562,-0.70143455,-0.41131222,0.13678752,-1.00229204,-0.17239335,-0.00580793,-0.28946283,0.71547890,0.53323621,0.04491164,1.38205862,0,10:19:20.3,0,0
4,0.00000000,-2.95649099,-0.22606780,-1.17421293,-1.57754898,-0.15135188,-0.41846538,0.48074293,-0.11205307,-0.13080916,-0.17283037,-0.20586394,0.28295317,0.02012429,0.00689171,-0.13716820,-0.16050096,-0.10317397,-0.49410367,-0.07811941,-0.34978786,-0.32072726,0.01897742,-0.65523559,-0.38032576,0.10831227,-0.90877336,-0.03735173,-0.01229220,-0.21283235,0.87089604,-0.22641511,0.50806081,-0.70426905,0,10:19:20.4,0,0
5,0.00000000,-2.95649099,-0.23914292,-0.73015720,-0.83558857,-0.28151697,0.21093987,-1.37136555,-0.82062948,-0.53053230,-1.01290381,-0.21736701,0.33526528,0.08407837,0.00945220,-0.15789248,-0.16050096,-0.14671177,0.93378073,-0.10961476,-0.43663257,-0.30234784,-0.03435357,-0.73891002,-0.45183125,0.11652303,-0.96973240,0.06417696,0.00242299,-0.21283235,0.82770151,0.00547802,0.04491164,-1.09395742,0,10:19:20.5,0,0
6,0.00000000,0.00000000,0.01147702,-0.86058635,-1.13883340,-0.25024328,-1.56709063,-2.10643220,-0.98724806,-0.35608774,-0.27094352,-0.22288160,0.30689487,0.11099528,-0.05930398,-0.10257018,-0.14274457,-0.11087441,0.26720488,-0.07811941,-0.34832537,-0.33257771,0.01347350,-0.62134129,-0.36159641,0.04931399,-0.94169486,0.03688146,-0.00930473,-0.21283235,0.71547890,0.13370225,0.04491164,0.13542187,0,10:19:20.6,0,0
7,0.00000000,0.00000000,-0.37332490,-0.08400991,0.08518901,-0.21521398,-0.68854308,1.70894516,-0.94209653,-0.38429525,-0.86501396,-0.20243603,0.35899180,0.01116671,0.02044237,-0.15708266,-0.17380784,-0.03769020,1.11898720,-0.10961476,-0.28586820,-0.35539922,-0.01809902,-0.57851011,-0.38378116,0.06571530,6.56967402,-0.06921165,-0.01921325,-0.13512000,0.71547890,0.01275625,0.27938482,-0.63228458,0,10:19:20.7,0,0
8,0.00000000,0.00000000,0.01835969,0.27521405,0.08518901,-0.12508267,0.20407750,-0.52290034,0.13264929,-0.23175959,0.38419819,-0.23470378,0.37103108,0.00222337,-0.04794459,-0.16876642,-0.20906465,-0.10814176,0.57795012,-0.13200936,-0.38702697,-0.37356618,-0.05834002,-0.56653303,-0.34258202,0.06401015,-1.00229204,0.03231704,-0.01466790,-0.28946283,0.75699717,0.00500311,-0.17998056,-0.13336207,0,10:19:20.8,0,0
9,0.00000000,-2.95649099,-0.59719431,-0.41653058,-1.13883340,-0.38838139,-2.06669116,3.29256225,-2.11526632,-0.32868388,-0.12305367,-0.31142479,0.41450617,0.01116671,-0.06716150,-0.12541920,-0.20906465,-0.29120630,0.40215600,-0.10064258,-0.49073154,-0.35539922,-0.01549876,-0.61577123,-0.39733183,-0.01873145,-1.04386544,-0.12787093,-0.04095516,-0.28946283,0.60497558,0.12795219,0.04491164,-0.31726563,0,10:19:20.9,0,0
10,0.00000000,-9.00362873,-0.10773448,-0.63519090,-1.24609196,-0.23425350,-0.36856934,0.48074293,-0.38424584,-0.28144667,0.89675838,-0.25430185,0.39878878,0.07513503,-0.05160416,-0.09326694,-0.21348330,-0.19261438,0.52604860,0.24968678,-0.43470857,-0.38515523,-0.10788225,-0.68863350,-0.46325484,0.04249256,-1.02085268,0.07217839,-0.02183505,-0.28946283,0.59669036,0.26535213,-0.46908796,0.82018673,0,10:19:21.0,0,0
11,0.00000000,-6.77161169,-0.22785348,-1.02687359,-1.24609196,-0.14046451,-0.10596613,-0.52290034,-0.21372679,-0.30587214,-0.22210553,-0.21258263,0.28677151,0.14375187,-0.00428869,-0.11257736,-0.22225481,-0.07091569,1.51272213,-0.08712868,-0.34832537,-0.32072726,0.00535615,-0.62927109,-0.38914582,0.07115314,-0.97904652,0.11722363,-0.00562157,-0.21283235,0.81757516,0.10359837,0.52429140,-0.63228458,0,10:19:21.1,0,0
12,0.00000000,0.00000000,-0.10382855,-1.04062581,-1.61343896,-0.16458854,-0.24235186,-0.52290034,-0.15433617,-0.33314589,-0.96406585,-0.23186116,0.33073431,0.00222337,-0.00671460,-0.13716820,-0.20906465,-0.15649834,-0.78996444,-0.10064258,-0.42335692,-0.27925840,0.05171992,-0.73092860,-0.40816432,0.08101678,-0.97904652,0.02325616,-0.00930473,-0.28946283,0.76954639,-0.09048324,0.04491164,-0.03791447,0,10:19:21.2,0,0
13,0.00000000,-2.95649099,0.13883737,-0.02484795,-0.39687306,-0.27638203,-0.77730417,-1.37136555,-0.54227334,-0.18154399,0.33536023,-0.23948956,0.36716226,-0.02009867,-0.05355519,-0.14620671,-0.23975730,-0.02832016,2.00128555,0.19601615,-0.30191857,-0.34433573,-0.03157594,-0.66975635,-0.39744526,0.04931399,-0.98840261,-0.08282570,-0.01466790,-0.21283235,0.74241656,0.07318632,0.27938482,-0.93024737,0,10:19:21.3,0,0
14,0.00000000,-6.77161169,-0.34140229,-1.02687359,-1.24609196,-0.29329938,-1.68239868,1.90896332,-0.90423352,-0.23175959,0.84792042,-0.25731793,0.37872839,0.09479526,-0.03203566,-0.15966395,-0.27896127,-0.27796850,0.91129464,0.19601615,-0.47235891,-0.30966115,-0.01270967,-0.77216887,-0.49076891,0.01253394,7.86722088,0.09462691,-0.01730055,-0.21283235,0.77160746,-0.04473720,0.27938482,-0.21292058,0,10:19:21.4,0,0
15,0.00000000,-6.77161169,-0.10387955,-0.33847457,-0.63978827,-0.28923124,-0.70332915,-0.52290034,-0.61248428,-0.30587214,0.38419819,-0.22996017,0.50354195,0.15579614,-0.00671460,-0.14092870,-0.26158383,-0.23765349,1.36810243,-0.59909409,-0.49709940,-0.44780388,-0.15041023,-0.62695289,-0.40549561,0.03428570,-1.07144558,0.09015214,-0.02183505,-0.28946283,0.70977199,0.26535213,0.04491164,0.53265333,0,10:19:21.5,0,0
16,0.00000000,-2.95649099,0.01147702,-0.41653058,-0.83558857,-0.23787105,0.26982901,3.76107192,-0.05275622,-0.18154399,0.43347335,-0.26104897,0.52667475,0.21542670,-0.08676325,-0.16151913,-0.26158383,-0.29888952,-1.19048238,-0.99005157,-0.47956333,-0.34364384,-0.06642450,-0.79717398,-0.53572166,0.01130319,-1.13063872,-0.02634224,-0.04177297,-0.21283235,0.65706027,0.49557963,0.27938482,0.59913474,0,10:19:21.6,0,0
17,0.00000000,0.00000000,-0.22606780,-0.02484795,-0.39687306,-0.21521398,-0.38453248,3.29256225,-0.68797481,-0.35388246,-0.12305367,-0.27397269,0.36669511,-0.01567461,-0.05930398,-0.10257018,-0.24848704,-0.18554866,1.34578156,0.22725573,-0.40045473,-0.33257771,-0.09449509,-0.86117131,-0.66599166,-0.00197038,-0.91819149,-0.23561704,-0.06340368,-0.28946283,0.78703839,-0.13131005,0.04491164,-1.09395742,0,10:19:21.7,0,0
18,0.00000000,-6.77161169,-0.22606780,-1.17421293,-1.57754898,-0.11968312,0.51870239,0.48074293,0.22651191,-0.38896582,0.33536023,-0.29597372,0.34683144,0.06620651,0.04074081,-0.11994582,-0.22225481,-0.09489296,-0.13371867,-0.10064258,-0.39815795,-0.36646533,-0.07335164,-0.82011414,-0.63732779,-0.02466053,-0.83759147,0.07663825,-0.03874286,-0.13512000,0.76070839,0.21879432,0.27938482,0.12990984,0,10:19:21.8,0,0
19,0.00000000,-2.95649099,-0.46542722,-0.08400991,-0.39687306,-0.17244168,-0.12943986,-0.52290034,-0.19629690,-0.44077051,-0.31935200,-0.31772548,0.35512084,-0.01567461,-0.01812126,-0.12355207,-0.23101300,-0.20931143,1.04293191,-0.91385776,-0.46374854,-0.30430987,0.02694732,-0.72253335,-0.49059045,0.02741921,-0.91819149,-0.00836849,-0.00827685,-0.28946283,0.75699717,0.28489736,0.04491164,-0.63228458,0,10:19:21.9,0,0
