CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,
-4.485451063,0.108100411,0.902734522,0.018143247,-0.366411835,-0.081706768,0.081727621,-0.178500311,-0.057412648,-0.217137485,0.070758199,-0.110789455,-0.292806042,-0.000853267,-0.240334054,-0.243293441,-0.149280866,-0.076141778,-0.031046513,0.088896151,-0.338790727,-0.300936952,-0.295206854,-0.175989671,-0.061087429,-2.85004635,1.095878426,-2.480202078,#DIV/0!,#DIV/0!,-0.257025907,-0.083367967,-2.932374877,-0.269314707,pre
#DIV/0!,1.116486204,1.01061719,0.438298294,0.19070442,0.12148181,0.113848519,-0.165077892,-0.033494401,-0.196957893,0.020497519,-0.123612359,0.108308499,0.156929344,-0.214311285,-0.213524219,0.881189568,-0.084911609,0.315527632,0.602273284,-0.364923963,-0.292987417,-0.28207319,-0.157161054,-0.048390656,-2.330197192,0.492790549,-1.692175804,#DIV/0!,#DIV/0!,-0.096105659,-0.374377158,-2.34801364,-1.777874686,pre
0.076294361,0.692583864,0.790544564,0.217793375,-0.042725712,0.027018693,0.055290674,-0.148751472,-0.092127314,-0.177058934,0.020480679,-0.123442458,0.040425099,0.353318316,-0.197933744,-0.212800006,1.292659104,-0.085089537,0.437971746,0.70901226,-0.365827418,-0.274860368,-0.269805973,-0.152537836,-0.01642076,-2.080529367,2.647113428,-1.710700301,#DIV/0!,#DIV/0!,-1.10187712,-0.551156782,-3.460483816,-1.011500991,pre
-4.692784758,-1.290631799,0.72691074,0.006024786,-0.560785714,0.145216558,0.062402151,-0.172965785,-0.055569586,-0.174668066,-0.003182049,-0.098317163,0.104578617,0.193855604,-0.144440274,-0.178989158,0.338587745,-0.01654426,0.501006351,0.128026167,-0.31097345,-0.249240415,-0.260281912,-0.123565193,-0.024699202,-1.601782705,2.172043654,-0.268341766,#DIV/0!,#DIV/0!,0.094657099,-0.765454624,-0.29934126,-1.42042272,pre
0.5423975,1.048976241,0.568794072,0.256127502,0.083619319,0.220555184,0.080514241,-0.15292809,-0.015181372,-0.140754667,0.002891561,-0.091047402,0.070560974,0.195996488,-0.125825138,-0.106592216,0.360471391,-0.05971182,-0.197899565,-0.097138844,-0.326743321,-0.196628333,-0.233288283,-0.094659216,-0.010227541,-1.61114558,0.748638772,-1.821890733,#DIV/0!,#DIV/0!,-0.964220492,-0.327395309,-3.703157307,-1.103020192,pre
0.5423975,-0.741788836,0.419746337,-0.022121182,0.243270216,-0.010163572,-0.01277248,-0.244711676,-0.085210387,-0.171467414,-0.020729439,-0.073469611,0.046411387,-0.036445594,-0.09487034,-0.108037847,0.186049463,0.038103877,0.001541929,0.179080077,-0.228732612,-0.164516864,-0.238182314,-0.070532459,0.009535501,-2.239926745,1.330680274,-1.818937053,#DIV/0!,#DIV/0!,1.241991792,0.054202049,2.267227175,0.253216379,pre
0.5423975,0.895450979,0.599145298,0.023496008,-0.408811992,0.042928613,-0.014067431,-0.261977728,-0.080950454,-0.196632963,-0.061106837,-0.101683294,-0.01947105,0.048231069,-0.128181155,-0.088074085,0.082282709,0.020688145,-0.026357005,0.024808558,-0.223295447,-0.205525408,-0.263102493,-0.109752867,-0.079483454,-2.493827785,-0.051624228,-1.922468845,#DIV/0!,#DIV/0!,-0.129590401,-0.071269465,#DIV/0!,0.163901268,pre
#DIV/0!,-0.96781081,0.417843719,0.127099006,0.52315735,0.078585482,0.007981376,-0.176596174,-0.065734207,-0.18479199,-0.069927936,-0.124863821,0.067918126,-0.050670896,-0.137412635,-0.227976655,0.323570087,-0.072295958,0.000401668,0.476494415,-0.300206924,-0.226700893,-0.237792047,-0.127847645,-0.030602029,-1.722544994,1.628641843,-1.704020612,#DIV/0!,#DIV/0!,-1.209826358,-0.404477213,-3.550709863,-1.488667547,pre
2.643193485,-0.478844984,0.096259481,0.184273825,1.026140036,0.085850197,0.008405288,-0.150274344,-0.062846807,-0.16711264,-0.026329016,-0.114293987,0.037755869,-0.157080924,-0.12092911,-0.257488594,0.132796801,-0.078334092,-0.27538914,0.698581524,-0.311775325,-0.25548303,-0.265375622,-0.117230489,-0.010830868,-1.82847004,1.930122707,-0.762134002,#DIV/0!,#DIV/0!,0.364432915,0.067060899,-1.47868665,-1.683134521,pre
-0.877647878,-0.667586803,0.344427929,0.479618044,1.193660942,0.166979547,0.051510909,-0.17706298,-0.042957547,-0.17352921,-0.051070087,-0.114738469,0.10219458,0.081537848,-0.136432424,-0.245251709,0.590337578,-0.127289516,-0.345650258,0.796554411,-0.372534771,-0.29121093,-0.271957,-0.144633806,-0.027620911,-1.919891262,1.314199292,-1.318494469,#DIV/0!,#DIV/0!,-0.341458861,-0.412010537,-2.045455727,-1.25394411,pre
-4.329267343,1.005008232,0.527689919,0.348454036,0.829399418,0.127680769,0.049986872,-0.188577758,-0.029085225,-0.18186516,-0.046207374,-0.092007361,0.108628978,-0.225315236,-0.109323974,-0.27895837,-0.233797299,-0.129421198,-0.315968686,0.889941748,-0.377965732,-0.295158621,-0.266389735,-0.156062526,-0.044205028,-2.319084847,1.833088532,-1.90845189,#DIV/0!,#DIV/0!,0.116085894,-0.260239198,-0.652674569,0.474415231,pre
-0.72930948,-1.11862972,0.380877238,0.457963514,1.52919804,0.211393315,0.100383581,-0.178132939,-0.006095071,-0.16923145,-0.086474376,-0.115183334,-0.013813933,-0.039143404,-0.165078212,-0.181424887,0.37517203,-0.063412202,0.249634328,0.537733737,-0.314489291,-0.305057518,-0.273900904,-0.165235505,-0.031471048,-2.570531572,2.307848738,-2.039685915,#DIV/0!,#DIV/0!,0.235852761,0.174477705,0.510423008,0.07028067,pre
-1.092654331,-1.489127831,0.25724597,0.074744074,0.270282333,0.149140239,0.076715776,-0.172983262,-0.036608416,-0.156556423,-0.094202185,-0.093019305,0.069608535,-0.079512198,-0.144489569,-0.217364394,-0.472801782,-0.088225872,-0.448758418,0.579407853,-0.361950266,-0.30808023,-0.288807357,-0.174396868,-0.052753031,-2.448619186,2.317392126,-1.657447137,#DIV/0!,#DIV/0!,-0.085018799,-0.206578053,-3.867634029,-1.991273006,pre
0.29435938,-0.266850671,0.305592126,-0.073326091,-0.336506575,0.177162701,0.110216603,-0.147099105,0.005559794,-0.137926228,-0.020748481,-0.077119804,0.031598323,-0.081520413,-0.152059661,-0.160286733,0.099213367,-0.118210525,-1.061099197,0.298039186,-0.349148475,-0.305012792,-0.276978452,-0.145653977,-0.069301136,-2.799554896,1.480012178,-2.095729505,#DIV/0!,#DIV/0!,0.315594387,-0.418755817,-4.903104114,-2.625527009,pre
-6.057582538,-1.524131986,0.372832738,0.16214977,0.876925609,0.231244088,0.127698368,-0.130198872,0.023970699,-0.135696074,-0.063047518,-0.084134028,0.063442192,-0.051603202,-0.142354503,-0.216371815,0.034115365,-0.050861657,-0.375747166,0.500033236,-0.288687158,-0.285285129,-0.244948878,-0.153431856,-0.034001051,-3.751299096,1.234388197,-3.491389519,#DIV/0!,#DIV/0!,0.319987212,-0.21752108,-2.356375626,-2.258784837,pre
-6.720591496,-2.008987011,0.512146536,0.113774785,-0.023553242,0.277738149,0.153451464,-0.111053151,0.030084004,-0.151282234,-0.004227651,-0.12196775,-0.032549376,-0.01508609,-0.1827277,-0.224784839,0.854548902,-0.17511861,-0.765584756,0.26760564,-0.362277829,-0.293507336,-0.162092851,-0.169565631,-0.02358899,-5.641991949,1.17460213,-6.758833277,#DIV/0!,#DIV/0!,1.062067398,0.229920882,-1.50006763,0.69303094,pre
-2.841741283,0.220544621,0.442151614,0.29409845,0.144688821,0.235128155,0.128410944,-0.122116997,0.018576741,-0.170920875,-0.007150281,-0.114464593,-0.018643014,0.132744912,-0.132463883,-0.195140875,1.182405458,-0.056907905,-0.974883066,-0.278162067,-0.256735788,-0.229706038,-0.126624015,-0.146777443,-0.026636255,-5.2176342,1.676085233,-1.410301376,#DIV/0!,#DIV/0!,0.568698132,0.024927983,-4.415695963,-3.694948032,pre
