Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190212114620
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,  1y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,970,802,593,580,558,0,532,544,600,0,557,559,708,648,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Stray,Stray,Normal,Normal,Stray,Stray,Stray,Stray,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,88,88,6,6,12,12,15,15,6,6,7,7,7,7,6,6,31,31,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,12,12,6,6,15,15,6,6,22,22,6,6,6,6,6,6,6,6,6,6,31,31,6,6,31,31,6,6,47,47,6,6,6,6,7,7,12,12,7,7,49,49,12,12,22,22,60,60,6,6,31,31,7,7,6,6,15,15,98,98,6,6,6,6,7,7,6,6,6,6,6,6,6,6
Digital Gain,1.00,1.00,100.00,1.00,39.87,57.35,1.96,5.11,33.93,72.17,3.37,6.45,2.98,6.92,4.45,6.19,10.43,16.92,8.46,10.62,19.34,1.00,9.80,6.95,12.62,100.00,14.33,100.00,20.86,18.50,18.82,15.12,7.73,100.00,55.75,43.36,4.41,100.00,2.52,100.00,12.03,10.48,8.26,7.35,1.82,3.89,7.29,6.81,1.58,4.33,1.00,1.00,1.55,40.77,100.00,1.00,100.00,100.00,2.17,100.00,100.00,100.00,52.34,62.37,1.00,1.00,1.00,86.76,100.00,1.00,88.08,100.00,3.98,7.40,2.58,6.12,2.03,5.05,4.30,6.45,3.29,2.88,1.55,36.18,1.45,16.39,35.56,33.13,4.30,3.85,1.52,42.04,1.21,36.23,5.98,5.36,11.79,11.86,1.05,2.66,1.10,2.10,2.59,1.00,31.04,100.00,100.00,100.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/02/12 11:46:22
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.00000000,0.04960646,0.60908997,0.09377619,0.14708054,0.00302125,0.00428927,0.64545608,0.09143488,-0.04554006,-0.01953550,-5.93153000,-8.14967442,1.53210330,-5.97429800,-0.23072879,-0.03872687,-1.43599439,-1.03746176,-0.07419977,-0.64822876,-0.52693331,0.02260990,-0.40857315,-0.33588263,0.00000000,0.18278760,0.00000000,1.02350783,-0.34021047,-0.12864473,0.43091023,0.00000000,-1.49879217,0,11:46:32.1,0,0
2,0.00000000,0.04960646,-0.09584226,0.10514514,0.14708054,0.05259512,0.03998915,0.81003809,0.13563107,0.03598148,-3.50676751,-6.24062920,-11.12541676,-4.36148119,-6.89856815,-0.31100464,0.00129915,-1.14339221,0.08140217,-0.07419977,-0.52917886,-0.45582494,0.06118090,-0.40857315,-0.33588263,0.00000000,0.20862179,-4.34911442,-0.93939608,0.32873848,-0.39032772,-0.47444063,0.00000000,1.32054114,0,11:46:32.2,0,0
3,0.00000000,0.04960646,-0.43410286,0.13096991,0.14708054,0.06849260,0.05906219,0.70130539,0.17093949,0.01643093,-5.72631836,-5.73412418,-8.75333309,-0.18396547,-5.71136808,-0.26909274,0.00129915,-0.56276232,0.12514131,0.04529761,-0.41622680,-0.43049237,0.09054573,-0.16914593,-0.26154739,0.00000000,0.54494953,-6.58113098,-0.93939608,-0.28595540,-0.39032772,-0.33120394,0.00000000,0.20110115,0,11:46:32.3,0,0
4,0.00000000,0.04960646,0.29037058,0.11446706,0.14708054,0.06502361,0.08050819,0.56868833,0.22628951,0.07239443,0.23842235,-5.82045794,-10.67071247,0.05268639,-5.98023653,-0.53065276,-0.07840285,-0.05754969,-0.27896675,0.02675350,-0.24487862,-0.14937349,0.13014193,-0.16986717,-0.35216945,0.00000000,-0.49636403,0.00000000,0.57151234,-0.57301545,1.72650695,1.22722661,0.00000000,-2.10768867,0,11:46:32.4,0,0
5,0.00000000,0.04960646,0.26061451,0.11446706,0.14708054,0.13144284,0.09958123,0.34593728,0.22097751,-0.10691870,-1.45680368,-5.74489355,-11.50880337,2.75589871,-5.87782669,0.12914521,0.11793486,-0.24649590,0.58873540,-0.02395438,-0.30177820,-0.28333828,0.06354062,-0.34475955,-0.38763630,0.00000000,-0.65372026,-4.34911442,-1.20850861,-0.25231647,-0.12864473,-0.21992916,0.00000000,-2.10768867,0,11:46:32.5,0,0
6,0.00000000,0.04960646,0.76517922,0.11446706,0.14708054,0.11601327,0.10498752,0.31688726,0.35571855,-0.02726220,-5.92173338,-5.82852411,-9.98945999,-0.44176063,-5.98023653,-0.74954778,-0.07840285,-0.47016191,1.33074725,0.00134117,-0.32669553,-0.23145859,0.09454446,-0.39062399,-0.35030466,0.00000000,-0.18642069,0.00000000,2.87623763,-0.23116079,-0.12864473,0.32359633,0.00000000,0.51907152,0,11:46:32.6,0,0
7,0.00000000,0.04960646,-0.26519099,0.09377619,0.14708054,-0.01019061,-0.02254017,0.07394607,-0.09045276,-0.15445630,0.87893754,-5.90690756,-11.68808746,-0.44176063,-6.14645529,-0.53128028,-0.11291637,-0.40348899,2.15930271,0.05532485,-0.24224903,-0.37534067,0.07008082,-0.46466070,-0.35588253,0.00000000,0.30413568,-4.34911442,0.64422119,0.30776006,0.21597598,-1.96193063,0.00000000,-0.53900540,0,11:46:32.7,0,0
8,0.00000000,0.04960646,-0.09584226,0.10305099,-0.01287726,0.04103983,0.03780371,0.06112778,0.08492028,-0.08524044,0.93680942,-5.93153000,-8.26214409,0.79464674,-6.16325331,-0.44603395,4.02609921,-1.01885438,0.91714054,2.33498502,-0.46939161,-0.35784116,0.08897078,-0.38059840,-0.35092062,0.00000000,0.09275346,-0.53399336,-1.66050410,0.01840749,-0.12864473,-0.32697672,0.00000000,1.07324076,0,11:46:32.8,0,0
9,0.00000000,-0.47505784,1.14221740,0.08451663,-0.01287726,-0.03193262,-0.02111427,-0.04858743,0.04533030,-0.06375388,-1.26587200,-5.83197641,-8.92602158,-2.12119579,-6.07826757,-0.57853019,0.00129915,-0.85325378,-0.99372262,-0.00877835,-0.38777635,-0.32544157,0.03134897,-0.34475955,-0.38026312,0.00000000,-0.83804828,0.00000000,0.00000000,-0.67391104,-1.20547760,1.61721098,0.00000000,0.00000000,0,11:46:32.9,0,0
10,0.00000000,0.04960646,0.91656482,0.12164798,0.14708054,-0.01725318,-0.00160960,-0.04216300,0.04533030,0.00899665,-1.13704526,-5.74298859,-8.80988884,-2.05675626,-5.71348286,-0.22537714,0.04155553,-0.10870125,0.10078558,-0.00877835,-0.35932961,-0.25139093,0.05904425,-0.21132571,-0.38028046,0.00000000,-0.77722067,-0.53399336,0.57151234,-0.25231647,4.91519117,2.53185296,0.00000000,-1.49879217,0,11:46:33.0,0,0
11,0.00000000,0.04960646,0.60908997,0.10514514,0.14708054,0.04725313,0.05052865,-0.10224755,0.18472084,-0.03692537,-0.51972151,-5.87048483,-9.38315582,-2.12119579,-6.07826757,-0.49095806,0.00129915,0.14518268,1.69194496,2.38523030,-0.15408742,-0.27978057,0.10080715,-0.29064110,-0.35249147,0.00000000,-0.29076174,-0.53399336,1.02350783,0.05620595,-0.12864473,-0.60388035,0.00000000,-0.53900540,0,11:46:33.1,0,0
12,0.00000000,-0.47505784,1.49353385,0.11446706,0.14708054,0.03930959,0.02356780,0.00241502,0.00113412,-0.13247952,-0.83547097,-5.85916376,-7.79934454,1.91351068,-6.12005138,-0.27731454,4.06577492,-1.15340555,1.26746976,0.08050506,-0.46939161,-0.32269403,0.10853902,-0.26624987,-0.35536548,0.00000000,-0.07300428,-0.53399336,-1.66050410,-0.23116079,-0.12864473,0.58838791,0.00000000,1.32054114,0,11:46:33.2,0,0
13,0.00000000,0.04960646,-1.13028443,0.10997225,0.14708054,0.02064928,0.00428927,0.05569012,0.09077068,-0.10377327,1.11726975,-5.96959829,-8.65382671,2.17424798,-6.26407003,-0.05611340,6.48628187,-0.23166637,1.91751277,-0.02395438,-0.26927376,-0.30314520,0.08930957,-0.32422242,-0.36479735,0.00000000,-0.53999990,-0.53399336,0.57151234,-0.60264581,-1.08531237,0.41504571,0.00000000,-2.84387755,0,11:46:33.3,0,0
14,0.00000000,0.04960646,0.29896066,0.11446706,0.14708054,0.10027885,0.06695000,0.06062200,0.22628951,-0.06925050,-0.64885265,-6.11295700,-10.21674633,-0.64324379,-6.57016373,-0.13349707,0.07705447,0.22064251,0.20875421,-0.02395438,-0.21255337,-0.35064349,0.06113270,-0.36542413,-0.38496491,0.00000000,-0.67116553,0.00000000,0.57151234,-0.26916161,0.14288974,-0.96485543,0.00000000,-1.49879217,0,11:46:33.4,0,0
15,0.00000000,0.04960646,-0.43410286,0.10514514,0.14708054,-0.01019061,-0.00916960,0.03673254,0.04657450,-0.10099793,1.66213441,-5.95051003,-8.65382671,-2.05675626,-6.17221117,-0.31634268,0.04155553,-1.27273834,0.91714054,0.04200671,-0.52917886,-0.18538076,0.08805576,-0.40319660,-0.35536548,0.00000000,-0.22098514,-0.53399336,-1.66050410,0.03099574,1.09955740,0.72558451,0.00000000,-1.49879217,0,11:46:33.5,0,0
16,0.00000000,0.04960646,-1.24487329,0.09131257,0.09759206,0.00683748,-0.00326164,0.17810673,0.08492028,-0.09081707,0.99525821,-6.05502415,-9.09788322,1.73244023,-6.32795334,-0.04778835,0.11793486,-1.27616823,1.26746976,5.34709215,-0.52584571,-0.31671992,0.12090765,-0.48187056,-0.28829542,0.00000000,0.77487415,-6.58113098,-0.93939608,-0.06056850,-1.98075330,-0.56218374,0.00000000,1.76592624,0,11:46:33.6,0,0
17,0.00000000,0.04960646,-0.10028167,0.10514514,0.14708054,0.02530541,0.05666044,0.30589414,0.21296635,-0.06059775,-0.71065331,-5.96959829,-9.61044312,2.55315876,-6.22237778,-0.14922170,7.75889397,-0.63106179,1.58442104,5.29767561,-0.41141090,-0.55272073,0.02868523,-0.50593334,-0.31622040,0.00000000,0.73672634,-6.58113098,-3.24412131,0.19177639,-1.36755574,-0.97464156,0.00000000,1.32054114,0,11:46:33.7,0,0
18,0.00000000,0.04960646,-0.87368494,0.12403794,0.14708054,0.06849260,0.05906219,0.39220232,0.13563107,-0.11993668,-0.01953550,-5.89745140,-8.98541260,-0.04806812,-6.12434006,-0.36105773,0.11793486,0.53087807,-1.62723076,0.06760791,-0.21446706,-0.00634548,0.13958131,-0.16171825,-0.40607542,0.00000000,-1.22461367,0.00000000,1.02350783,-1.01957715,-1.08531237,5.07851171,0.00000000,0.00000000,0,11:46:33.8,0,0
19,0.00000000,0.04960646,0.91656482,0.13787051,0.14708054,0.07841713,0.05052865,0.62862301,0.13928047,-0.03337225,-3.57080364,-5.98207664,-9.55672836,-0.31664428,-6.38350677,-0.53585678,0.04155553,2.29655623,1.82183897,0.01658720,0.14623606,-0.26522788,0.06283696,-0.09528124,-0.33467254,0.00000000,-0.50076509,0.00000000,4.83862877,-0.23116079,-1.08531237,0.32359633,0.00000000,0.00000000,0,11:46:33.9,0,0
