CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,
-7.295604387,-0.119442359,-0.039180974,-0.218934661,-0.223189882,-1.249188707,-1.25786869,0.8995036,-0.916552308,-0.347033818,-0.258231275,-1.481586384,-0.831103113,-2.28347191,-1.33030243,-0.409869381,-0.402497852,-0.241409864,-0.670186472,-0.306563687,-0.359310339,-0.498504258,-0.334679395,-0.288015845,-0.29897928,0.475000718,-0.441125806,-6.291992027,-0.393359247,#DIV/0!,0.135911827,-0.280592334,-1.190096167,0.260330358,pre
-7.07190037,-0.471319367,-0.693307909,-0.039290536,-0.256041539,-1.539767431,-2.123329517,0.680879221,-0.930622532,-0.302351253,-0.830821787,-1.510496153,-0.398364068,-1.050220658,-1.402292443,-0.288521812,-0.28211135,-0.292119314,-0.443018255,-0.224891634,-0.36913003,-0.421780924,-0.30345211,-0.280744831,-0.310769155,0.703614999,-0.649015527,-7.940087,-0.043170825,#DIV/0!,-1.047934774,-0.06377225,-2.548573675,-2.195674598,pre
-6.432499888,0.232453601,-0.351439154,-0.282073245,0.471194993,-1.357183144,-1.122873006,1.686188486,-0.777880984,-0.271974117,-0.488229409,-1.515104245,-0.03067779,-0.448998131,-1.472990077,-0.053252717,-0.152331064,-0.101975778,-0.295371955,-0.232515021,-0.162346153,-0.458568908,-0.280598928,-0.272267372,-0.286174096,0.144719324,0.547934383,-6.4082365,-0.701264291,#DIV/0!,-0.251943695,-0.624159725,-3.901563513,0.64575483,pre
-3.54102764,0.644558763,1.825789273,0.03677253,-0.225708259,-1.563743735,-1.716352598,2.783391346,-0.803846109,-0.259981999,-0.432344133,-1.29144392,-0.794014852,-0.037400259,-1.280729689,-0.009610723,-0.192502087,-0.213968595,-0.434336445,-0.075629593,-0.368832167,-0.290037716,-0.228781961,-0.221294188,-0.248538159,0.253249217,0.099726499,1.22249079,-0.141774904,#DIV/0!,-0.200310785,-0.5264441,-6.025538925,-0.605970687,pre
-3.2791605,-0.119347408,-0.999505246,-0.337134323,-0.243276526,-1.203308884,-1.171031052,-0.91318407,-0.467426878,-0.252117051,-0.260804234,-1.003981089,-1.901268256,0.016828853,-1.298980859,-0.064498548,-0.225530676,0.020428701,-0.115824643,-0.166367934,-0.066047693,-0.391306939,-0.247388179,-0.265484921,-0.253362075,0.958668365,0.053028463,-6.4082365,-0.169817035,#DIV/0!,-0.943482647,-0.546252705,-4.8378586,-1.454597455,pre
-6.547842027,1.472462773,-1.711162875,-0.268775815,-0.060254901,-1.765051138,-2.189022499,-0.726774468,-0.781739457,-0.239126474,-0.574704498,-0.984862078,-1.833487474,-0.131278433,-1.303073707,-0.133121334,-0.280509744,-0.260362608,-0.237188198,-0.070135243,-0.242448423,-0.338936324,-0.245361638,-0.184979875,-0.242083716,0.093869796,-0.770705358,-9.739764847,-0.593487129,#DIV/0!,0.987244739,0.347598626,-3.86589849,-0.911274221,pre
-3.2791605,0.262995373,-0.289797838,-0.068966204,-0.218372188,-1.248333142,-1.098502997,1.843293762,-0.518464673,-0.205363587,-0.06298316,-0.974970418,-1.89874171,0.083975898,-1.157914233,-0.022668313,-0.199847542,0.051730077,0.016999862,-0.050818325,0.027323551,-0.36735787,-0.245622199,-0.212821097,-0.233877698,-0.395064339,0.205630379,-4.0828588,-1.124520251,#DIV/0!,-0.590407542,-0.812399818,-8.821033003,-0.459356058,pre
-3.2791605,1.026070868,-1.098363468,-0.366024798,-1.516549898,-1.143323623,-1.33190266,0.121039366,-0.367333317,-0.192747121,-0.227966762,-0.942493791,-1.81136416,-0.856091515,-1.11889948,-0.137997982,-0.195424533,-0.006892946,0.042995943,-0.011026588,0.010523104,-0.351677916,-0.208391831,-0.158557867,-0.198605035,-0.300225262,-1.058980017,1.22249079,-0.736217228,#DIV/0!,-0.199241662,-0.48575452,-6.27761889,-0.892113438,pre
0.300838153,-0.615351077,-0.575324967,-0.304062678,-0.829352807,-1.574705616,-2.167799037,0.53414187,-0.59262283,-0.187758788,-0.298306033,-0.906099659,-1.77158985,-1.675703502,-1.078635476,-0.348658437,-0.278153978,-0.21427805,-0.120951205,0.076697165,-0.239586102,-0.276652147,-0.189712594,-0.066301459,-0.14985342,-0.066938386,0.219918053,-4.50457358,-0.144586182,#DIV/0!,0.462784994,0.296403119,-2.745318893,1.057273045,pre
-7.06053925,-0.68774022,-0.797619098,-0.120026046,-0.333540597,-1.112891513,-1.122618363,0.964020227,-0.389911134,-0.158638297,0.085212762,-0.956179851,-1.911938547,-0.333717687,-1.30563187,-0.142012583,-0.198800359,-0.051359312,0.033215607,0.118557768,-0.086019221,-0.200269002,-0.150779212,-0.064294272,-0.13491268,-0.08040198,0.37236127,-6.4082365,-0.363804537,#DIV/0!,-0.132030008,-0.464572146,-1.468753458,-0.042915102,pre
