Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190212111357
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,  1y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,1130,897,628,601,558,0,532,544,550,0,552,556,593,580,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under
Analog Gain,56,56,6,6,98,98,60,60,6,6,7,7,6,6,6,6,22,22,6,6,24,24,6,6,12,12,7,7,12,12,7,7,7,7,7,7,7,7,24,24,7,7,15,15,7,7,22,22,6,6,49,49,7,7,12,12,7,7,6,6,6,6,31,31,6,6,44,44,6,6,6,6,12,12,7,7,6,6,31,31,7,7,31,31,6,6,6,6,31,31,31,31,6,6,6,6,124,124,6,6,6,6,12,12,6,6,6,6,6,6,6,6
Digital Gain,100.00,1.00,100.00,1.00,21.82,24.36,2.51,4.54,39.41,87.61,5.73,12.79,2.10,4.92,1.52,3.99,8.62,15.44,2.05,2.68,3.81,63.13,3.66,3.37,4.36,54.25,13.94,100.00,22.51,16.56,23.26,17.14,22.58,1.00,22.10,17.65,8.91,1.00,5.36,1.00,22.80,15.30,10.88,8.14,5.11,6.89,6.92,5.49,2.07,3.48,28.15,30.67,3.12,100.00,1.39,50.05,58.93,100.00,43.09,1.00,61.55,100.00,51.54,53.25,1.00,1.00,100.00,44.72,100.00,1.00,57.52,100.00,2.83,6.25,3.03,7.57,1.48,3.46,2.88,4.40,3.48,3.44,1.98,97.42,7.79,100.00,97.04,85.93,3.36,2.85,1.58,100.00,7.40,100.00,17.24,13.08,11.74,11.85,2.03,2.88,1.27,2.18,1.37,83.87,13.94,100.00,20.64,69.37,100.00,100.00,100.00,100.00

Measurement Information
Date,2019/02/12 11:13:59
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,2.50018096,0.37074131,0.34043747,-0.72947133,0.26755658,0.13785039,-0.03883850,-0.50095940,0.08581129,-0.84136397,-3.73836231,-0.56260520,-0.79351819,0.36530694,0.00123791,-0.50702804,-0.58565766,-0.11303996,-0.63489676,-0.12447309,-0.19802162,-0.46999219,-0.27450067,0.03287603,-0.31300715,0.34930539,-0.64604300,0.00131194,-0.18561354,0.39611691,0.11957669,0.09544993,0.00000000,9.94765282,0,11:14:08.1,0,0
2,0.26833561,-0.15392300,0.11600925,-0.74017084,0.08881450,0.08863962,-0.05681225,-0.34258124,-0.06822056,-0.71021587,-0.43867728,-0.55443513,-0.55065483,0.17987947,-0.15400013,-0.97004008,-0.97515380,-0.27345189,11.02449417,-0.24693616,-0.25213104,-0.54252976,-0.31565487,-0.21978250,-0.38005203,-0.06356113,2.84681082,0.37696776,0.38139117,-0.14497286,-0.40467429,-0.17405897,-10.50747585,-0.35601822,0,11:14:08.2,0,0
3,2.50018096,-0.15392300,0.44178843,-0.68129593,0.08881450,0.12334155,-0.07036291,-0.38522708,-0.02809215,-0.75012368,-0.47019818,-0.44443980,-0.32622170,1.22892439,0.15094705,-0.17213574,-0.28014824,-0.11265364,-0.59228641,-0.10148009,-0.09283303,-0.10512085,-0.12419204,-0.15575252,-0.35362786,0.06237362,1.58036494,0.39049208,0.56899363,0.02956375,-0.13465258,-0.50008821,-10.50747585,-2.00270629,0,11:14:08.3,0,0
4,-0.58012962,-0.15392300,0.20663297,-0.56411809,0.08881450,0.03436925,-0.09337585,-0.32022309,-0.15277013,-0.65852541,-0.79910809,-0.47543496,-2.03322506,2.18554020,0.27599001,-0.07645047,-0.38231885,-0.47721651,-0.75620413,-0.17468873,-0.39652404,-0.36658460,-0.28442457,-0.15895660,-0.38376287,-0.31630373,-3.01635098,-0.16453908,-1.47943306,0.20976329,0.11957669,-0.77046967,0.00000000,-1.59057748,0,11:14:08.4,0,0
5,2.50018096,0.37074131,0.21197212,-0.68293989,0.01990173,0.17255232,-0.04337989,-0.45063370,-0.03233408,-0.76777375,-5.01887131,-0.36583614,-0.91199303,0.07706200,0.75334722,-0.07981013,-0.06497510,-0.21910423,-0.63489676,-0.02728502,-0.19802162,-0.19409370,-0.13104187,-0.03079822,-0.31300715,0.11594392,0.70232439,0.01039530,-0.18561354,0.58894515,0.91659582,-0.29447675,0.00000000,3.74823380,0,11:14:08.5,0,0
6,0.26833561,-0.15392300,0.34043747,-0.63438910,0.08881450,0.26096216,-0.01001809,-0.34887823,0.08927055,-0.72747129,-0.25553024,-0.41873497,-1.26969028,1.74148452,0.48646837,-0.17213574,-0.38231885,-0.37472886,-0.71914053,-0.10148009,-0.45670402,-0.29538149,-0.22471954,-0.11072326,-0.33710712,0.29295176,1.59340942,0.27379799,0.65043688,0.58894515,-0.94422847,0.37706017,0.00000000,6.81516838,0,11:14:08.6,0,0
7,-0.58012962,-0.15392300,0.44825199,-0.67195821,-0.15884033,0.09711098,-0.07064822,-0.39060441,-0.03510923,-0.74596292,-1.66837144,-0.45908666,-0.85923618,-0.11933963,0.43602169,-0.15315688,-0.28014824,-0.27003995,-0.71914053,-0.17468873,-0.36439040,-0.60666656,-0.38072264,-0.15575252,-0.35479084,0.20564321,1.58036494,0.26018393,0.12493790,0.02956375,-0.40467429,0.37713721,0.00000000,3.23609900,0,11:14:08.7,0,0
8,1.27197886,-0.15392300,0.73818642,-0.58690262,0.08881450,0.16483341,-0.05698621,-0.36747083,0.01420005,-0.74960673,-1.93020236,-0.51742840,-1.23372066,-1.01446593,0.01820258,-0.31668007,-0.28014824,0.09333409,-0.67717987,-0.07373830,0.04148067,-0.23948927,-0.26123786,0.03817288,-0.35391080,0.21809375,0.11588485,-0.15548536,-0.62937468,0.58894515,0.40403557,1.19025409,0.00000000,-1.27368844,0,11:14:08.8,0,0
9,2.50018096,0.37074131,0.23587315,-0.72634041,-0.15884033,0.07012796,-0.08865170,-0.26372960,-0.07572805,-0.62004906,-0.63616121,-0.49929169,-1.07222986,1.22892439,-0.02871376,-0.05750728,-0.17123906,-0.27003995,-0.67717987,-0.02728502,-0.32059836,-0.17797297,-0.14334379,-0.24972183,-0.39298362,-0.06148546,-0.00625700,-0.18713579,-0.99392605,0.02956375,-0.40467429,0.37706017,0.00000000,4.45678759,0,11:14:08.9,0,0
10,2.50018096,-0.15392300,0.55778688,-0.65830749,0.08881450,0.18444994,-0.04159320,-0.41721764,0.05338407,-0.76319063,-2.03444839,-0.56011909,-1.15284061,0.84730065,-0.47570702,-0.66965741,-0.78600055,-0.42045808,-0.75620413,-0.19737858,-0.46820909,-0.51709479,-0.28965148,-0.35623506,-0.44054517,-0.68692434,1.48577785,0.21959856,-0.57973534,-0.14497286,-0.13465258,-1.14807200,-14.28885460,-4.99590683,0,11:14:09.0,0,0
11,-0.58012962,-0.15392300,0.08963352,-0.62176627,0.08881450,0.15691537,-0.03435618,-0.32417351,0.05008653,-0.64451391,-2.03191090,-0.68322814,-2.05635357,0.55714136,-1.09372866,-0.38007578,-0.38231885,-0.11265364,-0.63489676,-0.15190463,-0.24300107,-0.42550799,-0.26696163,-0.21871784,-0.39244094,0.15773752,2.29204273,0.24665961,0.38139117,0.20976329,0.80994326,0.04328591,0.00000000,2.00789666,0,11:14:09.1,0,0
12,0.26833561,-0.15392300,0.05026025,-0.64537078,-0.15884033,0.19953534,-0.01904180,-0.32916635,0.05338407,-0.73237902,-0.40246311,-0.52272767,-0.99879599,-0.24952845,-0.33302897,-0.42897052,-0.38231885,-0.61627996,-0.79756904,-0.29605153,-0.57010585,-0.65809786,-0.35710996,-0.28101760,-0.42060950,-0.40600300,-0.00625700,-0.34171158,-1.73588634,0.39611691,-0.48672703,-0.47527462,0.00000000,-1.07057106,0,11:14:09.2,0,0
13,0.26833561,-0.15392300,0.36757818,-0.66073436,-0.15884033,0.07501333,-0.07549211,-0.29634830,-0.07626483,-0.63153327,-1.40389574,-0.39449665,-1.40695584,0.62262070,0.53558707,-0.10500567,-0.17123906,-0.00416533,-0.59228641,0.00083455,-0.02562214,-0.19287862,-0.19492440,-0.00955943,-0.34327522,0.11594392,0.11588485,-0.03492874,0.13787666,0.39611691,-0.75297642,-0.21449654,0.00000000,-0.92084795,0,11:14:09.3,0,0
14,1.27197886,-0.15392300,0.28962532,-0.60227960,0.08881450,0.19953534,-0.05238916,-0.43122348,0.00779433,-0.73250574,-7.14844322,-0.46848321,-0.90012300,1.74148452,-0.13646764,-0.21963412,-0.28014824,-0.37252760,-0.63489676,-0.02728502,-0.35088956,-0.17797297,-0.10086621,-0.14263591,-0.39298362,-0.10565148,-0.72466999,0.25569078,0.65043688,0.20976329,0.11957669,0.15018685,0.00000000,-0.89812517,0,11:14:09.4,0,0
15,4.08379841,-0.15392300,0.26214451,-0.65677816,0.08881450,0.12334155,-0.05681225,-0.41512939,-0.06822056,-0.76738936,-4.89477158,-0.50913602,-0.91818523,1.92822659,-0.23345752,-0.56592423,-0.68674052,-0.27003995,-0.67717987,-0.15190463,-0.25857595,-0.32781449,-0.25879544,-0.31183547,-0.41987246,-0.51213378,0.54187912,0.22411825,-0.12009770,0.02956375,-0.13465258,-1.70484352,0.00000000,-3.61470127,0,11:14:09.5,0,0
16,-0.58012962,-0.15392300,0.26278427,-0.72947133,-0.15884033,0.03436925,-0.10237007,-0.30229327,-0.15277013,-0.64631468,-0.88232005,-0.59836853,-1.31433141,3.05041361,-0.42905915,-0.42669505,-0.68674052,-0.47308555,-0.79756904,-0.19737858,-0.57010585,-0.51709479,-0.28611338,-0.26445663,-0.40941605,-0.06356113,2.85966325,0.58719456,0.71564072,0.02956375,0.30940318,-0.83358997,-10.50747585,-2.10897017,0,11:14:09.6,0,0
17,1.27197886,0.37074131,0.31280595,-0.73873085,0.08881450,0.04771471,-0.08396923,-0.30139616,-0.15277013,-0.71993595,0.18614875,-0.60943466,-1.01653814,2.44703412,-0.66234541,-0.21317367,-0.38231885,-0.16851127,-0.67717987,-0.15190463,-0.27741086,-0.42550799,-0.24791977,-0.18874407,-0.36978990,-0.26973101,2.88545775,-0.05745192,0.12493790,0.02956375,-0.13465258,-0.70080811,-10.50747585,-1.59057748,0,11:14:09.7,0,0
18,0.26833561,0.37074131,0.31280595,-0.74036366,0.08881450,0.19194935,-0.02982923,-0.32916635,0.04841315,-0.73286939,-0.04775656,-0.51445574,-0.79351819,0.84730065,-0.28740382,-0.87015289,-0.78600055,-0.42596442,-0.71914053,-0.10148009,-0.41172457,-0.27833787,-0.21674603,-0.23311682,-0.39829439,-0.26973101,2.26624131,0.08394061,-0.63265789,0.20976329,-0.14667274,-0.63677341,0.00000000,-0.20714007,0,11:14:09.8,0,0
19,0.26833561,-0.15392300,0.23237562,-0.66887414,0.08881450,0.07012796,-0.08865170,-0.31183273,-0.19725437,-0.73732841,-0.86746037,-0.52151394,-0.57294077,-0.31342965,-0.38505587,-0.75729799,-0.68674052,-0.41934383,-0.75620413,-0.05058938,-0.42441705,-0.13848665,-0.10224930,-0.13893704,-0.37171820,-0.61035997,2.91566920,0.34990671,-0.12009770,0.20976329,0.10788592,-1.54334474,-10.50747585,-5.15797186,0,11:14:09.9,0,0
