Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190212143055
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,  1y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,2000,1409,683,633,648,0,662,621,630,0,627,600,693,639,1414,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under
Analog Gain,72,72,6,6,31,31,6,6,6,6,15,15,30,30,31,31,31,31,7,7,15,15,6,6,7,7,7,7,7,7,6,6,12,12,7,7,14,14,12,12,12,12,7,7,7,7,22,22,6,6,6,6,6,6,62,62,6,6,98,98,6,6,31,31,6,6,31,31,6,6,6,6,7,7,15,15,24,24,31,31,6,6,6,6,12,12,15,15,7,7,12,12,7,7,31,31,31,31,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Digital Gain,1.00,1.00,100.00,1.00,37.12,51.36,28.82,59.04,100.00,100.00,4.01,9.60,3.14,10.96,45.97,46.17,13.93,100.00,2.36,3.62,1.28,21.18,1.99,2.35,1.59,29.93,2.26,52.48,3.01,4.68,2.53,4.21,2.79,1.00,3.68,6.10,2.45,1.00,1.98,100.00,4.73,5.83,4.33,5.62,2.68,4.14,3.12,5.00,1.78,3.47,100.00,100.00,1.25,30.72,6.59,1.00,100.00,100.00,40.35,1.00,34.40,73.69,41.65,56.30,100.00,100.00,100.00,100.00,100.00,1.00,89.04,100.00,3.32,6.85,3.55,10.72,2.10,7.20,3.15,6.62,2.98,3.46,1.09,19.70,1.17,21.69,2.25,5.02,2.20,3.81,1.34,100.00,1.53,26.69,2.80,3.35,3.32,5.06,1.36,2.00,1.08,2.54,1.23,52.73,7.87,100.00,71.70,100.00,100.00,100.00,100.00,100.00

Measurement Information
Date,2019/02/12 14:30:59
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.00000000,-0.24193977,0.22346917,0.07327424,-0.34336466,0.01189821,-0.16280584,-1.83240068,0.12843035,-0.30869529,-0.26047024,-0.09180935,0.05341137,0.09385891,-0.03643789,0.05107760,3.52755666,0.01151290,3.54569459,1.48892999,-0.06906046,-0.15444654,-0.19989528,-0.09233692,-0.07558259,1.47040915,0.28866473,-5.80316973,0.10550489,1.63268459,0.16338657,-0.18522632,0.00000000,-2.06742930,0,14:31:08.1,0,0
2,0.00000000,0.00000000,-0.61760008,0.07327424,0.30500621,0.10205187,-0.06212214,-1.72698033,2.36929941,-0.31015301,-0.24716337,-0.11860689,0.09770379,0.18084513,-0.06678309,0.02753269,-0.17411414,0.02538866,4.65039825,1.87991869,-0.06906046,-0.19565021,-0.23705967,-0.14578429,-0.06663924,0.89049232,0.28866473,-5.85861540,-0.37347412,1.49088299,-0.13516127,-1.00307906,-4.82746887,-4.51245403,0,14:31:08.2,0,0
3,0.00000000,-0.24193977,0.11601106,0.23553684,1.04696655,0.03021210,-0.19443686,-1.78119981,-4.35576248,-0.31015301,-0.24716337,-0.11761913,0.03087000,-0.07835214,-0.09177173,0.03927633,-0.17411414,-0.09040616,0.04001952,0.33466777,-0.19116719,-0.13534361,-0.19989528,-0.20130131,-0.09834970,-1.53431284,-0.31590065,-5.75120115,-0.93275046,1.08297396,-0.25192580,-0.36992207,0.00000000,-4.38374949,0,14:31:08.3,0,0
4,0.00000000,0.00000000,-0.22788127,0.21010292,1.04007268,0.04435615,-0.17626473,-1.96205628,0.25399792,-0.29686746,-0.30351919,-0.11435900,0.24126172,-0.01944488,-0.11216097,-0.01814308,0.02716083,-0.10629471,2.70510459,1.83612883,-0.23598252,-0.20390795,-0.25159827,-0.18974005,-0.10527594,1.47040915,0.25251335,-5.67026663,-0.33855084,3.31650996,0.20522195,-0.94442374,-2.52243400,-4.47508478,0,14:31:08.4,0,0
5,0.00000000,-4.05706072,0.30211586,-0.02837633,-0.18132111,0.05697586,-0.10694808,-1.78119981,-0.63640213,-0.31897438,-0.25156611,-0.10970733,0.00842056,-0.02840246,-0.13968858,-0.04249153,-0.28336969,-0.05753534,2.72638750,0.23837204,-0.10760960,-0.21141984,-0.27294615,-0.20056917,-0.14699273,-1.53431284,-0.45686615,-5.96013451,-0.93275046,1.49088299,-0.03637190,0.90624726,0.00000000,5.91941977,0,14:31:08.5,0,0
6,0.00000000,0.00000000,0.60555089,0.21010292,1.04007268,0.08999930,-0.06474189,-1.91398346,1.19720340,-0.28801054,-0.16505866,-0.09180935,0.04433898,-0.26848951,-0.07797629,0.04221307,2.02697611,-0.05816692,0.42145589,-0.46875113,-0.17459573,-0.22462429,-0.26948225,-0.17344649,-0.11858432,-0.79924625,-0.24576375,-5.83096218,-0.35283369,1.08297396,-0.09865035,0.11302943,-1.08505702,2.87252760,0,14:31:08.6,0,0
7,0.00000000,-0.24193977,0.41944608,0.07327424,0.39859566,0.17209271,-0.03633862,-1.72698033,1.66852963,-0.25131214,-0.23655204,-0.07337102,0.02098176,0.36024532,-0.01979791,0.09882171,2.08819127,0.02538866,2.80820584,-0.38962197,-0.01624211,-0.19764335,-0.23442563,-0.17372784,-0.09387492,-1.53431284,-0.21400875,-5.47943830,-0.85111105,2.57841730,-0.03637190,-0.41499332,0.00000000,0.64051098,0,14:31:08.7,0,0
8,0.00000000,0.00000000,-0.27217376,0.35048026,1.04007268,0.03021210,-0.11871983,-1.78119981,0.18851864,-0.26921305,-0.23655204,-0.06386090,0.16087539,0.46637419,-0.02250367,0.07308148,4.36677361,-0.00808047,4.12622166,0.98525542,-0.10760960,-0.10157444,-0.18231447,-0.10582424,-0.05572163,0.77041250,0.16445498,-5.59223270,0.18611346,1.49088299,-0.18549441,-0.76914763,-4.82746887,-4.38408613,0,14:31:08.8,0,0
9,0.00000000,0.00000000,-0.45816761,0.23553684,0.39859566,0.05803703,-0.09204911,-1.78119981,1.92524362,-0.25250554,-0.29391322,-0.07284805,0.14726135,0.05280254,-0.02250256,0.01916495,0.01408475,-0.03970697,2.76930976,1.91525793,-0.14744431,-0.13534361,-0.17711118,-0.11906369,-0.05738933,0.36582795,0.45963806,-5.45402002,-0.81403798,1.78189838,0.05579663,-0.86252141,-4.90017796,-4.38408613,0,14:31:08.9,0,0
10,0.00000000,0.00000000,-1.02517557,0.07327424,-0.34336466,0.11244820,-0.07997909,-1.78119981,2.04934287,-0.28377095,-0.20260948,-0.07390843,0.19602230,0.14916888,-0.03915723,0.02684774,2.00097179,-0.07344557,1.80663157,0.92330283,-0.18021336,-0.16739869,-0.19989528,-0.18998046,-0.10679704,-0.45787513,0.26151484,-5.64571714,-1.33009005,1.78189838,0.01426406,-0.14487362,-1.24708533,-3.22911644,0,14:31:09.0,0,0
11,0.00000000,0.00000000,-0.03185590,0.21010292,0.30500621,0.15364103,-0.07685766,-2.01076221,2.55887794,-0.31897438,-0.21385705,-0.10864968,-0.17616920,-0.26848951,-0.12379035,0.02684774,0.04895040,-0.09262031,0.05294224,1.43586302,-0.13581818,-0.11852811,-0.19989528,-0.11501864,-0.09281316,-1.53431284,-0.14518917,-5.85861540,-0.93275046,1.08297396,-0.25192580,-0.57956153,0.00000000,4.95124197,0,14:31:09.1,0,0
12,0.00000000,-0.24193977,0.20570081,-0.23078711,-1.30003226,0.05309104,-0.14995939,-2.07937813,-0.70266974,-0.35078129,-0.27295840,-0.12685427,0.01310650,0.09977261,-0.12825081,-0.01928746,0.03587742,-0.12009772,-0.02403544,0.88824266,-0.20505734,-0.22157665,-0.26224741,-0.20056917,-0.14184903,-1.53431284,-0.31322274,-6.01017570,-0.32644674,0.58022720,-0.09865035,-0.16573197,-1.08505702,-0.31048396,0,14:31:09.2,0,0
13,0.00000000,-0.24193977,-0.39932150,-0.06023557,-0.34336466,0.10374597,-0.14931399,-2.03218675,-0.50142449,-0.35078129,-0.30586258,-0.13146363,0.08011752,-0.31796613,-0.11470360,-0.00601390,0.03587742,-0.03970697,2.67538309,1.38335645,-0.10905639,-0.26103088,-0.29966691,-0.24447057,-0.17283791,-2.18268371,-0.41497749,-5.80316973,-1.45741475,1.21448410,0.01426406,0.42595744,0.00000000,8.54847336,0,14:31:09.3,0,0
14,0.00000000,-4.05706072,-0.57560879,-0.06023557,-0.34336466,0.13076209,-0.05205317,-1.93458247,2.04934287,-0.34350988,-0.41822323,-0.10024096,0.07530919,0.31011310,-0.05023250,0.05128546,4.40634489,-0.12265410,-0.00274884,1.46236014,-0.22089750,-0.17790800,-0.21353142,-0.21688393,-0.12351239,0.12204168,0.12927477,-5.75120115,-0.33855084,2.41043639,-0.18549441,-0.50002789,-7.13219452,-2.33357501,0,14:31:09.4,0,0
15,0.00000000,-0.24193977,0.30372170,0.10202703,-0.34336466,0.08891370,-0.10817351,-2.01076221,1.53678274,-0.32021046,-0.23591082,-0.10073788,-0.06493600,-0.36731878,-0.06161575,0.00552882,0.08852164,-0.07576257,0.08317660,0.33466777,-0.13581818,-0.21141984,-0.23522985,-0.15978448,-0.09281316,-2.18268371,-0.09834343,-5.64571714,-0.85111105,1.34925508,-0.18549441,-0.58776367,0.00000000,4.38261366,0,14:31:09.5,0,0
16,0.00000000,0.00000000,0.41515258,0.21010292,1.04007268,0.03856079,-0.17849731,-1.93458247,-0.09805748,-0.33334884,-0.28250521,-0.09657392,-0.07389358,-0.19570477,-0.05040971,0.01916495,0.09733602,-0.00606277,0.08317660,0.98525542,-0.05547293,-0.11852811,-0.18794258,-0.14306226,-0.10186227,-0.22398001,-0.45686615,-5.80316973,-0.35283369,2.24743056,0.06374753,0.11302943,0.00000000,-6.68847466,0,14:31:09.6,0,0
17,0.00000000,0.00000000,-0.02366537,0.21010292,0.30500621,0.03866197,-0.23668762,-1.93458247,-2.17660475,-0.33334884,-0.28693387,-0.11277343,0.05300535,-0.10557998,-0.06406292,0.01593630,0.06210967,-0.07348460,0.03143960,1.42707682,-0.14270315,-0.25300133,-0.27214271,-0.23003064,-0.15450129,-0.45787513,0.02472498,-5.93298769,-0.81752986,1.63268459,0.01426406,-0.70083904,-1.07914245,-3.29020810,0,14:31:09.7,0,0
18,0.00000000,0.00000000,0.26007336,0.23553684,1.04696655,0.15083018,-0.02357277,-1.93458247,3.11131120,-0.35371664,-0.30891725,-0.15696962,-0.07604057,-0.12819536,-0.15076385,-0.02905451,0.06210967,-0.12329994,1.74257660,1.40954709,-0.18579003,-0.23913433,-0.27294615,-0.13237059,-0.10599107,-2.76260042,0.27523154,-6.16142559,-1.33009005,1.21448410,-0.25192580,-0.30671370,-4.90017796,-2.04301071,0,14:31:09.8,0,0
19,0.00000000,0.00000000,0.08967227,0.10202703,0.30500621,-0.00629878,-0.22079931,-2.03218675,-4.22241974,-0.36775914,-0.27536502,-0.15791848,-0.00894724,0.09977261,-0.15295066,-0.01928746,-0.24428934,-0.10453440,1.74257660,0.29944143,-0.17511259,-0.22157665,-0.26401040,-0.14617816,-0.12408570,-2.18268371,-0.22612931,-5.61697054,-0.85111105,1.63268459,-0.18549441,-0.20924683,0.00000000,1.91586006,0,14:31:09.9,0,0
