Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190205145134
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,  1y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,1769,1273,698,642,608,0,647,612,670,0,592,579,633,604,1859,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,6,6,6,6,150,150,6,6,6,6,15,15,6,6,7,7,30,30,7,7,31,31,7,7,7,7,7,7,7,7,6,6,12,12,7,7,7,7,7,7,12,12,7,7,6,6,24,24,7,7,6,6,6,6,31,31,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,12,12,6,6,6,6,22,22,7,7,7,7,15,15,28,28,6,6,7,7,7,7,48,48,31,31,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Digital Gain,78.83,100.00,100.00,1.00,1.00,1.00,98.50,100.00,100.00,100.00,3.24,6.46,1.61,3.56,2.10,3.50,4.88,10.98,2.15,2.88,1.32,22.78,2.69,3.01,1.77,34.10,3.39,100.00,3.06,4.80,2.55,4.43,2.24,100.00,5.17,8.18,3.42,1.00,3.58,100.00,9.70,9.97,6.86,7.76,2.84,3.69,5.73,6.91,2.60,3.87,83.23,100.00,1.14,23.35,1.74,77.40,100.00,100.00,100.00,1.00,100.00,100.00,42.77,58.82,1.00,1.00,100.00,100.00,100.00,1.00,52.37,100.00,2.30,4.37,1.65,3.31,1.04,2.38,5.48,25.28,3.27,3.43,1.88,38.61,1.30,23.05,1.84,3.12,2.21,3.68,1.70,68.07,1.45,23.86,2.60,2.59,2.86,3.56,2.27,2.79,1.54,3.05,1.00,21.61,100.00,100.00,100.00,100.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/02/05 14:51:36
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,3.17263651,0.17232507,0.00000000,-0.11257750,-0.32024291,-0.14068069,-0.31171408,-0.33853045,-0.06058161,-0.29602751,-0.75958198,-0.01385995,0.09901226,0.06682404,-0.31298712,-0.19227877,-0.12841263,-0.43544382,-0.09030275,-1.21724498,-0.52769196,-0.21285291,-0.29578686,0.06445750,-0.13637722,-0.17512082,-0.19652577,0.12319006,1.26332617,0.00000000,-1.43330109,0.22047260,0.00000000,0.00000000,0,14:51:45.1,0,0
2,1.44354069,0.17232507,0.00000000,0.39998269,0.54830897,-0.24641189,-0.37589812,-0.34731659,-0.21512538,-0.31392843,-0.64638495,-0.02995294,-0.03451604,-0.58565992,-0.36973727,-0.25134620,0.54926795,-0.31742197,-0.12250837,1.81164312,-0.27699819,-0.10073168,-0.26717636,-0.33494884,-0.32260033,-1.09282851,-0.15269649,0.26727802,-0.85342306,-5.05188799,1.59284198,0.19125547,10.11376572,3.33239341,0,14:51:45.2,0,0
3,1.08739686,2.40434170,0.00000000,0.39998269,2.78032541,-0.19644862,-0.35171762,-0.33853045,-0.19222768,-0.29602751,-0.63283777,0.00051487,0.01896909,-0.23639484,-0.29837304,-0.24186690,1.18764353,-0.20850493,-0.01127846,2.41794705,-0.06631639,-0.14689013,-0.26014119,-0.04300274,-0.17552565,-0.13616081,-0.15362771,0.05880461,0.03512403,0.00000000,0.87142426,0.09193535,0.00000000,-0.32090563,0,14:51:45.3,0,0
4,-0.52070957,0.17232507,0.00000000,-0.71888119,-0.32024291,-0.24591996,-0.38259584,-0.33148873,-0.31976616,-0.26553643,-0.61833549,-0.00255649,-0.02763112,-0.20857000,-0.30929357,-0.19105804,0.24025719,-0.18950059,-0.04394874,-3.47183800,-0.17347331,-0.18076351,-0.28701916,0.06885865,-0.09748467,-0.17512082,0.14321373,0.08628181,0.73010868,-1.23676705,-0.71219301,-0.59612620,0.00000000,-7.15016890,0,14:51:45.4,0,0
5,-0.52070957,-3.64313745,0.00000000,-0.07593642,0.04121504,-0.17355742,-0.34293839,-0.33800998,-0.14711270,-0.28295681,-0.61833549,0.02864426,0.25285938,0.06682404,-0.26641268,-0.24387264,0.54926795,-0.20046325,-0.10871294,2.96226215,-0.13969339,-0.04750296,-0.21533431,-0.04300274,-0.20754506,0.42131811,-0.10068754,0.86397153,0.48794717,-7.28390455,0.63617432,-0.95676959,0.00000000,-8.77571106,0,14:51:45.5,0,0
6,1.82426918,-1.41129220,0.00000000,-0.08151446,1.26941717,-0.13900429,-0.32089654,-0.33800998,-0.06058161,-0.26553643,-0.66846764,0.02030289,-0.04573466,0.33296987,-0.29482189,-0.15215841,0.22183628,-0.35571766,-0.04394874,2.98047423,-0.30949962,-0.04750296,-0.22159846,-0.25526798,-0.28722119,-1.52348816,-0.26271671,0.08628181,-0.86031687,-7.28390455,-0.59202772,-0.01283216,0.00000000,1.02746177,0,14:51:45.6,0,0
7,-0.52070957,0.17232507,0.00000000,0.40948865,1.91177344,-0.21598579,-0.34919059,-0.32919562,-0.11198422,-0.28705531,-0.75509614,0.01413988,0.00557647,-0.58565992,-0.30965522,-0.25138241,0.18071179,-0.30821484,-0.07642592,1.82975030,-0.25096580,-0.12364601,-0.25414795,-0.12047248,-0.22743747,1.04555047,-0.31120059,0.04508898,0.99179167,0.00000000,0.87142426,0.22047260,0.00000000,0.00000000,0,14:51:45.7,0,0
8,0.75290155,2.40434170,0.00000000,0.40948865,1.91177344,-0.16048136,-0.33818495,-0.33800998,-0.11551338,-0.29602751,-0.68657482,0.00548259,0.14980154,-0.58565992,-0.32745293,-0.27713159,0.18071179,-0.27550787,-0.01127846,-1.21724498,-0.19544664,-0.19342496,-0.28387788,-0.16692285,-0.25189996,-3.30477643,-0.38903406,-0.17727907,0.03512403,0.00000000,0.87142426,-0.73454112,0.00000000,0.00000000,0,14:51:45.8,0,0
9,1.44354069,0.17232507,0.00000000,0.39998269,5.08505058,-0.23987816,-0.37122679,-0.32919562,-0.24964100,-0.30498511,-0.57390171,-0.04100981,-0.13068895,0.51481265,-0.36973727,-0.19862680,1.10556388,-0.50862724,-0.18636015,1.71746337,-0.61541086,-0.29213691,-0.33523956,0.00321725,-0.15388176,-0.18498553,0.03253647,0.45806605,-1.59538341,-5.05188799,-0.59202772,-0.94774675,0.00000000,-4.87113428,0,14:51:45.9,0,0
10,-0.52070957,6.21946239,0.00000000,1.63782811,0.86855191,-0.11676101,-0.29644713,-0.33102968,0.00868756,-0.26553643,-0.61372924,0.03407569,-0.03666227,-0.50689274,-0.28037149,-0.21510172,0.57216561,-0.23183699,-0.01127846,-3.45806527,-0.07833355,-0.10320018,-0.25712776,0.02572393,-0.17131642,-3.30477643,-0.25333980,-0.46850142,0.03512403,0.00000000,3.10344052,0.95692009,0.00000000,0.00000000,0,14:51:46.0,0,0
11,-1.21732855,0.17232507,0.00000000,0.84403849,2.85303426,-0.15200774,-0.30332419,-0.33102968,0.00478031,-0.28225338,-0.74293607,0.03159469,0.23475584,0.79498011,-0.25513047,-0.20189500,1.41259658,-0.28650108,-0.10871294,1.79807401,-0.35262167,-0.21285291,-0.26305225,0.07110300,-0.08771247,0.60579950,0.31362635,0.90502793,0.73010868,-1.23676705,-1.94039512,-0.36445266,0.00000000,-0.32090563,0,14:51:46.1,0,0
12,-0.18621427,2.40434170,0.00000000,0.99254996,5.72689486,-0.23284392,-0.36474469,-0.33102968,-0.28645143,-0.27388442,-0.66853857,-0.00255649,0.04143672,0.33296987,-0.30929357,-0.18920471,0.54014701,-0.40528455,-0.09030275,0.14477022,-0.44963109,-0.12658378,-0.26305225,-0.13492285,-0.21853791,-1.00005090,-0.19174945,0.32219794,-0.01185163,-1.23676705,0.63617432,-1.44704318,0.00000000,0.00000000,0,14:51:46.2,0,0
13,1.08739686,2.40434170,0.00000000,1.36610460,5.08505058,-0.12760463,-0.27686056,-0.32264668,0.07404948,-0.27388442,-0.77040172,0.00051487,0.10345430,0.30057436,-0.30965522,-0.22759186,0.83890122,-0.14147818,-0.07642592,-1.24892116,-0.08126955,-0.23608771,-0.31396213,-0.19070764,-0.21338944,-0.13616081,0.03699785,0.50361484,-0.01185163,-1.23676705,0.87142426,-0.13403612,0.00000000,-2.62563086,0,14:51:46.3,0,0
14,1.08739686,2.40434170,0.00000000,0.92204887,2.78032541,-0.21688434,-0.34261358,-0.33987173,-0.15909448,-0.29195830,-0.78402674,-0.03578549,-0.03010657,-0.01148183,-0.36673537,-0.28933987,0.48119792,-0.26016539,-0.09030275,2.33708358,-0.26591849,-0.22753577,-0.31730333,-0.03463601,-0.17380255,-1.52348816,0.33304948,0.07710761,-0.01185163,-5.05188799,-1.94039512,-1.36505258,0.00000000,-6.06062460,0,14:51:46.4,0,0
15,-0.48045623,-2.63949418,0.00000000,-1.44262922,-3.13206220,-0.15200774,-0.33414525,-0.34031728,-0.05063773,-0.29259747,-0.67752856,-0.03895446,0.03231589,0.46916896,-0.36984509,-0.26172739,0.79814911,-0.25845984,-0.07642592,-1.24892116,-0.14433724,-0.23608771,-0.30193466,-0.08899924,-0.20786251,-0.54811722,-0.34023568,0.07710761,-1.81698453,-5.05188799,-0.59202772,0.41119972,0.00000000,0.00000000,0,14:51:46.5,0,0
16,1.08739686,-1.41129220,0.00000000,0.39998269,0.54830897,-0.23950948,-0.35590911,-0.34221688,-0.21553870,-0.25967535,-0.64552629,-0.02781171,-0.13566296,-0.22252852,-0.33495715,-0.24387264,-0.20186497,-0.20158209,-0.04394874,1.06968284,-0.07833355,-0.16999015,-0.26906341,-0.11771207,-0.20513362,-2.00144482,-0.25333980,-0.11278597,-0.86031687,-5.05188799,-4.24512053,0.12868389,0.00000000,-0.32090563,0,14:51:46.6,0,0
17,1.82426918,-3.64313745,0.00000000,-1.44262922,-3.13206220,-0.18979515,-0.32516131,-0.29994088,-0.13418935,-0.25055060,-0.69604981,0.01800238,-0.02763112,-0.18994156,-0.32050672,-0.20547803,0.92132246,-0.37422690,0.03574868,1.17007458,-0.34785858,-0.06939131,-0.23805515,0.08365649,-0.06853051,0.19384311,0.05506766,0.18363343,-0.86031687,-5.05188799,-0.59202772,-0.55251986,0.00000000,0.00000000,0,14:51:46.7,0,0
18,1.44354069,-1.41129220,0.00000000,0.36254132,1.26941717,-0.11779479,-0.31614998,-0.32217276,-0.04487975,-0.26806524,-0.57383949,0.01726023,0.06854180,0.05295771,-0.30898997,-0.18920471,-0.19274403,-0.45590603,-0.05790724,1.13792229,-0.50442004,-0.12658378,-0.25110048,0.10402982,-0.09877096,-1.00005090,-0.11536247,-0.04752827,-0.01185163,-1.23676705,-0.71219301,0.69884914,0.00000000,-0.32090563,0,14:51:46.8,0,0
19,0.75290155,-1.41129220,0.00000000,-0.07593642,1.26941717,-0.24332380,-0.33414525,-0.32264668,-0.12421500,-0.25967535,-0.79767454,0.03353061,0.37795338,-0.26870874,-0.28430665,-0.26505578,-0.21097083,-0.41168082,-0.16815203,2.40437794,-0.55788958,-0.18974358,-0.28097236,-0.04988101,-0.14498220,0.80014676,0.28252548,0.79646194,0.48794717,-5.05188799,0.36463991,-0.63125831,0.00000000,0.48058641,0,14:51:46.9,0,0
