Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190212135829
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,  1y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,2000,1409,803,704,608,0,607,588,700,0,607,588,618,595,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under
Analog Gain,31,31,6,6,144,144,6,6,6,6,31,31,15,15,48,48,31,31,6,6,28,28,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,22,22,6,6,6,6,6,6,7,7,124,124,6,6,6,6,31,31,6,6,31,31,6,6,6,6,62,62,62,62,7,7,15,15,6,6,6,6,12,12,6,6,7,7,6,6,6,6,31,31,31,31,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Digital Gain,77.58,1.00,100.00,1.00,100.00,100.00,100.00,100.00,100.00,100.00,16.24,40.87,4.09,13.92,1.73,3.10,5.98,23.68,1.68,2.90,1.07,16.39,2.02,2.59,1.71,32.29,3.31,78.01,4.26,7.29,4.12,7.72,3.18,100.00,7.39,12.44,2.71,100.00,2.36,75.44,9.98,11.38,5.27,6.73,2.55,3.29,3.64,4.97,2.34,3.26,20.99,36.73,1.36,28.35,1.62,20.30,1.00,1.00,1.00,1.00,100.00,100.00,26.38,58.86,100.00,100.00,15.74,42.72,100.00,1.00,100.00,100.00,7.55,13.99,5.70,20.77,2.38,5.84,2.50,4.81,1.56,1.90,1.41,29.46,1.23,25.46,11.92,24.74,2.94,5.34,1.29,34.72,1.14,25.99,3.41,3.54,2.59,3.79,1.46,1.82,1.91,3.54,1.12,27.13,14.84,100.00,100.00,100.00,100.00,1.00,100.00,100.00

Measurement Information
Date,2019/02/12 13:58:31
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,-0.23763946,3.47052646,2.06752110,2.64145708,3.26563168,-0.23624165,-0.51285225,0.14914520,-0.02426669,-0.46458626,-0.49689272,-0.29440895,-0.13457850,-0.64579618,-0.42074883,-0.51686215,-0.56404006,-0.15106833,-0.40032288,-0.88755327,-0.40127441,-0.57284272,-0.46002510,-0.46891883,-0.34378922,-0.42148694,-0.36203954,-0.18719600,0.00000000,0.00000000,-0.08589668,-1.07469535,0.00000000,-0.72067946,0,13:58:40.1,0,0
2,0.61593610,-0.34510729,5.88264227,-0.55891544,-1.27111006,0.02345860,-0.51498324,0.10175605,-0.06065016,-0.47015467,-0.62891948,-0.35271278,-0.61756289,0.26783448,-0.54680139,-0.46630907,0.35271710,-0.34031478,-0.71031386,-0.49524182,-0.65919954,-0.63112086,-0.47498047,-0.55268133,-0.42604950,-0.42148694,0.24617216,-0.20949987,0.00000000,-13.44042110,-0.36803678,0.06419042,-0.89413792,0.17365113,0,13:58:40.2,0,0
3,-0.61473352,1.23851001,-1.51286280,1.74596465,2.38198256,0.08737157,-0.28381264,0.09460266,0.34552392,-0.47522563,-0.52262014,-0.35189325,0.09786586,-0.94390815,-0.47523904,-0.58613151,-1.01935685,-0.30429274,-0.08985443,-0.33365551,-0.65325314,-0.64447635,-0.49245033,-0.62168729,-0.46740595,-0.42148694,0.13328952,-0.16864645,0.00000000,-13.44042110,-0.36803678,-0.19344811,-3.72921681,0.11433034,0,13:58:40.3,0,0
4,-0.97204840,7.28564739,0.79217207,2.03515339,-2.53120089,-0.18707514,-0.44913802,0.22482476,-0.18491004,-0.41458753,-0.73637956,-0.28252053,0.01094524,-0.24251145,-0.43847719,-0.47237793,-0.60391599,-0.11989785,0.33896643,0.11018722,-0.41296431,-0.54520190,-0.43627846,-0.36591426,-0.30406380,-0.42148694,0.23377715,-0.16480142,0.00000000,0.00000000,1.26247072,-0.21175013,0.00000000,-0.11554462,0,13:58:40.4,0,0
5,-0.61473352,-1.57330942,-3.81758809,-1.17400551,-2.78184724,-0.61992437,-0.51999015,0.16015162,-0.39721903,-0.42618546,-0.59813684,-0.24737392,-0.01727633,0.35423207,-0.39816338,-0.33865902,0.11522028,-0.34142995,-0.43861824,-0.07101986,-0.56943667,-0.57584161,-0.45055068,-0.40800765,-0.33828419,-0.31849751,0.03485631,-0.15130955,0.00000000,0.00000000,-0.58963782,0.02429124,-1.49720049,0.17495900,0,13:58:40.5,0,0
6,-0.61473352,-2.57695270,-1.51286280,-1.29398203,-2.85472727,-0.81461245,-0.64191782,0.15948015,-0.50402248,-0.43415368,-0.55798465,-0.23482367,-0.24521798,0.04759773,-0.37934047,-0.34340009,-0.16553509,-0.28348514,-1.13380527,-0.63747436,-0.49733058,-0.54568362,-0.43282753,-0.40864462,-0.28570905,-0.42148694,-0.42504480,-0.20467854,0.00000000,0.00000000,1.26247072,-0.93194050,0.00000000,-0.71307445,0,13:58:40.6,0,0
7,0.17261969,-0.34510729,2.06752110,0.05428209,1.03361523,-0.11745916,-0.47539318,0.19547720,-0.10954773,-0.42569837,-0.57905596,-0.22529763,0.00526504,-0.41819865,-0.37913245,-0.44153783,-0.58005476,-0.15087236,-0.40032288,-0.42997080,-0.40127441,-0.52451169,-0.42408514,-0.36184210,-0.28479907,-0.31849751,0.12364464,-0.15130955,0.00000000,0.00000000,-0.36803678,-0.46186996,-0.89413792,-0.08595278,0,13:58:40.7,0,0
8,-0.61473352,-0.34510729,-3.81758809,0.78934866,-0.55000204,-0.47899354,-0.57249665,0.14016987,-0.21071313,-0.44683847,-0.55798465,-0.23322242,0.14221846,-0.06537929,-0.33920270,-0.45477811,-0.26550347,-0.05266674,0.20595327,-0.67680341,-0.27557129,-0.59687954,-0.47089028,-0.44398990,-0.31815854,-0.42148694,-0.07045493,-0.16480142,0.00000000,0.00000000,-0.36803678,-0.37341073,1.33787847,-0.25725579,0,13:58:40.8,0,0
9,0.17261969,-0.34510729,5.88264227,-1.20039248,1.03361523,0.21847899,-0.30433455,0.12460025,0.19669189,-0.45992899,-0.47318691,-0.30287838,-0.37192035,-1.16467810,-0.46187434,-0.53651500,-1.97597277,-0.11989785,0.33896643,-0.45183200,-0.36758429,-0.51641971,-0.43836021,-0.49420840,-0.36650681,-0.31849751,-0.03026000,-0.18270233,0.00000000,0.00000000,-0.58963782,-0.64214039,-1.49720049,-0.20073190,0,13:58:40.9,0,0
10,-0.61473352,-2.57695270,-3.81758809,-1.20039248,-1.77820420,-0.89479429,-0.68526804,0.12496208,-0.42428014,-0.46970752,-0.58173132,-0.31138474,-0.23586607,-0.09540230,-0.41712913,-0.42699832,0.02377542,-0.21298707,-0.06468268,-0.48228198,-0.48765138,-0.60457194,-0.48583320,-0.52493006,-0.40008849,-0.42148694,-0.07753433,-0.19611724,0.00000000,-13.44042110,-1.32470441,-0.10651515,-3.72921681,-0.04108943,0,13:58:41.0,0,0
11,-0.61473352,-2.57695270,2.06752110,-1.78030920,-5.08657265,-0.82803905,-0.72786593,0.16813855,-0.45541501,-0.44357583,-0.64085716,-0.26434407,0.01985236,-0.65870583,-0.42074883,-0.55913353,-1.94027245,-0.18360507,-0.04359178,-0.71150357,-0.47522184,-0.64935893,-0.48583320,-0.49751681,-0.35626358,-0.42148694,0.12960197,-0.17375898,0.00000000,0.00000000,-0.58963782,-1.07469535,2.31792068,-0.58322918,0,13:58:41.1,0,0
12,0.17261969,1.23851001,5.88264227,0.18304494,0.96090639,-0.59289807,-0.55442196,0.17053294,-0.38186708,-0.41246468,-0.49287331,-0.20797879,-0.15057871,-0.38779664,-0.32133436,-0.40584359,-0.56404006,-0.05588313,0.01587557,-0.64623255,-0.25866252,-0.59401464,-0.44072935,-0.39001617,-0.30955192,-0.42841160,-0.33498684,-0.20467854,0.00000000,0.00000000,-3.39426517,-0.33523214,0.00000000,-0.35920525,0,13:58:41.2,0,0
13,-0.61473352,1.23851001,-1.58557177,0.05428209,1.03361523,-0.33733192,-0.53754783,0.25847465,-0.23613067,-0.40077490,-0.59813684,-0.20865391,-0.05807319,-0.84488136,-0.32043123,-0.46601591,-1.91233861,-0.15409166,-0.85479701,-0.22952561,-0.41656899,-0.57284272,-0.43282753,-0.37166142,-0.29147801,-0.31849751,-0.05948963,-0.13784055,0.00000000,0.00000000,1.21549499,-0.46186996,0.00000000,-0.18685639,0,13:58:41.3,0,0
14,-0.23763946,-0.34510729,-0.16449547,0.18304494,-1.27111006,0.43750420,-0.26735437,0.21516119,0.29160109,-0.40876147,-0.50719488,-0.25653812,-0.53262198,0.15324153,-0.46470690,-0.37926033,0.11522028,0.00782409,0.40713188,-0.39042261,-0.27557129,-0.50347370,-0.40316990,-0.43639272,-0.32299891,-0.42148694,0.08316486,-0.12876818,0.00000000,0.00000000,0.36702976,-1.14977312,5.15299940,-0.72599876,0,13:58:41.4,0,0
15,-0.61473352,-1.57330942,-0.16449547,-0.55202162,-0.55000204,-0.31349704,-0.49748072,0.23438938,-0.20899232,-0.40077490,-0.53893685,-0.23812146,-0.34943429,-0.03953741,-0.40327579,-0.39596555,0.39259300,-0.11693288,-0.18572937,-0.24266398,-0.41421303,-0.58366603,-0.41248792,-0.39814016,-0.30415756,-0.42148694,0.12364464,-0.19567701,0.00000000,0.00000000,-0.58963782,-0.09499454,2.31792068,0.37554917,0,13:58:41.5,0,0
16,-0.61473352,3.47052646,-1.51286280,2.03515339,3.26563168,-0.16427119,-0.34814176,0.25480786,-0.00060987,-0.42206147,-0.56276566,-0.24715607,-0.21803769,-0.03953741,-0.39816338,-0.37957853,0.11522028,-0.18500781,-0.62975556,-0.62870288,-0.44747335,-0.49199453,-0.40233469,-0.47723654,-0.36804858,-0.42148694,-0.57901913,-0.15130955,0.00000000,0.00000000,1.21549499,-0.69791132,2.83507895,-0.29794249,0,13:58:41.6,0,0
17,-0.61473352,-1.57330942,-0.16449547,-0.66144532,-1.43348002,-0.70172393,-0.53754783,0.23818824,-0.34448341,-0.43840268,-0.54987866,-0.27677685,-0.08435217,0.11440648,-0.42074883,-0.41362250,0.35271710,-0.14980984,-0.02241977,-0.12304267,-0.47522184,-0.63112086,-0.47162232,-0.51860392,-0.38863161,-0.42148694,-0.05613521,-0.11961057,0.00000000,0.00000000,-1.93800521,-0.69791132,2.31792068,-0.26942864,0,13:58:41.7,0,0
18,-0.23763946,-1.57330942,-0.16449547,-1.20039248,-4.08292961,-1.05921161,-0.76723856,0.23438938,-0.68343079,-0.45992899,-0.54512596,-0.28147790,-0.33483520,-0.44410145,-0.42117691,-0.49926230,-1.43965435,-0.28348514,-1.16788733,-1.13592243,-0.41656899,-0.59626603,-0.44139856,-0.49358827,-0.37484789,-0.42148694,-0.22501251,-0.24503246,0.00000000,0.00000000,-0.08589668,-0.78355402,0.00000000,-0.89874142,0,13:58:41.8,0,0
19,-0.97204840,-0.34510729,-3.09648013,0.05428209,0.79836535,0.33134946,-0.26556349,0.24576597,0.30216616,-0.41723070,-0.55798465,-0.23002389,-0.05316279,-0.22960182,-0.39710420,-0.43712115,-0.60391599,-0.05588313,0.01587557,-0.42121261,-0.29129735,-0.51641971,-0.38990158,-0.43404105,-0.32041147,-0.42841160,0.22079626,-0.16028908,0.00000000,0.00000000,-1.93800521,-0.87818176,2.31792068,-0.28952330,0,13:58:41.9,0,0
