Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190205141758
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,  1y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,2000,1409,713,651,673,0,647,612,665,0,632,603,688,636,1324,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under
Analog Gain,12,12,6,6,44,44,6,6,6,6,24,24,7,7,7,7,31,31,7,7,15,15,6,6,6,6,7,7,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,6,6,15,15,6,6,31,31,6,6,15,15,6,6,72,72,6,6,31,31,6,6,31,31,6,6,6,6,22,22,6,6,6,6,15,15,7,7,6,6,7,7,31,31,7,7,7,7,7,7,31,31,31,31,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Digital Gain,61.44,1.00,100.00,1.00,100.00,100.00,100.00,100.00,100.00,100.00,4.41,10.84,3.59,10.54,2.39,4.29,9.27,42.79,3.28,4.42,1.69,34.82,2.52,2.97,1.96,35.00,2.08,42.89,3.76,6.02,3.37,6.03,3.26,100.00,6.51,9.64,6.25,1.00,2.78,100.00,8.23,9.92,5.04,6.85,2.86,3.77,4.54,6.94,2.70,4.00,1.00,1.00,1.69,42.01,1.66,98.99,100.00,100.00,6.47,1.00,100.00,100.00,39.24,55.72,100.00,100.00,100.00,100.00,100.00,1.00,82.60,100.00,2.87,6.15,1.67,3.90,1.31,2.72,4.27,7.08,3.77,4.53,1.15,20.56,1.41,22.15,3.05,3.99,2.66,4.66,2.20,100.00,1.30,22.55,4.38,4.50,3.39,5.48,1.41,1.78,1.25,2.28,1.09,27.68,20.77,100.00,100.00,100.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/02/05 14:18:00
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,-0.27921319,0.00000000,2.24741840,0.08304698,-0.93799883,-0.35444012,-0.38591349,0.19358936,-1.67244565,-0.11755591,-0.29326394,-0.24773476,-0.32416132,-0.02911646,-0.47026592,-0.19002566,0.00242011,0.19245629,-0.03056428,0.00441570,0.01550753,-0.04013384,-0.32248667,0.00471983,-0.14080952,-7.14728212,0.01921000,0.15405552,3.53289294,2.31108427,-0.49776840,0.58278650,-1.83132350,0.46942115,0,14:18:09.1,0,0
2,-0.55969751,0.00000000,0.66380101,0.59560716,3.59874320,-0.25485063,-0.27001393,0.17198823,-0.89865243,-0.11801909,-0.23312521,-0.24470204,-0.40818611,0.10700334,-0.50927448,-0.14183857,2.15132213,0.14981090,0.01727702,1.02787280,-0.00974207,0.02280199,-0.27830592,0.06621721,-0.10343974,-7.10432100,0.05480885,0.16607636,0.60090822,-2.05146241,0.88566899,0.13803597,-1.12196076,1.21138155,0,14:18:09.2,0,0
3,-0.55969751,-6.28328991,3.13106775,-0.98795283,-2.44873619,-0.26550800,-0.23084085,0.16069652,-0.66067719,-0.12848380,-0.20515899,-0.22998144,-0.48756933,-0.03954880,-0.49659410,-0.10979348,0.80295473,0.14602971,-0.00667084,0.97525704,-0.04510985,-0.01479583,-0.27830592,0.00051412,-0.14340353,-7.24935532,0.14524525,0.34825364,-0.62729388,-2.44508576,0.01479182,0.06720527,0.70936280,0.78786147,0,14:18:09.3,0,0
4,-0.55969751,0.00000000,4.47943497,0.08304698,-0.93799883,-0.19998194,-0.17728370,0.16069652,-0.46618176,-0.12848380,-0.23780112,-0.22651714,-0.45036417,-0.19186889,-0.51661789,-0.17369847,0.05076843,0.07453530,-0.03056428,0.53120130,-0.00974207,0.02280199,-0.25107804,0.03842745,-0.14594644,-6.95845270,0.25425610,0.15405552,2.18452549,1.89039195,1.12783039,0.09541154,0.70936280,-4.14033937,0,14:18:09.4,0,0
5,-0.55969751,-4.05127335,0.89905119,-1.62783790,-1.54176545,-0.11075799,-0.10047797,0.14866240,-0.11667230,-0.13060734,-0.17328890,-0.21834901,-0.21047492,-0.37622771,-0.51817757,-0.21891077,0.03620718,0.06869734,-0.08189899,-0.03347655,-0.09416982,-0.05239606,-0.28913733,-0.03449524,-0.17473207,-6.12404776,-0.59678537,-0.27836287,2.11181641,1.69456112,0.38587004,0.70572025,0.00000000,0.00000000,0,14:18:09.5,0,0
6,-0.55969751,-6.28328991,2.24741840,-0.98795283,-2.44873619,-0.45060638,-0.40172359,0.13018103,-1.37937713,-0.14316623,-0.21010906,-0.26816541,-0.51310897,0.07403481,-0.60947150,-0.27451044,0.69271785,-0.01731297,-0.27504566,0.82962078,-0.26572615,-0.10230698,-0.32518852,-0.09009092,-0.23864350,-7.83874035,0.19672923,0.27667350,-0.28256971,-2.44508576,1.39822924,-0.49888262,4.36245537,-2.65658021,0,14:18:09.6,0,0
7,-0.55969751,-0.23615207,2.24741840,0.45974618,1.13147664,-0.12618615,-0.14279512,0.12537761,-0.46382260,-0.14259396,-0.18251699,-0.27342397,-0.13243884,0.11964680,-0.54713935,-0.24632420,0.70699000,0.11582828,-0.12888911,1.56237328,-0.00924482,-0.08817913,-0.31978697,-0.00749927,-0.16306470,-7.24935532,0.44001022,0.11420861,0.60090822,2.01833200,0.15060246,-0.82105738,0.00000000,4.50475359,0,14:18:09.7,0,0
8,-0.55969751,0.00000000,2.24741840,0.45974618,1.36672652,0.00683733,-0.02634267,0.11555390,0.33346763,-0.13060734,-0.26095003,-0.19147465,-0.06651536,0.31708950,-0.48112407,-0.15553151,2.15132213,0.04456030,-0.05430535,0.47908366,-0.11007558,-0.00149246,-0.24435282,0.06166403,-0.10101499,-7.24935532,0.28549567,0.13810207,0.60090822,2.41270065,0.15060246,-0.29496199,-1.12196076,0.20238589,0,14:18:09.8,0,0
9,-0.55969751,-4.05127335,2.24741840,-1.02153409,-2.52161598,-0.16886638,-0.18414706,0.11823931,-0.21056336,-0.12218781,-0.17328890,-0.19080459,-0.23770498,0.16042554,-0.49611044,-0.19002566,2.13200665,0.04202636,-0.10542015,1.30067205,-0.16324377,-0.06491232,-0.27001992,-0.02229444,-0.13557945,-6.99715185,0.37770662,0.32827958,-1.13103497,2.01833200,-1.07768524,0.00217761,-1.83132350,3.46393371,0,14:18:09.9,0,0
10,-0.27921319,0.00000000,4.47943497,0.59560716,1.36672652,-0.36796841,-0.31663379,0.10830546,-1.38739002,-0.12218781,-0.27025113,-0.20865694,-0.22905755,-1.06207454,-0.51476294,-0.27259782,0.05076843,0.08783379,0.01727702,-1.36755419,-0.05927823,-0.06704545,-0.27732670,-0.03385321,-0.14340353,-6.64496040,-0.04400176,0.20625174,0.60090822,2.30422926,-0.45570126,-0.69169033,-1.12196076,0.00000000,0,14:18:10.0,0,0
11,-0.55969751,-4.05127335,3.13106775,-0.06491812,-0.09672549,-0.47991270,-0.37521198,0.09453266,-1.53489590,-0.13898155,-0.20554844,-0.24717365,-0.28898752,0.15020259,-0.57736540,-0.16838755,3.10798955,-0.06029007,-0.08189899,1.58552217,-0.21404111,-0.06910139,-0.28378025,-0.04130504,-0.16823231,-6.86503887,0.25425610,-0.00752396,-0.62729388,1.33880305,-0.49776840,0.15634975,0.00000000,-1.84153354,0,14:18:10.1,0,0
12,-0.27921319,0.00000000,1.62046862,1.43134558,3.67176151,-0.20005435,-0.17689972,0.06256743,-0.38955307,-0.15363096,-0.26036629,-0.25354522,-0.16850188,0.54846817,-0.59305370,-0.19845043,4.88709927,-0.09152006,-0.15221076,1.51163852,-0.26946306,-0.08164337,-0.32785895,-0.11157875,-0.23319891,-7.12650681,0.50391924,0.55621660,-0.17436737,-2.51401758,1.10721838,-0.62000215,-0.32732099,-4.65335274,0,14:18:10.2,0,0
13,-0.55969751,-4.05127335,4.47943497,-1.10317361,-2.52161598,-0.38251698,-0.33279890,0.05347628,-1.07597423,-0.17168705,-0.28307495,-0.21455364,-0.40818611,-0.20295221,-0.53150618,-0.29486352,-1.61200750,0.00991023,-0.10542015,0.76962644,-0.10366245,-0.09000017,-0.30101761,-0.16343777,-0.23809327,-5.61028147,-0.24058889,-0.45992249,2.17255592,1.17260611,0.38587004,1.10437870,0.00000000,0.00000000,0,14:18:10.3,0,0
14,-0.83081883,0.00000000,2.24741840,-0.49686980,-0.93799883,-0.16498780,-0.15345350,0.09717444,-0.46618176,-0.14316623,-0.27025113,-0.16072923,-0.27520606,-0.10649758,-0.41744459,-0.17185870,-1.53555775,0.01745690,-0.00667084,-0.09912339,-0.06093104,-0.09228355,-0.28637901,-0.09355463,-0.18276764,-7.20984411,-0.68464768,-0.43170229,2.17255592,2.22215867,0.27936527,0.57620871,0.70936280,0.00000000,0,14:18:10.4,0,0
15,-0.55969751,-6.28328991,0.89905119,-1.50051308,-4.75346136,-0.02502610,-0.06297421,0.10703328,0.07528228,-0.10953274,-0.09413110,-0.17256533,-0.53840375,0.08622307,-0.44188023,-0.14617728,-1.47267008,-0.03502810,-0.00667084,0.49327010,-0.18777357,-0.00294046,-0.23053399,0.00852405,-0.10343974,-5.86154556,0.00102559,-0.15746666,-0.12019970,2.43807936,-0.45570126,0.40739384,0.00000000,0.00000000,0,14:18:10.5,0,0
16,-0.55969751,-4.05127335,2.24741840,-0.98795283,-1.44509292,-0.30392686,-0.27001393,0.11626913,-0.89865243,-0.12218781,-0.19109333,-0.19431055,-0.20754108,-0.06535036,-0.47770289,-0.17737012,0.03620718,0.06046929,-0.05430535,1.94446945,-0.11948728,-0.00592416,-0.22926775,-0.04495232,-0.13388386,-6.72828388,0.51138008,0.03285849,-1.63093710,2.14532828,-1.07768524,-0.21107933,-4.86437321,-4.04704905,0,14:18:10.6,0,0
17,-0.55969751,-6.28328991,2.24741840,-1.50051308,-3.74981833,-0.23542610,-0.25467232,0.13018103,-0.81683421,-0.12218781,-0.03920231,-0.17033648,-0.18086267,-0.08599417,-0.44541758,-0.17737012,0.05076843,0.06046929,-0.03056428,1.24917519,-0.09416982,-0.04812301,-0.26468059,-0.03783648,-0.13041036,-5.00813293,0.09516278,0.25899827,2.18452549,2.16950130,-0.46259511,0.07481257,0.00000000,0.00000000,0,14:18:10.7,0,0
18,-0.55969751,-4.05127335,2.24741840,-1.02153409,-3.74981833,0.10157569,0.04935121,0.13018103,0.62521654,-0.12218781,-0.18709677,-0.23240599,-0.63762951,0.00919489,-0.50927448,-0.23404795,-1.54999185,0.10598323,-0.08189899,0.84351015,-0.06904363,-0.08178719,-0.28656825,-0.07584928,-0.16746597,-6.08468533,0.05480885,-0.17780964,-1.70381701,1.89039195,1.73413408,0.07481257,3.01408815,-1.83561385,0,14:18:10.8,0,0
19,-0.83081883,-4.05127335,0.66380101,-1.02153409,-3.74981833,-0.11094577,-0.08321239,0.12537761,0.10804877,-0.12848380,-0.23302560,-0.24414359,-0.41524461,0.25562942,-0.57569593,-0.18574400,2.10310102,0.03139946,-0.17931916,1.14760435,-0.13811758,-0.18954891,-0.35190928,-0.12121624,-0.21448325,-5.34599686,0.02808807,0.21437259,1.94927561,-2.74363661,0.15060246,-0.32132190,0.00000000,0.20238589,0,14:18:10.9,0,0
