Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190418131148
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,2000,1409,923,775,633,0,602,585,665,0,657,618,2000,1409,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Signal Check Result,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Under,Under,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,24,24,6,6,12,12,6,6,6,6,48,48,31,31,6,6,48,48,6,6,6,6,6,6,6,6,12,12,7,7,7,7,15,15,6,6,6,6,6,6,6,6,49,49,62,62,15,15,24,24,6,6,72,72,6,6,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,62,62,49,49,124,124,56,56,6,6,6,6,6,6,24,24,7,7,6,6,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Digital Gain,71.33,1.00,100.00,1.00,55.22,74.52,100.00,100.00,100.00,100.00,18.77,37.16,55.66,1.00,100.00,100.00,1.00,1.00,1.00,1.00,100.00,1.00,1.45,2.58,1.16,20.80,2.27,62.85,2.67,4.21,3.38,5.90,2.23,1.00,3.17,4.84,1.47,36.54,100.00,1.00,2.32,3.03,1.00,1.00,100.00,100.00,3.91,6.90,2.85,9.68,100.00,100.00,1.00,1.00,1.00,1.00,100.00,100.00,1.00,1.00,100.00,100.00,52.62,100.00,100.00,100.00,19.56,27.10,100.00,1.00,100.00,100.00,8.80,16.10,13.73,31.75,1.00,1.00,1.00,1.00,2.07,3.96,1.52,31.38,1.00,14.76,2.04,3.77,2.26,3.67,1.09,27.65,1.27,30.15,1.35,2.10,55.22,100.00,48.56,100.00,34.71,81.71,1.00,1.00,1.00,1.00,100.00,100.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/04/18 13:11:53
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,-0.45520630,-4.46550989,-0.23151879,0.09895020,0.67442197,1.33013415,3.31683779,-0.06636943,0.00000000,0.00000000,-1.80800784,-0.04397272,-0.22100349,-0.85018969,-0.38120341,-0.48162106,-0.26702896,-0.26911762,0.05663843,-0.29885390,-0.25188723,0.00000000,0.00000000,-0.23321728,0.21542487,-0.68542552,0.00000000,0.00000000,5.07965708,0.00000000,-2.07523394,0.27388439,-0.73970926,0.16333330,0,13:12:02.1,0,0
2,0.19048710,1.58162773,0.07164691,1.19137681,0.58418751,0.48490027,1.21167004,1.90387857,-11.86356831,0.00000000,4.23912954,-0.05790282,-0.18588060,0.59513468,-0.41842958,-0.44685203,-0.30096489,-0.30483982,0.51747298,-0.70680416,-0.29896471,0.00000000,0.00000000,-0.25584361,0.41884935,-0.17503037,0.00000000,0.00000000,0.16128761,0.00000000,-1.28093624,-0.05214691,-0.36857444,-0.11750233,0,13:12:02.2,0,0
3,1.33380759,0.00000000,0.54400903,2.70187402,1.55805433,-0.94754094,4.67859888,-1.02303708,0.00000000,0.00000000,-1.80800784,-0.04076647,-0.03970693,-0.12405839,-0.38836426,-0.46487972,-0.24755974,-0.34453124,-0.17033100,-0.70680416,-0.33460701,0.00000000,0.00000000,-0.09086884,0.51035005,0.50079495,0.00000000,0.00000000,5.07965708,0.00000000,3.97190356,2.41545701,0.87743205,-0.30224863,0,13:12:02.3,0,0
4,-0.14179358,0.00000000,0.97485793,2.33085299,0.76171833,0.05507021,-1.81373179,-0.44312024,0.00000000,0.00000000,0.42400864,-0.07167562,-0.20807700,0.65515059,-0.45363000,-0.50574470,-0.35385686,-0.31888166,0.24123102,-0.70680416,-0.32316664,0.00000000,0.00000000,-0.14749327,0.39557201,-0.09122585,0.00000000,0.00000000,-0.67998564,0.00000000,-0.00575844,-0.31047788,-0.26207227,-0.24870509,0,13:12:02.4,0,0
5,-1.80653465,-4.46550989,-0.61111891,-0.48096654,0.28273937,-0.59836507,-2.09705591,-0.32805234,-6.81296730,0.00000000,2.78566885,-0.01052575,0.00402140,-0.13297962,-0.29514405,-0.49247184,-0.31061429,-0.23571086,0.33894721,-0.29885390,-0.21750653,0.00000000,0.00000000,-0.13028646,0.39557201,-0.12614913,0.00000000,0.00000000,1.38948965,0.00000000,-0.00575844,1.36992264,0.12961034,0.50467980,0,13:12:02.5,0,0
6,-1.56292486,1.58162773,-0.31881174,0.96982741,0.28273937,0.06969197,-3.40773892,0.51354736,0.00000000,0.00000000,0.42400864,-0.01026154,-0.19397993,-0.08370446,-0.33327478,-0.41852573,-0.26702896,-0.22129767,0.10873768,-0.70680416,-0.20973444,0.00000000,0.00000000,-0.15410711,0.30431995,-1.21008980,0.00000000,0.00000000,-0.96748054,0.00000000,0.15678258,-0.69663459,0.29751524,-0.19398250,0,13:12:02.6,0,0
7,-0.45520630,-2.23349333,-0.04012019,-0.37154287,-0.60188025,1.03951502,2.50866866,1.16191816,0.00000000,0.00000000,4.23912954,0.01198743,-0.07359366,-0.62552941,-0.29388753,-0.48221147,-0.24755974,-0.20682602,0.25352579,-0.29885390,-0.21936661,0.00000000,0.00000000,-0.19578816,0.30431995,-0.07912178,0.00000000,0.00000000,1.26453590,0.00000000,-2.07523394,-0.57551104,-0.73970926,-0.22702816,0,13:12:02.7,0,0
8,-0.14179358,-4.46550989,0.27193314,0.09895020,0.23385814,0.07747067,-2.45798349,-0.44312024,0.00000000,0.00000000,0.42400864,-0.00557374,-0.18034379,0.09895195,-0.30597547,-0.38368958,-0.22309576,-0.26448858,0.24826288,-0.70680416,-0.22514667,0.00000000,0.00000000,-0.09934474,0.40491033,0.43343842,0.00000000,0.00000000,1.55203080,0.00000000,0.15678258,0.39406341,-0.22714902,0.11872174,0,13:12:02.8,0,0
9,-0.45520630,-2.23349333,0.39378923,-2.07017088,-1.28018034,0.50746888,0.83459938,0.51354736,0.00000000,0.00000000,0.42400864,-0.01980835,-0.16721319,-0.29505318,-0.34239572,-0.49756816,-0.26702896,-0.27625200,-0.37372684,-0.29885390,-0.25866923,0.00000000,0.00000000,-0.19012873,0.37670276,-0.60378605,0.00000000,0.00000000,-0.96748054,0.00000000,1.57785881,-0.52797830,0.21690671,-0.17024459,0,13:12:02.9,0,0
10,-0.14179358,1.58162773,-0.37237200,0.74732107,-0.15782449,1.67040443,5.03317547,1.16191816,0.00000000,0.00000000,4.23912954,-0.02108266,0.02715065,-0.10617207,-0.35004619,-0.43014282,-0.23779942,-0.26912904,0.21175458,-0.70680416,-0.26709199,0.00000000,0.00000000,-0.20666927,0.35961303,-0.09122585,0.00000000,0.00000000,-0.67998564,0.00000000,-1.35412586,0.87004411,-0.26207227,0.07044991,0,13:12:03.0,0,0
11,0.54929686,-2.23349333,-0.62762898,-1.01991379,-0.67387658,0.23360483,-0.17784517,1.89698470,0.00000000,0.00000000,0.00000000,-0.06238292,-0.17256415,-0.31735703,-0.44183397,-0.49495161,-0.22309576,-0.28326917,0.19616364,-0.29885390,-0.26609969,0.00000000,0.00000000,-0.14946705,0.39557201,0.50079495,0.00000000,0.00000000,5.07965708,0.00000000,3.97190356,0.64726788,0.87743205,0.25028586,0,13:12:03.1,0,0
12,0.54929686,0.00000000,0.82083112,0.36352366,-0.67387658,-0.59650165,4.67859888,-1.02303708,0.00000000,0.00000000,-1.80800784,-0.00557374,-0.14006335,0.26315209,-0.33327100,-0.32062027,-0.19363137,-0.22129767,0.10354441,-0.70680416,-0.20209146,0.00000000,0.00000000,0.02034174,0.47295001,-0.09122585,0.00000000,0.00000000,-0.67998564,0.00000000,0.22949144,-0.85614228,0.21690671,-0.18419768,0,13:12:03.2,0,0
13,-0.75571692,1.58162773,-0.49740002,1.19137681,1.50373030,-1.16038001,-4.72245693,-0.06636943,0.00000000,0.00000000,-1.80800784,0.00053419,-0.27464256,0.38877007,-0.31680050,-0.38585544,-0.21329194,-0.19237559,0.54946065,-0.29885390,-0.20106775,0.00000000,0.00000000,-0.01224028,0.56642199,0.74451250,0.00000000,0.00000000,2.34615755,0.00000000,-1.23396063,0.22859876,-0.70263612,-0.12742752,0,13:12:03.3,0,0
14,-1.80653465,-2.23349333,-0.74095505,0.36352366,-0.16131638,0.21839559,0.66177750,-0.32805234,-12.86033249,0.00000000,-4.61982727,0.00839814,-0.10372964,0.52168506,-0.27372935,-0.43014282,-0.21329194,-0.21836248,0.28501457,-0.29885390,-0.18554936,0.00000000,0.00000000,-0.12844543,0.46947220,-1.01076865,0.00000000,0.00000000,-1.18707967,0.00000000,0.46466732,0.05792664,-0.36857444,-0.25711706,0,13:12:03.4,0,0
15,0.92758769,0.00000000,0.54400903,0.47002858,0.30337971,1.10282016,2.51821923,2.74545002,0.00000000,0.00000000,0.00000000,0.00865447,-0.09460871,0.13977146,-0.24477421,-0.35511547,-0.13910758,-0.16955549,0.04329815,-0.29885390,-0.15046106,0.00000000,0.00000000,-0.07882600,0.36774021,1.01335514,0.00000000,0.00000000,5.36715174,0.00000000,-1.35412586,1.33773792,-0.70612800,0.49071309,0,13:12:03.5,0,0
16,-0.45520630,0.00000000,-0.23151879,1.81829262,0.84232694,0.65012527,7.50030375,1.16191816,0.00000000,0.00000000,0.00000000,-0.05220384,-0.29409388,-0.39427763,-0.36954895,-0.45121419,-0.11421788,-0.21369880,-0.62928545,-0.29885390,-0.20195806,0.00000000,0.00000000,-0.11294204,0.40912798,0.50079495,0.00000000,0.00000000,5.07965708,0.00000000,1.57785881,1.53934288,0.60858935,0.38628662,0,13:12:03.6,0,0
17,-1.30433738,-2.23349333,-0.88124770,0.23476085,0.76171833,-0.76915258,-3.37930536,1.90387857,0.00000000,0.00000000,4.23912954,-0.06737804,-0.23439701,-0.39427763,-0.38311797,-0.46487972,-0.07910679,-0.18439686,0.29555127,-0.70680416,-0.20209146,0.00000000,0.00000000,-0.09166378,0.45544410,0.43343842,0.00000000,0.00000000,1.55203080,0.00000000,-2.07523394,-1.40042794,-0.22714902,-0.33833903,0,13:12:03.7,0,0
18,2.77857947,0.00000000,0.96615183,0.47002858,-0.27653700,0.67393214,-4.14933729,0.20525059,0.00000000,0.00000000,4.23912954,-0.03535941,-0.27942067,-0.97958618,-0.36236608,-0.48422694,-0.02343091,-0.21352740,-0.29486892,-0.70680416,-0.24431032,0.00000000,0.00000000,-0.19012873,0.31857121,0.54286206,0.00000000,0.00000000,0.00000000,0.00000000,0.15678258,-0.41208643,0.36487180,-0.00713441,0,13:12:03.8,0,0
19,0.92758769,-2.23349333,0.07164691,-0.37154287,-0.67387658,0.91195303,2.06255603,-1.54770136,0.00000000,0.00000000,-3.39162517,-0.03074588,-0.09823170,-0.04305250,-0.37040696,-0.41627648,-0.04879646,-0.20679557,0.41735673,-0.29885390,-0.21848047,0.00000000,0.00000000,-0.13124777,0.39333165,0.43343842,0.00000000,0.00000000,1.55203080,0.00000000,0.22949144,-0.86597627,-0.22714902,-0.06817372,0,13:12:03.9,0,0
