Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190412132241
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,2000,1409,703,645,608,0,557,559,660,0,622,597,748,671,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0
Signal Check Result,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,6,6,6,6,24,24,6,6,6,6,44,44,31,31,6,6,31,31,88,88,6,6,6,6,6,6,15,15,24,24,22,22,15,15,15,15,6,6,12,12,7,7,6,6,6,6,15,15,7,7,6,6,49,49,6,6,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,62,62,62,62,49,49,112,112,7,7,6,6,6,6,6,6,15,15,6,6,6,6,7,7,7,7,6,6,7,7,6,6,6,6,6,6,6,6,6,6
Digital Gain,100.00,1.00,100.00,1.00,31.79,41.18,100.00,100.00,100.00,100.00,17.15,25.58,34.93,100.00,100.00,100.00,7.70,26.91,12.31,12.11,22.89,100.00,2.05,2.85,1.36,19.55,2.70,53.45,2.79,3.58,4.10,5.58,2.04,100.00,5.47,6.37,1.61,39.13,1.40,58.40,3.40,4.18,2.16,3.07,1.91,3.09,3.62,5.87,2.70,5.69,100.00,1.00,5.61,1.00,1.00,1.00,100.00,100.00,1.00,1.00,100.00,100.00,43.84,62.73,100.00,100.00,82.53,86.68,100.00,1.00,100.00,100.00,8.41,12.19,11.88,20.63,100.00,100.00,100.00,100.00,3.46,5.27,1.68,32.59,1.10,22.17,23.42,35.61,3.06,4.11,1.00,19.16,1.00,11.91,2.92,4.35,2.71,3.86,1.14,2.27,3.83,7.75,100.00,1.00,100.00,1.00,100.00,100.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/04/12 13:22:44
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,-9.15178776,-2.55032015,-0.63636816,-1.24371946,-1.45559752,0.61564159,2.71158218,-2.45210814,0.20081191,-6.37973642,0.20512836,-0.60482973,-0.21847734,0.16643788,-0.45575690,-0.61310476,0.95290345,-0.33432317,-0.18234873,0.13050696,-0.56175667,-0.55337077,-0.55488449,-0.20931181,-0.19763765,-10.39674282,2.58399320,0.00000000,-0.28873408,0.00000000,-1.14629388,-1.52223086,-4.55041313,-2.53718281,0,13:22:53.1,0,0
2,0.00000000,0.26149920,0.13010243,0.71963477,-0.45195419,-1.38894081,-3.82348013,1.36352551,-2.33914566,-6.23091650,-0.55099970,-0.53678322,-0.22603182,-0.17403108,-0.40292168,-0.50081789,2.36872983,-0.21102571,0.03767257,0.20476529,-0.44073093,-0.46169519,-0.48651597,-0.09484100,-0.14967357,0.00000000,2.83692384,0.00000000,0.93946803,0.00000000,2.66916871,-0.02620844,2.26496053,-0.92173898,0,13:22:53.2,0,0
3,-13.49191475,-2.55032015,-1.48314345,-0.73115921,-1.45559752,0.43120906,3.07471991,-2.45210814,0.52100778,-6.27578115,1.04423368,-0.52247196,-0.38873875,0.28961122,-0.31370121,-0.50568807,1.03846967,-0.13567385,0.32106563,0.38803756,-0.37480322,-0.49431983,-0.49574408,-0.14224100,-0.17733511,-14.21186352,2.75382829,0.00000000,-1.29237723,0.00000000,-0.40433371,-0.87665063,-2.31839681,-1.96906221,0,13:22:53.3,0,0
4,0.00000000,2.49351573,1.85916722,0.71963477,0.77624792,-2.06433606,-1.53779399,5.17864656,-4.34809971,-6.16918898,-1.68656266,-0.47319683,-0.24363597,-1.56161165,-0.23777114,-0.44863525,-0.07664630,-0.09344038,-0.35807121,-0.13130812,-0.36039343,-0.44411519,-0.45971853,-0.00227647,-0.09700011,0.00000000,3.37223315,0.00000000,0.00000000,0.00000000,3.33016992,5.39268732,0.00000000,0.00000000,0,13:22:53.4,0,0
5,-0.29283050,-2.55032015,0.06167472,-0.28710353,0.24303052,-0.35451809,0.72532785,-2.45210814,-0.48651421,-6.32560873,0.30227336,-0.53458965,-0.14896137,0.30348802,-0.30269921,-0.47098559,1.04754543,-0.08031453,0.39419603,0.38803756,-0.39679983,-0.49431983,-0.52254415,-0.11301947,-0.09369128,0.00000000,2.58399320,0.00000000,-1.63710141,0.00000000,-1.14629388,-0.67430204,-4.62312222,-1.70981860,0,13:22:53.5,0,0
6,0.00000000,-1.32211816,0.29082257,0.29281330,-0.49892989,0.71843904,1.19075215,-2.45210814,-0.08385985,-6.47210217,0.30227336,-0.56323761,-0.46373868,0.36393142,-0.33394453,-0.45324230,4.12185860,-0.09311025,0.06041853,0.23757437,-0.39370382,-0.47072938,-0.50413394,-0.11008982,-0.12890333,0.00000000,2.87513924,0.00000000,4.75510168,0.00000000,-1.09931839,0.01005217,-3.07296181,-1.58949232,0,13:22:53.6,0,0
7,0.00000000,0.26149920,0.17397007,-0.01543178,-0.45195419,-1.99052906,-4.41237831,-4.68395376,-2.40497899,-6.58196115,-0.94922215,-0.57673758,-0.42715213,-0.16009575,-0.36984488,-0.50380850,-0.13165794,-0.14962134,-0.20837641,0.21411103,-0.44889638,-0.48070580,-0.52333611,-0.10529585,-0.13625444,0.00000000,2.75382829,0.00000000,-1.13000739,0.00000000,2.66916871,-0.33913460,2.26496053,-0.03479818,0,13:22:53.7,0,0
8,-4.10795164,-3.55396342,-0.00471240,-0.73115921,-1.34739518,-0.47990686,-1.72772813,-0.86849099,-0.86322069,-6.65850258,-0.75153923,-0.58955389,-0.35897049,0.46213430,-0.36223617,-0.48064119,4.69176865,-0.13567385,0.22532621,0.19074726,-0.43755344,-0.53038555,-0.55159932,-0.14461769,-0.17075761,-10.39674282,2.66454530,0.00000000,-3.94182682,0.00000000,-1.21948361,-0.73262846,0.00000000,-1.70981860,0,13:22:53.8,0,0
9,-0.29283050,0.26149920,-1.00761402,0.11333108,-0.57211941,0.99877053,0.94621837,1.36352551,-0.37896749,-6.50025463,-0.65439421,-0.58851242,-0.35897049,-0.55373800,-0.38937452,-0.50767869,-0.13165794,-0.09311025,0.00137220,-0.21568145,-0.44853705,-0.53936505,-0.56907421,-0.15773804,-0.15021460,0.00000000,2.92138910,0.00000000,2.33802128,0.00000000,-3.52420902,0.70331132,0.00000000,4.34279919,0,13:22:53.9,0,0
10,-6.33996773,-3.55396342,-0.52407277,-1.76838374,-2.30406284,0.90893835,2.36637640,-0.86849099,0.16365118,-6.45398808,-0.65439421,-0.58752984,-0.52734995,-0.19715929,-0.41453180,-0.52092922,2.35969853,-0.22870411,-0.19574220,0.14896356,-0.48671049,-0.56225628,-0.58210140,-0.14695358,-0.14967357,0.00000000,2.66454530,0.00000000,1.17471790,0.00000000,1.71250105,0.39861098,2.26496053,-0.06970948,0,13:22:54.0,0,0
11,0.00000000,-1.32211816,0.92106307,-0.15124241,0.50471342,1.19887638,2.75381851,-0.86849099,0.24080296,-6.22305012,-2.00276160,-0.55801374,-0.30804408,-0.33842936,-0.33948433,-0.48539826,-0.13165794,-0.11906553,-0.22200169,0.02201022,-0.42665321,-0.49522170,-0.51415426,-0.14186728,-0.17351113,0.00000000,2.66454530,0.00000000,2.33802128,0.00000000,1.08555138,0.17637479,2.26496053,2.77709436,0,13:22:54.1,0,0
12,0.00000000,0.26149920,1.36329746,0.49712846,1.73291552,-0.93736327,-3.16061711,1.36352551,-2.14701891,-6.07319307,0.40566787,-0.52000749,-0.41228309,0.26218319,-0.27923474,-0.39322358,2.45992374,-0.05475867,-0.05135916,0.40681937,-0.37165871,-0.48618323,-0.51415426,-0.11008982,-0.17075761,0.00000000,3.00707316,0.00000000,-1.13000739,0.00000000,1.71250105,0.70216179,2.26496053,1.93325889,0,13:22:54.2,0,0
13,0.00000000,2.49351573,0.25350186,1.23219502,1.73291552,0.81556702,2.13156128,-2.45210814,0.11684231,-6.04169989,0.94708866,-0.47434667,-0.20366070,0.51332629,-0.26912555,-0.40425456,2.44157529,-0.11151893,0.06041853,0.26113814,-0.39370382,-0.43511915,-0.47261590,-0.07351839,-0.11251613,0.00000000,2.79146934,0.00000000,-0.40889934,0.00000000,-1.21948361,-0.02620844,-3.07296181,1.26713037,0,13:22:54.3,0,0
14,0.00000000,2.49351573,0.21352680,-0.01543178,0.77624792,-0.88525617,-3.71843004,-0.86849099,-1.73600364,-6.07250786,-0.55099970,-0.49115616,-0.24363597,-0.40369710,-0.28064671,-0.40425456,-0.06743367,-0.00548910,0.07876315,0.05487519,-0.37165871,-0.46253884,-0.51251066,-0.09186304,-0.14285155,0.00000000,2.92138910,0.00000000,1.17471790,0.00000000,-1.21948361,0.28499767,0.00000000,-0.26595670,0,13:22:54.4,0,0
15,0.00000000,-1.32211816,0.57456321,-0.66380262,-1.80032158,-0.56071556,-1.82092607,-3.68031049,-0.93471098,-6.26531410,0.20512836,-0.53137916,-0.36294419,0.49004033,-0.30269921,-0.46442407,3.37989855,-0.03692929,0.26614580,0.40210325,-0.39679983,-0.48070580,-0.51415426,-0.17364828,-0.19388580,-10.39674282,2.42634058,0.00000000,-1.63710141,0.00000000,-2.44768572,-1.52306271,-4.62312222,-2.97982550,0,13:22:54.5,0,0
16,-12.96724987,-1.32211816,-1.37195516,0.29281330,0.24303052,-0.98938435,-1.21611011,-0.86849099,-1.13054180,-6.23794222,0.40566787,-0.52023399,-0.19187044,0.37799710,-0.29079285,-0.41073257,5.25906706,-0.14878613,0.14102645,0.22347263,-0.44370663,-0.48070580,-0.51415426,-0.17827424,-0.21407300,-10.39674282,2.70905209,0.00000000,-0.28873408,0.00000000,-3.45132899,-0.03874979,-6.85513830,-1.58116889,0,13:22:54.6,0,0
17,-12.38733387,-1.32211816,-1.13659310,-0.01543178,-0.45195419,-0.93402880,-1.24520624,-3.68031049,-0.93401068,-6.26022530,0.10539951,-0.56895143,-0.46373868,0.70282853,-0.37043327,-0.45545381,4.69176865,-0.14878613,0.11835480,0.19074726,-0.46249557,-0.52139133,-0.53250271,-0.13137102,-0.14453955,0.00000000,2.54773998,0.00000000,-0.40889934,0.00000000,-1.09931839,-0.96061289,-4.62312222,-1.79475808,0,13:22:54.7,0,0
18,-9.15178776,2.49351573,-0.63636816,1.23219502,3.31653285,0.33646011,1.74790132,-0.86849099,0.01669040,-6.04155540,0.30227336,-0.53571182,-0.32079375,0.46213430,-0.38207549,-0.44694328,4.69176865,-0.16067095,0.09124975,0.17215027,-0.48671049,-0.52139133,-0.55004430,-0.17826940,-0.16355038,0.00000000,2.62785029,0.00000000,1.17471790,0.00000000,1.08555138,-0.55094677,2.26496053,-0.67426223,0,13:22:54.8,0,0
19,0.00000000,-1.32211816,-0.12484251,-0.01543178,-0.45195419,-1.75298941,-4.50512266,-0.86849099,-2.24797416,-6.07250786,-0.65439421,-0.52392608,-0.28496993,0.55637085,-0.33381021,-0.47356096,3.32539749,-0.18115382,-0.03463445,0.17215027,-0.47579905,-0.51137495,-0.52413368,-0.17827424,-0.17075761,0.00000000,2.79146934,0.00000000,-1.13000739,0.00000000,-1.21948361,-0.94444060,0.00000000,-2.06195951,0,13:22:54.9,0,0
