Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190418124035
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,2000,1409,828,719,628,0,587,576,650,0,667,624,2000,1409,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,31,31,6,6,31,31,6,6,6,6,49,49,31,31,6,6,49,49,6,6,6,6,6,6,6,6,22,22,6,6,12,12,15,15,7,7,6,6,15,15,6,6,31,31,6,6,24,24,72,72,6,6,98,98,6,6,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,62,62,49,49,124,124,144,144,49,49,15,15,7,7,31,31,15,15,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Digital Gain,1.00,1.00,100.00,1.00,35.12,54.31,83.52,100.00,100.00,100.00,22.13,41.02,27.62,62.57,100.00,100.00,1.00,1.00,1.00,1.00,100.00,100.00,1.63,2.90,1.45,28.41,2.38,54.79,3.74,5.98,3.13,5.74,2.99,1.00,3.69,5.50,1.45,35.98,16.23,1.00,2.43,3.27,2.42,6.33,49.27,63.09,2.38,4.58,8.63,21.71,100.00,100.00,1.00,1.00,1.00,1.00,100.00,100.00,1.00,1.00,100.00,100.00,41.92,68.36,100.00,100.00,18.73,25.39,100.00,1.00,98.10,100.00,8.31,15.37,14.20,33.40,1.00,1.00,1.00,1.00,2.07,7.72,1.79,34.34,1.21,19.25,3.55,4.12,1.75,2.79,1.17,30.75,1.09,24.14,1.33,2.11,22.43,57.58,75.67,100.00,71.85,100.00,1.00,1.00,1.00,1.00,100.00,100.00,100.00,100.00,100.00,1.00

Measurement Information
Date,2019/04/18 12:40:39
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.00000000,-9.24582100,-0.26588345,-0.23958692,-0.47211945,-0.21794330,0.09909255,0.86896914,-21.93436813,0.00000000,4.73056793,-0.90351349,-0.32273704,1.18862927,-0.27421024,-0.37711746,-0.04834486,-0.15439844,0.22282583,-0.74904835,-0.66212726,-0.48801640,0.16915493,-0.32988033,0.67862719,0.37407798,0.00000000,0.00000000,2.02075386,0.00000000,0.26625821,-0.16370271,-0.94173825,-0.21319909,0,12:40:48.1,0,0
2,0.00000000,0.00000000,-0.02972078,0.32742789,-0.19477347,-0.04920596,-1.30444956,1.13369536,0.00000000,0.00000000,5.86133528,-0.83090752,-0.19165421,-1.00845933,-0.35162002,-0.46124363,0.03706092,-0.13125636,-0.16565095,-0.89076704,-0.63302499,-0.51420975,-0.06385770,-0.41886017,0.13354336,-0.57688105,0.00000000,0.00000000,0.39972767,0.00000000,-0.10824234,-0.66196901,-0.58275294,-0.25465256,0,12:40:48.2,0,0
3,0.00000000,0.00000000,-0.19497557,-0.11063170,-0.11313403,-2.19063115,1.63127363,-4.48275185,0.00000000,0.00000000,-1.76941991,-0.74764138,-0.05920129,0.02546356,-0.33628756,-0.37551853,0.02271453,-0.08191533,0.22807395,-0.67893064,-0.60664618,-0.50317454,0.16915493,-0.45830870,-0.03273863,0.00303571,0.00000000,0.00000000,2.63174415,0.00000000,-0.10824234,0.99194431,-0.05808861,0.38461560,0,12:40:48.3,0,0
4,0.00000000,0.00000000,-0.02972078,-1.02083623,-0.93673378,-2.40630865,-5.93271017,-2.17802620,0.00000000,0.00000000,-1.76941991,-0.73566169,-0.20980456,-0.19589095,-0.43325338,-0.40638325,-0.09055557,-0.17966367,0.28512526,-0.67893064,-0.65930402,-0.54403830,-0.06385770,-0.45291635,0.06449529,-1.10154533,0.00000000,0.00000000,-1.18388963,0.00000000,-0.10824234,-0.00024278,-0.05808861,-0.00231393,0,12:40:48.4,0,0
5,0.00000000,-1.61506629,-0.18501227,-1.86932731,-1.94037712,0.90595239,1.15774572,-0.82965875,0.00000000,0.00000000,-0.18580265,-0.72154301,-0.15086804,-0.06933387,-0.40250999,-0.40252322,-0.13244541,-0.18444294,0.23323786,-0.74904835,-0.67696041,-0.56329089,0.16915493,-0.44414341,0.15421057,-0.49524167,0.00000000,0.00000000,-1.36080420,0.00000000,0.96850497,-0.02392009,-0.10511597,-0.04800461,0,12:40:48.5,0,0
6,0.00000000,0.00000000,-0.49431911,0.32742789,0.41153029,-1.76233900,-2.94796443,-0.24974197,0.00000000,0.00000000,2.04621363,-0.72690982,0.13228633,-0.68333435,-0.38746709,-0.50243908,-0.22445840,-0.27721927,-0.22127184,-0.74904835,-0.75480968,-0.60992289,-0.06385770,-0.60123384,-0.31686682,-0.49524167,0.00000000,0.00000000,-1.36080420,0.00000000,-1.33652997,-1.01073492,-0.58275294,-0.23908859,0,12:40:48.6,0,0
7,0.00000000,-5.43018770,-0.18526578,-0.38607949,-0.52011669,-0.96449870,-1.51304722,0.70692563,0.00000000,0.00000000,2.04621363,-0.62584376,0.26546150,0.23053385,-0.28802231,-0.42649758,-0.26534525,-0.24239410,-0.02809970,-0.67893064,-0.66783613,-0.47475055,-0.06385770,-0.38718989,0.24691479,-0.97422063,0.00000000,0.00000000,-2.58900642,0.00000000,-0.51282692,0.59368443,-0.98973554,0.05593382,0,12:40:48.7,0,0
8,0.00000000,0.00000000,-0.99640602,-0.11063170,-0.11313403,-1.15552819,-2.50031781,1.13369536,0.00000000,0.00000000,5.86133528,-0.61831462,-0.04301003,-2.16418147,-0.30074248,-0.54091847,-0.21074274,-0.14913860,0.26953998,-0.53606957,-0.58129090,-0.44460148,-0.06385770,-0.51514781,-0.45874307,-0.57688105,0.00000000,0.00000000,-1.18388963,0.00000000,-0.51282692,-0.00024278,-0.54917169,-0.10149176,0,12:40:48.8,0,0
9,0.00000000,-5.43018770,-0.02447877,-0.00850300,-0.07955285,0.45273310,0.55886191,-1.35432303,0.00000000,0.00000000,-2.99762201,-0.55456817,0.12633032,0.44857216,-0.24985775,-0.38878340,-0.22445840,-0.15200919,0.25393423,-0.60796344,-0.59250623,-0.48108378,-0.06385770,-0.35432637,0.26826599,-0.49524167,0.00000000,0.00000000,-1.36080420,0.00000000,1.54842174,-0.34638998,0.89852732,-0.19993028,0,12:40:48.9,0,0
10,0.00000000,0.00000000,-0.17905892,-0.11063170,-0.11313403,-0.98165178,-1.49982655,-0.82965875,0.00000000,0.00000000,-0.18580265,-0.61267543,0.07934318,-0.44966242,-0.36959124,-0.49222931,-0.27886957,-0.13695130,0.35885066,-0.60796344,-0.60220730,-0.47876322,-0.01049188,-0.45024872,0.07931338,-0.46166044,0.00000000,0.00000000,-0.28428105,0.00000000,-0.03513830,-0.74025649,-0.54567981,-0.45159611,0,12:40:49.0,0,0
11,0.00000000,-1.61506629,-0.02931052,-0.00850300,-0.07955285,-1.50539899,-2.40954471,-2.17802620,0.00000000,0.00000000,-1.76941991,-0.62569994,0.04670106,0.67384976,-0.38744816,-0.40097064,-0.26534525,-0.20978640,0.08714390,-0.67893064,-0.62838018,-0.50791299,-0.06385770,-0.44077176,0.06365491,-0.46166044,0.00000000,0.00000000,1.06408644,0.00000000,-0.51282692,0.00358559,-0.98973554,-0.00774233,0,12:40:49.1,0,0
12,0.00000000,0.00000000,0.30306521,-0.27887577,-0.11313403,0.87071586,1.06930470,0.70692563,0.00000000,0.00000000,-0.18580265,-0.62696201,-0.05914193,-0.46306673,-0.38475361,-0.45919937,-0.26534525,-0.21201767,0.06142309,-0.74904835,-0.68156677,-0.54647255,-0.24350451,-0.48549369,0.17583108,-0.49524167,0.00000000,0.00000000,-1.36080420,0.00000000,0.59175420,-1.06294596,-0.54917169,-0.52805001,0,12:40:49.2,0,0
13,0.00000000,0.00000000,-0.19497557,0.80941218,0.99144703,-0.56364489,-1.35503840,-0.82965875,0.00000000,0.00000000,-0.18580265,-0.63926166,-0.12237869,-0.85882521,-0.40363663,-0.49222931,-0.23808342,-0.17989722,0.31762657,-0.74904835,-0.62838018,-0.51777697,-0.06385770,-0.39820808,0.06449529,-0.57688105,0.00000000,0.00000000,0.39972767,0.00000000,0.62682420,-1.07769692,-0.05808861,-0.18361293,0,12:40:49.3,0,0
14,0.00000000,-5.43018770,0.30306521,-0.38607949,-0.07606094,0.57856047,0.57160062,-0.82965875,0.00000000,0.00000000,-1.76941991,-0.57476413,-0.08706757,0.43958497,-0.26662824,-0.36310086,-0.26534525,-0.09885141,0.41598597,-0.60796344,-0.52832294,-0.41704205,-0.06385770,-0.33524728,0.05602434,0.54198283,0.00000000,0.00000000,0.94392115,0.00000000,0.44384071,-0.46030653,-0.54567981,-0.10149176,0,12:40:49.4,0,0
15,0.00000000,0.00000000,-0.77217108,-0.27887577,-0.19477347,-0.81157035,-2.26765561,-2.17802620,0.00000000,0.00000000,-0.18580265,-0.55485338,0.15468091,-0.81387103,-0.21765211,-0.46649179,-0.22445840,-0.16699095,-0.11782105,-0.74904835,-0.58533728,-0.40467697,-0.06385770,-0.38493261,-0.11180852,-0.49524167,0.00000000,0.00000000,-2.41209173,0.00000000,-0.75661314,-1.54143453,-1.06173193,-0.38147709,0,12:40:49.5,0,0
16,0.00000000,0.00000000,0.28431612,0.40192851,0.39942616,-0.94988835,-1.62255263,-1.35432303,0.00000000,0.00000000,-1.76941991,-0.56324583,-0.06810186,0.30672762,-0.28310382,-0.40422142,-0.21074274,-0.18723740,0.15453459,-0.53606957,-0.57213402,-0.39083907,-0.06385770,-0.32346094,0.26826599,0.01731854,0.00000000,0.00000000,0.94392115,0.00000000,0.01183738,0.26417398,-0.54917169,0.01143582,0,12:40:49.6,0,0
17,0.00000000,-5.43018770,-0.01930956,0.43555275,-0.07955285,-0.96547180,-2.81363535,-2.70269036,0.00000000,0.00000000,-1.76941991,-0.55400354,0.14051674,-1.02207327,-0.24985775,-0.45319551,-0.18326557,-0.12230276,0.53702599,-0.60796344,-0.52832294,-0.39523467,-0.06385770,-0.37413728,0.15421057,0.02942263,0.00000000,0.00000000,2.52753830,0.00000000,1.24012494,-0.41674730,-0.07019270,-0.03692750,0,12:40:49.7,0,0
18,0.00000000,0.00000000,0.15932275,-0.01721108,-0.35681704,0.77461290,0.07337678,-0.24974197,0.00000000,0.00000000,2.04621363,-0.59805834,0.00130145,-0.79580879,-0.35162002,-0.41080168,-0.17401886,-0.15200919,0.12334359,-0.67893064,-0.60096025,-0.43762639,-0.06385770,-0.35020095,0.31454468,0.65140659,0.00000000,0.00000000,6.44686508,0.00000000,1.97519147,-0.05398746,-0.07019270,0.03685870,0,12:40:49.8,0,0
19,0.00000000,-5.43018770,0.15675384,-0.52106321,-1.03267682,-0.41404033,-0.83450431,-2.17802620,0.00000000,0.00000000,-1.76941991,-0.61306721,-0.18566558,-0.43177614,-0.41858718,-0.45026872,-0.21074274,-0.19210801,-0.02809970,-0.74904835,-0.61128020,-0.47721648,-0.06385770,-0.40327644,0.01962248,0.02942263,0.00000000,0.00000000,2.45482945,0.00000000,-2.41296768,-1.40645480,-0.58275294,-0.38147709,0,12:40:49.9,0,0
