Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190412124605
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,2000,1409,688,636,623,0,597,582,665,0,642,609,758,677,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0
Signal Check Result,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,56,56,6,6,150,150,6,6,6,6,44,44,48,48,6,6,48,48,24,24,6,6,6,6,6,6,15,15,7,7,7,7,15,15,7,7,6,6,12,12,6,6,6,6,6,6,24,24,12,12,6,6,72,72,6,6,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,62,62,62,62,98,98,60,60,7,7,7,7,6,6,31,31,7,7,6,6,6,6,7,7,6,6,6,6,28,28,6,6,6,6,6,6,6,6,6,6
Digital Gain,100.00,100.00,100.00,1.00,1.00,1.00,100.00,100.00,100.00,100.00,15.55,21.66,22.61,32.04,100.00,1.00,25.57,1.00,1.82,5.04,14.04,100.00,1.88,2.36,1.32,24.42,2.23,58.06,3.38,5.40,4.53,7.82,1.81,100.00,4.91,7.07,1.45,35.15,1.34,86.00,3.16,3.79,2.00,2.79,1.86,3.09,3.25,5.47,2.10,5.07,100.00,1.00,1.00,1.00,1.00,1.00,100.00,100.00,1.00,1.00,100.00,100.00,43.45,69.03,100.00,100.00,100.00,100.00,100.00,1.00,93.17,100.00,7.73,12.70,10.86,22.44,1.00,1.00,3.49,8.96,3.53,5.09,1.73,34.88,100.00,100.00,100.00,100.00,2.54,4.13,1.00,18.98,1.00,12.05,2.02,2.88,2.43,3.37,1.09,2.29,1.75,7.11,100.00,1.00,100.00,1.00,100.00,100.00,100.00,100.00,100.00,1.00

Measurement Information
Date,2019/04/12 12:46:08
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,5.22427320,-1.43154883,0.00000000,-0.52976578,-0.28407624,0.49094576,0.61311364,-2.63908911,-0.01228700,-2.98645186,-0.81140190,-0.34153304,-0.14643714,0.30982780,0.14956191,-0.06994557,1.31252229,0.39276373,-0.09352665,-0.10843223,0.01313596,-0.09686202,-0.39778653,0.38201216,-0.01754181,0.00000000,0.00000000,0.00000000,0.69678575,0.00000000,0.79836661,-0.46718848,0.00000000,-0.21978594,0,12:46:18.1,0,0
2,5.22427320,0.15206848,0.00000000,-0.48769867,-0.40424153,-0.53416723,-1.08848846,1.17603195,0.72431898,-3.00836444,0.21520188,-0.35785666,0.02633773,-0.07394905,0.12079360,-0.16131119,0.01974114,0.35238481,-0.24841434,0.21324083,-0.00554217,-0.05877707,-0.37373415,0.28495765,-0.09051637,0.00000000,0.00000000,0.00000000,0.46173880,0.00000000,-0.55000079,-0.21923970,0.00000000,-0.26676142,0,12:46:18.2,0,0
3,4.01621962,-1.43154883,0.00000000,-0.01720561,0.67259139,-0.36806884,-0.68475729,1.17603195,-0.66179538,-3.03032446,0.88722605,-0.39155152,0.05423202,0.38560584,0.05666403,-0.11520253,2.00154448,0.43076691,0.53901237,0.44178221,0.00387794,-0.13020405,-0.41813773,0.52553815,0.09602096,0.00000000,0.00000000,0.00000000,0.46173880,0.00000000,-0.42983556,0.24374913,-1.89619100,-0.23940191,0,12:46:18.3,0,0
4,-1.67167115,0.15206848,0.00000000,0.63116527,1.90079355,0.31086370,0.90039229,1.17603195,1.39110112,-3.12101722,-2.29703116,-0.41174406,-0.06941114,0.52114034,0.03596839,-0.09290333,2.59828305,0.40243390,0.31170771,0.43716764,-0.04078935,-0.18001829,-0.44558248,0.36572820,-0.04166616,0.00000000,0.00000000,0.00000000,0.46173880,0.00000000,1.03361654,1.56217611,0.00000000,5.40952539,0,12:46:18.4,0,0
5,4.08909941,-1.43154883,0.00000000,-0.52976578,-1.28771961,-0.36806884,-0.45337760,-4.87110567,-1.01856959,-3.16690540,0.00800382,-0.41164079,0.14928524,0.36656508,0.05666403,-0.13977712,2.59347725,0.31308627,-0.00662472,0.43716764,-0.07208513,-0.16142158,-0.43636173,0.45883849,0.02820481,0.00000000,0.00000000,0.00000000,2.04535604,0.00000000,-0.55000079,-0.66762972,-1.89619100,-1.27754247,0,12:46:18.5,0,0
6,-0.82320601,6.19920588,0.00000000,2.21469688,5.71642733,0.70290005,1.00425828,1.17603195,1.56773102,-3.20366931,-0.74146575,-0.33410826,0.14062274,0.49125358,0.24775995,-0.07280298,1.34648788,0.43360046,0.00904409,0.53084534,0.04870075,-0.08518465,-0.36427495,0.49442878,0.07741558,0.00000000,0.00000000,0.00000000,0.46173880,0.00000000,-0.42983556,0.29389974,0.89382762,-0.16288254,0,12:46:18.6,0,0
7,0.18043733,-1.43154883,0.00000000,-0.01720561,-0.33105195,-0.51432991,-0.97877729,1.17603195,-1.12958801,-3.17427540,-0.67062956,-0.34233925,0.09796411,0.82759255,0.25401387,-0.02513802,2.08844829,0.46910796,0.25684437,0.81590164,0.07940511,-0.04850637,-0.35488933,0.49599934,0.07206029,0.00000000,0.00000000,0.00000000,2.04535604,0.00000000,-5.08657169,0.34804058,-5.71131229,-0.35700250,0,12:46:18.7,0,0
8,4.01621962,-1.43154883,0.00000000,-2.83469748,-0.64272571,-0.79498565,-1.96195567,0.00000000,3.03058624,-3.20451403,-0.67062956,-0.34799129,-0.19957209,0.21727662,0.20314217,0.00141493,-0.91457510,0.47991234,-0.05465716,0.26995280,0.06403153,-0.03821648,-0.33132550,0.46755436,0.00720789,0.00000000,0.00000000,0.00000000,1.97264695,0.00000000,3.33865166,0.19291113,2.79001856,0.74559766,0,12:46:18.8,0,0
9,0.18043733,-1.43154883,0.00000000,0.63116527,0.67259139,-1.03027892,-1.37920463,-6.45472288,-1.45814455,-3.32107639,0.00800382,-0.38663718,0.03138673,0.64582884,0.16781402,-0.07302961,2.70454693,0.47815871,0.51775408,1.05287766,0.06419980,-0.06062372,-0.35482031,0.32879221,-0.03024226,-11.41879559,0.00000000,0.00000000,-0.76646334,0.00000000,-2.78184605,-1.03733540,-7.94332838,-2.76740599,0,12:46:18.9,0,0
10,4.01621962,0.15206848,0.00000000,-0.48769867,-1.63244367,0.24783857,0.32974923,0.00000000,-0.15059052,-3.72995353,0.21520188,-0.53092664,-0.08348307,0.78385341,0.12079360,-0.14318664,3.22685885,0.46466231,0.28332266,0.78755105,0.00391781,-0.13850397,-0.42200753,0.48018172,0.10260750,0.00000000,0.00000000,0.00000000,-0.76646334,0.00000000,-0.42983556,0.04553598,-2.92129374,-0.12756972,0,12:46:19.0,0,0
11,0.18043733,0.00000000,0.00000000,1.70213675,4.75975943,1.44180155,1.99407530,-4.87110567,3.27956343,-4.50660706,-2.68940258,-0.70146418,0.14103168,-0.29311743,0.07618026,-0.42061096,0.19587831,0.54308087,0.31170720,0.26995280,-0.03164170,-0.25495878,-0.49972457,0.28584296,0.02257584,0.00000000,0.00000000,0.00000000,-1.84298658,0.00000000,-1.77820289,0.42486262,-1.89619100,0.45458683,0,12:46:19.1,0,0
12,2.99225664,2.38408494,0.00000000,0.85367161,2.52774310,0.69517958,0.97725725,1.17603195,2.80140543,-4.65680361,-1.40379488,-0.76108366,-0.07908896,-0.20313555,-0.00912803,-0.38112518,0.29621691,0.56991225,0.39744893,-0.01844949,-0.07135051,-0.25184128,-0.54722333,0.37283114,0.03293591,0.00000000,0.00000000,0.00000000,2.92880201,0.00000000,1.03361654,0.30729577,0.00000000,-6.72601414,0,12:46:19.2,0,0
13,-0.82320601,0.15206848,0.00000000,0.11860506,-0.28407624,0.87074435,1.16604948,0.00000000,2.15002966,-4.44540787,-0.25665966,-0.68356210,0.06714804,0.11163809,0.04310472,-0.27312547,-3.08517480,0.49063471,0.28761470,0.26041114,-0.03648246,-0.17139471,-0.49588186,0.45909750,0.09707613,0.00000000,0.00000000,0.00000000,2.04535604,0.00000000,-1.77820289,-0.28726709,-1.89619100,-1.29836512,0,12:46:19.3,0,0
14,0.18043733,0.15206848,0.00000000,0.85367161,0.94412589,0.72369516,1.23237383,-4.87110567,0.72431898,-4.21296835,-1.14834487,-0.53486222,0.09259928,0.13654454,0.20084122,-0.13732903,-3.09022665,0.59068739,0.39825043,-0.01844949,0.08825884,-0.01702521,-0.37245864,0.58842498,0.14724122,0.00000000,0.00000000,0.00000000,-0.76646334,0.00000000,-0.42983556,-0.28726709,-1.89619100,-1.03533208,0,12:46:19.4,0,0
15,1.40863955,2.38408494,0.00000000,0.85367161,0.94412589,0.30437726,0.53112817,0.00000000,2.15002966,-3.80093074,-0.74146575,-0.46469074,-0.03433216,-0.23824844,0.18137525,-0.04456872,0.27601510,0.56949258,0.14681487,0.00066414,0.13085532,0.00417090,-0.34459880,0.40562576,0.01286559,0.00000000,0.00000000,0.00000000,2.92880201,0.00000000,1.03361654,-3.33318377,0.00000000,7.89697123,0,12:46:19.5,0,0
16,1.40863955,-1.43154883,0.00000000,-0.01720561,0.67259139,-0.44025922,-0.93089217,-4.87110567,-0.41209430,-3.82818270,-0.05936460,-0.48412538,0.03412221,0.62376338,0.14092191,-0.07280298,1.49949729,0.59862208,0.51775408,0.84445792,0.11489169,-0.02751127,-0.36548960,0.48055393,0.07297648,0.00000000,0.00000000,0.00000000,1.81010616,0.00000000,0.79836661,-0.14814201,0.89382762,-1.50271022,0,12:46:19.6,0,0
17,0.18043733,2.38408494,0.00000000,1.81028759,3.48441076,0.35886726,0.67979348,-4.87110567,-0.01228700,-3.81450939,-1.01603222,-0.48347798,-0.04941130,-0.09807046,0.14527248,-0.11262590,0.24080765,0.52622050,0.47443557,0.30804825,0.08825884,-0.02902790,-0.37373415,0.33476415,-0.04660664,0.00000000,0.00000000,0.00000000,-1.84298658,0.00000000,-0.42983556,0.22326905,0.89382762,2.59770608,0,12:46:19.7,0,0
18,1.40863955,0.15206848,0.00000000,-0.48769867,-1.63244367,-1.31804061,-3.99330926,0.00000000,1.56773102,-3.73898554,0.21520188,-0.47416016,-0.27344108,-0.11291932,0.10983876,-0.09258960,-0.79552871,0.50582737,0.15556954,-0.02798183,0.05279196,-0.03947452,-0.38203353,0.39629024,0.04129280,0.00000000,0.00000000,0.00000000,2.04535604,0.00000000,2.38198400,-0.22329091,2.79001856,-0.19378401,0,12:46:19.8,0,0
19,1.40863955,2.38408494,0.00000000,1.36623180,3.48441076,-0.21077365,-0.29854953,0.00000000,0.56649435,-3.68005157,0.07620692,-0.48757717,0.04902674,0.34376371,0.08661826,-0.11767545,0.50790930,0.37265334,-0.00662472,0.83494240,-0.04234724,-0.06030770,-0.37956896,0.39716706,0.05572558,0.00000000,0.00000000,0.00000000,-0.25936931,0.00000000,0.79836661,0.42486262,0.00000000,2.03811860,0,12:46:19.9,0,0
20,-1.67167115,0.15206848,0.00000000,0.11860506,0.94412589,0.84210742,1.23847771,0.00000000,1.75749636,-3.67516065,-0.88046068,-0.44720122,0.01932369,-0.23010932,0.07824533,-0.16245942,0.16614836,0.41297269,0.16750503,0.22732019,-0.02948819,-0.11211312,-0.43464062,0.46355864,0.08281536,0.00000000,0.00000000,0.00000000,1.97264695,0.00000000,-0.55000079,0.32009622,0.00000000,2.70704412,0,12:46:20.0,0,0
