Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190208112507
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,  1y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,1712,1456,2000,1409,678,630,608,0,607,588,575,0,607,588,573,568,1614,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Stray,Stray,Normal,Normal,Stray,Stray,Stray,Stray,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Under,Under
Analog Gain,31,31,6,6,15,15,24,24,6,6,12,12,7,7,6,6,31,31,6,6,7,7,6,6,7,7,6,6,7,7,6,6,6,6,7,7,7,7,6,6,7,7,6,6,6,6,24,24,15,15,6,6,15,15,62,62,6,6,98,98,31,31,31,31,31,31,31,31,6,6,6,6,15,15,7,7,12,12,62,62,6,6,7,7,22,22,56,56,15,15,56,56,98,98,49,49,49,49,22,22,15,15,56,56,6,6,6,6,124,124,6,6
Digital Gain,54.88,1.00,65.62,100.00,3.29,5.39,14.81,15.23,37.64,58.89,3.76,5.29,2.83,7.72,3.04,7.78,8.39,25.99,3.62,5.33,5.73,98.79,3.27,4.14,2.87,54.76,15.62,100.00,8.34,16.03,5.44,12.17,24.68,1.00,11.27,18.39,10.94,1.00,19.67,1.00,13.43,16.28,11.58,15.71,7.61,8.52,5.25,7.65,3.40,5.03,100.00,100.00,2.51,1.00,1.00,1.00,86.68,100.00,1.00,1.00,2.58,8.12,44.44,64.37,2.90,7.04,100.00,96.37,100.00,1.00,33.31,51.76,3.19,4.28,2.89,7.34,1.99,5.41,5.50,8.78,2.96,3.82,1.68,32.23,1.39,23.72,3.79,3.81,3.03,4.98,2.87,100.00,100.00,1.00,4.58,4.58,4.72,4.85,2.62,2.85,2.52,4.41,3.34,100.00,66.19,100.00,11.97,45.72,100.00,100.00,28.55,46.56

Measurement Information
Date,2019/02/08 11:25:11
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,3.67194891,-0.01730079,-0.10641722,-0.76647425,-0.04983922,-0.39947540,-0.19639446,-0.36504638,-0.69888604,-0.58692849,-0.15869163,-0.34441477,-0.80592376,-3.95552588,-0.32027534,-1.14023459,-1.99163032,-0.51662332,-1.84685361,-0.64602178,-0.60933298,-0.55011714,-0.24994318,-0.25331715,-0.15301387,-0.63706988,0.02656536,0.00000000,-0.19092911,0.00000000,0.23249803,-0.04189216,0.32785338,-0.38726601,0,11:25:21.1,0,0
2,5.14634371,-0.31222728,-0.12189388,-0.83087844,-0.38348848,-0.36218432,-0.05991910,-0.45599258,-0.30356339,-0.66080266,-1.30808401,-0.36721259,-0.84809870,-0.76744550,-0.44210625,-1.00001800,-1.62341261,-0.51649785,-1.74433744,-0.64602178,-0.59553385,-0.50640041,-0.19331878,-0.09095318,0.01003797,1.77728677,0.09774722,0.00000000,0.32163107,0.00000000,0.13914211,-0.21860781,0.27551034,0.84102160,0,11:25:21.2,0,0
3,4.35660648,0.37438184,-0.16334942,-0.83087844,-0.04983922,-0.45032585,-0.14677167,-0.45599258,-0.59198093,-0.67914724,-1.25727832,-0.43879321,-1.61803997,-2.53704071,-0.61419302,-1.08553874,-1.62341261,-0.56477642,-1.89740515,-0.64602178,-0.75640661,-0.60526675,-0.26155818,-0.30575076,-0.14001386,1.77728677,0.01714729,0.00000000,0.32163107,0.00000000,0.17554508,-0.23573436,0.22330214,0.19265075,0,11:25:21.3,0,0
4,4.73732471,-0.01730079,-0.12189388,-0.83087844,-0.04983922,-0.42996433,-0.16709301,-0.43579403,-0.65660894,-0.65043175,-0.96259332,-0.38895097,-1.06131279,-0.09379326,-0.48050082,-0.93210661,-1.62341261,-0.56755710,-1.89740515,-0.72602499,-0.63062704,-0.65531605,-0.24994318,-0.20517986,-0.07516458,0.54908472,0.05021003,0.00000000,0.32163107,0.00000000,0.17554508,-2.10216832,0.25146958,4.23686790,0,11:25:21.4,0,0
5,3.35634446,-0.01730079,-0.07838634,-0.72231942,-0.21247084,-0.33660313,-0.06910099,-0.41574812,-0.22854620,-0.56850487,-0.96259332,-0.37761968,-0.84809870,-0.62731230,-0.48050082,-0.94776523,-1.52635634,-0.51649785,-1.74433744,-0.56056273,-0.65793329,-0.49909759,-0.22528400,-0.32281473,-0.16536729,-0.45455852,-0.02042178,0.00000000,-0.52538759,0.00000000,0.20281351,0.34630221,0.37502271,-0.38425216,0,11:25:21.5,0,0
6,6.59523773,-0.01730079,-0.05941145,-0.63973361,-0.21247084,-0.36354160,-0.19857340,-0.46077877,-0.82923061,-0.57756931,-2.33507848,-0.32470232,-1.72576737,0.49155167,-0.50658405,-0.88830477,-1.52635634,-0.24987468,-1.69229496,-0.47375664,-0.30544960,-0.52926081,-0.22829539,-0.15909755,-0.08740900,0.59113222,0.11211818,0.00000000,-0.19092911,0.00000000,0.24240787,0.38151821,0.33807242,-3.90197921,0,11:25:21.6,0,0
7,5.14634371,0.37438184,-0.07494177,-0.63973361,-0.04983922,-0.26325515,-0.08211605,-0.42911950,-0.37690365,-0.58181703,-1.57703936,-0.36029321,-1.52436221,-1.44205737,-0.46015885,-1.01584232,-1.52635634,-0.35611713,-1.69229496,-0.30035546,-0.43879145,-0.46535388,-0.19592690,-0.14018930,-0.05569395,2.17474961,0.16992146,0.00000000,-0.31636861,0.00000000,0.23249803,-2.65764999,0.36702913,5.82048512,0,11:25:21.7,0,0
8,6.06867218,-0.31222728,-0.10394602,-0.74580151,-0.38348848,-0.42536411,-0.18944719,-0.39540699,-0.62223667,-0.55437940,-1.17310667,-0.37837487,-1.17201161,-1.50940585,-0.48607573,-1.00529516,-1.71874070,-0.40855080,-1.69229496,-0.56056273,-0.48387903,-0.59441608,-0.27203608,-0.28396124,-0.15985201,0.59113222,0.06445761,0.00000000,-0.79723293,0.00000000,0.20783885,-1.10389698,0.32371059,-2.25312829,0,11:25:21.8,0,0
9,4.73732471,-0.01730079,-0.07324305,-0.76647425,-0.04983922,-0.35437143,-0.08594099,-0.45599258,-0.34955153,-0.64176762,-1.25727832,-0.37761968,-1.15795624,-0.62731230,-0.49190995,-0.98146635,-1.52635634,-0.35524663,-1.74433744,-0.56056273,-0.54693353,-0.59441608,-0.28621736,-0.39331135,-0.20334138,0.54908472,-0.04370775,0.00000000,0.32163107,0.00000000,0.19297463,-0.04189216,0.26129952,-0.11020209,0,11:25:21.9,0,0
10,7.17741680,0.37438184,-0.10408294,-0.76994449,0.10520786,-0.44840768,-0.21029459,-0.44688284,-0.84051090,-0.64176762,-1.54900181,-0.38139901,-1.18608940,-3.81444073,-0.49190995,-1.03666508,-1.62341261,-0.40855080,-1.69229496,-0.64602178,-0.54693353,-0.60526675,-0.24994318,-0.29631597,-0.11598714,0.59113222,0.07395670,0.00000000,-0.19092911,0.00000000,0.15379332,-2.24879026,0.25146958,0.00000000,0,11:25:22.0,0,0
11,5.14634371,-0.01730079,-0.16329716,-0.86918825,-0.21247084,-0.39287695,-0.10275593,-0.43184984,-0.46637490,-0.68805486,-0.48823559,-0.41075024,-0.58828777,-1.65049088,-0.43717441,-1.05183768,-1.80870712,-0.30553836,-1.74433744,-0.64602178,-0.45736179,-0.52851439,-0.25154650,-0.34846523,-0.14664006,-0.45455852,-0.07621281,0.00000000,-0.52538759,0.00000000,0.12689775,-0.73119694,0.21792206,-2.06562757,0,11:25:22.1,0,0
12,5.58821154,-0.01730079,-0.13494615,-0.80825430,-0.04983922,-0.37202835,-0.09977141,-0.46940747,-0.34955153,-0.66865849,-1.25727832,-0.38895097,-1.04737747,-3.67430758,-0.43710518,-1.03371918,-1.52635634,-0.51192266,-1.69229496,-0.72602499,-0.55715460,-0.60526675,-0.34440246,-0.19286552,-0.08923513,-0.63706988,0.07395670,0.00000000,-0.79723293,0.00000000,0.16842349,-0.99512601,0.20405576,-3.33007312,0,11:25:22.2,0,0
13,4.73732471,0.37438184,-0.10155509,-0.60052031,0.10520786,-0.29480201,-0.11736018,-0.44920892,-0.42048898,-0.58371687,-0.93942595,-0.34977850,-1.14854670,-0.55815870,-0.44805449,-0.86424690,-1.33113360,-0.51192266,-1.74433744,-0.38997269,-0.53247935,-0.43513936,-0.21797797,-0.10934811,-0.08142082,-0.45455852,0.05021003,0.00000000,-0.52538759,0.00000000,0.17821854,-1.45251393,0.29498032,-2.43489146,0,11:25:22.3,0,0
14,4.73732471,-0.01730079,-0.01949181,-0.68209267,-0.04983922,-0.36367375,-0.17838968,-0.42240140,-0.63025707,-0.53462881,-0.88343549,-0.32015005,-0.45256388,-3.95552588,-0.31613049,-1.10037351,-1.90090609,-0.36192009,-1.84685361,-0.80897236,-0.49621701,-0.56845009,-0.25154650,-0.13005856,-0.07060052,1.85016656,-0.02975953,0.00000000,-0.08133183,0.00000000,0.16831544,-0.48902392,0.43683755,-1.33783650,0,11:25:22.4,0,0
15,3.67194891,-0.31222728,-0.04710039,-0.68209267,-0.54508024,-0.28128812,-0.05216295,-0.38239884,-0.20770402,-0.50644660,-0.32651952,-0.38216582,-0.79651415,0.35141844,-0.53063458,-0.88830477,-1.71874070,-0.35524663,-1.69229496,-0.56056273,-0.43879145,-0.39915213,-0.20353223,-0.25053594,-0.15261640,1.85016656,-0.04370775,0.00000000,-0.08133183,0.00000000,0.21472639,-0.29569310,0.38555577,-2.10279632,0,11:25:22.5,0,0
16,6.59523773,0.37438184,-0.00261806,-0.57522446,0.10520786,-0.26033449,-0.04791575,-0.40892094,-0.29364958,-0.56486493,-1.20128787,-0.35482213,-0.48094893,-0.62731230,-0.39871058,-0.87544882,-1.52635634,-0.35524663,-1.69229496,-0.64602178,-0.43879145,-0.59441608,-0.30831027,-0.15133289,-0.10056316,0.59113222,0.07395670,0.00000000,0.28993517,0.00000000,0.21763575,-0.49589866,0.32785338,-1.02492630,0,11:25:22.6,0,0
17,3.67194891,-0.01730079,-0.10435092,-0.53601116,-0.21247084,-0.38965106,-0.15791112,-0.35873491,-0.64332831,-0.54897439,0.12010214,-0.35868692,-0.95369977,-0.02100853,-0.44805449,-0.89967990,-1.43161321,-0.46521351,-1.84685361,-0.56056273,-0.63062704,-0.41223162,-0.17918012,-0.33872640,-0.17813540,-1.30302382,-0.07621281,0.00000000,-0.90665990,0.00000000,0.17821854,-0.25367698,0.31350699,-1.15683353,0,11:25:22.7,0,0
18,7.81591129,0.37438184,-0.04754645,-0.62544096,0.10520786,-0.37953594,-0.10895330,-0.45599258,-0.43251029,-0.60665566,-1.20128787,-0.34441477,-0.96787399,0.41876695,-0.40349561,-0.85779053,-1.52635634,-0.30281296,-1.63981581,-0.47375664,-0.35053718,-0.44286883,-0.18119285,-0.27205238,-0.15366165,0.54908472,-0.02042178,0.00000000,-0.11572756,0.00000000,0.19297463,-0.48744610,0.26554897,-0.66463041,0,11:25:22.8,0,0
19,5.58821154,-0.01730079,-0.07801395,-0.68847275,-0.38348848,-0.35335025,-0.07687927,-0.46259153,-0.32328540,-0.67394650,-1.25727832,-0.37867242,-0.65989107,-3.74709225,-0.31613049,-1.01584232,-1.52635634,-0.61884147,-1.84685361,-0.64602178,-0.78522140,-0.55011714,-0.28621736,-0.19968785,-0.12042163,0.54908472,-0.02042178,0.00000000,-0.19092911,0.00000000,0.11448291,-0.04189216,0.23736785,-0.91193038,0,11:25:22.9,0,0
