Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190215112738
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,  1y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,2000,1409,728,660,608,0,552,556,570,0,647,612,603,586,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
Signal Check Result,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,56,56,6,6,62,62,6,6,6,6,24,24,30,30,6,6,31,31,15,15,6,6,6,6,7,7,6,6,15,15,6,6,6,6,12,12,7,7,7,7,7,7,6,6,6,6,15,15,7,7,31,31,28,28,124,124,30,30,6,6,6,6,31,31,6,6,31,31,6,6,49,49,62,62,62,62,48,48,24,24,6,6,7,7,28,28,6,6,44,44,28,28,98,98,15,15,15,15,7,7,12,12,72,72,6,6,6,6,6,6,6,6
Digital Gain,100.00,1.00,100.00,1.00,3.76,8.10,82.05,100.00,100.00,100.00,4.94,11.97,5.09,16.48,23.00,79.02,8.17,32.41,2.24,4.05,11.15,100.00,2.38,2.82,2.22,32.43,12.03,100.00,10.55,12.55,19.11,27.55,9.94,1.00,16.75,17.76,8.47,1.00,13.58,1.00,8.79,10.29,6.22,7.25,4.88,5.71,5.07,7.10,3.29,5.30,32.04,100.00,2.58,1.00,87.45,1.00,1.00,1.00,1.00,1.00,100.00,100.00,52.12,77.22,81.17,100.00,100.00,100.00,38.34,1.00,16.81,16.98,8.38,15.86,14.95,49.07,1.82,7.26,2.64,5.24,2.34,2.93,1.66,35.70,1.35,22.37,24.53,36.38,2.64,3.57,1.56,100.00,9.62,100.00,2.62,3.71,3.18,3.72,2.70,3.03,1.91,3.99,1.00,1.00,100.00,100.00,100.00,100.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/02/15 11:27:39
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,2.62173557,3.78719163,-0.07369409,0.14101854,1.39458919,-0.32790229,-0.34773126,-0.21511011,-0.70596516,-0.59229684,0.21517633,-0.41042396,-0.01224898,1.18145037,-0.23760518,-0.12188274,-0.42594436,-0.01224976,-0.26368836,-0.25751352,-0.11743589,-0.09265759,-0.08380569,-0.30487171,-0.15654172,1.66109085,-0.60843146,11.10989189,0.00000000,0.00000000,-1.79107583,-0.43780562,-0.58160233,0.00000000,0,11:27:49.0,0,0
2,-0.19008364,1.55517507,-0.11006822,1.05193639,2.93067598,-0.31610370,-0.25826579,-0.22069928,-0.55311149,-0.58521175,0.21517633,-0.42873451,-0.08349223,-1.57218242,-0.15589944,-1.07320786,-0.83320493,-0.09498830,-0.22081985,-0.25751352,-0.10223171,-0.04624753,-0.02779893,-0.28462458,-0.13955040,0.76698965,-0.59894705,-1.86024594,1.58682394,0.00000000,1.99098599,-0.44306907,0.76666170,-0.59151489,0,11:27:49.1,0,0
3,-0.19008364,3.78719163,-0.03943455,0.68973088,2.81566548,-0.19823784,-0.23525301,-0.33104432,-0.39253354,-0.58979535,-0.24588700,-0.41910860,-0.44331950,-1.12342966,-0.31637892,-0.70032108,-0.47267392,-0.06011562,-0.13889021,-0.13579689,0.00038500,-0.11305069,-0.11392537,-0.31331772,-0.18433733,-0.74578619,-0.51331955,7.27874565,0.00000000,0.00000000,2.09749079,0.30814892,1.17379224,0.00000000,0,11:27:49.2,0,0
4,2.62173557,-0.02844216,-0.17600873,-0.48936221,-1.34452140,-0.55055189,-0.61045545,-0.43243673,-1.17933381,-0.64061755,0.10900719,-0.42816347,-0.24115025,1.01062882,-0.23478480,-0.56651276,-0.56507307,-0.04499672,-0.26368836,-0.13579689,-0.15646917,0.01026959,0.02269521,-0.26419550,-0.10779540,0.75276196,-0.58480722,2.22558951,1.45640588,0.00000000,-0.44270840,-0.81440270,-0.21877940,-1.93981349,0,11:27:49.3,0,0
5,-0.19008364,1.55517507,-0.15756804,0.68973088,2.81566548,-0.07253488,-0.00359069,-0.66475177,0.17732882,-0.67152959,0.15951580,-0.44965526,0.17265762,0.67984313,-0.28773737,-0.46163738,-0.47267392,-0.43078282,-0.34379467,6.79689264,-0.31509301,-0.02381637,0.01641380,-0.24389136,-0.09399737,0.27410668,-0.56108075,-1.86024594,-0.69751763,0.00000000,1.25591946,-0.06562680,0.16035800,-0.59151489,0,11:27:49.4,0,0
6,-1.19372690,-1.25664425,-0.14741442,-1.60822618,-0.79067522,-0.41118887,-0.42567471,-0.43243673,-0.66798204,-0.69672710,0.10900719,-0.47736499,-0.09285385,-0.49591801,-0.19159929,-0.63041252,-0.56507307,0.21952225,-0.18239902,-0.13579689,0.01505247,-0.06601702,-0.02913307,-0.39169595,-0.16964374,1.11455989,-0.60843146,-1.59303784,-0.82793570,0.00000000,0.29235810,2.43470407,0.56748855,1.94211936,0,11:27:49.5,0,0
7,-0.19008364,1.55517507,-0.15756804,-1.25299525,-0.79067522,-0.26505792,-0.21456482,-0.66475177,-0.17418154,-0.72471720,-0.40355301,-0.51643962,-0.21797547,-1.23787832,-0.34139967,-0.79236269,-0.51906723,-0.25222191,-0.30154788,-0.37654272,-0.28608951,-0.26505449,-0.15796137,-0.40486103,-0.15231724,0.13719968,-0.59894705,1.22094965,0.00000000,0.00000000,1.24902570,0.47647986,0.16035800,8.15805435,0,11:27:49.6,0,0
8,-1.19372690,1.55517507,-0.13251512,-0.13413136,2.81566548,-0.63812894,-0.70689690,-0.32758605,-1.29282475,-0.74745905,-0.35304442,-0.51660019,-0.14408939,-0.00178887,-0.26461494,-0.58228612,-0.61064082,-0.23224737,-0.34379467,-0.19922857,-0.15494031,-0.11207030,-0.02175068,-0.31994537,-0.12575237,1.39446759,-0.63189650,-2.36139131,8.96666622,0.00000000,1.25591946,0.69448161,0.90008450,0.63126403,0,11:27:49.7,0,0
9,1.03811848,1.55517507,-0.26285350,0.65357870,1.46729803,-0.46845201,-0.47166145,-0.77163851,-0.97317177,-0.79338771,-0.45360234,-0.55496645,-0.09571227,1.63705194,-0.31389010,-0.61624867,8.29106808,-0.27109781,-0.34379467,-0.49734426,-0.31509301,-0.33528301,-0.16720149,-0.36697251,-0.14261644,0.82520729,-0.63189650,0.37167528,2.94200015,0.00000000,1.25591946,0.11394130,-0.21877940,2.85287714,0,11:27:49.8,0,0
10,-1.19372690,-1.25664425,-0.21270649,-0.48936221,-1.34452140,-0.24738207,-0.23393495,-0.64705628,-0.30003348,-0.65266097,-0.40355301,-0.45835939,-0.12552412,0.28299385,-0.26136777,-0.27286661,-0.42594436,-0.30008778,-0.30154788,-0.13579689,-0.20001596,-0.10069101,-0.04534080,-0.28417045,-0.14261644,1.99810517,-0.56108075,-0.69603801,2.81158209,0.00000000,0.51395923,0.20821208,0.16035800,1.15992165,0,11:27:49.9,0,0
11,-2.04219198,-0.02844216,-0.11006822,-0.13413136,1.23204803,0.00990374,0.03816461,-0.69094658,0.39016700,-0.62385154,-0.90368760,-0.43738186,-0.16656567,-0.83022213,-0.28161195,-1.15467739,-0.83320493,-0.43078282,-0.38105133,-0.19922857,-0.30440140,-0.04939523,-0.02307266,-0.23658942,-0.09706765,1.06971300,-0.54678428,-3.03551292,1.45640588,0.00000000,1.99098599,0.57062799,0.76666170,3.45918107,0,11:27:50.0,0,0
12,-1.19372690,1.55517507,-0.12511802,-0.13413136,-0.11631934,-0.19607776,-0.16681343,-0.97938001,0.01444708,-0.66706991,-1.05990613,-0.45247659,-0.07411432,2.41531754,-0.29539379,-0.18707910,10.71223354,-0.09498830,-0.26368836,-0.55251974,-0.08871855,-0.16212732,-0.12690410,-0.28077188,-0.09706765,1.48551548,-0.54678428,-0.36391309,1.45640588,0.00000000,-1.79107583,-0.82229596,-0.58160233,-1.65757024,0,11:27:50.1,0,0
13,-1.19372690,-1.25664425,-0.07720322,-0.82310140,-2.34816480,0.00328758,0.06968421,-0.32631537,0.28017837,-0.63592023,0.21517633,-0.40926531,-0.03168687,-0.60809261,-0.12706862,-0.89759195,-0.65589082,-0.17177154,-0.26368836,-0.31951135,-0.11743589,-0.14917471,-0.10584066,-0.29195115,-0.15179940,1.14655614,-0.51331955,10.89936447,6.13504314,0.00000000,0.51395923,0.11394130,-0.21877940,0.64736146,0,11:27:50.2,0,0
14,1.03811848,7.60231256,-0.05490684,0.65357870,3.69931459,-0.39435473,-0.42716989,-0.32758605,-1.00161707,-0.64774197,-0.35304442,-0.41900834,-0.22226630,-0.94707501,-0.16352110,-0.33416808,-0.28799233,0.15718012,-0.09995199,-0.31951135,-0.01273715,-0.13392600,-0.06751855,-0.29195115,-0.11995190,-1.83272827,-0.51331955,0.00000000,0.00000000,0.00000000,-0.20754415,1.53279221,0.26526374,-1.42172372,0,11:27:50.3,0,0
15,-0.19008364,-3.10875297,-0.12511802,-0.30197233,-1.62666154,-0.16320103,-0.08299674,-0.64705628,0.08361490,-0.72097713,0.40420440,-0.50127649,-0.09285385,2.12596488,-0.33294964,-0.43786129,8.38188553,-0.45748878,-0.34379467,-0.31951135,-0.25737217,-0.15427095,-0.05718330,-0.41064039,-0.16665545,0.36309260,-0.60843146,7.54402161,1.36982477,0.00000000,0.60754865,-0.34934372,0.03282687,-2.04123092,0,11:27:50.4,0,0
16,-1.19372690,-0.02844216,-0.05158047,0.70160699,2.18871570,-0.23545690,-0.13720809,-0.33372393,-0.03996912,-0.71295154,0.50301361,-0.50741267,0.06402892,-0.22391836,-0.29724976,-1.08005786,-0.83320493,-0.26191396,-0.42269462,-0.43727517,-0.26858667,-0.24478590,-0.15091436,-0.43390542,-0.18461479,0.70293182,-0.63189650,-4.00349188,0.01464856,-14.93316746,-0.13441163,0.52459025,0.03282687,-0.51851392,0,11:27:50.5,0,0
17,-2.04219198,-0.02844216,-0.14366791,-1.60822618,-0.79067522,-0.37517145,-0.30126554,-0.80215180,-0.52029443,-0.75478786,-0.35304442,-0.49267262,-0.09285385,2.04040217,-0.09375262,0.11944367,-0.33596164,-0.40385407,-0.30154788,-0.01138544,-0.30440140,-0.10069101,-0.03935979,-0.36776063,-0.13800398,0.50825620,-0.54678428,-3.63819432,5.32714844,0.00000000,0.29235810,1.17793071,-1.13113952,-2.37839150,0,11:27:50.6,0,0
18,-1.19372690,3.78719163,-0.21270649,-0.87318879,2.02114415,-0.71458596,-0.84264308,-0.87648922,-2.15015006,-0.81158471,-1.80186641,-0.53101915,-0.31610355,1.69007266,-0.22491530,-0.07268311,-0.37875617,-0.12177996,-0.26368836,-0.07625859,-0.20001596,-0.13392600,-0.00071441,-0.37060046,-0.14181398,1.62521148,-0.57534057,-0.36391309,1.45640588,0.00000000,-0.20754415,-0.02980462,-0.17447180,3.54829431,0,11:27:50.7,0,0
19,-1.19372690,-0.02844216,-0.19438820,0.30992439,2.18871570,-0.47112185,-0.57440722,-0.77163851,-1.06810391,-0.72097713,-0.50320071,-0.51687932,0.07984862,0.51077127,-0.34652492,-0.66987461,-0.70077145,-0.20223033,-0.38105133,-0.55251974,-0.22604942,-0.28006014,-0.17567892,-0.42842487,-0.18407224,-0.23375583,-0.60843146,-2.82069421,2.37370539,0.00000000,0.29235810,0.31504160,0.56748855,3.97174120,0,11:27:50.8,0,0
