Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190208105323
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,  1y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,2000,1409,683,633,558,0,562,562,535,0,647,612,643,609,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Stray,Stray,Normal,Normal,Stray,Stray,Stray,Stray,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under
Analog Gain,31,31,6,6,72,72,144,144,6,6,24,24,14,14,7,7,31,31,6,6,12,12,7,7,15,15,6,6,30,30,6,6,6,6,12,12,12,12,24,24,7,7,7,7,6,6,31,31,12,12,6,6,15,15,98,98,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,30,30,30,30,12,12,31,31,6,6,15,15,6,6,6,6,15,15,15,15,6,6,14,14,72,72,6,6,15,15,30,30,6,6,6,6,6,6,6,6
Digital Gain,43.94,1.00,93.80,1.00,4.53,9.04,100.00,1.00,62.97,100.00,5.20,9.89,2.70,8.53,3.44,9.50,9.32,30.16,2.05,2.81,2.23,44.26,4.57,5.07,2.44,50.64,1.00,100.00,5.40,8.13,1.00,100.00,1.00,1.00,7.32,10.53,6.60,1.00,5.95,1.00,7.73,9.22,4.20,5.97,2.03,3.42,5.42,7.58,2.35,5.25,100.00,100.00,2.04,1.00,29.41,1.00,100.00,100.00,21.76,1.00,69.52,100.00,56.56,76.44,24.27,57.18,100.00,100.00,46.56,1.00,25.27,49.79,2.82,5.38,2.49,7.59,1.80,5.11,3.30,6.37,2.82,3.48,1.91,53.60,9.22,100.00,16.24,26.46,3.38,5.34,2.72,1.00,10.54,100.00,2.02,2.82,4.76,4.76,1.27,2.07,1.94,6.87,1.40,41.07,18.29,100.00,11.26,60.64,100.00,100.00,100.00,100.00

Measurement Information
Date,2019/02/08 10:53:26
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.09957571,-0.20472375,0.33102906,0.00000000,0.18561661,-0.08168980,-0.11979864,-0.00447541,-1.59248948,-0.13073733,-0.92424732,0.20700148,-1.35580039,-2.20971060,0.07357093,-3.14671731,0.00000000,-0.35904947,-0.40678564,-0.09531339,-0.01583431,-0.07925393,-0.08459298,0.60945445,0.09126630,0.44626683,0.55193090,2.44029379,0.32314628,0.78098470,-0.54660690,0.09195668,0.19413991,0.00000000,0,10:53:35.1,0,0
2,-0.08732833,-0.20472375,0.37953714,0.00000000,-0.08052921,0.22357239,0.22328903,0.04303978,-0.02742045,-0.13534485,-0.91504979,0.05334428,-0.53081518,-6.02517271,-0.07078462,-6.96217966,0.00000000,-0.33263361,-0.43896458,-0.17638591,-0.04145208,-0.12283938,-0.11158735,0.41843608,0.02682675,1.54550159,0.50580961,-0.10142951,-0.51845348,0.46273360,-0.81092113,-0.01335066,0.01435434,0.58930093,0,10:53:35.2,0,0
3,0.09957571,0.23699185,0.17333630,0.00000000,0.21730237,0.19982336,0.25637144,0.09716666,0.23210411,-0.10407417,-0.36949414,0.18996333,-0.59648997,-4.45299768,0.03373092,-5.39000463,0.00000000,-0.33263361,-0.43896458,-0.12245174,-0.05942627,-0.14118788,-0.11255167,0.49756479,0.10706689,2.07016587,0.48749131,1.40129864,0.56682926,0.78098470,0.44373855,1.14926863,0.35599205,-4.99920034,0,10:53:35.3,0,0
4,-0.08732833,-0.20472375,0.07652963,0.00000000,-0.36988178,0.23793334,0.37238991,0.10040510,0.43703780,-0.18468565,0.02105029,-0.10741270,-0.31110635,5.11798334,-0.15152015,4.84810686,6.54472494,-0.38471219,-5.60586309,-0.14951281,-0.12896620,-0.11455224,-0.07565159,0.26974651,0.06353843,3.37124801,0.39222491,-0.98702794,0.15984671,0.36527467,0.01241703,-0.85752618,0.06079021,-4.47506142,0,10:53:35.4,0,0
5,0.29304972,-0.20472375,0.18102755,0.00000000,-0.08052921,0.54027420,0.38753614,-0.13624366,0.85471803,-0.23537417,-0.87144595,0.00918291,-0.79899806,-6.02517271,-0.06941890,-3.14671731,0.00000000,-0.13722950,-0.31381997,-0.22979675,0.11133215,-0.16952267,-0.12240136,0.43019778,0.10891846,-0.13364999,0.42379740,-0.77863604,0.48518986,0.56680596,-0.16256517,-0.81095910,0.07949309,0.00000000,0,10:53:35.5,0,0
6,0.29304972,-0.20472375,0.46568558,0.00000000,-0.08052921,0.39806348,0.33369824,0.04303978,0.38125816,-0.07928871,-0.90583718,0.12189153,-0.85172236,-2.20971060,0.04834095,-3.14671731,0.00000000,-0.29018345,-0.37907767,-0.12245174,0.12053628,-0.07242918,-0.11443341,0.61764675,0.09609496,0.44626683,0.58906221,1.56416714,0.48518986,0.67282343,-0.16256517,-0.19901183,0.19413991,0.00000000,0,10:53:35.6,0,0
7,0.91795969,-0.20472375,0.39855173,0.00000000,-0.36988178,0.23154689,0.27551356,-0.01875043,0.10086537,-0.11621517,-0.92424732,0.17960653,-0.93412429,0.00000000,0.01803793,0.00000000,0.00000000,-0.33459961,-0.46643013,-0.14951281,-0.01656737,-0.08130099,-0.11158735,0.43338391,0.12326743,2.93068433,2.46922469,2.07176280,-0.35271353,0.56680596,0.30794278,0.16380592,0.27868652,-2.18781066,0,10:53:35.7,0,0
8,0.49357274,0.71726972,0.42244300,0.00000000,0.21730237,0.44241181,0.48866227,0.07763995,0.97522813,-0.13453558,-0.08982971,0.07977349,-0.38194504,0.00000000,-0.07273062,0.00000000,0.00000000,-0.43451780,-0.46643013,-0.12245174,-0.04145208,-0.02995551,-0.05767784,0.45746645,0.12222985,1.06652260,0.47829837,0.94959170,0.08785027,0.56680596,0.62492299,0.09189314,0.42869195,-2.51170731,0,10:53:35.8,0,0
9,-0.08732833,-0.20472375,0.27862176,0.00000000,-0.08052921,0.05214397,0.09688820,0.02952751,-0.15304919,-0.11224427,-0.51556212,0.08187185,-1.10847878,2.30049157,-0.00237784,2.03061509,1.20930123,-0.24160203,-0.43896458,-0.28269365,0.04873908,-0.14311118,-0.12947367,0.53220856,0.16458815,1.54550159,3.41898036,0.01795569,0.08785027,0.67282343,0.95629877,0.51540464,0.62744516,7.75530243,0,10:53:35.9,0,0
10,0.29304972,-0.20472375,0.17333630,0.00000000,-0.36988178,0.33827204,0.30381560,0.00332168,0.51449442,-0.11411770,-1.02978539,0.00918291,-0.32196200,0.00000000,-0.07474424,0.00000000,0.00000000,-0.39331120,-0.46643013,-0.12245174,-0.13683206,-0.06699264,-0.08459298,0.39571187,0.04970570,1.54550159,0.47829837,1.09442663,0.08785027,0.67282343,0.11236279,-0.74810946,0.35599205,-4.99920034,0,10:53:36.0,0,0
11,0.29304972,-0.20472375,0.24314454,0.00000000,0.18561661,0.43697348,0.40181118,0.08190377,0.78356016,-0.14893772,-0.38790432,-0.01759317,-1.96848285,0.00000000,-0.16511831,0.00000000,0.00000000,-0.39185855,-0.43896458,-0.20318343,-0.09948041,-0.10839229,-0.10355745,0.36469910,0.06587406,-0.13364999,0.40569389,0.53215748,-0.78143477,0.67282343,-0.16256517,-0.49560961,0.35599205,0.00000000,0,10:53:36.1,0,0
12,0.29304972,0.23699185,0.04327048,0.00000000,-0.08052921,0.21997395,0.23794448,-0.06430912,0.41819760,-0.21705589,-0.69563347,-0.00475523,-0.16094472,4.60542297,0.02142517,3.72924280,4.84881926,-0.43451780,-0.46643013,-0.09531339,-0.16090615,-0.11248823,-0.08459298,0.30973428,0.00683978,-0.65831429,0.39222491,0.66628504,-0.78143477,0.67282343,-0.16256517,0.03681690,0.07949309,0.12454760,0,10:53:36.2,0,0
13,0.91795969,0.23699185,0.38596073,0.00000000,-0.36988178,0.49014401,0.42312595,0.04915581,0.86890811,-0.08267392,-0.50636458,0.14380001,-0.87420845,3.25715899,-0.04057099,2.98728251,4.84881926,-0.48132402,-0.43896458,-0.17638591,-0.14577422,-0.15769072,-0.13240716,0.56495589,0.14464167,-0.13364999,0.44190460,1.24833918,-0.03947446,0.67282343,1.75827312,-0.24152870,0.66030341,5.89447832,0,10:53:36.3,0,0
14,-0.08732833,-0.20472375,0.47823533,0.00000000,-0.08052921,0.38273680,0.24162070,-0.13962168,0.10546275,-0.17337009,-1.38655937,0.06272462,-0.48600748,-6.02517271,-0.06243058,-5.39000463,0.00000000,-0.37166312,-0.49826327,-0.04057499,0.03453564,0.00037532,-0.09640045,0.52628440,0.11281235,1.06652260,0.44190460,0.80852991,-0.51845348,0.56680596,0.11236279,0.14516021,0.39565113,-0.65959877,0,10:53:36.4,0,0
15,0.09957571,-0.20472375,0.33805799,0.00000000,-0.08052921,0.13533880,0.13723788,-0.02232249,0.05768688,-0.13304450,-0.56590283,0.10621765,-2.06049562,3.25715899,-0.05414670,2.98728251,3.49364281,-0.36069617,-0.49826327,-0.14951281,-0.04145208,-0.06275110,-0.09540698,0.38392729,0.03397830,-0.65831429,0.39222491,0.39679322,-1.26041377,0.56680596,0.44373855,0.14516021,0.24134521,-0.15265939,0,10:53:36.5,0,0
16,0.09957571,-0.20472375,0.49030399,0.00000000,-0.08052921,0.16446932,0.17112629,-0.12228516,-0.07640341,-0.18720683,-1.13076305,0.13337196,-0.24589197,0.00000000,0.11449627,0.00000000,0.00000000,-0.33263361,-0.43896458,-0.12245174,0.00942875,-0.05852738,-0.08280878,0.47539839,0.05428880,-0.65831429,0.48749131,-0.33652872,-0.03947446,0.56680596,0.44373855,0.11633767,0.24134521,0.00000000,0,10:53:36.6,0,0
17,-0.26804376,-0.20472375,0.27137178,0.00000000,0.18561661,0.15057419,0.19628313,0.04303978,0.05851006,-0.12479994,-0.77105433,0.09216567,-1.40125501,3.25715899,-0.00006590,2.98728251,4.84881926,-0.32788709,-0.46643013,-0.14951281,-0.02866671,-0.04408086,-0.07374790,0.53868610,0.08418795,-0.65831429,0.40569389,-0.22223683,-0.51845348,0.67282343,-0.54660690,-0.74810946,0.31128713,1.28471804,0,10:53:36.7,0,0
18,0.29304972,-0.20472375,0.22158088,0.00000000,-0.08052921,0.22194059,0.11436685,0.08752094,-0.03300910,-0.13336912,-0.50636458,0.06681812,-0.86071658,0.00000000,0.02977333,0.00000000,0.00000000,-0.34995052,-0.37907767,-0.04057499,-0.01053049,-0.05852738,-0.08194500,0.40366322,0.02359693,-0.13364999,0.46007162,0.53215748,-0.25677049,0.56680596,-0.90452552,0.87257427,0.07949309,0.00000000,0,10:53:36.8,0,0
19,0.49357274,-0.20472375,0.22032304,0.00000000,0.18561661,0.24165604,0.07439690,-0.09944261,-0.34421167,-0.16343009,-1.37736177,0.04721383,-1.59637833,-2.20971060,-0.08723734,0.63466161,0.00000000,-0.45307827,-0.43896458,-0.06804057,-0.16209513,-0.12283938,-0.09640045,0.24888192,-0.04187192,-0.13364999,0.35633844,2.07176280,-0.78143477,0.56680596,-0.90452552,-1.90062189,-0.09060384,0.00000000,0,10:53:36.9,0,0
20,0.09957571,-0.20472375,0.13268436,0.00000000,-0.08052921,0.00386507,-0.02859325,-0.13962168,-0.46580008,-0.23781183,-1.56007004,-0.06044634,-0.16094472,2.30049157,-0.07169244,2.98728251,3.49364281,-0.52234745,-0.49826327,-0.09531339,-0.24296965,-0.11248823,-0.07558373,0.38630167,0.06368768,3.37124801,0.35633844,-0.22223683,0.08785027,0.36527467,-0.20461743,0.37320000,0.01435434,-0.31492642,0,10:53:37.0,0,0
