Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190215105551
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,  1y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,2000,1409,768,683,703,0,602,585,630,0,582,574,648,612,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under
Analog Gain,56,56,6,6,124,124,6,6,6,6,28,28,24,24,62,62,31,31,6,6,6,6,6,6,7,7,7,7,15,15,6,6,7,7,12,12,7,7,15,15,15,15,12,12,6,6,44,44,7,7,6,6,15,15,6,6,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,49,49,49,49,15,15,24,24,7,7,6,6,12,12,112,112,24,24,7,7,15,15,98,98,24,24,7,7,15,15,31,31,6,6,72,72,6,6,6,6
Digital Gain,100.00,1.00,100.00,1.00,100.00,100.00,100.00,100.00,100.00,100.00,4.70,9.91,4.39,16.26,2.04,3.91,6.08,26.51,1.58,2.73,1.19,17.44,2.48,3.62,1.62,23.03,3.71,79.08,3.70,5.75,4.45,8.90,3.25,100.00,6.68,10.78,2.30,100.00,2.99,1.00,12.02,11.95,4.48,4.96,2.11,2.92,4.08,4.46,2.84,5.20,1.00,1.00,2.95,1.00,100.00,1.00,100.00,100.00,100.00,1.00,64.58,100.00,30.61,62.21,100.00,100.00,93.80,100.00,100.00,1.00,65.01,100.00,6.04,11.91,7.89,23.97,2.58,7.49,2.26,4.74,2.28,3.23,1.00,13.03,1.17,18.12,10.64,10.70,2.25,3.77,1.43,44.48,1.41,28.13,64.41,63.79,27.51,27.52,2.38,3.23,1.89,4.32,2.36,100.00,7.48,100.00,3.79,3.81,100.00,100.00,100.00,100.00

Measurement Information
Date,2019/02/15 10:55:57
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,2.33182859,1.39869702,-0.95237201,0.77143615,3.93376184,-0.08402146,-0.00593260,0.77968407,-0.26141235,-0.37783611,-0.22086444,-0.23423241,0.06683069,0.43267480,0.19634949,-0.12870607,1.65300906,0.05432817,-1.34160578,-0.17490637,0.52649844,0.00640443,-0.12253479,-0.03780007,-0.15956976,0.00000000,-0.15707301,0.00000000,0.87024146,0.00000000,-0.36713478,0.47023022,2.67196989,2.93709302,0,10:56:07.1,0,0
2,-0.47999081,-0.83314842,0.05127126,-1.06315517,-1.11007392,0.10931124,0.28350988,0.72978878,0.41352305,-0.38470083,-0.17693202,-0.27120766,0.03840676,-0.07914262,0.09493402,-0.29466078,0.64704788,0.11664896,2.31148696,-0.11902094,0.56846786,-0.00355499,-0.12112063,0.15323474,-0.07914619,0.00000000,-0.12957282,0.00000000,0.87024146,-0.13738164,-0.17144766,-0.18346803,0.43995354,0.26350561,0,10:56:07.2,0,0
3,4.56384516,0.17049490,-2.06541085,0.16513245,0.11812810,-0.32560232,-0.47653237,0.68671936,-1.08213854,-0.37613249,-0.12890376,-0.31709838,-0.19041389,0.37908030,0.09204242,-0.21405412,1.61843336,0.01311919,3.19789934,-0.16101702,0.25086075,-0.02161713,-0.12253479,0.05294462,-0.15956976,0.00000000,-0.17079979,0.00000000,3.10225797,0.00000000,0.14542541,0.27015424,2.67196989,1.77458167,0,10:56:07.3,0,0
4,2.33182859,-0.83314842,-0.95237201,0.63562554,-0.15340632,-0.07258386,0.28380197,0.69008034,0.39716583,-0.42579132,-0.17199585,-0.30564594,0.17936575,0.36453229,0.16983950,-0.24344297,0.66181725,-0.08242885,3.16802764,-0.22572654,0.19443972,-0.11298960,-0.13002828,-0.17700411,-0.27347517,0.00000000,-0.38126850,0.00000000,1.13596392,-0.13738164,-0.17144766,0.22629204,0.43995354,0.30970430,0,10:56:07.4,0,0
5,-0.47999081,-0.83314842,0.05127126,-1.06315517,-1.23023927,0.07134271,0.48722038,0.49618351,0.48495468,-0.45791608,-0.22475860,-0.35953587,0.02106758,0.16463675,0.07170179,-0.23896056,0.64704788,-0.04385953,0.84817815,-0.18881828,0.16087176,-0.04865819,-0.11948930,-0.30703765,-0.36340368,0.00000000,-0.47276419,0.00000000,-0.71337581,0.00000000,0.14542541,0.43186224,6.48709106,1.81336892,0,10:56:07.5,0,0
6,-1.48363400,5.21433067,-0.69068909,2.01034737,6.40051556,0.05761180,0.18150532,0.68848640,0.20401527,-0.38570595,-0.24488066,-0.29350403,-0.01806275,-0.32535407,0.09047920,-0.29598820,0.04074422,-0.01254147,-1.12126017,-0.14703459,0.43073696,-0.00282988,-0.10426253,0.07937559,-0.23862530,0.00000000,0.00540438,0.00000000,3.10225797,0.00000000,0.32149556,-0.78820056,0.00000000,14.61430454,0,10:56:07.6,0,0
7,2.33182859,-1.68161368,1.27947330,0.05570870,-0.41508946,0.06624383,0.06682205,0.81267548,-0.10557134,-0.33134949,-0.16725692,-0.17217371,0.25954106,-0.06459462,0.19698974,-0.26257131,1.13024843,-0.14364919,2.22127867,-0.14703459,0.03691040,0.08257590,-0.08910746,-0.06960473,-0.28753790,0.00000000,-0.17079979,-1.77114570,1.13596392,-6.18451881,-0.30687776,0.10632469,-2.37186575,-0.02530191,0,10:56:07.7,0,0
8,0.74821132,0.17049490,1.27947330,0.77143615,0.11812810,-0.39159927,-0.75837249,0.81267548,-1.39023709,-0.35356623,-0.21602497,-0.20520762,0.27855569,-0.04517701,0.17831379,-0.27710998,0.04074422,-0.07405179,-1.36181486,-0.10493129,0.25237972,0.09217975,-0.09510326,0.11925673,-0.15545189,0.00000000,-0.02277673,0.00000000,0.41485587,0.00000000,0.14542541,0.63520461,2.67196989,1.26633739,0,10:56:07.8,0,0
9,2.33182859,0.17049490,0.05127126,-1.22519875,-1.23023927,0.00145894,0.19958986,0.81412113,0.12014131,-0.33894053,-0.18707739,-0.18345590,0.16732839,0.39849791,0.19901885,-0.24252747,1.17437744,0.17237000,5.59829092,-0.10493129,0.54584318,0.11141070,-0.09510326,-0.02011854,-0.25349244,0.00000000,-0.06012839,0.00000000,-0.71337581,0.00000000,0.14542541,0.59298337,1.74482083,1.81822920,0,10:56:07.9,0,0
10,-1.48363400,1.39869702,0.05127126,0.16513245,0.35337797,-0.10199706,0.13361484,0.87865645,-0.21991052,-0.37296644,-0.21124077,-0.23054513,0.01262404,0.18405436,0.09507297,-0.23014599,0.68153071,-0.04187486,-1.34160578,-0.09080582,0.28735980,0.07774697,-0.08510075,0.16309400,-0.12737833,0.00000000,-0.03684243,-1.77114570,-1.16876137,-0.13738164,0.27260810,0.04903807,4.04954624,-0.52603406,0,10:56:08.0,0,0
11,-0.47999081,0.17049490,0.05127126,-0.48323840,-1.23023927,-0.56977814,-0.78056026,0.88535118,-1.58580542,-0.34607816,-0.15762475,-0.20266815,0.27855569,-0.58019686,0.19901885,-0.32103717,0.04074422,-0.03981137,-1.08602071,-0.17490637,0.40559980,-0.00282988,-0.10500912,0.03528786,-0.18704070,0.00000000,-0.18449275,-1.77114570,-1.16876137,-0.13738164,0.27260810,-0.00415126,3.97683716,-0.24905461,0,10:56:08.1,0,0
12,-0.47999081,0.17049490,-0.69068909,0.63562554,1.07479572,-0.44828907,-0.41732523,0.71805847,-0.74695241,-0.38567746,-0.16247272,-0.27297437,0.17131945,0.58049768,0.10707123,-0.21747847,1.61843336,-0.17345688,0.88290983,-0.21647984,0.14912246,-0.04418873,-0.13765626,-0.18528813,-0.37146845,0.00000000,-0.32828614,-1.77114570,-1.16876137,-0.13738164,-0.17144766,0.02848579,1.74482083,-0.08197832,0,10:56:08.2,0,0
13,-0.47999081,0.17049490,1.27947330,0.12306532,0.11812810,-0.16850498,0.07719691,0.67631263,0.10706915,-0.41437319,-0.17209642,-0.32395011,0.20282911,-0.32535407,0.07510601,-0.37917948,-0.73057574,-0.04916667,3.17794633,-0.23945378,0.25086075,-0.16982251,-0.16345561,-0.28474170,-0.42612228,0.00000000,-0.39439359,0.00000000,0.41485587,0.00000000,0.58948117,-0.78798896,1.74482083,-5.76536369,0,10:56:08.3,0,0
14,0.74821132,5.21433067,0.05127126,2.75230765,-1.29187667,-0.62124556,-0.73482895,0.66770613,-1.50283146,-0.42861179,-0.22570007,-0.34799057,0.00067678,-1.16708159,0.05851399,-0.34762424,-1.65788364,-0.20428170,-1.15627587,-0.20269510,0.18129553,-0.11986129,-0.14781904,-0.29739001,-0.52884394,0.00000000,-0.35481364,0.00000000,2.64687228,0.00000000,-0.03626069,-0.01153757,2.67196989,0.85670120,0,10:56:08.4,0,0
15,2.33182859,1.39869702,0.05127126,0.16513245,1.70174539,-0.13005961,0.18139286,0.55793190,-0.08281312,-0.38779467,-0.09314079,-0.33736598,-0.02276683,-0.32535407,0.04034702,-0.33326218,0.02601477,-0.11058646,3.16802764,-0.20269510,0.21729279,-0.11986129,-0.16217701,-0.16482240,-0.38438559,0.00000000,-0.26583132,0.00000000,0.87024146,0.00000000,0.14542541,0.11808512,2.67196989,1.70589256,0,10:56:08.5,0,0
16,0.74821132,-0.83314842,-0.69068909,-0.45685148,1.07479572,0.11490751,0.40805718,0.88890386,0.38195488,-0.33041671,-0.15762475,-0.20422658,0.25954106,0.73659128,0.19219242,-0.21959725,1.94644010,0.01311919,3.97487521,-0.23945378,0.36546755,-0.08576220,-0.14889906,-0.30003592,-0.29242268,0.00000000,-0.43374571,-5.58626699,1.25612915,-3.95250273,0.36467004,-0.01903655,0.16120356,-0.02530191,0,10:56:08.6,0,0
17,-1.48363400,1.39869702,0.05127126,0.77143615,2.65841293,-0.20508362,-0.08516724,0.82485318,-0.46511188,-0.32558602,-0.10959648,-0.22781041,0.09065951,0.18405436,0.18027933,-0.19726948,1.17437744,0.08844737,0.98837584,-0.11902094,0.46571705,0.10623674,-0.04784337,0.09694174,-0.09303319,0.00000000,-0.06012839,0.00000000,1.13596392,-0.13738164,0.27260810,0.49159566,1.74482083,1.26633739,0,10:56:08.7,0,0
18,0.74821132,1.39869702,1.27947330,0.16513245,1.70174539,-0.39840037,-0.34369919,0.80323273,-0.57031578,-0.36327487,-0.19194238,-0.19477651,0.18171227,0.52742034,0.18222402,-0.21959725,2.31631613,-0.07259431,-1.05055392,-0.17490637,0.22693680,-0.00282988,-0.12783064,-0.13167395,-0.32129449,0.00000000,-0.25233945,-1.77114570,-0.71337581,-3.95250273,-0.98362857,0.21295395,-1.14366364,-0.02530191,0,10:56:08.8,0,0
19,-0.47999081,-1.68161368,0.53751302,-0.45685148,-2.11371732,-0.16143596,-0.10827617,0.82571751,-0.31831920,-0.35558042,-0.09514607,-0.21080893,0.23312071,-0.02563031,0.16160338,-0.29466078,0.07522706,0.05089311,2.35712028,-0.14703459,0.53455734,-0.00802835,-0.13095316,-0.20719968,-0.36622989,0.00000000,-0.22531226,0.00000000,-1.16876137,0.00000000,-0.36713478,0.47023022,3.97683716,2.02123737,0,10:56:08.9,0,0
20,-1.48363400,2.98231435,0.53751302,0.15823865,2.58539462,-0.32423088,-0.75226855,0.69800156,-1.51679409,-0.38656342,-0.28977048,-0.27881882,0.06683069,-0.29138845,0.11048311,-0.24940279,0.07522706,-0.17363502,-1.05055392,-0.06250382,0.23581694,0.10668191,-0.07511477,0.24983686,-0.15037604,0.00000000,0.10527965,0.00000000,6.91737890,0.00000000,-0.64256442,-0.78820056,6.48709106,5.70811272,0,10:56:09.0,0,0
21,0.74821132,-2.41668010,0.53751302,-0.98151582,-2.11371732,-0.26799712,-0.19286317,0.78275001,-0.57031578,-0.37502575,-0.25879979,-0.27211255,0.05257091,-0.85013133,0.10922314,-0.29466078,-1.64311433,-0.10359623,-1.10622978,-0.13301654,0.21702754,0.06351633,-0.07836480,0.03878226,-0.17327675,0.00000000,-0.15707301,-1.77114570,1.13596392,-3.95250273,-0.98362857,0.11808512,0.43995354,0.19266103,0,10:56:09.1,0,0
22,-0.47999081,1.39869702,-0.69068909,1.50650263,2.65841293,-0.23826569,-0.04334807,0.61600280,-0.52166778,-0.37136909,-0.06431967,-0.32741374,0.20282911,-0.88409692,0.12166893,-0.39446965,-3.00625110,-0.04916667,2.23127723,-0.17490637,0.19443972,0.02112457,-0.09666777,-0.01756222,-0.27062571,0.00000000,-0.22531226,0.00000000,0.87024146,-0.13738164,-0.68400788,0.08061396,0.43995354,0.67293888,0,10:56:09.2,0,0
23,2.33182859,0.17049490,-1.19453359,-0.48323840,-1.23023927,-0.28700688,-0.11231919,0.46085423,-0.21991052,-0.43429673,-0.20086731,-0.32901073,0.11484994,-0.32535407,0.09158161,-0.28747773,-0.70121610,-0.17634661,2.18660998,-0.21647984,-0.00950585,-0.15949385,-0.16345561,-0.24050735,-0.37095174,0.00000000,-0.38126850,0.00000000,-1.16876137,0.00000000,-0.68400788,-0.32365930,0.43995354,0.19266103,0,10:56:09.3,0,0
24,0.74821132,0.17049490,-0.68197334,0.63562554,1.81675601,-0.18647870,-0.05045181,0.46826085,-0.08458502,-0.41161704,-0.19611262,-0.33558384,0.10080811,-0.38304704,0.09158161,-0.37917948,-0.75012243,-0.10862867,-1.43181407,-0.18881828,0.24038760,-0.04937656,-0.13095316,-0.30227578,-0.42087120,0.00000000,-0.42065936,0.00000000,2.71958113,0.00000000,0.14542541,0.20326483,2.67196989,-0.08197832,0,10:56:09.4,0,0
25,0.74821132,9.02945232,0.05127126,3.35861135,7.74888325,-0.06458033,0.17700884,0.69887358,-0.02169738,-0.35558042,-0.16247272,-0.24186574,0.10552713,-0.02563031,0.14575419,-0.24344297,0.07522706,-0.13765237,-1.36181486,-0.14703459,0.15881655,-0.06065103,-0.13939290,0.00095905,-0.25334391,0.00000000,-0.02277673,0.00000000,2.71958113,-0.13738164,-0.17144766,0.16867708,0.43995354,0.26350561,0,10:56:09.5,0,0
26,2.33182859,0.17049490,-0.69068909,0.77143615,2.65841293,-0.21012537,-0.46887916,0.78134316,-0.72260600,-0.32558602,-0.09514607,-0.22869080,0.13395107,0.37908030,0.14480855,-0.19797771,1.17437744,-0.01249642,3.24794555,-0.13301654,0.29798910,0.02077462,-0.09586541,-0.15515716,-0.32433751,0.00000000,-0.22531226,0.00000000,1.13596392,-3.95250273,-0.02701260,0.21295395,2.46592879,0.69030434,0,10:56:09.6,0,0
27,-1.48363400,-2.41668010,-0.69068909,-0.98151582,-2.96218252,-0.03651777,0.09255847,0.66592550,-0.29165846,-0.34588885,-0.20639278,-0.24166141,0.24999943,-0.06459462,0.12719353,-0.26849195,0.64704788,0.04696558,4.61641884,-0.17490637,0.42367855,-0.04609225,-0.15308586,-0.01097140,-0.17122944,0.00000000,-0.14336826,-1.77114570,-1.16876137,-0.13738164,-0.17144766,0.21295395,1.74482083,-0.02686475,0,10:56:09.7,0,0
28,0.74821132,0.17049490,1.27947330,-2.18186641,-3.53496432,-0.07422802,-0.13964875,0.75090194,-0.49346247,-0.34486175,-0.19194238,-0.24186574,0.02215637,-0.09844100,0.18222402,-0.29598820,-0.70121610,-0.04471840,-1.05055392,-0.20269510,0.33526757,-0.11573341,-0.15373728,-0.13029277,-0.37174135,0.00000000,-0.07409909,0.00000000,-0.71337581,0.00000000,-0.68400788,-0.96472162,0.43995354,-5.76536369,0,10:56:09.8,0,0
