Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190215130453
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,  1y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,2000,1409,653,615,603,0,592,579,605,0,602,585,603,586,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,72,72,6,6,124,124,6,6,6,6,44,44,44,44,6,6,48,48,6,6,44,44,6,6,7,7,7,7,12,12,7,7,6,6,6,6,7,7,7,7,7,7,7,7,6,6,15,15,7,7,6,6,15,15,6,6,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,56,56,62,62,62,62,88,88,7,7,7,7,7,7,6,6,7,7,6,6,6,6,12,12,15,15,6,6,7,7,72,72,6,6,6,6,6,6,6,6
Digital Gain,100.00,100.00,100.00,1.00,100.00,100.00,100.00,100.00,100.00,100.00,16.52,25.41,15.22,35.55,50.98,100.00,21.98,1.00,1.83,2.86,1.20,16.13,2.00,2.15,1.60,28.24,3.30,60.68,3.18,4.48,4.14,5.95,2.71,100.00,3.80,5.13,2.29,86.00,3.29,100.00,6.29,6.66,4.69,5.55,2.57,3.69,4.28,5.82,3.62,6.13,100.00,1.00,2.26,1.00,100.00,1.00,100.00,100.00,1.00,1.00,100.00,100.00,47.85,59.39,100.00,100.00,100.00,100.00,100.00,1.00,92.39,100.00,12.35,20.92,10.52,23.07,1.00,1.00,30.85,55.13,2.79,3.04,1.61,32.80,1.21,25.38,13.10,20.14,2.63,4.00,1.21,30.68,1.00,17.61,2.40,2.95,2.52,3.27,1.82,2.61,2.69,6.12,5.38,1.00,100.00,1.00,100.00,100.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/02/15 13:04:56
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,1.65268862,-0.02683669,0.44039044,-0.38804644,-2.64693975,0.00327135,-0.48692128,-0.14904255,0.08167577,-0.12116797,0.08805096,-0.04649297,-0.12718923,-0.88215399,-0.16046420,-0.17284518,-1.55048764,-0.17916553,0.38923588,-0.57367915,0.03667000,-0.04530293,-0.11984953,-0.13748997,-0.17516364,0.00000000,-0.28861865,-0.21125275,1.98657000,0.00000000,0.55338967,-0.31926668,0.00000000,6.56685257,0,13:05:05.1,0,0
2,-2.16294503,-2.83865619,0.44039044,-1.61633408,-2.57405996,0.33547071,-0.07054060,-0.14904255,0.19771133,-0.10745218,0.19710116,-0.00191188,-0.05299417,-0.14472832,-0.09674910,-0.10293813,0.02162498,-0.15750909,0.15543722,-2.85994768,0.07265799,-0.02870136,-0.12820448,-0.10305855,-0.09154904,0.00000000,-0.25627783,-0.21125275,-0.44818431,0.00000000,-3.26224399,-1.22511542,0.00000000,-4.44164181,0,13:05:05.2,0,0
3,1.65268862,2.20517969,-0.18655920,-0.39494029,-1.06332266,0.63783365,0.10077226,-0.14904255,0.68783492,-0.11647587,-0.01733117,-0.00074857,-0.12713462,-0.82170355,-0.08322046,-0.09602812,-1.52758992,-0.13861504,-0.44159567,-2.83214664,0.08406195,0.01390902,-0.09569941,-0.08061054,-0.12955122,0.00000000,-0.20508584,0.00000000,5.80169106,0.00000000,7.15485239,-0.65341687,0.00000000,0.00000000,0,13:05:05.3,0,0
4,5.46780968,-2.83865619,1.39705801,-1.61633408,-5.72725058,-2.03253579,-5.74655151,-0.22108716,0.95029670,-0.12548514,-0.07789640,-0.01926725,-0.15977672,-0.37103888,-0.12154659,-0.11250370,0.03532973,-0.13284725,-0.76870364,-2.87840438,0.06511319,-0.03564586,-0.13095261,-0.07849170,-0.09515595,0.00000000,-0.23772795,3.60386825,-0.24544634,0.00000000,1.10771465,-0.02503348,0.00000000,0.00000000,0,13:05:05.4,0,0
5,1.65268862,-2.83865619,0.44039044,-1.01003039,-2.57405996,0.24416573,0.08268353,-0.14904255,-0.66373879,-0.14345889,-0.04942944,-0.07554870,-0.11797663,-0.86825389,-0.20309646,-0.19127089,-2.30609560,-0.17628056,-0.14316511,-2.92433333,0.00499375,-0.11761320,-0.16514386,-0.10305855,-0.12698527,0.00000000,-0.25627783,-0.21125275,-0.24544634,0.00000000,-1.67862678,-1.12787473,0.00000000,-4.39436769,0,13:05:05.5,0,0
6,-0.57932788,6.02030087,-0.18655920,0.34702006,3.47341919,-0.05056171,-0.26592436,-0.14904255,-0.14318131,-0.13812131,0.07013796,-0.05565223,-0.05953855,-0.43112716,-0.17123437,-0.15636961,-0.45894164,-0.15750909,-0.13391373,-0.57367915,0.06394282,-0.02185932,-0.11984953,-0.16167755,-0.14229369,0.00000000,-0.29781625,-0.21125275,-0.24544634,0.00000000,-2.18572068,-0.03602586,0.00000000,-4.91408300,0,13:05:05.6,0,0
7,0.00000000,-0.02683669,-1.14322686,-1.13000679,-2.64693975,0.13275844,-0.87024027,-0.14904255,1.08633578,-0.14361741,-0.13062538,-0.08677337,-0.24736519,-0.20496859,-0.20618366,-0.12581916,0.01243204,-0.22983678,-0.18463403,-0.12933290,-0.03025073,-0.09434818,-0.13095261,-0.15239803,-0.16005288,0.00000000,-0.28861865,3.60386825,1.98657000,0.00000000,0.62609863,-0.43257487,0.00000000,0.00000000,0,13:05:05.7,0,0
8,-2.16294503,2.20517969,-1.14322686,1.19548523,1.24140275,0.27112597,-0.47862691,-0.14904255,1.08633578,-0.15256077,-0.04282739,-0.11233983,-0.20490927,-0.26461309,-0.26514059,-0.16254304,0.35410687,-0.21130240,-0.17545214,-0.58750957,0.00499375,-0.04751420,-0.10049102,-0.16167755,-0.16036761,0.00000000,-0.32991463,3.60386825,1.98657000,0.00000000,0.62609863,0.30550539,0.00000000,0.00000000,0,13:05:05.8,0,0
9,5.46780968,-0.02683669,-0.18655920,-0.43011358,-1.57041657,-1.43515682,-4.21998358,-0.14904255,1.08633578,-0.12914178,0.01661108,-0.05186490,-0.03650713,-0.37103888,-0.14664538,-0.08890623,-0.42243078,-0.15998004,0.13230900,-0.61960799,0.06394282,-0.07077920,-0.12354219,-0.17650031,-0.19323756,0.00000000,-0.31161165,3.60386825,5.80169106,0.00000000,-0.95751870,-0.34553650,0.00000000,0.00000000,0,13:05:05.9,0,0
10,-0.57932788,6.02030087,-0.18655920,2.80543232,3.47341919,-0.36251247,-0.56576675,-0.14904255,-0.76311541,-0.11647587,-0.02838636,-0.05617551,-0.09018788,0.38069135,-0.16793987,-0.07512783,1.33342981,-0.19270544,0.38923588,-2.90603018,0.00499375,-0.06396262,-0.13458051,-0.10127581,-0.14516373,0.00000000,-0.27940604,-0.21125275,-0.44818431,0.00000000,-0.95751870,-0.87081945,0.00000000,0.51971501,0,13:05:06.0,0,0
11,1.65268862,2.20517969,-0.18655920,0.73081750,3.54643774,-0.12777936,0.01352990,-0.14904255,-1.05080819,-0.12548514,0.00541970,-0.04269071,0.13730958,-0.15871075,-0.17123437,-0.09120501,0.40411463,-0.14120857,0.13230900,0.71504366,0.03667000,-0.12883575,-0.16023532,-0.16760059,-0.15648940,0.00000000,-0.32991463,-2.44326925,-2.03180146,0.00000000,0.39084867,-0.58742017,0.00000000,-4.44853544,0,13:05:06.1,0,0
12,-0.57932788,0.00000000,-1.14322686,2.68537045,0.00000000,0.02509945,-0.50875497,-0.14904255,-0.03190066,-0.12548514,0.02199540,-0.03772384,-0.17366607,-0.80299616,-0.13517499,-0.07499852,-0.39493057,-0.13337646,-0.45086297,-0.06933855,0.04519241,-0.00000434,-0.10505556,-0.13588145,-0.14346085,0.00000000,-0.27940604,0.00000000,1.98657000,0.00000000,-1.67862678,0.25747988,0.00000000,0.00000000,0,13:05:06.2,0,0
13,-0.57932788,6.02030087,0.44039044,0.45352489,1.16869390,0.35844597,-0.17632398,-0.14904255,0.19771133,-0.13447936,-0.09611917,-0.08365268,-0.20145482,0.05809626,-0.18956782,-0.03086352,1.09429288,-0.15750909,-0.46011436,-0.55522257,0.03667000,-0.01210233,-0.09670178,-0.07668838,-0.09515595,0.00000000,-0.24701053,-0.21125275,-0.24544634,0.00000000,-0.95751870,-2.34021449,0.00000000,0.00000000,0,13:05:06.3,0,0
14,-0.57932788,-2.83865619,0.44039044,-1.61633408,-2.57405996,-0.95464295,-2.00759411,-0.14904255,-0.03190066,-0.13812131,-0.12905350,-0.07450897,-0.21066743,-0.41729674,-0.18956782,-0.13997525,-0.45894164,-0.17868739,0.13230900,1.74981248,0.02363922,0.01099040,-0.06634126,-0.19591783,-0.17676197,0.00000000,-0.31161165,3.60386825,1.78383207,0.00000000,-3.26224399,-0.92738694,0.00000000,6.56685257,0,13:05:06.4,0,0
15,-2.16294503,-1.61045396,-0.18655920,-0.43011358,-0.22204916,-0.05580121,0.01352990,-0.14904255,-1.05080819,-0.14361741,-0.04323546,-0.11571667,-0.19130673,-0.68017840,-0.25780720,-0.14635459,0.39046705,-0.20281206,0.38003829,-0.60130501,-0.01433298,-0.06396262,-0.10049102,-0.13360974,-0.09085517,0.00000000,-0.31161165,-0.21125275,4.08855724,0.00000000,-0.95751870,0.68981731,0.00000000,4.30823326,0,13:05:06.5,0,0
16,-0.57932788,-0.02683669,0.44039044,-2.08667445,0.03667453,-1.96085429,-7.59812593,-0.46599373,1.51603806,-0.14263363,0.01110928,-0.12477039,-0.19130673,-0.92814076,-0.24703702,-0.15636961,-0.97150183,-0.22236830,-1.21598947,-0.10170704,-0.02989876,-0.07568851,-0.11706440,-0.13748997,-0.16163932,0.00000000,-0.29781625,3.60386825,1.98657000,0.00000000,1.10771465,-0.52540660,0.00000000,0.00000000,0,13:05:06.6,0,0
17,1.65268862,6.02030087,-0.18655920,0.95332378,2.58977008,0.10470337,0.04438639,-0.14904255,-0.14318131,-0.12548514,0.07101537,-0.04692880,-0.11333566,-0.58775920,-0.15709060,-0.11933248,-0.90749079,-0.18994257,-0.46011436,0.82094604,0.00177749,0.02056814,-0.07345627,-0.08675117,-0.09698837,0.00000000,-0.23772795,0.00000000,5.59895325,0.00000000,0.62609863,-0.34553650,0.00000000,0.00000000,0,13:05:06.7,0,0
18,0.00000000,-1.61045396,0.44039044,0.08244667,-0.22204916,-0.56518906,-0.95432037,-0.14904255,-1.05080819,-0.12548514,0.11497162,-0.05233151,-0.09484842,-0.41729674,-0.16793987,-0.14205328,-0.02852204,-0.17868739,0.41232532,-0.58750957,-0.02198927,-0.05908947,-0.11984953,-0.08167236,-0.07684523,0.00000000,-0.29781625,-2.44326925,0.27292371,0.00000000,0.11931423,-0.86679620,-4.05344486,-4.80920458,0,13:05:06.8,0,0
19,-2.16294503,-3.84229946,-0.18655920,-1.02213454,-2.80922437,0.21677418,0.36148235,-0.14904255,-1.23459280,-0.12914178,-0.01110624,-0.04649297,0.12807372,0.02556396,-0.12252305,-0.08890623,0.01243204,-0.12231453,0.15543722,0.76085776,0.04519241,-0.03564586,-0.09391549,-0.16003136,-0.17516364,0.00000000,-0.29781625,-2.44326925,1.85654092,0.00000000,1.34751630,0.11872277,6.41716290,0.95735276,0,13:05:06.9,0,0
