Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190208132734
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,  1y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,1409,1061,623,598,588,0,557,559,540,0,532,544,533,545,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Stray,Stray,Normal,Normal,Stray,Stray,Stray,Stray,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,62,62,6,6,15,15,6,6,6,6,49,49,49,49,15,15,49,49,6,6,14,14,6,6,7,7,6,6,15,15,6,6,6,6,12,12,15,15,6,6,15,15,6,6,6,6,44,44,31,31,6,6,7,7,6,6,6,6,6,6,6,6,31,31,6,6,44,44,6,6,6,6,44,44,49,49,72,72,44,44,7,7,7,7,7,7,98,98,15,15,30,30,31,31,31,31,30,30,24,24,49,49,12,12,6,6,6,6,6,6,6,6
Digital Gain,1.00,1.00,100.00,1.00,44.08,55.79,100.00,100.00,1.00,1.00,18.65,34.71,22.58,1.00,2.58,8.98,50.90,1.00,1.92,2.76,1.72,37.85,2.87,2.64,1.90,40.58,2.85,48.95,3.25,3.93,6.31,8.30,12.47,1.00,5.86,6.51,7.52,1.00,11.24,1.00,16.74,8.48,16.51,10.31,14.03,10.96,7.58,4.64,13.53,9.91,1.00,1.00,3.01,1.00,63.66,1.00,100.00,100.00,1.00,1.00,100.00,100.00,46.72,59.83,1.00,1.00,49.84,36.23,100.00,1.00,100.00,100.00,3.47,8.89,6.16,34.52,3.99,12.80,1.00,1.00,2.90,2.95,1.76,36.50,1.31,18.23,100.00,100.00,3.78,4.78,2.31,32.02,2.03,56.27,32.34,32.20,100.00,100.00,3.51,2.60,1.00,1.00,7.13,1.00,100.00,100.00,100.00,100.00,100.00,1.00,100.00,100.00

Measurement Information
Date,2019/02/08 13:27:37
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.00000000,3.26198053,0.59466112,0.01312074,0.00000000,-0.66082728,2.15770364,-0.42009437,12.89750099,-0.46621856,-0.30743596,-0.34624958,-0.38538063,-0.92064911,-0.43161032,-0.72376031,-0.63675916,-0.31736597,-0.08654597,0.00000000,0.16627471,0.00000000,0.00000000,-0.01178588,-0.07333854,0.00000000,-0.06207428,0.26477301,1.09722400,0.00000000,2.14599681,-0.12631585,0.00000000,-0.29272339,0,13:27:46.1,0,0
2,0.00000000,-0.55365306,-0.17334461,0.47145930,0.00000000,-0.73000830,-1.55667627,-0.38676178,-1.86567605,-0.48053971,0.01803766,-0.33272529,0.11003939,-1.03711712,-0.35469484,-0.71819943,-0.58183920,-0.65855747,-0.34442729,15.04856682,-0.67776650,5.29208326,9.79808712,-0.49973768,-0.77539063,0.00000000,-0.28908667,-0.34613755,-0.87493151,0.00000000,-0.32126957,0.09222681,0.00000000,-0.40002710,0,13:27:46.2,0,0
3,0.00000000,-3.63396358,-0.70788097,-0.89213926,-12.41635990,-0.75682348,-0.45548674,-0.35000563,0.17921346,-0.45954612,-0.05832034,-0.29655904,0.51548183,-0.79278558,-0.34803820,-0.50120354,-0.16150372,-0.59361547,-0.27262917,0.00000000,-0.67776650,-9.72425842,-9.61618328,-0.76499158,-1.13233197,0.00000000,-0.36272347,-0.04676664,0.70868570,0.00000000,-1.54947162,-0.68600184,0.00000000,0.16699371,0,13:27:46.3,0,0
4,0.00000000,1.02996421,1.20092523,0.55206782,0.00000000,-0.46861577,-0.07419878,-0.33629319,0.76039100,-0.41515127,-0.26127633,-0.23596546,0.05331035,-0.84337854,-0.28331399,-0.62573081,-0.46566522,-0.47794393,-0.23399858,3.35712290,-0.22678563,-5.03389454,-5.74988985,-0.19595622,-0.37117216,0.00000000,-0.14829716,-0.04676664,0.63597679,0.00000000,-0.08601969,1.08120501,0.00000000,0.15629843,0,13:27:46.4,0,0
5,0.00000000,1.02996421,-0.12819289,0.55206782,0.00000000,-0.75682348,-0.57344377,-0.32231808,-0.58681178,-0.39682299,-0.13026546,-0.34636492,-0.00668401,0.10413397,-0.45100987,-0.40561825,8.31446075,-0.56174517,-0.37760383,4.71229935,-0.58383060,-5.03389454,-4.76755857,-0.88837987,-1.52996135,0.00000000,-0.49819940,-0.63006318,-4.40785885,0.00000000,1.26234770,-1.78402793,0.00000000,-1.86196125,0,13:27:46.5,0,0
6,0.00000000,3.26198053,0.07856015,1.13198459,0.00000000,-0.95640188,-0.20044954,-0.26023921,-0.08469623,-0.37519881,-0.07915986,-0.35443348,-0.12979430,-2.12071586,-0.43726009,-0.81334931,-0.58183920,-0.45790192,-0.27262917,3.35712290,-0.07809450,-5.03389454,-5.74988985,-0.40743414,-0.58105665,0.00000000,-0.13400070,0.26477301,0.63597679,0.00000000,-0.08601969,0.96636385,0.00000000,1.60059476,0,13:27:46.6,0,0
7,0.00000000,-2.78549862,0.23390900,-0.96413565,-8.63498020,0.23180844,-0.83111048,-0.29850379,-1.26327431,-0.45368057,0.15452874,-0.33272529,0.09170594,0.96784437,-0.41152075,-0.32245138,12.02493382,-0.51078683,-0.27262917,0.00000000,-0.43707857,6.93078804,13.61354923,-0.53910875,-0.80708271,0.00000000,-0.23319060,-0.04676664,0.63597679,0.00000000,-1.66963696,0.87497431,0.00000000,1.12609994,0,13:27:46.7,0,0
8,0.00000000,3.26198053,-0.26454335,2.22441125,0.00000000,-0.57610995,-1.14225769,-0.14969017,-1.67210901,-0.34960526,0.03854229,-0.34624958,0.05522152,-0.54287302,-0.44834560,-0.60023326,-0.52175093,-0.49335101,-0.34442729,4.71229935,-0.27976778,-4.30781698,-5.74988985,-0.49650162,-0.69863230,0.00000000,-0.24723244,-0.04676664,0.70868570,0.00000000,3.49436402,0.53149492,0.00000000,0.57301271,0,13:27:46.8,0,0
9,0.00000000,-2.78549862,-0.68447810,-0.45157546,-8.63498020,-0.62889040,-0.07419878,-0.13314690,0.46213579,-0.30480972,0.07121256,-0.35988921,-0.28136563,0.40801778,-0.46489641,-0.50883555,-0.40422943,-0.53152519,-0.27262917,0.00000000,-0.42874458,13.09226322,0.00000000,-0.05716727,0.33412048,0.00000000,-0.00381231,-0.04676664,1.09722400,0.00000000,-0.15872864,0.18089528,0.00000000,0.28355104,0,13:27:46.9,0,0
10,0.00000000,3.26198053,-0.40411818,1.13198459,0.00000000,-0.36307934,-0.32944486,-0.26019508,-0.58681178,-0.41675636,-0.00781174,-0.26897907,0.44109362,0.65878379,-0.35059181,-0.56551379,-0.58183920,-0.63074523,-0.37760383,0.00000000,-0.46640202,0.00000000,0.00000000,-0.41789466,-0.46061853,0.00000000,-0.09094579,-0.04676664,-1.59603965,0.00000000,-0.32126957,-0.90655977,0.00000000,-0.85910332,0,13:27:47.0,0,0
11,0.00000000,-2.78549862,-0.02493064,-0.96413565,-8.63498020,-1.08299994,-0.07419878,-0.30924341,0.46213579,-0.41688088,-0.52320319,-0.31827044,0.03474970,1.60949445,-0.40286109,-0.21228361,8.49299717,-0.56313872,-0.30623958,4.71229935,-0.47538087,-5.03389454,-5.74988985,-0.23330790,-0.19277126,0.00000000,-0.09094579,-0.04676664,0.70868570,0.00000000,-1.54947162,-0.84490156,0.00000000,-0.71662718,0,13:27:47.1,0,0
12,0.00000000,1.02996421,0.02651672,1.13198459,0.00000000,1.16736460,6.54272127,-0.21220404,-1.67210901,-0.39415911,-0.04289389,-0.27973145,0.06258515,0.95883328,-0.36418241,-0.45061794,-0.40422943,-0.59660822,-0.44799668,4.71229935,-0.60846299,-5.03389454,-4.76755857,-0.23297840,-0.27764952,0.00000000,-0.13400070,-0.34613755,-0.87493151,0.00000000,-0.32126957,-0.51484877,0.00000000,-0.47828162,0,13:27:47.2,0,0
13,0.00000000,3.26198053,0.52353817,0.01312074,0.00000000,0.59858829,3.06071305,-0.32076031,-0.82167697,-0.37718344,-0.43056238,-0.28526002,-0.16645280,2.06256437,-0.38999164,-0.20083213,-0.03600549,-0.39848188,-0.19994245,0.00000000,-0.27408525,0.00000000,0.00000000,-0.36705133,-0.28358513,0.00000000,-0.07649903,-0.04676664,-1.13479245,0.00000000,-1.66963696,-0.26432520,0.00000000,0.10404479,0,13:27:47.3,0,0
14,0.00000000,-0.55365306,-0.25261119,-0.48515669,0.00000000,-0.56501126,1.96939766,-0.17457072,7.82095480,-0.35787964,0.14627700,-0.29351619,-0.08842941,1.94440699,-0.42488405,-0.36506018,-0.16150372,-0.69655108,-0.44799668,0.00000000,-0.70869839,0.00000000,0.00000000,-0.05148741,0.20183982,0.00000000,0.06990819,0.26477301,1.09722400,0.00000000,2.47110987,-0.29667342,0.00000000,1.82403910,0,13:27:47.4,0,0
15,0.00000000,-0.55365306,-0.08436626,0.99612361,0.00000000,-1.59200871,-0.57344377,-0.37191093,-0.82167697,-0.41877675,-0.27517647,-0.31827044,-0.12063505,3.06491542,-0.44009084,-0.16299751,9.72688007,-0.54116940,-0.12130873,0.00000000,-0.19372882,6.93078804,0.00000000,-0.77146363,-1.20819414,0.00000000,-0.24723244,0.26477301,2.94070220,0.00000000,-2.39074516,-0.47694963,0.00000000,0.33907312,0,13:27:47.5,0,0
16,0.00000000,1.02996421,0.67888701,0.61942446,0.00000000,-1.66511703,-0.07419878,-0.44339859,0.76039100,-0.48151556,-0.32576942,-0.36827824,-0.05232768,2.54075503,-0.51506257,-0.39079195,-0.40422943,-0.66741538,-0.44799668,3.35712290,-0.55110741,-5.03389454,-5.74988985,-0.58022940,-0.94449419,0.00000000,-0.20505750,-0.04676664,0.63597679,0.00000000,-0.08601969,-0.44476759,0.00000000,-0.97270137,0,13:27:47.6,0,0
17,0.00000000,-3.63396358,0.00275776,-0.44808346,-12.41635990,-0.77038515,-1.94617248,-0.18401982,-3.05507159,-0.40655768,0.31845838,-0.44365966,-0.31312060,3.36892390,-0.57451934,-0.39713445,9.43710804,-0.78252190,-0.65404153,0.00000000,-1.17504001,0.00000000,0.00000000,-0.96217173,-1.59225190,0.00000000,-0.51158202,-0.89596999,0.47343570,0.00000000,-3.90148234,-1.17819464,0.00000000,-1.90893221,0,13:27:47.7,0,0
18,0.00000000,3.26198053,0.02651672,0.61942446,0.00000000,-0.89355385,-0.20044954,-0.17280355,-1.04687572,-0.37896490,0.35055682,-0.33185875,0.10086519,3.20727873,-0.43726009,-0.15859026,-0.22569306,-0.45513558,-0.27262917,5.66205454,-0.20478176,-3.71221304,-4.76755857,-0.35183153,-0.15906741,0.00000000,-0.06207428,-0.04676664,2.94070220,0.00000000,1.26234770,-0.68600184,0.00000000,-0.10260618,0,13:27:47.8,0,0
19,0.00000000,-1.78185511,0.02651672,-0.48515669,0.00000000,0.57013237,4.39141083,-0.44681734,-2.05266690,-0.47031701,-0.63629198,-0.29904476,-0.06064068,3.27077198,-0.40653425,-0.26527637,6.03011942,-0.42988065,-0.16073546,0.00000000,-0.37179273,0.00000000,0.00000000,-0.19591109,0.29002279,0.00000000,0.02552108,-0.04676664,0.70868570,0.00000000,-1.54947162,-0.03889357,0.00000000,0.00726021,0,13:27:47.9,0,0
