Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190215123427
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,  1y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,2000,1409,763,680,568,0,522,538,545,0,540,549,693,639,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,56,56,6,6,49,49,6,6,6,6,49,49,31,31,6,6,49,49,12,12,6,6,6,6,15,15,12,12,72,72,15,15,15,15,15,15,15,15,15,15,15,15,14,14,6,6,31,31,6,6,6,6,12,12,6,6,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,62,62,62,62,120,120,98,98,6,6,24,24,124,124,6,6,15,15,44,44,98,98,6,6,6,6,6,6,6,6,22,22,6,6,6,6,6,6,6,6
Digital Gain,100.00,1.00,100.00,1.00,100.00,93.44,100.00,100.00,100.00,100.00,19.57,33.41,16.08,81.78,22.07,65.18,27.53,1.00,1.85,4.18,20.38,100.00,1.89,2.54,2.03,40.58,7.07,100.00,4.23,3.03,20.31,14.79,10.04,1.00,24.07,15.51,7.30,1.00,11.66,1.00,12.47,8.04,9.68,6.19,2.41,3.84,12.70,9.36,2.81,4.82,100.00,1.00,1.80,100.00,100.00,1.00,100.00,100.00,1.00,1.00,100.00,100.00,53.07,72.92,100.00,100.00,100.00,100.00,100.00,1.00,100.00,100.00,8.49,14.91,9.07,26.22,37.62,41.37,65.27,1.00,1.94,2.59,1.63,79.53,7.76,17.55,100.00,100.00,19.25,14.23,1.68,60.60,8.82,100.00,28.90,19.06,39.27,31.21,1.24,2.06,1.46,3.88,1.41,69.32,100.00,100.00,100.00,100.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/02/15 12:34:30
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,-2.25428629,-0.70701337,-0.28037387,0.64171857,0.50914526,-1.47913933,0.16668509,0.44744173,0.74004161,0.25984693,0.99980330,0.20839715,0.21792470,-3.62518215,0.26334456,-0.35398874,0.23577404,0.75386500,0.78811538,0.56833971,0.51708984,0.40456197,0.47869474,0.32757521,0.56036955,0.00000000,-0.05369112,0.25521326,1.46658707,0.00000000,2.63512778,0.76906788,7.24654293,-0.25261033,0,12:34:39.1,0,0
2,0.00000000,-1.93521547,0.52386993,-0.74171877,-1.72270024,-1.55582511,-0.06654155,-0.02410900,0.20284350,0.24458855,0.06352922,0.19549149,-0.08403538,-1.82656467,0.26135167,0.02521586,0.47963479,0.41567504,0.68144363,0.51660848,0.28974310,0.17063832,0.41540042,0.27513736,0.50659150,0.00000000,0.82756507,0.25521326,-0.83813822,0.00000000,0.33009288,0.04598961,0.00000000,0.00000000,0,12:34:39.2,0,0
3,0.00000000,3.10862041,6.55591774,1.49018383,2.09276247,0.44691825,0.82316649,-0.02114108,0.59823394,0.22661735,-0.59656304,0.16301827,-0.66026914,0.06119649,0.21072951,0.05693436,0.38076630,0.84106857,0.89695704,0.62523693,0.42698705,0.23401868,0.43441102,0.73832166,0.61376923,0.00000000,0.86467117,0.00000000,5.20899916,0.00000000,4.07250500,0.88890940,0.00000000,-1.14261568,0,12:34:39.3,0,0
4,3.79285121,0.87660390,-1.19991672,0.64171857,2.09276247,-1.09421742,-8.50274754,-0.32908046,0.07406824,0.19997653,-0.89313841,0.17555894,-0.29127824,-0.16174480,0.12996186,0.42022926,0.58024895,0.46173847,0.75393856,0.51660848,0.37068555,0.16293727,0.39615321,-0.03422149,0.45576495,0.00000000,-2.96500039,0.25521326,-0.83813822,0.00000000,-2.48172665,0.27966240,-9.50684357,-0.94308037,0,12:34:39.4,0,0
5,-6.06974888,-0.70701337,-4.17733049,-0.09334797,0.50914526,-0.18586135,0.17324302,0.37264505,-0.40449524,0.20886205,0.25784299,0.16245152,0.29524702,1.18657088,0.15735506,0.62969047,0.52968091,0.46173847,0.75393856,0.62523693,0.37068555,0.33651662,0.49611571,0.31277594,0.50856417,0.00000000,-2.00833273,0.25521326,-2.42175555,0.00000000,0.33009288,-1.47932374,0.00000000,-3.47898459,0,12:34:39.5,0,0
6,-2.25428629,0.87660390,-1.43140256,0.64171857,0.50914526,1.14315963,1.61035287,-0.32908046,0.59823394,0.17285658,-0.98553753,0.10702341,-0.05069527,0.19576095,0.15443170,0.61733168,0.58024895,0.53899348,0.71997291,0.56833971,0.31217426,0.15078449,0.39272875,0.21227753,0.48461089,0.00000000,-0.74214733,0.00000000,5.04697084,0.00000000,1.67846024,-0.57794106,0.00000000,0.22827540,0,12:34:39.6,0,0
7,-0.02226986,-4.52239084,-1.69643927,-1.36866283,-1.60760415,1.27520549,2.54623485,0.31525442,-0.40449524,0.22512558,1.31939411,0.20958319,1.15639496,0.95173198,0.21061270,0.03252559,0.23577404,-0.11895292,0.47870371,0.62523693,0.01352683,0.45706898,0.47899729,0.01734261,0.45658490,-10.03369999,-0.74214733,-3.55990791,-1.34523237,0.00000000,-0.17669155,0.10843821,-6.07542181,-2.28019643,0,12:34:39.7,0,0
8,-6.06974888,-0.70701337,-1.18341398,0.86326802,2.20777321,-0.24330108,0.67688823,0.34478050,-1.05240071,0.22855632,0.90411323,0.17994653,0.47554255,0.41152585,0.20475054,0.09993412,0.33205006,-0.11895292,0.47870371,0.62523693,0.01352683,0.48981100,0.52943075,-0.22812754,0.44623095,-13.84882069,-0.71661711,-5.79192448,0.00313512,0.00000000,-1.13335919,-1.27820027,-9.50684357,-3.83965397,0,12:34:39.8,0,0
9,-0.02226986,-2.93885875,-0.20309769,-1.32163548,-2.57116556,-0.04542054,-0.42374483,0.37264505,0.46489209,0.25807282,0.25784299,0.23098589,0.52380651,0.89721835,0.25902548,0.58829588,0.47963479,0.23641014,0.64792103,0.79478037,0.26137123,0.42584100,0.46096817,0.53384000,0.61660397,0.00000000,-2.89215541,0.25521326,-0.83813822,0.00000000,-3.55824971,0.64905947,0.00000000,0.06604321,0,12:34:39.9,0,0
10,-3.83790350,0.87660390,-1.43140256,1.15427876,2.09276247,-0.02607566,-1.32741535,0.39842564,0.46489209,0.25089633,-0.49739927,0.14830217,-0.58834273,1.35081661,0.19704950,0.50632334,0.38076630,0.37188298,0.68144363,0.68278831,0.22696072,0.25224689,0.40525907,0.40163511,0.58887696,0.00000000,-1.24045742,0.00000000,2.81495452,0.00000000,-1.25352442,-0.10732092,-9.50684357,-1.20922625,0,12:34:40.0,0,0
11,0.00000000,0.87660390,1.11542571,0.88388008,0.74439514,-0.30673695,-1.32741535,0.26809201,1.02967203,0.23752578,0.16215292,0.19401063,0.22756526,0.19576095,0.20276159,0.42022926,0.42997858,0.93330640,0.82746232,1.15038586,0.43990761,0.68418503,0.52434653,0.27166912,0.50812143,0.00000000,0.72286922,0.00000000,1.39387822,0.00000000,4.07250500,0.00348721,0.00000000,7.23208094,0,12:34:40.1,0,0
12,0.00000000,0.87660390,13.72295380,0.64171857,0.50914526,-1.67517984,0.24667606,0.26809201,1.02967203,0.22855632,0.25784299,0.14360818,-0.27689436,-1.11836076,0.13637060,0.44494590,0.63128614,0.54919505,0.75393856,1.08776081,0.38139632,0.70793098,0.58444232,0.41739875,0.49801174,0.00000000,-4.33398628,0.00000000,1.39387822,0.00000000,0.33009288,1.26679528,0.00000000,-0.53631198,0,12:34:40.2,0,0
13,-5.06610537,3.10862041,-1.43140256,2.49382710,8.13990021,0.07985923,0.88114148,0.16543080,-0.62902802,0.21183471,0.16215292,0.06283814,-0.38608566,1.66100073,0.06118087,0.11383396,0.18831916,0.39567673,0.57674152,0.35535562,0.28644815,0.21109271,0.40248504,0.21227753,0.45793080,0.00000000,0.12855335,0.25521326,-0.83813822,0.00000000,-1.25352442,-0.03295467,0.00000000,-1.16715920,0,12:34:40.3,0,0
14,0.00000000,-1.93521547,0.00000000,-1.34802258,-2.06742430,0.16172534,-1.24857020,0.28974307,0.59823394,0.21077125,-0.39641619,0.14891163,-0.66026914,-3.55874419,0.17774627,0.03850069,0.38076630,1.21342027,0.97236615,0.68278831,0.68375564,0.25224689,0.37462521,0.44033396,0.47961405,0.00000000,0.67132264,0.00000000,5.48077965,0.00000000,6.27699041,-1.37865269,0.00000000,0.00000000,0,12:34:40.4,0,0
15,0.00000000,-0.70701337,-0.16725795,-0.74171877,-0.71905684,-0.17364427,0.51239586,0.06470565,-0.17041278,0.18450382,-0.89313841,0.18912071,0.48514980,1.04113889,0.35328054,0.95166987,0.84016961,0.62765390,0.82746232,1.03100061,0.43487492,0.61390424,0.55229008,0.20228490,0.50768763,0.00000000,-6.63871145,0.25521326,-2.42175555,0.00000000,0.33009288,-0.86765862,0.00000000,-2.35322690,0,12:34:40.5,0,0
16,0.00000000,-1.93521547,11.41799068,-1.34802258,-2.06742430,-1.57550573,0.32784697,-0.02410900,0.88037169,0.18649225,0.25784299,0.15722549,0.19869375,-0.29719651,0.29840779,0.06991005,0.42997858,0.93219477,0.89695704,0.96971184,0.51532346,0.50193340,0.48392287,0.55489635,0.57376468,0.00000000,0.72286922,0.00000000,3.69860363,0.00000000,-1.25352442,-1.11802781,0.00000000,0.00000000,0,12:34:40.6,0,0
17,-5.06610537,0.87660390,-1.18341398,0.64171857,0.74439514,0.32832196,1.58633268,0.31525442,-0.40449524,0.19492809,0.71309042,0.11593775,0.65949214,-0.29719651,0.21964963,0.21555378,0.42997858,-0.02924673,0.54384863,0.51660848,0.06175988,0.14146473,0.42254451,-0.12925413,0.43357259,-13.84882069,0.51526010,-5.79192448,-1.34523237,0.00000000,-1.25352442,-2.36229467,0.00000000,-5.98132229,0,12:34:40.7,0,0
18,0.00000000,-1.93521547,3.24030328,-0.22915858,0.23761082,0.57980108,1.10199618,0.44744173,-0.04729456,0.18541346,0.90411323,0.15089104,0.53577060,-1.22026086,0.33965409,0.18584727,0.47963479,0.88844675,0.78811538,0.85414135,0.50409698,0.47946182,0.47704548,0.22716960,0.48372075,0.00000000,-1.37895703,0.00000000,1.66565847,0.00000000,-1.25352442,-0.90291923,0.00000000,9.11665630,0,12:34:40.8,0,0
19,-2.25428629,3.10862041,-1.05161178,1.49018383,2.09276247,-0.84153467,-3.05079579,0.06470565,0.46489209,0.13075346,0.16215292,0.03983966,-1.04909551,1.21787786,0.12824745,0.12690409,0.28370175,-0.14300014,0.47870371,0.56833971,0.02957800,0.32012224,0.40044421,0.32917079,0.41850826,0.00000000,-3.13299417,0.00000000,3.69860363,0.00000000,-1.97463238,-0.34635219,0.00000000,1.46215022,0,12:34:40.9,0,0
20,0.00000000,6.92374134,-2.96586394,2.49382710,8.13990021,-0.16195190,1.03011370,-0.42805097,1.83159828,0.12013923,-2.33390474,0.04776255,-1.65430474,-1.22026086,0.19809991,0.37906420,0.47963479,0.97666997,0.71997291,1.15038586,0.51532346,0.68418503,0.44686159,0.55678576,0.41152200,0.00000000,0.56952965,0.00000000,0.00000000,0.00000000,2.46186948,-0.41809320,0.00000000,0.00000000,0,12:34:41.0,0,0
