Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190208125437
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,  1y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,2000,1409,598,583,578,0,567,565,610,0,607,588,708,648,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Stray,Stray,Normal,Normal,Stray,Stray,Stray,Stray,Over,Over,Normal,Normal,Stray,Stray,Normal,Normal,Stray,Stray,Stray,Stray,Normal,Normal,Normal,Normal,Stray,Stray,Normal,Normal,Stray,Stray,Stray,Stray,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,6,6,6,6,124,124,6,6,6,6,31,31,31,31,6,6,44,44,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,6,6,6,6,6,6,6,6,6,6,15,15,6,6,15,15,7,7,24,24,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,49,49,24,24,15,15,112,112,7,7,7,7,31,31,72,72,15,15,6,6,6,6,12,12,15,15,6,6,7,7,14,14,6,6,6,6,6,6,6,6
Digital Gain,76.80,100.00,100.00,1.00,1.00,1.00,100.00,100.00,100.00,100.00,26.57,50.98,7.31,22.95,35.99,49.17,30.21,1.00,43.13,44.56,100.00,100.00,3.97,2.99,2.82,46.61,1.00,100.00,7.63,9.28,1.00,100.00,1.00,1.00,9.96,11.52,3.13,85.03,1.00,1.00,5.35,5.83,100.00,100.00,1.00,100.00,4.95,7.15,1.91,3.82,10.39,51.09,2.03,79.85,1.47,55.57,100.00,100.00,1.00,1.00,100.00,100.00,49.52,69.57,100.00,100.00,100.00,100.00,100.00,1.00,97.23,100.00,5.92,12.91,2.80,7.77,1.97,4.90,1.00,1.00,5.06,3.94,2.73,60.12,1.21,19.05,3.31,3.32,2.59,3.33,1.40,36.70,1.14,21.37,2.30,2.73,3.22,3.64,1.75,2.06,1.68,4.99,1.26,59.14,100.00,100.00,100.00,100.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/02/08 12:54:40
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,-1.99500608,1.59709394,0.00000000,0.34069720,1.19640124,-0.55029529,-0.50780171,-0.35814008,0.62912297,-1.49278021,-1.24169946,-0.09467098,-0.69473338,3.42215800,-0.01579055,2.07196498,-0.33207610,0.13226517,-1.24400365,0.00000000,0.08912870,0.00000000,0.00000000,-0.11786025,0.33814460,-0.04630088,-0.35073727,-0.35388619,-0.39376760,0.00000000,0.67782080,-0.24194612,0.00000000,0.00000000,0,12:54:49.1,0,0
2,0.30971915,0.00000000,0.00000000,1.79546618,7.24353886,-0.89832509,-0.54652244,-0.35814008,0.46077427,-1.38469279,-1.24169946,-0.09624663,-0.56554085,0.00000000,0.00684835,0.00000000,0.00000000,-0.00150070,-1.40992081,2.19615078,-0.02790005,2.35272646,2.65756369,-0.13276692,0.31551728,0.02821975,0.16880912,-0.08997851,-0.90086174,0.00000000,0.91299677,-1.35701728,5.98334599,-5.22649670,0,12:54:49.2,0,0
3,0.30971915,5.41221523,0.00000000,1.79546618,4.77678537,-0.27356237,-0.25216830,-0.35814008,-0.46302921,-1.38469279,-1.24169946,-0.08800197,-0.62774354,0.00000000,0.08335060,0.00000000,0.00000000,-0.22590914,-2.76535797,0.00000000,-0.16256461,-3.93434286,3.16166711,-0.13276692,0.32875103,-0.12739408,0.44377011,0.02592673,-0.90086174,0.00000000,-3.21052194,0.06965864,0.00000000,-5.20014143,0,12:54:49.3,0,0
4,-1.99500608,1.59709394,0.00000000,0.34069720,-1.10832417,-0.01449455,-0.22036651,-0.35814008,0.98210162,-1.38469279,-1.24169946,-0.16808151,-0.77592105,-5.81270599,-0.19027583,-5.44405174,-2.63303423,0.08315789,-0.37501854,-5.16657448,-0.01922525,-6.14171457,0.11649307,-0.17587110,0.27599773,-0.27381188,-0.55517334,-0.15258105,-1.97738492,0.00000000,-3.21052194,-0.82190025,0.00000000,7.03161716,0,12:54:49.4,0,0
5,-1.99500608,-0.63492244,0.00000000,-0.43643644,-0.38721606,-0.37079117,-0.28357115,-0.35814008,-0.17037682,-1.38469279,-1.24169946,-0.14640242,-0.46932012,3.61691427,-0.11271501,-2.82672191,-1.80677092,0.04723302,-0.88734978,-5.50214195,-0.07590833,-5.80010653,-0.63459039,-0.10597294,0.34230334,-0.09826118,1.05143678,0.24827462,0.40053001,0.00000000,-0.78563124,-0.00757340,0.00000000,-0.11284063,0,12:54:49.5,0,0
6,0.30971915,-0.63492244,0.00000000,-0.43643644,-1.61541820,-0.91052383,-0.80130649,-0.35814008,1.16745842,-1.38469279,-1.24169946,-0.17898419,-1.23651409,-17.71667671,-0.24671103,-8.99416924,-6.85473061,-0.05668142,-1.43070829,-7.62833118,-0.15730633,-7.23921347,-2.60010862,-0.15734637,0.31937313,-0.18028748,-0.03016010,0.12587205,1.91095769,0.00000000,2.02618814,0.05236093,0.00000000,-5.20014143,0,12:54:49.6,0,0
7,0.30971915,0.00000000,0.00000000,2.79910946,7.24353886,-0.17179839,-0.39262152,-0.35814008,0.29203042,-1.38469279,1.28190780,-0.20880885,-0.71047771,-21.04773331,-0.27360073,-12.30889225,-9.73629093,-0.00150070,-0.64092278,-7.33479500,-0.18676202,-8.23476315,-10.90434742,-0.23865560,0.27266532,-0.30300656,-0.08405004,-0.28434339,1.54978144,0.00000000,0.67782080,1.52523708,0.00000000,-5.20014143,0,12:54:49.7,0,0
8,0.30971915,-3.44674182,0.00000000,-1.02845728,-1.27069402,-0.69932026,-0.49528271,-0.35814008,-0.46302921,-1.38469279,2.02391958,-0.21015292,-0.65235579,-22.00629616,-0.24430798,-12.89876842,-12.36002350,-0.02271082,-1.71116769,-5.23211050,-0.17988437,-8.23476315,-12.63972569,-0.18332772,0.30623475,-0.20677575,0.93534410,0.10100379,0.32734036,0.00000000,1.39923859,-0.93354899,0.00000000,-3.37438822,0,12:54:49.8,0,0
9,-1.99500608,5.41221523,0.00000000,0.34069720,-1.10832417,0.24948360,-0.07740412,-0.35814008,0.62912297,-1.38469279,0.83785212,-0.18854007,-1.00466609,-18.08198738,-0.24671103,-13.01517391,-17.16164398,0.04203748,-1.60843837,-4.72638035,-0.11297675,-8.23476315,-13.26442909,-0.15134880,0.34078774,-0.26751655,-0.06616373,-0.10256676,-0.39376760,0.00000000,-2.13399863,0.36429068,0.00000000,0.00000000,0,12:54:49.9,0,0
10,0.66138530,1.59709394,0.00000000,0.72449458,2.54476857,-0.61765110,-0.39485756,-0.35814008,0.29203042,-1.38469279,2.34087110,-0.14640242,-0.67395091,-17.34671021,-0.17094296,-13.07246780,-19.36664391,0.07600808,-1.22469211,-26.75104904,-0.05060168,-8.23476315,-13.88208580,-0.11718555,0.33215871,-0.16643384,0.80707842,0.00924693,0.32734036,0.00000000,-0.90579653,-0.91619968,0.00000000,-4.37803125,0,12:54:50.0,0,0
11,0.66138530,5.41221523,0.00000000,0.94700092,3.42841768,0.13706039,-0.05526989,-0.35814008,-0.46302921,-1.38469279,2.63022327,-0.20880885,-0.58092940,-18.71999168,-0.27360073,-13.01517391,-20.75419426,-0.02271082,-1.74733973,-27.54417419,-0.11297675,-8.23476315,-14.01249790,-0.08550306,0.37048447,-0.26900879,0.39881590,-0.21329455,-0.03383583,0.00000000,0.67782080,-0.22768345,0.00000000,-0.56256866,0,12:54:50.1,0,0
12,0.66138530,-0.63492244,0.00000000,-1.13632965,0.02029716,-1.66169560,-0.83500481,-0.35814008,0.46077427,-1.38469279,2.02391958,-0.18854007,-1.33695304,-17.78794289,-0.29633674,-13.07246780,-20.04717827,-0.15372081,-2.09575891,-26.00500870,-0.20371778,-8.23476315,-14.28205681,-0.11099222,0.38099658,-0.15749975,0.99754679,-0.17529374,1.91095769,0.00000000,-0.90579653,0.26211238,0.00000000,-1.54704869,0,12:54:50.2,0,0
13,0.30971915,-2.21853971,0.00000000,-1.04274023,-3.92014360,-0.19495022,-0.21482213,-0.35814008,-0.02051613,-1.38469279,2.34087110,-0.18315414,-0.61889535,-17.56640434,-0.24430798,-13.26859570,-20.13731956,0.18187679,-0.97118860,-27.16210747,-0.06124893,-8.23476315,-14.15794659,-0.13276692,0.34747627,-0.15749975,0.97082603,-0.18795462,-0.39376760,0.00000000,2.90983725,0.74396253,0.00000000,7.18319654,0,12:54:50.3,0,0
14,0.30971915,1.59709394,0.00000000,-0.39436933,-2.69194150,-0.99492246,-0.67189926,-0.35814008,0.80278319,-1.38469279,2.89636946,-0.24246345,-0.97855538,-17.14401436,-0.38811675,-13.10106754,-18.53487968,0.08315789,-0.99753797,-27.08973885,-0.09292436,-8.23476315,-14.28205681,-0.22798985,0.27266532,-0.04375260,-0.35965851,-0.06052969,-0.39376760,0.00000000,6.72495794,-0.27168095,0.00000000,0.00000000,0,12:54:50.4,0,0
15,1.65808654,-0.63492244,0.00000000,0.21193440,-0.38721606,0.02115563,-0.06142745,-0.35814008,-0.73649186,-1.38469279,3.14281321,-0.25177848,-0.86257970,-15.40351582,-0.39274448,-13.10106754,-16.67619324,-0.06170807,-1.04975367,-27.70955658,-0.17569445,-8.23476315,-14.03097630,-0.16329223,0.30170530,0.10043096,1.28640437,0.18861680,0.44750556,0.00000000,-2.13399863,-0.48653641,0.00000000,-2.07309985,0,12:54:50.5,0,0
16,-1.99500608,1.59709394,0.00000000,-0.39436933,1.19640124,0.38414767,0.00943964,-0.35814008,-0.17037682,-1.38469279,3.14281321,-0.18986072,-0.73332667,-17.59041405,-0.26829496,-13.18564320,-19.01962280,-0.01388151,-1.03677285,-28.20744705,-0.12430079,-8.23476315,-13.99418736,-0.13246129,0.30772075,-0.04491321,0.76261550,-0.08997851,-0.90086174,0.00000000,0.67782080,0.03108071,0.00000000,1.66944790,0,12:54:50.6,0,0
17,0.66138530,-2.21853971,0.00000000,0.07612375,0.68961674,-0.74137473,-0.28364381,-0.35814008,-0.86829156,-1.38469279,3.97852206,-0.15983684,-0.77592105,-17.19225883,-0.21247005,-13.10106754,-18.99404144,-0.01388151,-1.03677285,-28.35430336,-0.12430079,-8.23476315,-13.70977688,-0.04852238,0.35971943,-0.12105472,1.33968580,0.07632206,-0.90086174,0.00000000,-0.90579653,0.35795054,0.00000000,-0.90598583,0,12:54:50.7,0,0
18,0.66138530,1.59709394,0.00000000,0.94700092,1.19640124,-0.61765110,-0.39111799,-0.35814008,-0.17037682,-1.38469279,3.37224603,-0.21311831,-0.63976246,-15.89175987,-0.28079373,-13.15747929,-17.23962402,-0.15624811,-1.04975367,-26.39065933,-0.16895083,-8.23476315,-13.47122192,-0.12653448,0.32883754,-0.12105472,0.81601411,-0.04784484,0.32734036,0.00000000,-0.78563124,-0.74647343,0.00000000,-3.71095562,0,12:54:50.8,0,0
19,0.30971915,-2.21853971,0.00000000,-1.78470051,-3.92014360,0.31885090,-0.14874923,-0.35814008,0.98210162,-1.38469279,2.89636946,-0.21185414,-1.11369026,-20.11758614,-0.35832831,-12.98648262,-18.37847328,-0.06170807,-1.04975367,-9.86889648,-0.14153109,-8.23476315,-13.04928970,-0.01551593,0.34550816,-0.12307649,0.44377011,-0.17949933,1.54978144,0.00000000,-1.62690461,-1.16828096,0.00000000,0.00000000,0,12:54:50.9,0,0
