Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190215142506
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,  1y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,1309,1002,593,580,738,0,682,632,595,0,647,612,568,565,1479,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,144,144,6,6,124,124,6,6,6,6,24,24,31,31,6,6,44,44,6,6,6,6,88,88,7,7,7,7,7,7,6,6,14,14,6,6,7,7,6,6,7,7,6,6,6,6,31,31,12,12,24,24,22,22,6,6,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,49,49,72,72,98,98,96,96,22,22,7,7,7,7,24,24,6,6,7,7,7,7,14,14,24,24,12,12,6,6,6,6,6,6,6,6,6,6,6,6
Digital Gain,1.00,1.00,100.00,1.00,100.00,100.00,100.00,100.00,1.00,1.00,5.07,9.94,26.12,1.00,29.52,100.00,14.11,40.94,2.06,1.74,1.00,17.45,6.06,5.78,1.61,28.25,1.86,40.09,4.02,4.06,2.04,3.41,2.02,100.00,2.92,3.66,2.14,84.59,2.20,52.45,6.42,5.75,4.72,5.71,4.70,4.38,5.62,5.75,3.67,3.83,2.42,3.89,1.83,1.00,1.30,31.27,100.00,1.00,100.00,1.00,100.00,100.00,42.46,63.66,100.00,100.00,1.00,1.00,100.00,1.00,66.78,100.00,9.06,18.62,100.00,1.00,30.22,38.10,11.44,12.71,3.29,2.21,1.29,22.24,1.51,24.66,1.99,3.49,2.39,3.71,1.87,89.69,1.87,41.58,2.30,2.49,2.80,3.62,3.03,2.70,1.19,1.85,2.30,1.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00

Measurement Information
Date,2019/02/15 14:25:08
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.00000000,-2.67664456,-1.22990441,-0.42684689,0.00000000,-0.56897324,0.86809850,-2.37104011,0.47175163,-0.07907419,0.19450195,-2.33045506,0.14147545,0.34957638,0.06827220,2.15885210,2.34907579,1.20413947,-7.17241478,-0.21865264,-0.02422018,0.15670931,0.16149032,-0.41412717,-0.11042333,-0.02460427,-0.43115437,-0.06728647,9.63559723,2.03822589,1.75720191,1.04022896,1.15471900,0.00000000,0,14:25:18.1,0,0
2,0.00000000,0.00000000,-0.22626123,1.32610500,0.00000000,-0.62962693,0.62447959,2.84308004,0.89075541,0.04665685,0.27809221,-2.21916890,0.54631436,-0.11241649,0.06202653,2.04562950,2.28968000,1.19033158,-1.99431801,-0.30750361,0.01127845,0.09880910,0.13169885,-0.40157235,-0.09103963,-0.03306541,-0.43994051,0.09286647,3.58845878,1.30315948,3.45582986,0.46916240,1.24830842,0.00000000,0,14:25:18.2,0,0
3,0.00000000,0.00000000,-0.75092548,1.32610500,0.00000000,-0.69670844,0.50656962,0.25655395,0.09588580,-0.05347444,0.02760405,-2.15342903,0.52274114,0.21996090,0.08311968,2.16305900,2.38509798,1.17654634,-3.44400239,0.00774871,-0.05715790,0.14191324,0.15179664,-0.61565524,-0.21836835,-0.05317190,-0.47933137,0.00481729,0.77663958,2.03822589,2.22762775,0.06880042,1.24830842,0.00000000,0,14:25:18.3,0,0
4,0.00000000,-4.26026154,0.12406813,-0.46177018,0.00000000,-0.64617825,-0.25867602,0.74339014,0.91180652,-0.04185766,0.15895854,-1.99770415,0.83816552,0.02061854,0.07272593,2.03019166,2.28968000,1.15780139,-1.85975337,-0.01866299,-0.07751408,0.07008717,0.10962173,-0.61470735,-0.19717236,-0.03464250,-0.49673691,0.11089943,0.77663958,1.30315948,1.22398436,-0.76924175,0.75003105,0.00000000,0,14:25:18.4,0,0
5,0.00000000,0.00000000,-0.22626123,1.32610500,0.00000000,-0.74158823,0.50656962,-2.55440354,0.61696666,-0.05511311,0.10234872,-2.39301968,0.47570217,0.04547767,0.01080543,2.02580810,2.28968000,1.13876319,-1.90723884,0.33075258,-0.04499824,0.05096131,0.04927829,-0.54545122,-0.14141926,-0.00531943,-0.48804104,0.04096870,3.58845878,1.30315948,0.48202410,-0.86917883,0.66839164,0.00000000,0,14:25:18.5,0,0
6,0.00000000,-2.67664456,-0.22626123,-0.93940711,0.00000000,-0.43442339,0.62447959,-0.24967824,2.03329587,-0.00972315,0.17471324,-2.36525559,0.23492682,0.07044911,-0.03004898,2.05001855,2.31336117,1.12046301,-3.58142352,-1.35216212,-0.03932657,0.03145245,0.10531921,-0.40836397,-0.05276250,-0.01025529,-0.43115437,-0.04017055,5.82047558,1.30315948,1.48566735,1.13856983,1.27469540,0.00000000,0,14:25:18.6,0,0
7,0.00000000,-2.67664456,0.35365561,0.40889153,0.00000000,-0.34173796,3.43136621,1.09868908,2.15992641,-0.03622950,0.26135251,-2.13054824,0.65208280,0.50082713,0.05842803,2.06220150,2.32524061,1.10229886,-1.35076058,0.59841454,-0.11516339,0.07621755,0.10328323,-0.72998118,-0.21539821,-0.01387331,16.39377785,0.14547570,-1.07546890,-0.92877150,0.11094587,-0.77191502,0.34304845,10.30331993,0,14:25:18.7,0,0
8,0.00000000,3.37049294,-0.22626123,0.16517398,0.00000000,-0.36179823,0.52848727,-0.24967824,1.91454136,0.00455136,0.19909853,-1.76929986,0.45138413,0.08929158,0.08584432,2.06674767,2.36103249,1.10736907,-2.74572372,-0.55687815,-0.00645778,0.09558679,0.14349766,-0.45675504,-0.06020770,-0.01950874,-0.40026504,-0.09878182,3.58845878,1.30315948,-0.81936771,0.86300117,-1.03023624,0.00000000,0,14:25:18.8,0,0
9,0.00000000,0.00000000,-0.48208278,0.81354481,0.00000000,-0.58318871,0.27812028,0.32684544,0.71357065,0.04709072,0.27965268,-1.94970417,0.54631436,-0.05590223,0.09772621,2.06674767,2.37308931,1.15622771,-1.94758129,-0.32929263,0.01127845,0.04115114,0.10062913,-0.49160755,-0.11720205,-0.02031030,-0.40026504,-0.10329012,3.58845878,0.65478861,-0.47464353,-0.34806952,0.66839164,0.00000000,0,14:25:18.9,0,0
10,0.00000000,3.37049294,0.35365561,1.32610500,0.00000000,-0.59197038,0.16309005,0.91518599,1.00350678,0.01221922,0.24921137,-2.01217580,0.36459419,0.08297740,-0.02426696,1.86993861,2.23084521,1.00540590,-0.79390240,-0.34001377,-0.09474939,0.09250573,0.17239432,-0.56752628,-0.10952230,0.03357518,-0.46621448,0.17691933,0.77663958,0.07487180,0.37551919,-0.89348286,0.75003105,0.00000000,0,14:25:19.0,0,0
11,0.00000000,-0.44462818,-0.03802704,0.16517398,0.00000000,-0.39363790,2.28607392,1.28205240,1.57291734,0.01417775,0.23709698,-2.20166969,0.69067919,0.05794922,-0.04176612,1.77495420,2.18421197,0.95372623,-1.30321062,0.49267769,-0.09756290,0.06807940,0.11442330,-0.53362948,-0.13075265,0.02052291,-0.46621448,0.07038040,2.00484180,0.07487180,-1.10150766,0.31540424,-0.33525166,0.00000000,0,14:25:19.1,0,0
12,0.00000000,3.37049294,1.34541035,0.67773420,0.00000000,-0.48039472,0.50656962,1.09868908,1.51707888,-0.04185766,0.27809221,-2.39389849,0.63961917,0.20748934,-0.06497298,1.76826417,2.17263317,0.91483152,-1.88575995,-0.44615823,-0.14930762,0.05869009,0.11201764,-0.64736921,-0.17940407,0.01011582,-0.55295265,0.04355095,2.00484180,-0.44979247,-1.10150766,0.16483587,-0.33525166,0.00000000,0,14:25:19.2,0,0
13,0.00000000,0.00000000,-0.03802704,2.06117153,0.00000000,-0.38865840,-1.75585413,1.18837655,1.63396084,-0.02690461,0.18685438,-2.31542873,0.32196489,-0.29198408,-0.07906719,1.73489702,2.21916819,0.85661584,-2.52016473,0.25840566,-0.19841890,0.14191324,0.17886025,-0.62730849,-0.16374288,0.02149804,-0.50541848,-0.02209960,3.58845878,0.65478861,-2.67147613,-0.88854450,-0.59823298,0.00000000,0,14:25:19.3,0,0
14,0.00000000,0.00000000,-0.03802704,0.67773420,0.00000000,-0.45187154,-0.05180635,-2.73790669,1.22427976,-0.01499147,0.11220337,-1.93351746,0.56618059,-0.09991661,-0.02160095,1.67884147,2.16107869,0.83690035,-1.20715749,-0.16041827,-0.16356641,0.18282039,0.19809118,-0.49875277,-0.10455354,0.01276074,-0.47933137,-0.01765032,0.77663958,0.07487180,0.37551919,0.42507473,0.75003105,0.00000000,0,14:25:19.4,0,0
15,0.00000000,0.00000000,-0.61794388,-0.44112971,0.00000000,-0.73026907,0.39113244,0.99159443,-0.16590495,0.03341497,0.14274606,-1.94622433,0.32556611,-0.06850282,0.01639535,1.76482904,2.23084521,0.88119751,-1.97601283,-0.12302435,-0.11516339,0.16528143,0.19809118,-0.54545122,-0.13485420,0.00318985,-0.43994051,-0.10773940,3.58845878,1.30315948,-0.47464353,-1.69784641,0.50634801,0.00000000,0,14:25:19.5,0,0
16,0.00000000,0.00000000,0.16628805,0.81354481,0.00000000,-0.30659485,0.62447959,1.39957631,1.93687224,0.05878532,-0.00320362,-1.81740069,0.18022875,-0.62654126,0.01639535,1.69807851,2.23084521,0.90709537,-1.95209956,0.07696530,0.01073661,0.21256976,0.23360398,-0.37603706,-0.08507640,0.00318985,-0.39136088,-0.21197112,5.82047558,1.30315948,-0.81936771,-0.14243273,-0.07356869,0.00000000,0,14:25:19.6,0,0
17,0.00000000,-2.67664456,-0.61794388,-0.93940711,0.00000000,-0.68101472,0.74491245,0.32684544,0.10306184,0.03934719,0.28579178,-2.25250626,0.28681278,0.24498907,-0.04176612,1.60833824,2.12655950,0.79688203,-1.70009005,0.39937139,-0.11212997,0.23193420,0.20944060,-0.61565524,-0.14215171,0.01462287,-0.47060856,0.06142282,2.00484180,0.65478861,1.22398436,-0.18038458,0.66839164,0.00000000,0,14:25:19.7,0,0
18,0.00000000,-5.48846436,-0.22626123,-0.90233397,-16.79485893,-0.47163194,0.05461860,2.43509817,1.28937006,0.04513811,0.36297148,-2.07879758,0.71515977,0.20748934,-0.12971459,1.53290713,2.06943369,0.79273731,-1.27031910,-0.27627742,-0.11749426,-0.02314292,0.03392302,-0.65417838,-0.18872471,-0.00904842,-0.54434586,0.02126502,-0.22700371,-0.44979247,-0.36644110,-0.13601404,0.27105206,0.00000000,0,14:25:19.8,0,0
19,0.00000000,3.37049294,-0.48208278,-0.44112971,0.00000000,-0.47924504,1.12306345,1.84013820,1.07823598,0.07265538,0.14274606,-2.25091052,0.36002216,-0.11241649,-0.13258368,1.45834386,2.02421260,0.75404787,-2.28367400,-0.47758710,-0.14930762,0.09880910,0.12336706,-0.56257790,-0.16018468,0.00318985,-0.49673691,-0.05336500,5.82047558,1.30315948,-0.81936771,0.46997273,0.50634801,0.00000000,0,14:25:19.9,0,0
20,0.00000000,0.00000000,-0.48208278,0.81354481,0.00000000,-0.69693238,1.39564669,-1.55455613,-0.42315143,0.08255516,0.12438487,-1.93318594,0.52759045,-0.43783030,-0.02769174,1.49951553,2.06943369,0.79712570,-1.32702076,-0.98047817,-0.08009100,0.07491038,0.11201764,-0.41412717,-0.08470718,0.01634912,-0.43994051,-0.14789720,9.63559723,0.65478861,-0.81936771,0.08139230,1.24830842,0.00000000,0,14:25:20.0,0,0
