Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190208145127
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,  1y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,810,708,263,386,568,0,577,571,540,0,612,591,708,648,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Stray,Stray,Normal,Normal,Stray,Stray,Stray,Stray,Normal,Normal,Normal,Normal,Stray,Stray,Normal,Normal,Stray,Stray,Stray,Stray,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Over,Over,Normal,Normal,Under,Under,Under,Under,Under,Under
Analog Gain,124,124,6,6,98,98,6,6,6,6,31,31,31,31,6,6,31,31,6,6,6,6,47,47,98,98,6,6,112,112,6,6,6,6,12,12,14,14,6,6,7,7,6,6,6,6,31,31,7,7,72,72,15,15,15,15,47,47,6,6,6,6,31,31,6,6,31,31,6,6,6,6,31,31,31,31,24,24,62,62,98,98,31,31,6,6,6,6,24,24,22,22,12,12,12,12,28,28,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Digital Gain,100.00,1.00,100.00,1.00,100.00,100.00,100.00,100.00,1.00,1.00,7.34,16.80,6.59,24.83,4.24,6.46,96.28,1.00,1.00,1.00,7.10,71.18,100.00,1.00,3.58,14.41,100.00,100.00,4.54,4.41,100.00,100.00,100.00,100.00,6.56,7.26,4.70,95.90,1.00,1.00,12.70,10.41,1.00,100.00,1.00,1.00,11.80,11.18,2.65,4.35,4.19,9.68,2.26,100.00,1.77,34.06,1.00,1.00,100.00,1.00,100.00,100.00,42.11,56.20,1.00,1.00,1.00,1.00,100.00,1.00,85.25,100.00,3.27,7.66,5.04,15.85,1.92,4.92,1.00,1.00,1.00,1.00,2.37,35.04,13.49,100.00,48.61,73.19,3.85,5.53,2.17,1.00,2.93,100.00,4.79,4.62,4.37,4.69,2.14,2.31,1.96,2.02,8.88,9.40,14.52,100.00,100.00,100.00,100.00,100.00,100.00,100.00

Measurement Information
Date,2019/02/08 14:51:29
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,-0.88886398,0.12660973,0.02270550,0.52403998,0.00000000,-0.56871164,-0.70436275,1.35221684,-0.83984643,0.00000000,-1.92346740,-6.26913452,9.25736141,4.45380878,2.20366025,0.00000000,11.52980328,0.36904055,-1.21015537,0.00000000,-0.13168940,0.00000000,0.00000000,-0.23876172,0.06572770,-0.07761942,-0.17046745,0.05148629,0.00000000,-3.16886115,-0.87167668,-0.03495077,0.00000000,0.00000000,0,14:51:38.1,0,0
2,0.00000000,1.71022701,0.02270550,2.21572232,0.00000000,0.26628980,0.34119797,1.40232372,-1.84628475,0.00000000,-0.79952449,0.00000000,9.89785576,8.26944256,2.33170152,0.00000000,0.00000000,0.41833350,-0.40686816,0.73496246,-0.07479512,0.78035885,-0.37556329,-0.12648100,0.14327638,-0.09230616,6.46972895,0.03341236,0.00000000,-1.58524406,0.20515628,0.82374042,0.00000000,0.00000000,0,14:51:38.2,0,0
3,-0.88886398,-1.10159230,0.02270550,-0.73063457,0.00000000,-0.41095719,-0.50027966,1.51531911,-0.26118615,0.00000000,-0.54684722,-10.08425522,10.51575565,0.00000000,2.20483470,0.00000000,0.00000000,0.43944621,-0.19803631,1.90438461,-0.10174239,-0.83403051,1.04873073,-0.05239205,0.14498359,-0.27799636,5.80952549,0.05148629,0.00000000,0.64677244,-0.87167668,-0.39919496,0.00000000,7.23868752,0,14:51:38.3,0,0
4,0.00000000,0.12660973,0.02270550,-0.73063457,0.00000000,-0.17795281,-0.21600233,1.25058806,4.20108080,0.00000000,-2.21693730,0.00000000,10.10535336,-2.24475336,2.42779922,0.00000000,0.00000000,0.49688077,-0.61150390,5.68576336,0.07324883,-0.83403051,0.00000000,0.05616897,0.12333681,-0.22388563,-0.00492704,0.03341236,0.00000000,4.46189356,2.06030798,1.55371690,0.00000000,0.00000000,0,14:51:38.4,0,0
5,-0.88886398,-1.10159230,0.02270550,-0.12433085,0.00000000,0.00664937,0.19799712,1.36850882,-3.76274180,0.00000000,-0.41257775,-10.08425522,10.22560596,0.00000000,2.32005215,0.00000000,0.00000000,0.42615440,-0.67458045,0.00000000,-0.13168940,-4.57136202,0.00000000,-0.45051482,0.04095399,-0.26660213,1.15855384,0.03341236,0.00000000,-4.39706326,-0.05652686,-0.17646872,0.00000000,9.93757820,0,14:51:38.5,0,0
6,-0.88886398,0.12660973,0.02270550,-0.08226372,0.00000000,0.13291675,0.19270983,1.33191144,1.97391236,0.00000000,-1.70547056,-10.08425522,9.92756081,0.00000000,2.39343596,0.00000000,0.00000000,0.40744904,-0.89926076,5.68576336,-0.10010532,-0.83403051,0.00000000,0.10984759,0.12611341,-0.12882683,0.00441071,0.05148629,0.00000000,0.00000000,1.67930233,0.70234215,0.00000000,0.00000000,0,14:51:38.6,0,0
7,0.00000000,1.71022701,0.02270550,1.25910652,0.00000000,-0.35715243,-0.47449794,1.30854344,5.79897451,0.00000000,-2.10442472,-6.26913452,9.83489037,0.00000000,1.94615388,0.00000000,0.00000000,0.42615440,-1.18911290,0.00000000,-0.10010532,0.00000000,0.00000000,0.11302692,0.13419481,-0.24196310,-0.03751399,0.02894492,0.00000000,0.64677244,0.09568515,0.53734010,0.00000000,0.00000000,0,14:51:38.7,0,0
8,0.00000000,-1.10159230,0.02270550,-0.19168741,0.00000000,0.02138273,0.25470817,1.40790653,-1.84628475,0.00000000,-0.81267023,0.00000000,9.65709782,3.22560692,2.04188299,0.00000000,7.71468210,0.42615440,-1.21015537,-0.21479304,-0.07269111,0.78035885,-0.37556329,-0.23876172,0.06390492,-0.22581597,-0.12954664,0.02894492,0.00000000,-1.58524406,0.47669071,-0.24628709,0.00000000,0.00000000,0,14:51:38.8,0,0
9,0.00000000,0.12660973,0.02270550,-0.12433085,0.00000000,0.00519624,0.00668124,1.40232372,1.12678683,0.00000000,-1.03036344,-6.26913452,9.45463371,-0.89638591,1.97828460,-7.02280998,0.55044717,0.38102782,-0.94121420,5.68576336,-0.15910360,-0.83403051,4.83010960,-0.47381610,-0.04294853,-0.18296483,-0.16140658,0.01996536,0.00000000,-1.58524406,-0.87167668,1.18497396,0.00000000,0.00000000,0,14:51:38.9,0,0
10,0.00000000,-1.10159230,0.02270550,0.25236830,0.00000000,-0.40061733,-0.28682381,1.19780910,-3.76274180,0.00000000,-1.34515119,-6.26913452,9.39930344,0.06028172,2.41016173,-4.71808481,2.85517240,0.47774753,-1.15105367,0.00000000,-0.01248406,0.00000000,0.00000000,-0.41405097,0.04417147,-0.18296483,-0.11127439,0.02894492,0.00000000,-3.16886115,-0.75151139,-0.43897739,0.00000000,0.00000000,0,14:51:39.0,0,0
11,-0.88886398,0.12660973,0.02270550,1.03660023,0.00000000,0.39262155,0.49467471,1.45191050,1.97391236,0.00000000,-0.97410834,-6.26913452,9.83846855,0.00000000,2.39343596,0.00000000,0.00000000,0.53640682,-0.59456784,0.00000000,0.07609887,0.00000000,0.00000000,0.29110348,0.19505781,-0.23285791,-0.96598637,0.10445821,0.00000000,4.46189356,2.06030798,3.34215713,0.00000000,7.23868752,0,14:51:39.1,0,0
12,0.00000000,7.75736475,0.02270550,1.50126803,0.00000000,-0.24827452,-0.38217521,1.46573234,2.97568750,0.00000000,-1.53175306,0.00000000,9.67427826,4.45380878,2.26160645,0.00000000,0.00000000,0.38656831,-1.83282089,-3.85431075,-0.10258684,-2.26663637,0.00000000,0.02600892,0.13419481,-0.41365391,0.01376467,-0.06280718,0.00000000,4.46189356,-1.59278476,0.00986596,0.00000000,0.00000000,0,14:51:39.2,0,0
13,0.00000000,-1.10159230,0.02270550,-1.31055129,0.00000000,0.25271198,0.19178753,1.56469202,4.20108080,0.00000000,-0.72763538,-6.26913452,8.34010124,0.00000000,2.42779922,0.00000000,0.00000000,0.51476288,-0.83993155,0.00000000,0.13774602,0.00000000,0.00000000,0.22998998,0.17355245,-0.07376944,0.03724789,0.03341236,0.00000000,0.00000000,9.06411362,1.72680235,0.00000000,0.00000000,0,14:51:39.3,0,0
14,0.00000000,0.12660973,0.02270550,0.52403998,0.00000000,-0.18717375,-0.20433915,1.30878448,2.97568750,0.00000000,-1.64950204,0.00000000,9.06249142,8.26944256,2.13633299,0.00000000,0.00000000,0.36699399,-1.83282089,0.00000000,-0.24564044,0.00000000,0.00000000,-0.14251827,0.08778387,-0.27799636,-0.02823140,0.01996536,0.00000000,4.46189356,-1.59278476,1.00407970,0.00000000,0.00000000,0,14:51:39.4,0,0
15,0.00000000,1.71022701,0.02270550,-1.78089178,0.00000000,-0.37167197,-0.65854907,1.43175745,5.79897451,0.00000000,-1.36398804,0.00000000,9.59300613,0.00000000,1.97828460,0.00000000,0.00000000,0.39868188,-2.63142824,0.00000000,-0.04168032,0.00000000,0.00000000,-0.07511768,0.08832324,-0.29104024,-0.02823140,0.12245839,0.00000000,4.46189356,0.71194059,0.04180190,0.00000000,0.00000000,0,14:51:39.5,0,0
16,0.00000000,-1.10159230,0.02270550,-0.70424765,0.00000000,-0.26014549,-0.23935558,1.34781265,-1.36864913,0.00000000,-1.26225030,-6.26913452,8.41410446,0.80224204,2.00746965,-3.36971760,4.20353985,0.47610614,0.05883468,0.00000000,0.09977768,0.00000000,0.00000000,-0.29549551,0.07640935,-0.34285834,1.14947808,0.11347884,0.00000000,-3.16886115,-0.79848707,-0.55571771,0.00000000,0.00000000,0,14:51:39.6,0,0
17,0.00000000,3.94224358,0.02270550,2.62013197,0.00000000,-0.11364586,-0.16886479,1.55665183,5.79897451,0.00000000,-2.45386100,0.00000000,9.52519321,0.06028172,2.15486741,-4.71808481,0.55044717,0.44475472,-0.87813759,0.00000000,0.04260656,0.00000000,0.00000000,0.29110348,0.18296131,-0.34423596,-0.03751399,0.02894492,0.00000000,4.46189356,-1.59278476,2.07642746,0.00000000,0.00000000,0,14:51:39.7,0,0
18,0.00000000,1.71022701,0.02270550,1.77166677,0.00000000,-0.21709111,-0.23935558,1.32060194,-1.84628475,0.00000000,-1.81572950,0.00000000,9.57709599,4.45380878,2.24573493,0.00000000,11.52980328,0.45716774,-0.65366954,-1.56996918,-0.01305396,0.03839853,-4.01508093,-0.19171843,0.15657264,-0.39605406,6.85021591,-0.06280718,0.00000000,0.64677244,2.17531848,-0.39919496,0.00000000,2.64941406,0,14:51:39.8,0,0
19,0.00000000,-1.10159230,-1.20549655,-1.31055129,0.00000000,0.08650579,0.13296553,1.33169687,1.97391236,0.00000000,-3.14823604,0.00000000,9.22034359,0.00000000,2.19216275,0.00000000,0.00000000,0.42615440,-0.17712539,0.73496246,-0.04274410,0.78035885,-1.73073947,0.28227231,0.17645411,-0.38378415,0.04665751,0.01094473,0.00000000,4.46189356,0.71194059,0.84142679,0.00000000,0.00000000,0,14:51:39.9,0,0
20,0.00000000,0.12660973,0.02270550,0.38822937,0.00000000,-0.11156389,-0.13888215,1.24891591,-2.28581858,0.00000000,-2.96766043,0.00000000,8.61208534,0.00000000,1.94615388,0.00000000,0.00000000,0.43846238,-0.87813759,-0.21479304,0.04260656,0.03839853,-0.37556329,-0.36989480,0.04470797,-0.38901490,-0.07912212,0.01996536,0.00000000,0.64677244,-0.87167668,-0.13289264,0.00000000,0.00000000,0,14:51:40.0,0,0
