Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190215135624
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,  1y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,899,760,603,586,773,0,692,638,610,0,682,632,623,598,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,124,124,6,6,72,72,6,6,6,6,22,22,15,15,6,6,31,31,6,6,6,6,98,98,14,14,7,7,7,7,6,6,12,12,6,6,6,6,6,6,7,7,6,6,6,6,49,49,28,28,6,6,72,72,6,6,6,6,6,6,6,6,31,31,60,60,31,31,6,6,6,6,49,49,72,72,15,15,94,94,28,28,7,7,7,7,24,24,6,6,7,7,7,7,12,12,31,31,15,15,49,49,6,6,6,6,6,6,6,6,6,6
Digital Gain,1.00,1.00,100.00,1.00,21.55,26.14,97.42,100.00,1.00,1.00,3.99,9.74,3.34,7.65,2.30,4.56,23.68,100.00,3.89,3.01,1.74,29.47,1.00,1.00,1.43,27.14,4.73,100.00,2.96,2.80,2.78,4.26,3.52,100.00,2.65,3.10,1.54,36.36,2.64,57.05,6.31,5.23,3.57,4.59,3.23,4.92,7.47,8.25,2.90,5.01,1.00,1.00,34.28,1.00,100.00,1.00,100.00,100.00,100.00,1.00,100.00,100.00,41.01,56.69,1.00,1.00,1.00,1.00,100.00,1.00,88.88,100.00,11.71,20.65,51.20,1.00,3.88,7.38,9.92,9.45,3.86,2.49,1.95,33.27,1.63,27.79,2.28,3.53,2.58,3.73,1.82,65.84,1.86,49.27,2.48,2.60,3.64,4.72,2.23,3.09,3.33,7.30,71.28,1.00,100.00,100.00,100.00,100.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/02/15 13:56:26
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.00000000,0.09448538,0.64473474,-0.18557827,0.00000000,-0.52666920,-0.32644942,0.34990031,-1.69770694,0.10458805,-0.06623997,0.00000000,-0.24877210,0.39227030,0.86347800,2.64205861,-4.33535147,1.44436824,-0.49853316,0.18733932,0.29924223,-0.35850817,0.04013854,0.38906986,-0.03345337,0.00000000,3.15011978,-9.79171371,0.00984144,1.56845129,-1.31594634,-0.41698697,0.00000000,0.00000000,0,13:56:35.1,0,0
2,0.00000000,1.67810273,0.71298450,-0.82251793,0.00000000,-0.40864283,-0.20111433,0.34852397,-1.02305591,0.12264553,-0.02885630,0.00000000,-0.38718069,0.14018607,0.93070287,2.67981577,2.76437831,1.47722387,-0.70209962,-0.33069724,0.31544283,-0.40845457,0.00105253,0.12633173,-0.11994830,0.00000000,5.50210714,0.00000000,-2.29488397,5.38357210,-1.31594634,-0.38795945,0.00000000,0.00000000,0,13:56:35.2,0,0
3,0.00000000,3.91011930,0.60704523,-0.29993230,0.00000000,-0.52329516,-0.31451139,0.33127818,-3.56048441,0.14888218,-0.00590160,0.00000000,-0.31023511,-0.15569176,1.03916585,2.64597464,2.74660897,1.45609379,-0.23584501,-1.51126766,0.33710381,-0.42574555,-0.01208087,0.16374718,-0.17106774,0.00000000,4.81342983,0.00000000,-0.71126664,5.38357210,0.91607010,0.61220294,0.00000000,0.00000000,0,13:56:35.3,0,0
4,0.00000000,-1.13371670,0.88286006,-0.69813848,0.00000000,-0.32234344,-0.14676198,0.33162063,0.37744614,0.09855229,0.28708678,0.00000000,-0.35563383,-0.19337463,0.98817807,2.66908360,2.68203831,1.47722387,-0.43041015,-0.31489766,0.29924223,-0.46713632,-0.06078217,0.17275785,-0.18361202,0.00000000,3.27020478,-9.79171371,1.35820889,5.38357210,5.44157171,0.12364079,0.00000000,0.00000000,0,13:56:35.4,0,0
5,0.00000000,-1.13371670,0.88563412,-1.13693011,0.00000000,-0.43981621,-0.24832547,0.27438936,-0.45569903,0.05004571,-0.05171567,0.00000000,-0.27416810,0.19830799,1.02929103,2.60770607,2.64132571,1.42108524,-0.30451810,-0.55469495,0.28383350,-0.44807291,0.00991728,0.16217573,-0.11411624,0.00000000,4.20146370,0.00000000,-0.71126664,1.56845129,1.69915986,0.02364915,0.00000000,0.00000000,0,13:56:35.5,0,0
6,0.00000000,1.67810273,0.88563412,-0.29993230,0.00000000,-0.51246405,-0.30875984,0.29122511,-2.81852388,0.11850547,-0.09387823,0.00000000,-0.31915891,-1.77712989,1.00067270,2.66081047,2.74660897,1.46986032,-0.16630442,-0.52287227,0.30144024,-0.46382082,-0.04207163,-0.16036516,-0.20476215,0.00000000,3.65072918,0.00000000,-0.71126664,1.56845129,-1.31594634,0.34357163,0.00000000,0.00000000,0,13:56:35.6,0,0
7,0.00000000,3.91011930,0.60704523,-0.21621422,0.00000000,-0.54641449,-0.38168859,0.18721665,-7.81500149,-0.03395751,-0.17152543,0.00000000,-0.22041349,-0.67902297,0.92630559,2.63879561,2.74660897,1.40425801,-0.06393685,-0.06848127,0.28015012,-0.48463008,-0.02874625,0.01397476,-0.14079250,0.00000000,6.08323622,0.00000000,1.52074969,5.38357210,0.91607010,-0.14328921,0.00000000,0.00000000,0,13:56:35.7,0,0
8,0.00000000,0.09448538,0.78238893,-0.62436986,0.00000000,-0.42564419,-0.32161039,0.24141236,-1.69966006,0.04627154,-0.10164104,0.00000000,-0.31097481,-0.65826595,0.92866087,2.51579404,2.66453266,1.27597797,-0.82085830,0.28157684,0.20298775,-0.41682038,0.00733028,0.20975921,-0.09792925,0.00000000,7.20838547,0.00000000,-2.29488397,5.38357210,1.62645090,-0.61616850,0.00000000,0.00000000,0,13:56:35.8,0,0
9,0.00000000,1.67810273,1.10111177,0.81893164,0.00000000,-0.43294162,-0.33306098,0.24141236,-1.41233206,-0.02667194,-0.12420075,2.44818139,0.30568495,-0.19337463,1.02833033,2.51065516,-4.56436682,1.37231386,-0.16956890,-0.08126286,0.33085155,-0.50126666,-0.12267873,-0.15381226,-0.27101320,0.00000000,2.06620789,-13.60683537,0.13000675,-0.66356510,-0.60556561,-0.15862882,0.00000000,0.00000000,0,13:56:35.9,0,0
10,0.00000000,-2.98582530,0.88563412,-1.41297114,0.00000000,-0.44259325,-0.33306098,0.33477443,-1.80401468,0.03557637,0.06485640,0.00000000,-0.03792587,-0.17245993,1.02657986,2.51065516,2.62394905,1.36335397,-0.32934225,-0.83835500,0.34618899,-0.46624315,-0.08093929,0.55618608,-0.03656163,0.00000000,6.28935766,0.00000000,0.00984144,5.38357210,4.73119116,-0.61616850,0.00000000,0.00000000,0,13:56:36.0,0,0
11,0.00000000,0.09448538,0.88563412,-1.74323380,0.00000000,-0.42655158,-0.30805448,0.18965985,-2.95683479,-0.07553115,-0.12866822,0.00000000,-0.13567959,-0.59974754,0.89579004,2.41289520,2.66453266,1.27398062,-0.20028202,-0.28539953,0.31544283,-0.31553841,0.08843284,0.04448684,-0.24888685,0.00000000,5.14949846,0.00000000,1.52074969,0.00000000,4.73119116,-0.58596975,0.00000000,0.00000000,0,13:56:36.1,0,0
12,0.00000000,-1.13371670,0.84817123,-1.74323380,0.00000000,-0.50068730,-0.33306098,0.24939224,-1.80401468,-0.01782877,-0.09260252,0.00000000,-0.59745961,-0.15569176,0.90014350,2.47989631,2.68203831,1.29377031,-0.29210275,-0.36582842,0.31457967,-0.39571393,-0.03509442,0.33682045,-0.02068899,0.00000000,3.78233671,-9.79171371,0.00984144,5.38357210,3.93117619,0.17094852,0.00000000,0.00000000,0,13:56:36.2,0,0
13,0.00000000,0.09448538,0.71298450,-0.18557827,0.00000000,-0.48384213,-0.32161039,0.26013219,-2.32732677,-0.02303227,0.12120230,0.00000000,0.05528806,-0.19337463,0.80284399,2.39023972,2.64132571,1.17057967,-0.34779128,-0.09632078,0.20298775,-0.32784495,0.03100550,0.11695993,-0.15954609,0.00000000,2.91425133,-9.79171371,-2.29488397,5.38357210,1.62645090,0.12364079,0.00000000,0.00000000,0,13:56:36.3,0,0
14,0.00000000,-2.13736010,0.91866046,-0.62436986,0.00000000,-0.51106566,-0.34239236,0.26496330,-1.37071085,0.03269365,0.05129820,0.00000000,-0.26444948,-0.23496719,0.79368222,2.33373785,2.60091233,1.13753164,-0.20643432,-0.21569023,0.12144445,-0.42405856,-0.03509442,0.02709220,-0.17711680,0.00000000,3.02924657,0.00000000,0.00984144,5.38357210,1.62645090,0.30338484,0.00000000,0.00000000,0,13:56:36.4,0,0
15,0.00000000,0.09448538,0.88563412,-0.69813848,0.00000000,-0.54542029,-0.38761127,0.21389869,-5.74801588,-0.00204327,-0.12866822,0.00000000,-0.35042432,-0.17245993,0.91264415,2.35595632,2.58366203,1.20326579,-0.22469930,-0.87845379,0.29924223,-0.30043757,0.04121611,0.36329961,-0.08901224,0.00000000,5.14949846,0.00000000,0.90710461,0.00000000,4.73119116,-0.13857935,0.00000000,0.00000000,0,13:56:36.5,0,0
16,0.00000000,-2.13736010,0.95721370,-2.14961433,0.00000000,-0.50458074,-0.37595767,0.25024194,-2.54597759,0.00668406,0.13927621,0.00000000,-0.08728132,-1.12907588,0.88227648,2.34125090,2.58366203,1.19239104,-0.36625460,0.07822464,0.24667722,-0.30616942,0.05511386,0.34847322,0.04453309,0.00000000,2.26481986,-13.60683537,-3.52308607,5.38357210,1.62645090,-0.50085872,0.00000000,0.00000000,0,13:56:36.6,0,0
17,0.00000000,7.72524023,0.95528078,0.89013839,0.00000000,-0.37425268,-0.27008018,0.22377229,-1.46711171,-0.01953058,-0.19410348,0.00000000,-0.50228631,0.23599087,0.86988598,2.36395049,-4.58161688,1.21169567,-0.75370955,-0.61224478,0.33710381,-0.31702867,0.01375683,0.50392622,-0.04274476,0.00000000,6.08323622,0.00000000,6.95424223,0.00000000,4.73119116,-2.36851668,0.00000000,0.00000000,0,13:56:36.7,0,0
18,0.00000000,0.09448538,0.84817123,-0.69813848,0.00000000,-0.41588756,-0.29193404,0.16279143,-1.58215678,-0.07703225,-0.23464501,0.00000000,-0.43637583,-0.65826595,0.82709259,2.24747038,2.56079268,1.13753164,-0.61555791,-0.42043799,0.24667722,-0.37409580,-0.00297478,0.24247122,-0.12613450,0.00000000,5.88455534,0.00000000,-0.67651272,1.56845129,-1.31594634,0.02364915,0.00000000,0.00000000,0,13:56:36.8,0,0
19,0.00000000,-2.98582530,0.88551670,-1.41297114,0.00000000,-0.48015359,-0.34656575,0.25499114,-0.85326928,-0.03518607,0.24470824,0.14512646,0.04650887,1.28504777,0.67440778,2.23621440,0.60631210,1.06264091,0.31681475,0.58516991,0.15428601,-0.30279735,0.04842188,0.10709350,0.00214265,0.00000000,1.87176323,-15.83885098,0.82499158,-3.47538447,-1.11265957,-0.50631458,0.00000000,14.84051800,0,13:56:36.9,0,0
20,0.00000000,0.00000000,0.84817123,2.78872395,0.00000000,-0.34762108,-0.22781593,0.20470591,-0.63137323,-0.07855953,-0.21664484,0.00000000,-0.26886046,-3.53366137,0.73644412,2.19133162,2.53801847,1.08286858,-0.44543120,-1.52444112,0.16689408,-0.38254246,-0.04128484,0.23468205,-0.15318230,0.00000000,4.65509653,0.00000000,5.33587122,0.00000000,4.73119116,0.03555650,0.00000000,0.00000000,0,13:56:37.0,0,0
