Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190208141641
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,  1y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,1947,1378,2000,1409,698,642,643,0,667,624,585,0,617,594,563,562,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,112,112,6,6,24,24,98,98,6,6,31,31,31,31,12,12,31,31,6,6,15,15,15,15,49,49,12,12,24,24,7,7,15,15,12,12,22,22,6,6,15,15,6,6,6,6,48,48,24,24,6,6,15,15,15,15,6,6,6,6,6,6,31,31,6,6,31,31,6,6,62,62,31,31,48,48,15,15,31,31,7,7,14,14,15,15,31,31,7,7,31,31,72,72,56,56,72,72,24,24,6,6,7,7,6,6,6,6,6,6,6,6
Digital Gain,1.00,1.00,85.70,1.00,2.29,5.01,25.48,25.46,74.98,99.29,6.20,14.03,12.20,45.76,1.42,4.61,28.97,1.00,1.90,2.12,1.60,36.42,4.06,3.38,2.27,26.06,3.07,80.18,2.92,3.00,7.71,8.00,10.54,1.00,4.21,5.04,7.15,1.00,5.43,100.00,11.41,8.80,10.71,12.76,8.01,7.71,4.99,5.07,4.80,5.31,60.83,100.00,1.94,1.00,1.30,48.73,100.00,100.00,100.00,1.00,100.00,100.00,44.06,60.75,100.00,100.00,62.81,82.53,20.09,100.00,4.05,4.08,3.88,8.06,3.70,12.18,2.60,8.01,3.66,5.90,3.82,3.88,1.46,34.93,1.29,21.95,3.45,3.66,2.60,3.44,2.52,100.00,51.52,100.00,3.72,3.71,6.02,6.02,3.09,2.95,1.58,2.20,1.39,45.87,100.00,100.00,100.00,100.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/02/08 14:16:44
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.00000000,-0.05700246,0.24841394,1.11649871,0.16080362,-0.25459775,-0.61532050,0.55884886,0.61599386,-0.29469559,1.07729423,-1.16949105,4.16845751,0.04645772,-0.22658968,-0.12948710,1.44766355,0.01615727,2.30479264,-3.75007606,-0.30583417,-0.33188552,-0.10906364,0.01459539,-0.38035935,-1.04520035,-0.22402658,-0.07242687,-0.06222554,0.92415822,1.06269181,-0.15238728,4.99669313,-2.93067050,0,14:16:54.1,0,0
2,0.00000000,-0.05700246,0.35723791,3.34855461,0.16080362,-0.22977774,-0.09376474,0.46525681,-0.60875684,-0.25056273,1.13738918,-1.07164001,4.31408405,-4.04232407,-0.12933622,-0.34274387,1.71519852,0.06135786,2.51127267,-1.98946834,-0.32467616,-0.08963735,-0.03353357,-0.08105618,-0.51327425,-0.70829672,-0.22859867,0.06553435,0.05793969,0.39949399,-0.52092552,1.15399384,-1.05044448,0.84014362,0,14:16:54.2,0,0
3,0.00000000,-0.05700246,0.37971067,2.71478009,0.16080362,-0.22659729,-0.40317765,0.49639592,0.28754407,-0.24752636,1.32231116,-1.13897288,4.41831017,-2.48620653,-0.09047511,-0.12469863,2.03717852,0.09972590,2.75651741,1.40215552,-0.18908383,-0.10896923,0.03813564,-0.09083239,-0.53827971,-0.76187509,-0.13113977,-0.11266383,-0.06222554,0.92415822,1.06269181,2.12443995,4.99669313,3.84067106,0,14:16:54.3,0,0
4,0.00000000,-0.05700246,0.29602286,2.18426180,0.16080362,-0.08218709,0.32642108,0.56423414,-0.32590118,-0.25850999,1.08345592,-1.12823141,4.44141150,0.07476147,-0.13878821,-0.15022083,1.62596285,0.08792464,2.54081225,-1.11109710,-0.24823920,-0.23716521,-0.06301475,-0.24268864,-0.68083531,0.07366353,-0.24701957,0.25164264,1.01460731,0.39949399,-0.40076029,-0.00008366,0.29260689,-0.34582609,0,14:16:54.4,0,0
5,0.00000000,-0.05700246,0.29164368,1.54070151,0.16080362,-0.08722902,0.43730113,0.54007328,-0.60875684,-0.25222248,1.00622201,-1.15892601,4.42657328,-0.19845761,-0.19089271,-0.18584622,1.57980609,0.07775123,2.48189068,-1.07023680,-0.33028376,-0.23716521,-0.06679253,0.22439581,-0.14048964,0.07366353,-0.04138897,0.09702971,1.01460731,0.92415822,0.82744187,0.75761181,5.61863661,2.62129259,0,14:16:54.5,0,0
6,0.00000000,0.34774283,0.25297201,0.82109272,0.51633662,-0.12738995,0.49194956,0.51480603,-0.60875684,-0.26098964,1.16223538,-1.19965899,4.35140848,0.23137267,-0.17336577,-0.29785910,1.80590475,-0.07396357,2.63471937,-2.97710252,-0.64836383,-0.26993427,-0.04374854,-0.28392321,-0.49824452,0.24831924,-0.26532254,0.32165200,0.75292432,-0.07948504,-1.74912763,0.38688725,-0.42850125,0.04053340,0,14:16:54.6,0,0
7,0.00000000,-0.05700246,0.18983500,0.44169518,0.16080362,-0.30308765,0.08750242,0.53551197,-0.46911553,-0.29091811,1.06660128,-1.25655544,4.25278473,0.02758132,-0.22853191,-0.31793490,1.94261289,-0.03907211,2.75651741,-5.01485491,-0.49359450,0.04641365,0.19239302,-0.39093578,-0.64369214,-0.19573650,-0.36497030,0.18418416,0.01096401,-0.07948504,0.82744187,-0.78635567,-0.42850125,-1.43094718,0,14:16:54.7,0,0
8,0.00000000,-0.05700246,0.22356372,0.37112638,0.51633662,-0.30308765,0.08750242,0.63295442,-0.87778568,-0.30683631,1.08720517,-1.27200508,4.07027388,0.52982223,-0.27385265,-0.22514382,1.40699267,-0.09213099,2.24833155,-0.43172708,-0.55180550,-0.17819127,0.02268328,-0.17467430,-0.44758147,0.24831924,2.44476557,0.25164264,0.75292432,-0.07948504,-0.40076029,-0.13060676,-0.42850125,-1.07834959,0,14:16:54.8,0,0
9,0.00000000,-0.05700246,0.40999609,2.43286777,0.16080362,0.08624944,0.79864824,0.58792591,-0.87778568,-0.25986925,0.85677481,-1.11900902,4.17470694,-0.80147910,-0.18462893,-0.29143211,1.19640136,0.08224360,2.24833155,0.38103971,-0.17836514,-0.09879401,0.01169789,-0.02346875,-0.42745084,-0.19573650,-0.09350660,0.06102606,0.01096401,1.50407517,5.59974337,-0.64356512,2.92666864,-2.64900970,0,14:16:54.9,0,0
10,0.00000000,-0.05700246,0.30471873,1.72068393,0.16080362,-0.09833624,-0.12849566,0.50308508,0.61599386,-0.23980266,1.15218771,-1.08824575,3.97014403,-0.05096798,-0.15569708,-0.19860460,1.44766355,0.01793936,2.36183858,0.13808332,-0.45315251,-0.04853681,0.09226603,-0.00272140,-0.41036072,-0.43889666,-0.04138897,0.21517237,0.05793969,0.92415822,-0.52092552,0.38815141,4.99669313,1.09737313,0,14:16:55.0,0,0
11,0.00000000,-0.05700246,0.32634214,1.57663631,0.51633662,-0.16714141,0.27140945,0.58792591,-1.00749695,-0.24366790,1.00574410,-1.10773063,4.01274729,-0.32357392,-0.18502326,-0.22000510,1.40699267,0.04008573,2.24833155,-1.27161598,-0.52761936,-0.10103478,0.02268328,-0.37093058,-0.74269801,0.07366353,-0.22859867,0.10428838,1.28614187,0.39949399,0.82744187,0.54706663,1.80351520,0.39791900,0,14:16:55.1,0,0
12,0.00000000,-0.05700246,0.30002886,0.95157361,0.16080362,-0.39105886,-0.69455963,0.57255226,-0.32590118,-0.24124080,0.95594925,-1.15842414,4.24058962,0.60933256,-0.18121621,-0.10373617,1.44766355,0.09364368,2.30479264,0.54981059,-0.30499947,-0.16238143,-0.02116425,-0.53367203,-0.85906774,0.24831924,-0.21481395,0.46312007,0.01096401,0.39949399,-1.74912763,-1.26445234,-1.05044448,-2.13614464,0,14:16:55.2,0,0
13,0.00000000,-0.05700246,0.23198600,0.40237445,0.16080362,-0.41677365,-0.15271381,0.55570990,-0.60875684,-0.28388157,0.92527348,-1.24867857,4.13540220,0.69454998,-0.24563174,-0.10373617,1.62596285,0.06915316,2.36183858,-0.32827649,-0.35592085,-0.14411806,0.04203039,-0.27921918,-0.70081002,-0.19573650,-0.08407272,0.18016863,-0.94570357,0.39949399,-2.82565093,1.50597858,-1.05044448,2.18712449,0,14:16:55.3,0,0
14,0.00000000,-0.05700246,0.20272921,-0.00209082,0.16080362,-0.10125820,0.65312046,0.56320035,-0.46911553,-0.32446396,1.03115797,-1.31072509,3.92856383,0.72176695,-0.24052501,-0.04657200,1.71519852,-0.02317966,2.39058495,-0.96862531,-0.60466433,-0.09879401,0.05609294,-0.19396766,-0.58387375,-0.43889666,-0.10292467,-0.08490657,-1.29042768,0.39949399,-0.52092552,-0.53949183,1.18157196,-4.60510445,0,14:16:55.4,0,0
15,0.00000000,-0.05700246,0.15734243,-0.50072205,0.16080362,-0.20698819,0.70098358,0.58627820,-0.60875684,-0.33478424,1.04539335,-1.41022527,3.66242838,0.91142106,-0.29971570,-0.09877608,1.62596285,-0.03583180,2.39058495,-0.96862531,-0.51589221,-0.30363801,-0.07644648,-0.77988094,-1.03988922,-0.45261553,-0.40528151,0.18889838,0.01096401,-0.07948504,-0.40076029,0.03501289,-0.42850125,-0.42826325,0,14:16:55.5,0,0
16,0.00000000,0.34774283,0.19315615,0.54828709,0.89649332,-0.28280383,0.07294716,0.58124912,-0.46911553,-0.34755871,1.11791861,-1.41941643,3.58231473,-0.39584109,-0.28350797,-0.19204712,1.66829062,-0.10103206,2.54081225,-0.16554840,-0.49828729,-0.09879401,0.10910552,-0.32987380,-0.70020330,-1.04520035,-0.19628477,0.04292757,-1.29042768,0.39949399,-1.24203360,-0.46661860,1.18157196,-0.62561351,0,14:16:55.6,0,0
17,0.00000000,-0.05700246,0.33077016,1.55912662,0.16080362,-0.03773859,0.49483332,0.56489766,-0.17886101,-0.31536558,1.06618750,-1.35493755,3.12309599,0.07476147,-0.28970993,-0.22118808,1.57980609,-0.03207374,2.57051134,-1.86417639,-0.52761936,-0.17819127,0.02268328,-0.39093578,-0.75215709,-0.19573650,-0.20558588,0.30206582,0.01096401,0.92415822,0.82744187,-1.81442702,1.80351520,-5.36346912,0,14:16:55.7,0,0
18,0.00000000,-0.05700246,0.28738165,1.08684361,0.16080362,-0.08722902,0.43812135,0.58707720,0.12762190,-0.31429631,1.06618750,-1.34669280,2.52417684,-0.38213634,-0.35108531,-0.13075739,1.75822079,-0.00810165,2.63471937,0.48320922,-0.41194272,0.00218348,0.05885638,-0.05803387,-0.43672976,0.07366353,0.35693437,0.21517237,0.05793969,0.92415822,0.82744187,0.93845123,1.80351520,0.48754609,0,14:16:55.8,0,0
19,0.00000000,-0.43832296,0.18467477,0.76631683,0.16080362,-0.40570158,-0.39024845,0.58707720,-0.46911553,-0.30625179,1.01965594,-1.37466776,2.07304263,0.04754453,-0.35189775,-0.22767252,1.53403330,0.04008573,2.60037088,0.37963867,-0.37459046,-0.22758755,-0.04027338,-0.20774607,-0.53160530,0.07366353,5.58636713,0.33709615,1.01460731,0.92415822,3.36772680,0.54706663,7.92336178,1.44644499,0,14:16:55.9,0,0
