Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190213111251
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,  1y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,1712,1456,2000,1409,1193,934,878,0,687,635,590,0,787,694,608,589,1579,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under
Analog Gain,112,112,6,6,47,47,98,98,6,6,28,28,15,15,31,31,15,15,7,7,24,24,7,7,12,12,6,6,22,22,6,6,6,6,7,7,15,15,7,7,15,15,6,6,6,6,15,15,22,22,31,31,15,15,31,31,15,15,49,49,31,31,31,31,112,112,31,31,6,6,6,6,22,22,12,12,15,15,31,31,6,6,6,6,6,6,6,6,7,7,7,7,56,56,31,31,12,12,7,7,24,24,62,62,6,6,72,72,6,6,6,6
Digital Gain,100.00,1.00,70.21,100.00,2.93,4.53,5.95,5.94,26.72,54.82,5.42,6.48,3.50,6.49,1.38,5.20,5.05,8.12,1.63,2.76,1.17,19.13,2.99,2.95,1.33,24.29,3.17,52.96,2.50,2.78,3.24,5.21,1.87,41.88,5.82,7.08,2.31,100.00,4.58,100.00,6.49,6.41,4.09,5.17,3.09,4.23,3.33,3.96,2.82,4.86,6.31,18.47,2.12,100.00,3.39,1.00,2.22,7.33,100.00,100.00,2.11,7.21,21.89,54.43,8.51,8.61,14.05,30.63,37.56,1.00,24.69,35.10,3.23,4.57,2.41,5.25,2.36,5.41,3.02,5.59,1.86,2.13,1.35,26.34,1.13,22.44,35.54,56.49,2.84,3.98,1.33,36.04,1.41,30.81,3.10,3.31,2.35,2.35,2.47,3.22,1.76,5.13,2.64,92.30,13.19,100.00,3.62,3.65,22.24,52.65,100.00,1.00

Measurement Information
Date,2019/02/13 11:12:53
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.00000000,4.03040504,-0.30071336,-2.66184521,0.03470256,-0.29385787,-0.00873826,0.96084231,-0.20223744,0.53426909,1.14655614,-0.32955953,-0.20317264,0.20218685,-0.29868013,-0.39618522,0.10386737,-0.31797948,-1.24342787,1.98673570,-0.60188365,-1.10525358,-0.63744879,-0.69251812,-0.51792300,-0.31435266,-0.86551201,-1.02860117,-0.05896365,-4.13319731,-0.63127989,0.00328300,-1.38428307,-0.43679532,0,11:13:02.1,0,0
2,0.00000000,-0.19077815,-0.30061650,-2.84079528,0.03470256,-0.47143841,-0.21417989,0.95317471,-0.37389427,0.51292402,1.12795913,-0.39792889,-0.26007950,0.11772574,-0.37336603,-0.48429707,0.04661683,-0.34833020,5.22956419,0.42759439,-0.69310027,-1.01504695,-0.57051057,-0.78121948,-0.54154414,-0.08255343,-0.93016756,-1.01007211,0.01767093,-4.13319731,-0.64052665,-0.10000064,-1.64318717,-0.37928343,0,11:13:02.2,0,0
3,0.00000000,-0.19077815,-0.18432866,-2.95766258,0.03470256,-0.30500942,-0.17006676,0.95317471,-0.28397056,0.50923902,1.06210649,-0.38123256,-0.27889919,0.02928424,-0.37060213,-0.41138995,0.08619678,-0.31749979,3.88119698,1.32465708,-0.62158269,-1.05337322,-0.59663904,-0.74235702,-0.51824796,-0.25870138,-0.90257555,-1.04238594,0.00591679,-7.94831800,-0.67813861,-0.10829461,-1.65970898,-0.51701969,0,11:13:02.3,0,0
4,1.32450950,-0.19077815,-0.23396613,-1.90130019,0.00452814,-0.75043827,-0.33666036,1.05050039,-0.60617411,0.66234964,1.16036928,-0.29451498,-0.09571023,0.37848938,-0.27283940,-0.35141963,0.00682315,-0.30079564,7.55213928,0.36798951,-0.63862610,-0.97224981,-0.57577497,-0.66722405,-0.54604924,-0.06110112,8.23391914,-0.91671193,0.04384697,-4.13319731,-0.60329819,0.15530823,-1.15851784,-0.05726392,0,11:13:02.4,0,0
5,0.00000000,-0.19077815,-0.15259162,-2.00809979,0.03470256,-0.43718097,-0.30808359,1.05024719,-0.53300178,0.62818092,1.05965281,-0.31747141,-0.15534607,0.07401952,-0.24826154,-0.38260072,0.01569402,-0.25185135,5.34085274,0.40622512,-0.47367999,-0.94670594,-0.55194479,-0.65339953,-0.54592568,-0.29807559,-0.81418967,-0.96361876,-0.06650729,0.00000000,-0.53428608,0.43205652,-1.24949253,-0.03523569,0,11:13:02.5,0,0
6,0.00000000,4.03040504,-0.23589325,-2.18222904,0.03470256,-0.47600099,-0.25285906,1.04936504,-0.41418797,0.60146445,1.09627938,-0.28001761,-0.15534607,-0.03336764,-0.22762930,-0.36454138,-0.08480583,-0.30519736,-1.23449945,2.06661749,-0.63573670,-0.99561882,-0.55465949,-0.65339953,-0.52251333,-0.20327444,-0.80481178,-0.91671193,-0.02910413,-7.94831800,-0.56245351,-1.25343418,-1.20502388,-0.84203154,0,11:13:02.6,0,0
7,6.36834478,4.36327124,-0.24182732,-2.27481031,0.03470256,-0.43680742,-0.13971598,0.97213769,-0.31055182,0.58839673,1.12270367,-0.21384864,0.04612625,0.20218685,-0.21655864,-0.39611804,-0.00203374,-0.34961635,3.98350620,2.10485315,-0.61874956,-0.95864350,-0.55464619,-0.68682724,-0.55991906,-0.20466031,-0.83289701,-0.94957697,-0.01088798,-7.94831800,-0.59397626,-0.07236445,-1.34889412,-0.45995945,0,11:13:02.7,0,0
8,0.00000000,4.03040504,-0.16133678,-2.23686934,0.03470256,-0.32805228,-0.06474467,0.96084231,-0.25355521,0.54737484,1.04939091,-0.27567241,0.01260367,-0.79993898,-0.25254446,-0.51002544,-0.49828008,-0.19198059,7.02148056,-0.92077303,-0.52342075,-0.97716224,-0.54151279,-0.70419264,-0.55985999,-0.32498485,-0.87478679,-0.99620575,-0.02910413,-7.94831800,-0.54367167,-0.91327465,-1.50197208,-0.64819187,0,11:13:02.8,0,0
9,0.00000000,-0.19077815,-0.25555694,-2.74885798,0.03470256,-0.54264796,-0.37515908,0.94082481,-0.58238083,0.51754916,1.07138133,-0.29839763,-0.21746910,0.30677107,-0.28296077,-0.38505661,0.27722603,-0.27972314,1.64743900,-3.26815414,-0.56558013,-1.05533767,-0.60463142,-0.72864020,-0.55991906,-0.15297946,-0.86551201,-0.98224717,0.00591679,-10.18033504,-0.63127989,-1.23991120,-1.51137042,-0.96300942,0,11:13:02.9,0,0
10,1.32450950,4.03040504,-0.41278571,-2.83368134,0.03470256,-0.50763685,-0.33987200,0.95636767,-0.53416914,0.49320108,0.95655441,-0.37041688,-0.00757724,-0.14528954,-0.37302542,-0.49766672,-0.16866964,-0.30940208,5.22956419,-0.96342885,-0.72582567,-1.06473458,-0.62013984,-0.79970670,-0.59679002,-0.23955232,-0.94394040,-1.06080687,-0.02055025,-10.18033504,-0.63127989,-0.07366680,-1.75068557,-0.44300726,0,11:13:03.0,0,0
11,-4.72290134,-0.19077815,-0.34367794,-2.62844825,0.03470256,-0.29855180,-0.02564540,0.96084231,-0.23103404,0.54547673,1.13257372,-0.37614053,0.04479778,-0.32667929,-0.35493383,-0.51080507,-0.27297714,-0.37417328,8.01629066,0.34684929,-0.64604723,-1.07814240,-0.59401929,-0.78373420,-0.55843735,-0.08828415,11.16072750,-1.04238594,-0.00304665,-11.76395321,-0.65055841,0.37030798,-1.57983828,-0.06919161,0,11:13:03.1,0,0
12,4.13632870,-0.19077815,-0.32654870,-1.47642052,0.03470256,-0.32869267,-0.15641102,1.04955888,-0.41131949,0.65059501,1.16981161,-0.30301210,-0.23561424,0.08746652,-0.23218745,-0.38059232,0.01569402,-0.23306535,-1.20310664,0.38493854,-0.53737038,-0.96043557,-0.55987597,-0.57855111,-0.50844687,-0.26622930,-0.75291759,-0.86940163,-0.06650729,-10.18033504,-0.50127989,-0.47873259,-1.03422904,-0.39351845,0,11:13:03.2,0,0
13,1.32450950,4.03040504,-0.30810931,-2.11281729,0.03470256,-0.43517831,-0.20509784,1.02177620,-0.42913216,0.60760123,1.14147520,-0.29956603,-0.29825762,-0.44923559,-0.25551954,-0.49680486,-0.35924971,-0.29010770,1.71030164,0.38493854,-0.52038324,-1.00236022,-0.59968543,-0.63881642,-0.55994380,-0.23891138,-0.81418967,-0.88364923,-0.02849013,-7.94831800,-0.56245351,-0.48686498,-1.11915624,-0.57756770,0,11:13:03.3,0,0
14,10.18346691,4.36327124,-0.22483371,-1.91062188,0.15974161,-0.29138306,-0.10391286,1.02051139,-0.27576122,0.62008029,1.16036928,-0.32599029,-0.09088342,0.08746652,-0.25082359,-0.37803331,-0.19340239,-0.20235801,6.31098938,2.10485315,-0.51202846,-0.94670594,-0.55464619,-0.66763753,-0.54596984,-0.16208385,8.21527481,-0.91671193,-0.02359232,-4.13319731,-0.57206458,-0.28652811,-1.12677062,-0.32932824,0,11:13:03.4,0,0
15,8.66167641,4.03040504,-0.27972689,-1.89990819,-0.12051091,-0.52185738,-0.24681373,1.00081384,-0.48469162,0.60210854,1.08686984,-0.26548195,-0.07165248,-0.08738958,-0.20732594,-0.41198510,-0.10256222,-0.34961635,5.34085274,2.68987036,-0.58457261,-0.97224981,-0.56517726,-0.60831195,-0.47625190,-0.20466031,8.25262642,-0.96361876,0.00539278,-11.76395321,-0.52346492,0.45643136,-1.22461343,-0.14904116,0,11:13:03.5,0,0
16,6.36834478,0.14208838,-0.32169631,-2.29874516,-0.12051091,-0.51176935,-0.30900520,0.95686269,-0.50861776,0.56779319,1.10399628,-0.28249797,-0.37996578,0.06054964,-0.27552894,-0.40939829,0.00682315,-0.29929793,1.67878079,1.34160614,-0.62863910,-1.02767682,-0.59410036,-0.72667742,-0.55994380,-0.13476592,-0.83289701,-0.94957697,-0.03255687,-4.13319731,-0.59041971,0.35085368,-1.29412735,-0.08411304,0,11:13:03.6,0,0
17,-3.49459648,-0.19077815,-0.26601413,-2.69280601,0.03470256,-0.33310959,-0.17984974,0.91994143,-0.31726366,0.53797495,1.20873630,-0.37214810,-0.36038065,-0.44923559,-0.34824598,-0.48329818,-0.35924971,-0.40743291,6.22603512,1.28668451,-0.68360364,-1.07814240,-0.60968351,-0.71757674,-0.51839638,-0.12553915,10.48780441,-1.06080687,0.02653294,-11.76395321,-0.59041971,-0.19458772,-1.55670476,-0.56914800,0,11:13:03.7,0,0
18,0.00000000,4.03040504,-0.20783202,-2.71341228,0.03470256,-0.18884128,-0.05337361,0.95636767,-0.12005386,0.51696515,1.06671333,-0.34380952,-0.37464043,-0.78657800,-0.32408261,-0.49259830,-0.72546625,-0.26193687,-1.23449945,-3.20836449,-0.57541800,-1.01407051,-0.57832396,-0.70110232,-0.53386831,-0.24616356,-0.83289701,-0.90254980,-0.06078697,-4.13319731,-0.59305513,-0.09611407,-1.44063783,-0.18966843,0,11:13:03.8,0,0
19,6.36834478,-0.19077815,-0.26654676,-2.06304312,0.03470256,-0.32805228,-0.07611375,0.99703813,-0.33147341,0.61459231,1.06338656,-0.32927954,-0.19843818,0.21565674,-0.29981270,-0.36932051,0.12159513,-0.23920244,5.32285261,1.30351686,-0.46721384,-1.05067611,-0.60209078,-0.67562115,-0.55994380,-0.18505135,-0.80481178,-0.90254980,-0.03202815,-4.13319731,-0.58970642,0.19403572,-1.10629427,0.01648186,0,11:13:03.9,0,0
