Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190220110145
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,  1y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,1712,1456,1824,1424,1008,825,1263,0,707,647,725,0,982,809,998,819,1894,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under
Analog Gain,88,88,6,6,30,30,31,31,6,6,15,15,7,7,6,6,12,12,15,15,30,30,6,6,7,7,7,7,15,15,6,6,7,7,7,7,7,7,48,48,7,7,6,6,7,7,7,7,6,6,15,15,7,7,22,22,72,72,144,144,72,72,31,31,31,31,31,31,6,6,49,49,15,15,15,15,15,15,24,24,6,6,6,6,6,6,6,6,7,7,6,6,7,7,6,6,7,7,6,6,7,7,15,15,6,6,98,98,6,6,6,6
Digital Gain,38.64,1.00,51.90,1.00,2.10,3.73,2.54,5.16,20.19,39.05,6.06,7.61,4.43,8.23,20.00,31.57,3.43,5.28,1.83,2.75,1.15,18.18,2.47,2.36,1.46,24.08,1.65,34.67,2.25,2.36,2.55,4.18,2.14,91.36,3.12,4.15,1.95,70.56,1.59,59.72,3.24,3.25,2.15,2.23,3.48,4.83,2.87,2.84,1.80,2.88,15.94,32.41,2.04,83.87,1.40,27.76,100.00,100.00,100.00,100.00,7.08,7.20,28.20,50.56,2.18,6.47,21.88,51.57,20.99,1.00,2.83,4.43,4.59,7.07,2.78,6.17,3.02,5.74,2.84,4.42,1.97,2.27,1.00,16.78,1.00,13.48,21.35,31.73,2.60,3.96,1.07,25.15,1.38,33.59,1.91,2.16,2.61,2.58,1.23,2.06,2.62,5.73,1.80,100.00,8.78,100.00,100.00,100.00,100.00,100.00,100.00,100.00

Measurement Information
Date,2019/02/20 11:01:49
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.84805810,-0.06145903,-0.10355957,-0.56903404,-0.19996846,-0.25229794,-0.28803557,-0.36348560,-0.30802003,-0.07711282,-0.88202441,-0.33226869,-0.32167530,-0.45145801,-0.23968285,-0.14070439,-0.19834223,-0.30175680,0.33291727,0.05251201,-0.56746733,-0.63168401,-0.69874716,-0.79725665,-0.48159677,-0.13368659,0.69287419,0.05342819,0.42050111,6.51519203,-0.07252149,-0.53214455,-0.34346294,-0.49927121,0,11:01:58.1,0,0
2,-0.04756311,-0.06145903,0.02621555,-0.61539662,-0.30545452,-0.07266705,-0.13777378,-0.36348560,-0.21894832,-0.11585754,-0.95113045,-0.35387540,-0.28015316,-0.34257659,-0.28714663,-0.14070439,0.16570206,-0.34873030,-0.03503227,0.36823824,-0.64825654,-0.64278108,-0.69373012,-0.85279781,-0.48866743,-0.20408601,1.07393456,-0.01414143,0.42050111,-7.92145586,-0.14383528,0.45724627,-0.30782479,0.06369991,0,11:01:58.2,0,0
3,0.68694288,-0.06145903,0.02917873,-0.50079697,-0.21670441,-0.06522164,-0.12874651,-0.27681613,-0.19397064,-0.04253826,-0.84622675,-0.34961128,-0.41481060,-0.46720585,-0.26640910,-0.14070439,0.17589656,-0.27870333,0.86631280,-0.17853977,-0.55691117,-0.62376004,-0.66536993,-0.78410441,-0.47182542,-0.23528966,0.92268848,0.04887503,-1.88422418,-7.92145586,-0.09874823,0.40329143,-0.29426780,0.38033032,0,11:01:58.3,0,0
4,1.72324276,0.18388899,0.08453052,-0.26147878,-0.11121834,-0.00956112,-0.06420749,-0.18870433,-0.14485526,0.13156179,-0.76206863,-0.16923849,-0.12895939,-0.17198946,-0.09959160,-0.07081159,0.89748138,-0.23106451,0.70797515,0.02528371,-0.45625395,-0.46281326,-0.61584222,-0.57866925,-0.38958693,-0.04790748,0.90345806,0.02098457,0.42050111,0.00000000,0.25637564,0.08869226,-0.26272091,-0.29362702,0,11:01:58.4,0,0
5,3.00089049,-0.06145903,-0.02686566,-0.35083532,-0.11121834,-0.05638166,-0.10942677,-0.18870433,-0.17065205,0.10192702,-0.82141483,-0.15638943,-0.30614379,-0.47736558,-0.08534454,-0.06574909,-0.54284078,-0.25098616,-0.59583408,0.13978839,-0.46441773,-0.48119274,-0.60966462,-0.65142477,-0.42171520,0.08308122,-0.23589531,0.14477351,4.23562241,-6.33783865,-0.02258839,-0.49411413,-0.32444546,-0.98475176,0,11:01:58.5,0,0
6,0.68694288,-0.06145903,0.01065207,-0.31323823,-0.21670441,-0.07130836,-0.10489300,-0.18870433,-0.19397064,0.10850582,-0.80458248,-0.16104139,-0.07795342,-0.33584133,-0.07634063,-0.06574909,0.28419277,-0.21276006,0.76365650,0.43542925,-0.45625395,-0.47957134,-0.62141711,-0.64688659,-0.42005962,-0.14770834,0.61111957,0.00708443,0.42050111,0.17735356,0.08450487,0.46510822,-0.22586608,0.39433676,0,11:01:58.6,0,0
7,0.23386393,-0.06145903,0.03784762,-0.36071125,-0.19996846,-0.13064891,-0.14528002,-0.18870433,-0.23786622,0.13198230,-0.83928353,-0.22744624,-0.17259526,-0.25690627,-0.15156542,-0.05194193,0.64372563,-0.22742158,-0.16792324,0.17817225,-0.48480082,-0.49413326,-0.61584222,-0.66897786,-0.42103058,-0.14770834,0.84895706,-0.00672340,0.42050111,-6.33783865,0.04542429,0.01990278,-0.24395831,0.15156503,0,11:01:58.7,0,0
8,0.23386393,-0.06145903,-0.06679556,-0.42207372,-0.19996846,-0.14719740,-0.23963796,-0.18870433,-0.26149517,0.06017974,-0.77466226,-0.20831053,-0.33434147,-0.54576457,-0.15641502,-0.07745779,-0.52714622,-0.21612950,0.46532568,0.20183109,-0.51919037,-0.52333993,-0.59074879,-0.71558970,-0.43890250,-0.13368659,0.02735727,0.10347754,0.42050111,-0.29070073,0.03880260,-0.29584721,-0.25878894,-1.23657012,0,11:01:58.8,0,0
9,1.53483272,-0.06145903,0.05098599,-0.50079697,-0.19996846,-0.13064891,-0.18703149,-0.27681613,-0.25150630,0.01743794,-0.87997794,-0.27331328,-0.34521538,-0.41583410,-0.23968285,-0.07909583,0.27379552,-0.27892256,0.09063380,0.33465353,-0.56361669,-0.59490812,-0.66536993,-0.75660723,-0.45415488,-0.21902010,0.96684951,-0.08907630,-1.88422418,0.00000000,0.03479481,0.60065025,-0.29343492,0.51730001,0,11:01:58.9,0,0
10,0.84805810,-0.06145903,-0.00877610,-0.32753474,-0.19996846,-0.09281373,-0.12874651,-0.18870433,-0.19397064,0.12530993,-0.79565686,-0.24967706,-0.22016658,-0.47054371,-0.16975604,-0.06574909,-0.12095316,-0.27235091,0.12386664,-0.13073660,-0.54027498,-0.53141713,-0.63595647,-0.68275070,-0.42997393,-0.14770834,0.32638898,-0.08932009,0.42050111,-9.14965725,0.05940637,0.29828435,-0.23491979,-0.26153949,0,11:01:59.0,0,0
11,1.00974298,-0.06145903,-0.08236290,-0.15117988,-0.21670441,-0.05753013,-0.05181636,-0.18193361,-0.13556041,0.25870085,-0.70690405,-0.07238474,-0.28042972,-0.40398052,0.00661027,-0.00567477,-0.44806153,-0.13255505,-0.06013733,-0.31690636,-0.37267730,-0.35881335,-0.53022373,-0.54848593,-0.38005140,-0.07546093,0.46355367,0.00827845,0.42050111,-0.29070073,0.28502730,-1.09836614,-0.22772744,-0.62625933,0,11:01:59.1,0,0
12,0.23386393,-0.06145903,0.02040723,-0.26088738,-0.11121834,-0.05031328,-0.11273065,-0.09921554,-0.17276667,0.22660778,-0.65009546,-0.11140510,-0.25523579,-0.32902226,-0.04725222,-0.00711366,0.40000662,-0.15488571,0.26464373,-0.05025605,-0.40006849,-0.39903995,-0.57515109,-0.58031118,-0.38659918,-0.07546093,0.70246488,0.12319152,4.23562241,6.22449160,0.26876369,0.46510822,-0.16656736,0.10814947,0,11:01:59.2,0,0
13,-0.18478432,-0.06145903,-0.01527047,-0.21626560,-0.11121834,-0.06352324,-0.11500181,-0.09921554,-0.18311985,0.23636407,-0.56756687,-0.07870805,-0.11426859,-0.32902226,-0.02199671,0.02217990,0.40000662,-0.18207002,0.28755987,0.50891554,-0.42305374,-0.38579032,-0.51961786,-0.54353631,-0.34781218,-0.14770834,1.18837571,0.07217658,0.42050111,-6.33783865,0.24523792,-0.00562565,-0.22054009,-0.13755360,0,11:01:59.3,0,0
14,0.68694288,-0.06145903,0.01065207,-0.27547431,-0.21670441,0.04666764,-0.03171442,-0.18193361,-0.11264802,0.23499082,-0.71622634,-0.08704939,-0.19089264,-0.41624585,-0.02365496,-0.00103869,-0.90566492,-0.12032660,-0.39694494,-0.35759184,-0.39371672,-0.42975834,-0.56874490,-0.59531456,-0.39464369,-0.16304226,0.42661425,-0.03842935,0.42050111,-1.40626347,0.19614284,0.89204836,-0.14359339,0.46178514,0,11:01:59.4,0,0
15,0.38207585,-0.06145903,-0.01428501,-0.38838765,-0.21670441,-0.00956112,-0.09125980,-0.18193361,-0.14369120,0.17112362,-0.76873279,-0.16987093,-0.42294365,-0.29537898,-0.14763543,0.00962997,0.02655499,-0.18207002,-0.45447716,0.50313705,-0.49784377,-0.48572925,-0.59557420,-0.64138573,-0.41207305,-0.21902010,0.63834745,-0.14907674,-1.88422418,0.00000000,0.20681717,-0.16989015,-0.23811631,-0.78505594,0,11:01:59.5,0,0
16,1.00974298,-0.29628152,-0.01814907,-0.38501397,-0.19996846,-0.08417039,-0.15011229,-0.18870433,-0.21976742,0.11014315,-0.67227435,-0.18842177,-0.34984946,-0.33984134,-0.16019681,0.00962997,0.38938853,-0.24778891,-0.51148427,-0.07604393,-0.55116880,-0.52142876,-0.62141711,-0.74071860,-0.44878611,-0.13368659,0.79043382,-0.02973571,0.42050111,0.00000000,0.17701058,0.58612436,-0.26773226,-0.18161529,0,11:01:59.6,0,0
17,-1.05116105,-0.06145903,-0.05852938,-0.34134412,-0.19996846,-0.10597380,-0.15355018,-0.18193361,-0.21976742,0.16465439,-0.76773167,-0.17893057,-0.26922190,-0.51768816,-0.14237234,-0.05149292,-0.47454953,-0.22779800,0.52139181,-0.12762007,-0.53000253,-0.50231713,-0.58154345,-0.68004066,-0.41666180,-0.14770834,0.83085352,0.05842733,-1.88422418,-11.00176620,0.09014313,0.42561829,-0.33195609,0.25135112,0,11:01:59.7,0,0
18,10.86061096,-0.06145903,0.07116996,-0.14457346,-0.12655605,-0.05753013,-0.09822731,-0.17854722,-0.16731541,0.32984212,-0.68967199,-0.04840958,-0.20776500,-0.26726714,0.01072435,0.02492050,0.43198356,-0.13255505,0.35667086,0.04846194,-0.37248880,-0.30424762,-0.48351818,-0.51019174,-0.37298512,-0.07546093,1.00491536,0.12390779,-1.88422418,-0.29070073,0.48904324,0.59732717,-0.15315105,0.56192493,0,11:01:59.8,0,0
19,1.53483272,0.18388899,0.01943823,-0.19168775,-0.02106998,-0.00700612,-0.05500746,-0.09096590,-0.15376851,0.28835317,-0.60775429,-0.07733460,-0.22600728,-0.35032481,-0.01923655,0.03614483,-0.35711694,-0.15991610,-0.37369075,0.40641323,-0.40203691,-0.34586722,-0.51011395,-0.54848593,-0.38005140,0.08308122,0.19212866,0.11916371,4.23562241,0.00000000,0.28502730,0.55728441,-0.22054009,0.38033032,0,11:01:59.9,0,0
