Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190213103940
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,  1y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,1454,1088,818,713,673,0,572,568,560,0,642,609,583,574,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Under,Under
Analog Gain,112,112,6,6,56,56,12,12,6,6,15,15,7,7,6,6,31,31,6,6,22,22,15,15,49,49,6,6,72,72,6,6,6,6,15,15,15,15,7,7,15,15,6,6,6,6,31,31,15,15,144,144,24,24,15,15,7,7,6,6,44,44,31,31,7,7,31,31,6,6,124,124,15,15,7,7,6,6,31,31,7,7,15,15,6,6,6,6,24,24,7,7,62,62,31,31,31,31,6,6,6,6,24,24,98,98,15,15,6,6,6,6
Digital Gain,78.95,100.00,47.65,100.00,3.60,8.94,1.77,4.52,22.75,46.06,5.36,10.99,2.52,5.14,1.46,3.49,10.38,29.68,1.19,2.44,1.00,64.88,2.44,2.75,3.39,31.11,3.52,52.01,23.98,24.30,7.52,12.41,3.60,83.87,12.86,13.93,4.35,1.00,5.16,100.00,11.06,10.99,4.07,6.41,2.98,3.60,6.43,9.03,3.13,5.66,1.00,1.00,1.99,1.00,1.52,77.16,2.45,6.94,17.73,100.00,2.55,4.81,13.89,29.41,13.34,26.06,9.67,18.77,22.61,100.00,8.03,8.01,2.47,5.26,3.40,7.19,1.72,3.77,2.67,6.92,2.68,3.57,1.69,47.08,8.86,100.00,100.00,100.00,3.06,4.76,2.42,100.00,1.31,35.64,2.66,3.53,2.92,4.37,1.59,1.83,1.97,3.96,1.67,93.00,6.12,100.00,1.93,7.85,9.25,33.13,74.92,75.73

Measurement Information
Date,2019/02/13 10:39:52
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,-0.07289248,0.04826035,-0.13164972,-0.19864433,-0.26193574,-0.19006559,-0.15930241,-0.07459345,-0.27021834,-0.50302500,-1.21315873,-0.14898369,0.36764118,0.24654524,1.96829855,-0.24389686,0.41196322,-0.43645242,-1.51208091,-2.02303362,-0.36672038,-0.20388336,-0.07531733,-0.25873250,-0.29933774,0.00000000,-0.94673365,0.03770288,-0.12328005,3.62962961,0.06577752,-0.14318433,-0.04463569,-0.03880031,0,10:40:01.1,0,0
2,7.71053362,-0.17822744,-0.02514523,-0.18507357,-0.13162759,-0.20423907,-0.18249601,-0.10134798,-0.03730806,-0.54844618,-1.88712549,-0.16166380,0.54223830,-0.60647160,1.74913001,-0.20851585,-1.12499547,-0.20511562,-1.44919324,-0.69724470,-0.17205080,-0.22060035,-0.08105265,-0.27339080,-0.28088170,0.00000000,-0.93740350,0.30707973,-0.07349243,3.45421982,-0.08937411,-0.32546100,-0.10665146,-0.39134833,0,10:40:01.2,0,0
3,0.57596105,-0.17822744,-0.31732187,-0.22745082,-0.26193574,-0.16445658,-0.14459452,-0.08884706,-0.04872759,-0.58916318,-2.75643086,-0.22166713,0.15888242,0.38735524,1.43148863,-0.17220268,0.41196322,-0.36558726,-1.57425857,-2.09492755,-0.43404114,-0.26089567,-0.13673361,-0.38003394,-0.27812731,0.00000000,-1.11668634,0.50337112,-0.10413564,-0.75836426,-0.30936500,0.04227586,-0.23328926,-0.10743885,0,10:40:01.3,0,0
4,3.16570520,0.04826035,-0.22965249,-0.18315937,-0.02355507,-0.05929984,-0.15400030,-0.10218653,0.20822737,-0.60360545,-2.88575292,-0.23990907,0.23817806,-2.60340619,1.18239379,-0.68775201,-8.18233299,-0.62631482,-1.55046797,-2.07260633,-0.49820769,-0.24018691,-0.11470107,-0.19447032,-0.24701948,0.00000000,-1.03467417,-0.18139753,-0.11579449,3.36615658,-0.36121500,0.20241362,-0.22031087,-0.01310122,0,10:40:01.4,0,0
5,-0.37072331,-0.17822744,-0.18902886,-0.20863734,-0.26193574,-0.33174580,-0.20320579,-0.10658924,-0.31730172,-0.60360545,-3.20804691,-0.23992525,0.23817806,0.25922176,1.43527675,-0.44792369,0.76009917,-0.81874764,-1.71516860,1.46976376,-0.74479723,-0.27986568,-0.15658653,-0.37371272,-0.26745927,0.00000000,-1.17965162,0.46305990,-0.13561292,-0.67030108,-0.19931959,-0.03412178,-0.16797596,-0.13126683,0,10:40:01.5,0,0
6,-0.65322006,0.04826035,-0.01870084,-0.17008807,-0.26193574,-0.13432118,-0.16540219,-0.09331566,0.11413369,-0.54844618,-2.00009871,-0.13091786,0.64204830,-0.16457154,2.34283137,-0.49014208,-0.51139492,-0.52560574,-1.61221611,1.51388919,-0.51002330,-0.20388336,-0.10388449,-0.12781422,-0.18903472,0.00000000,-0.98395383,0.83192521,-0.09065025,3.62962961,0.30559188,0.16841657,0.01192170,-0.04521456,0,10:40:01.6,0,0
7,1.31158626,0.04826035,-0.16778371,-0.16810100,-0.15386322,-0.25933397,-0.17799826,-0.08798698,-0.50992256,-0.55837852,-1.76843667,-0.13098021,0.46108007,0.36882606,2.34283137,-0.27665055,0.42545509,-0.73235172,-1.53127825,1.69850469,-0.63893992,-0.09698197,-0.01875122,-0.27058840,-0.20478250,0.00000000,-1.00244105,0.28008538,-0.10153971,-0.58578241,0.06577752,-0.25219315,-0.05164101,-0.20431384,0,10:40:01.7,0,0
8,0.93146539,-0.17822744,-0.08830371,-0.14242628,-0.26193574,-0.22555941,-0.20124142,-0.08531155,-0.17607315,-0.56291229,-1.73079741,-0.13831392,0.43940082,0.26518396,2.27437377,-0.17220268,0.67233896,-0.41858774,-1.51208091,2.14282537,-0.43924761,-0.09510033,-0.05279905,-0.24630937,-0.23396631,0.00000000,-1.01166177,0.48990127,-0.11023560,3.53873849,0.10363415,-0.15016392,-0.05164101,-0.17363635,0,10:40:01.8,0,0
9,0.24197929,-0.17822744,-0.10307418,-0.15384024,-0.13162759,-0.05929984,-0.09957591,-0.08531155,0.09740762,-0.55378371,-1.73079741,-0.14635955,0.65760994,0.72315186,2.10980701,-0.10425090,1.33463371,-0.41362554,-1.46861088,-0.72423905,-0.34344864,-0.24319707,-0.12063402,-0.25382718,-0.22611453,0.00000000,-0.96540391,0.06011615,-0.11723242,3.62962961,0.14275838,-0.09323703,-0.05164101,-0.01226316,0,10:40:01.9,0,0
10,1.71991646,-0.17822744,-0.16380198,-0.17758694,-0.26193574,-0.15151212,-0.16534398,-0.07553058,0.13940693,-0.59452212,-2.72345352,-0.18478514,0.47633329,0.75593323,2.08483171,-0.03070970,1.21442628,-0.39543232,-1.51208091,0.97438896,-0.40671936,-0.20710538,-0.10922007,-0.45445997,-0.35266206,0.00000000,-1.03467417,0.52134490,-0.09540587,-0.58578241,-0.05471955,0.13940860,-0.10665146,-0.07249026,0,10:40:02.0,0,0
11,0.24197929,-0.17822744,-0.17086188,-0.18704514,-0.26193574,-0.27502495,-0.19126759,-0.09331566,-0.41780257,-0.61705768,-3.36017156,-0.19542782,0.67895466,-0.10013198,1.88067091,-0.31596425,-0.81353939,-0.70878369,-1.57425857,1.55837142,-0.60549724,-0.19102657,-0.11424882,-0.44859982,-0.32565877,0.00000000,-1.07130635,-0.16788363,-0.12894119,-0.67030108,-0.16821823,-0.22545408,-0.16797596,-0.28520325,0,10:40:02.1,0,0
12,-0.07289248,-0.17822744,-0.23870859,-0.18315937,-0.13162759,-0.23966540,-0.20749560,-0.09239800,-0.04875008,-0.64062548,-4.62660503,-0.24855646,0.15064113,0.82629597,1.69676268,-0.07158959,1.49360859,-0.62654531,-1.65457141,2.53730869,-0.61543441,-0.13251142,-0.07242968,-0.34067509,-0.25954011,0.00000000,-1.16175067,0.49435055,-0.07971316,3.36615658,-0.32357579,-0.37763643,-0.16031650,-0.42562085,0,10:40:02.2,0,0
13,1.31158626,0.04826035,-0.26979965,-0.17846674,-0.02355507,-0.30362624,-0.20724858,-0.10922738,-0.39204279,-0.66319257,-6.23012352,-0.26315436,0.30107066,0.71605116,1.69676268,-0.34726593,1.00332582,-0.66599774,-1.63579988,0.92978185,-0.72798443,-0.24439284,-0.12545486,-0.37371272,-0.24461721,0.00000000,-1.18858016,0.70466191,-0.08225700,-0.75836426,-0.45431703,-0.18153448,-0.23328926,-0.16230173,0,10:40:02.3,0,0
14,1.71991646,0.28440601,-0.04811689,-0.14242628,-0.02355507,-0.08971081,-0.18409215,-0.10568352,0.13432799,-0.62162209,-3.94879627,-0.17854303,0.49684313,-0.23349227,2.21199799,-0.28031400,-0.39910793,-0.56301582,-1.55046797,1.04663324,-0.55408740,-0.12927395,-0.06166450,-0.14565681,-0.19469632,0.00000000,-0.97468650,0.49435055,-0.07971316,3.62962961,0.18595614,0.12867899,0.01192170,0.03119917,0,10:40:02.4,0,0
15,1.31158626,0.04826035,-0.10307418,-0.15384024,-0.02355507,-0.09621761,-0.12228430,-0.10922738,0.01636429,-0.62244707,-4.16857433,-0.15439110,0.52776778,0.18194410,2.59425116,-0.38290927,0.39406231,-0.68920249,-1.51208091,0.25942296,-0.53563601,-0.20242190,-0.11249149,-0.33862066,-0.25590619,0.00000000,-0.99320519,0.52134490,-0.08225700,-0.58578241,0.19520462,-0.47814557,-0.05164101,-0.30127186,0,10:40:02.5,0,0
16,-0.65322006,0.04826035,-0.08075900,-0.15192538,-0.13162759,-0.21849182,-0.23383357,-0.08354107,-0.11867491,-0.61705768,-3.72624493,-0.16260739,0.31175196,-0.11866116,2.17319417,-0.34621155,0.14531021,-0.80002719,-1.63579988,1.55837142,-0.72798443,-0.18450867,-0.11249149,-0.42140085,-0.28856650,0.00000000,-1.08950329,0.88541037,-0.07024968,3.53873849,0.10207966,-0.16162124,-0.11924559,-0.19570728,0,10:40:02.6,0,0
17,0.93146539,-0.17822744,-0.15716892,-0.16333933,-0.39755923,-0.08202327,-0.12777197,-0.08794378,-0.04872759,-0.62244707,-4.64076757,-0.15627488,0.30730283,0.38735524,2.63542843,-0.31102231,0.44345859,-0.43816254,-1.42479432,-2.07260633,-0.43029648,-0.26278362,-0.13807999,-0.23337573,-0.20019001,0.00000000,-0.96540391,0.07808991,-0.09540587,-0.49489120,-0.02646731,-0.05274305,-0.05164101,-0.12090630,0,10:40:02.7,0,0
18,0.57596105,-0.17822744,-0.16380198,-0.15192538,-0.13162759,-0.14256963,-0.16999044,-0.10124005,0.04332973,-0.65864730,-5.50613928,-0.18832600,0.40340427,-0.27994555,2.44194388,-0.34871793,-0.16255002,-0.39543232,-1.53127825,0.35024071,-0.40671936,-0.12881349,-0.05893550,-0.29507962,-0.23793499,0.00000000,-1.05299246,0.72263569,-0.05779972,3.53873849,-0.07829382,-0.42490420,-0.04463569,-0.30554575,0,10:40:02.8,0,0
19,-0.37072331,-0.17822744,-0.16778371,-0.16617298,-0.36339307,-0.30720186,-0.20053191,-0.10034142,-0.46273431,-0.66319257,-5.83876562,-0.21641849,0.49684313,0.08428194,1.91046464,-0.27665055,-0.08147749,-0.45910802,-1.51208091,0.37319538,-0.43924761,-0.13097788,-0.05279905,-0.33664790,-0.28803721,0.00000000,-1.05299246,0.53489208,-0.06987190,3.45421982,-0.10059043,-0.31843305,-0.16797596,-0.28520325,0,10:40:02.9,0,0
