Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190220103315
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,  1y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,1712,1456,2000,1409,983,810,1093,0,702,644,685,0,902,762,1073,863,1739,0,2000,1409,1862,1328
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under
Analog Gain,72,72,6,6,15,15,72,72,6,6,15,15,7,7,6,6,7,7,15,15,72,72,6,6,7,7,12,12,15,15,7,7,14,14,6,6,7,7,72,72,7,7,7,7,7,7,7,7,6,6,6,6,12,12,44,44,15,15,6,6,72,72,31,31,12,12,30,30,6,6,88,88,22,22,15,15,31,31,31,31,6,6,6,6,6,6,6,6,6,6,7,7,12,12,7,7,12,12,6,6,7,7,22,22,6,6,98,98,6,6,6,6
Digital Gain,3.79,100.00,45.63,1.00,2.50,4.09,6.40,6.40,22.89,49.44,5.74,6.82,4.41,9.85,19.27,40.42,4.53,6.74,2.57,4.37,100.00,100.00,2.63,2.49,1.71,28.48,2.00,46.47,3.03,3.31,2.90,4.66,1.76,100.00,3.24,4.54,2.77,100.00,18.53,1.00,4.68,5.09,3.38,3.84,3.36,4.07,5.11,5.40,1.84,2.95,72.01,92.39,1.87,100.00,2.22,79.02,9.87,33.36,21.81,1.00,10.33,10.63,18.39,42.10,1.98,4.48,5.37,13.99,16.25,100.00,4.26,4.27,3.40,4.83,3.92,9.75,2.61,5.09,3.74,5.91,2.03,2.28,1.32,25.30,1.09,21.56,24.10,37.57,2.29,3.69,1.88,100.00,1.45,37.33,2.40,3.07,2.57,2.67,1.18,1.96,2.45,5.03,1.62,74.41,11.90,100.00,100.00,100.00,100.00,100.00,100.00,100.00

Measurement Information
Date,2019/02/20 10:33:20
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,-0.39561141,-0.09184145,-0.09011294,-1.33702588,0.07752886,-0.44053593,-0.31385672,-0.14281806,-0.24574822,-0.21879341,-0.25721285,-0.27786165,-0.26597041,-0.32430872,-0.04381538,-0.44033444,-1.11844540,-0.31736514,3.15275693,-2.28151345,-0.11655685,-0.65737611,-0.54636526,-0.39605981,0.08007779,-0.50366253,0.72804326,0.06196002,-0.25286445,-0.21970077,0.84670657,-0.57412118,0.02847913,-0.19083235,0,10:33:29.1,0,0
2,0.52702916,-0.30130023,-0.14414558,-1.50712717,-0.25230134,-0.54302001,-0.29722717,-0.30992833,-0.27744344,-0.30511445,-1.74709797,-0.32123083,-0.29208758,0.00227211,-0.10709526,-0.43241918,1.63519478,-0.37967464,4.27507830,-4.68736315,-0.21552122,-0.68647152,-0.57660663,-0.48595500,0.06737301,-0.69015479,4.30257511,1.23170865,0.01259441,-0.31310087,0.80271071,-0.09353942,-0.00026000,0.03313825,0,10:33:29.2,0,0
3,-0.37760794,-0.30130023,-0.09844416,-1.25945210,-0.02586571,-0.35308191,-0.22824626,-0.22700717,-0.15223472,-0.24031432,-2.59556317,-0.29492977,-0.16601427,-0.48595363,-0.08770389,-0.44033444,-2.48971057,-0.38614604,2.03389287,-3.44302893,-0.14589432,-0.68008471,-0.57087123,-0.38724965,0.07555112,0.58054227,0.74208510,-0.05086815,-0.08415127,-0.12474257,1.04632115,0.26788497,0.03977573,0.11938532,0,10:33:29.3,0,0
4,-1.39170873,-0.09184145,-0.03504222,-0.81324023,-0.15515636,-0.31476706,-0.18654992,-0.27960843,-0.14353842,-0.07530357,-1.05133951,-0.13370462,-0.19146995,-0.46465304,0.12269979,-0.38667029,-0.04436623,-0.29545638,0.46501586,-0.36379623,0.01415198,-0.50504756,-0.42174965,-0.19161536,0.12800790,0.16468677,0.90356082,-0.11282837,-0.19945534,0.06575599,1.64620948,0.08659232,0.10141169,0.12301444,0,10:33:29.4,0,0
5,0.11629102,-0.09184145,-0.08078849,-0.94523662,-0.29246116,-0.47004980,-0.37322888,-0.16803278,-0.26251480,-0.11066017,1.25338590,-0.13370462,-0.28589094,-0.32769659,0.07568379,-0.37287232,-1.06311154,-0.26389888,2.14957809,-0.51035595,-0.00845733,-0.52172571,-0.46494743,-0.32845059,0.08257611,-0.14839531,-0.29183093,-0.15486027,-0.17688887,0.06575599,1.53205407,-0.26189706,0.06067824,-0.01890427,0,10:33:29.5,0,0
6,-0.32776472,-0.30130023,-0.02225036,-1.02561212,-0.29246116,-0.31121293,-0.21747671,-0.27960843,-0.11825148,-0.12105198,-1.05133951,-0.13359600,-0.19146995,-0.19395699,0.12294849,-0.34783968,-2.41147900,-0.21772300,2.79812884,-0.79993403,0.05076114,-0.53196222,-0.46494743,-0.26740664,0.11875652,-0.19808468,0.84127498,-1.85244858,-0.49022904,-0.03251663,1.41334319,-0.03214823,0.07430662,0.01233773,0,10:33:29.6,0,0
7,-0.89016813,0.12590365,-0.07614031,-0.94194609,0.05361212,-0.34244767,-0.21373652,-0.36504915,-0.17127661,-0.13330846,-3.28335595,-0.12041641,-0.04386158,0.07241511,0.10096764,-0.30945730,1.75438035,-0.30241898,1.39364600,-1.07503653,-0.04034282,-0.54847223,-0.48632833,-0.30641732,0.10879709,-0.14839531,-1.47296584,-0.56344891,-0.13276346,-0.03251663,1.37015200,0.09736363,0.05634728,0.13003682,0,10:33:29.7,0,0
8,1.05811667,-0.09184145,-0.05617506,-1.18146992,0.05361212,-0.40653405,-0.33196026,-0.14281806,-0.24423547,-0.16424818,0.36973676,-0.18903619,-0.20432155,0.12179950,0.00398194,-0.37460953,1.68988729,-0.28032285,3.64740539,-2.59289861,-0.07995013,-0.60019290,-0.51560456,-0.33094320,0.12209895,-0.58651888,3.09414744,0.77745992,-0.07219794,-0.12474257,1.13407159,-0.24481645,0.02714124,-0.05191192,0,10:33:29.8,0,0
9,-0.51132858,-0.30130023,-0.12308551,-1.31326056,-0.15515636,-0.46361417,-0.41400403,-0.22700717,-0.26251480,-0.21876754,-1.21388054,-0.22854614,-0.29204047,-0.15296510,-0.00882322,-0.41292268,0.54816395,-0.33907843,2.04766560,-3.26567674,-0.09771843,-0.61793178,-0.53654951,-0.35701469,0.10678878,0.16468677,3.77503848,0.35089856,-0.07840292,-0.12474257,1.06154048,-0.12487462,0.02207676,-0.05462564,0,10:33:29.9,0,0
10,-0.04964484,-0.49874815,-0.12360080,-1.46366787,-0.12301069,-0.46239710,-0.37238002,-0.30992833,-0.24423547,-0.28195655,-1.74709797,-0.29492977,-0.30209559,-0.30588302,-0.10084226,-0.41292268,-1.15046406,-0.37047121,2.60371256,-4.40164661,-0.13834642,-0.70653951,-0.60239214,-0.37961140,0.09839166,0.98848879,2.04849172,-0.15138428,-0.30075371,-0.31310087,0.73790640,-0.81675112,-0.01543533,-0.21322910,0,10:33:30.0,0,0
11,0.25872064,-0.30130023,-0.17659399,-1.57288837,-0.12301069,-0.47137272,-0.27975374,-0.30992833,-0.21752995,-0.31355813,-2.21176577,-0.36430889,-0.21959828,0.35424128,-0.13303144,-0.38160124,3.12915993,-0.39542881,2.56741214,-4.68736315,-0.20729189,-0.76688981,-0.63437450,-0.45623609,0.07333815,0.45297045,3.66869116,0.82420748,-0.02655352,-0.31310087,0.57310802,0.39085799,-0.05032693,0.19220251,0,10:33:30.1,0,0
12,-0.15032560,-0.30130023,-0.08823302,-1.16687632,-0.29246116,-0.39551470,-0.24623494,-0.16803278,-0.17365499,-0.13840568,-1.74709797,-0.24254180,-0.08919490,0.17028201,-0.03792175,-0.44320661,1.10908771,-0.35946840,3.54668045,-4.02442503,-0.13834642,-0.65986598,-0.53387684,-0.37346309,0.08997329,0.18279135,3.04712033,0.77745992,0.00936532,-0.12474257,1.19243741,-0.14672312,0.04036713,0.03077547,0,10:33:30.2,0,0
13,-0.80375350,0.12590365,-0.05835743,-0.90420324,0.05361212,-0.36972091,-0.25894564,-0.07655516,-0.14124450,-0.07765402,5.06850672,-0.15331388,-0.36679709,-0.80085540,0.10067456,-0.37274501,-2.42537904,-0.31867346,1.38433194,-0.20469397,-0.04034282,-0.50785935,-0.42174965,-0.28164157,0.11098365,-0.34137127,-0.28225747,-4.05094337,-0.42492887,0.16587174,1.54934287,-0.34538364,0.08330815,-0.18748146,0,10:33:30.3,0,0
14,0.99169028,-0.30130023,-0.12228440,-1.16687632,-0.29246116,-0.53331304,-0.40139925,-0.25347352,-0.30503076,-0.10950539,0.36973676,-0.20218948,-0.11425252,0.42751080,0.00151031,-0.43241918,2.07925057,-0.30118421,3.62439275,-1.82636905,-0.09029773,-0.58213067,-0.49908128,-0.33724189,0.12209895,-0.55794388,3.83610749,0.70382953,-0.11460366,-0.12474257,1.15997088,-0.02196578,0.04679693,0.06539829,0,10:33:30.4,0,0
15,-0.03635932,-0.09184145,-0.07936893,-1.09211433,-0.15515636,-0.36897376,-0.21668540,-0.14281806,-0.17365499,-0.08122096,1.25338590,-0.17133650,-0.32828268,0.04423401,0.00085189,-0.32380378,1.20490718,-0.32570195,2.70468998,-1.94530749,-0.08478032,-0.55577964,-0.47889566,-0.32186356,0.13208489,0.51995397,2.13747954,0.04864170,-0.12787160,-0.12474257,1.24521995,-0.21987888,0.02951784,-0.00815265,0,10:33:30.5,0,0
16,-0.00084644,0.12590365,-0.09011294,-1.11501610,-0.05176179,-0.34980646,-0.29118511,-0.05737733,-0.14007539,-0.08149475,2.60175323,-0.16635491,-0.15757351,-0.34659064,0.05028765,-0.37579247,-2.42537904,-0.30500311,1.39364600,-1.46690822,-0.05803031,-0.58771861,-0.47516015,-0.28486076,0.14132077,0.23139277,3.10828710,-0.62206018,-0.35964638,-0.12474257,1.17258096,0.20732500,0.02904054,0.06493423,0,10:33:30.6,0,0
17,-0.08484527,-0.30130023,-0.14558417,-1.33840752,-0.38960615,-0.52621329,-0.39023697,-0.33766261,-0.26370755,-0.17728162,-1.21388054,-0.23405612,-0.11133494,-0.40271378,-0.03489082,-0.39900380,-2.46681285,-0.35960418,2.07525778,-2.69652033,-0.12832411,-0.61903930,-0.50183171,-0.35384092,0.10879709,-0.15876433,-1.55327868,-0.73307872,-0.31600752,-0.21970077,0.92116988,-0.01781031,0.01782100,-0.07015948,0,10:33:30.7,0,0
18,-2.38972521,-0.30130023,-0.13239402,-1.46929061,-0.12301069,-0.45384318,-0.31278837,-0.30992833,-0.20563027,-0.21611291,-1.74709797,-0.26414347,-0.34673294,-0.94962800,-0.07453474,-0.47886351,-0.14098600,-0.36371082,-0.97173738,-3.35265732,-0.14589432,-0.72811484,-0.59287506,-0.41850835,0.08153356,-0.15876433,-1.61387587,-1.41364050,-0.55705851,-0.31310087,0.73222059,-1.17061198,-0.01087422,-0.28449577,0,10:33:30.8,0,0
19,0.15953878,-0.09184145,-0.17694877,-1.58521426,-0.02586571,-0.64999580,-0.52158958,-0.30992833,-0.34467468,-0.29215464,-2.59556317,-0.32161236,-0.35589752,0.19485624,-0.16476533,-0.47140801,2.42581367,-0.39951408,3.56032825,-4.54635859,-0.21943441,-0.76020879,-0.64517099,-0.48832306,0.07333815,-0.49296585,3.65041876,0.16748688,-0.11050082,-0.21970077,0.57234961,0.28416425,-0.02193398,0.14342135,0,10:33:30.9,0,0
