Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190220130840
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,  1y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,2000,1409,623,598,558,0,567,565,535,0,607,588,563,562,1574,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under
Analog Gain,72,72,6,6,30,30,6,6,6,6,12,12,22,22,62,62,31,31,6,6,31,31,15,15,49,49,7,7,72,72,7,7,7,7,15,15,24,24,22,22,15,15,12,12,6,6,31,31,12,12,72,72,15,15,15,15,144,144,6,6,72,72,31,31,72,72,31,31,6,6,124,124,22,22,47,47,24,24,72,72,12,12,24,24,6,6,6,6,31,31,15,15,6,6,31,31,60,60,6,6,7,7,49,49,6,6,49,49,6,6,6,6
Digital Gain,1.00,1.00,100.00,1.00,2.24,5.14,26.74,62.89,100.00,100.00,2.77,5.07,3.37,8.51,3.13,3.26,12.87,39.04,1.89,2.50,2.74,33.64,3.14,3.16,3.25,28.57,6.88,100.00,6.09,6.19,8.16,15.29,7.83,1.00,3.53,4.77,5.59,1.00,2.70,1.00,5.76,6.27,3.26,4.34,3.21,2.82,5.05,7.45,3.29,4.30,100.00,100.00,2.44,1.00,1.87,38.68,100.00,1.00,20.52,1.00,53.25,54.61,15.49,30.03,100.00,100.00,13.99,32.43,59.14,1.00,75.04,72.07,2.81,5.80,5.49,15.00,2.09,6.19,7.74,10.28,2.87,3.03,1.61,37.70,9.99,100.00,48.85,74.64,3.24,6.55,2.33,1.00,9.24,100.00,3.96,4.02,6.59,6.59,2.96,2.53,2.91,4.36,3.13,100.00,10.41,100.00,4.24,4.99,42.62,62.93,100.00,1.00

Measurement Information
Date,2019/02/20 13:08:42
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.00000000,3.50303173,-0.02797922,-0.10590044,0.84471637,-0.16648585,-0.03102702,-1.37642491,0.27257785,-0.20496580,0.06313068,-0.38221452,-0.64207631,-0.72938603,-0.77147758,-0.01392278,0.43640202,0.02759201,0.02127015,-0.21032584,-0.03604965,-0.01705801,0.01531939,-0.11226461,-0.13123845,1.34985292,-0.30370349,-0.04702563,0.00000000,-0.31641427,-0.98345262,0.13568115,0.00000000,0.22818956,0,13:08:51.1,0,0
2,0.00000000,-0.31208932,0.08288392,-0.23373634,-0.03876171,-0.18793207,0.02919259,-1.46410024,0.37701482,-0.21955274,0.04907691,-0.41440338,-0.72649854,0.38947788,-0.81281525,-0.05310256,0.39323989,-0.04645164,-0.01021592,-0.22614056,-0.11297980,-0.02915785,0.01837673,-0.05692157,-0.14229968,-0.31141993,-0.37166181,-0.16371286,0.00000000,-0.31641427,-0.98345262,0.24846630,0.00000000,0.32016990,0,13:08:51.2,0,0
3,0.00000000,3.50303173,0.02105681,0.19110075,3.14975142,-0.19295152,0.00335841,-1.52460742,0.42488107,-0.22923574,-0.02390804,-0.40094444,-0.83595502,-0.12308231,-0.85820794,-0.05816844,0.39323989,-0.00765102,-0.07881070,-0.30961937,-0.08996365,-0.14742731,-0.06978848,-0.17183128,-0.20984119,1.34985292,-0.39414790,-0.07849477,0.00000000,-0.40516439,-1.15315795,-0.04555227,0.00000000,0.08164368,0,13:08:51.3,0,0
4,0.00000000,-4.12772322,-0.02547698,-0.35867101,-0.88722700,-0.17885968,-0.09017608,-1.40589273,-0.03064962,-0.21081783,0.06313068,-0.38745263,-0.68966991,-0.04467987,-0.76190233,0.09114839,0.47442335,-0.05833933,-0.04771567,-0.24191000,-0.11297980,-0.05024178,-0.00554502,-0.19180462,-0.20393032,-1.66127276,-0.37166181,-0.27646217,0.00000000,-0.22169395,-0.63039857,-0.40507406,0.00000000,-0.27439636,0,13:08:51.4,0,0
5,0.00000000,3.50303173,0.05207104,-0.15720615,0.96488160,-0.16582182,-0.14232904,-1.41945863,-0.16093576,-0.21956296,-0.06262948,-0.36078194,-0.64110327,0.42853931,-0.76190233,0.04508093,0.39323989,0.07527540,0.12967303,-0.19977941,0.08777646,0.03023033,0.00941138,-0.05043001,-0.17688622,-0.31141993,-0.34908348,-0.16371286,0.00000000,-0.22169395,0.48004717,0.18358380,0.00000000,0.19495170,0,13:08:51.5,0,0
6,0.00000000,0.00000000,-0.00250620,-0.15720615,0.84471637,-0.11662032,0.02689291,-1.35803950,0.47013322,-0.20496580,0.03922008,-0.35093406,-0.62283927,-0.76817262,-0.69573283,-0.11299006,0.30798364,0.01236699,0.02127015,-0.28365591,0.00154479,-0.06542524,-0.05506711,-0.09335721,-0.15743734,1.34985292,-0.32641184,0.04861001,0.00000000,-0.22169395,-0.15535519,0.01316234,0.00000000,0.09034055,0,13:08:51.6,0,0
7,0.00000000,-2.54410577,-0.03053250,-0.23373634,-0.03876171,-0.07610126,0.08378487,-1.36965096,0.78028440,-0.21078968,0.08714560,-0.37440723,-0.49303576,-0.12308231,-0.71486324,-0.06371777,0.39323989,-0.01121219,-0.04771567,-0.22614056,-0.03604965,0.03827335,0.04225294,-0.07825419,-0.13933522,-1.66127276,-0.29458255,-0.18171301,0.00000000,-0.22169395,0.15093841,-0.41218731,0.00000000,-0.36003032,0,13:08:51.7,0,0
8,0.00000000,-0.31208932,0.06087304,-0.10590044,0.96488160,-0.08211137,0.09394562,-1.39005101,0.72266465,-0.21078968,-0.12716632,-0.36078194,-0.53589302,0.83353364,-0.74307930,0.09815217,0.39323989,0.00391491,0.02127015,-0.19977941,-0.03604965,0.02669260,0.04442703,-0.05775340,-0.13123845,-0.31141993,-0.28084409,-0.06049461,0.00000000,-0.22169395,-0.80082774,0.21129815,0.00000000,0.28825366,0,13:08:51.8,0,0
9,0.00000000,-2.54410577,0.06799021,-0.02504574,1.65986633,-0.17461376,-0.02008769,-1.40699661,0.25550199,-0.21955274,-0.12716632,-0.40917537,-0.92428529,1.53675902,-0.72932214,0.15600935,0.35047981,0.05360589,-0.11584806,-0.35092071,-0.01661896,-0.10485947,-0.10610919,-0.16024864,-0.20260741,-1.66127276,18.69853210,-0.19066358,0.00000000,-0.31641427,-0.15535519,-0.11481592,0.00000000,0.02613896,0,13:08:51.9,0,0
10,0.00000000,-2.54410577,0.09338357,-0.72641104,-4.54031992,-0.09540898,0.10684755,-1.41375661,0.87389094,-0.22050083,-0.12716632,-0.40094444,-0.86794108,0.94592190,-0.77586693,0.25332391,0.47442335,-0.00257106,0.05924493,-0.26807064,-0.04900235,-0.06915727,-0.02948751,-0.09343735,-0.13482168,-1.66127276,-0.26251066,-0.40439132,0.00000000,-0.31641427,-0.63039857,-0.25461811,0.00000000,-0.34189188,0,13:08:52.0,0,0
11,0.00000000,-0.31208932,0.06026838,-0.06274153,0.91790593,-0.16096303,0.05945146,-1.47516203,0.60916048,-0.23016681,0.03230665,-0.42401561,-0.76216692,-0.12308231,-0.84909207,-0.00889614,0.43640202,-0.05295222,0.02127015,-0.25756940,-0.10932349,-0.07760708,-0.02033359,-0.15632997,-0.15811233,-0.31141993,-0.31732848,-0.07849477,0.00000000,-0.31641427,-1.37849283,-0.30986196,0.00000000,-0.07882803,0,13:08:52.1,0,0
12,0.00000000,-4.12772322,0.02890160,-0.18767619,-0.66562587,-0.16573568,-0.02659451,-1.44163775,0.36785880,-0.23016681,0.03230665,-0.42263430,-0.71883637,1.42201340,-0.84909207,0.00727450,0.26587823,-0.08669039,-0.14656121,-0.30961937,-0.15310273,-0.07781558,-0.05747940,-0.19269861,-0.21715124,1.34985292,-0.45660272,-0.06947412,0.00000000,-0.31641427,-1.32557392,-0.07842904,0.00000000,-0.01274655,0,13:08:52.2,0,0
13,0.00000000,0.00000000,0.12978978,0.15404901,2.19308376,-0.08666630,-0.01984938,-1.35047257,0.33212325,-0.21467447,0.02337019,-0.36078194,-0.74595016,-1.43228495,-0.77147758,-0.07343500,0.43640202,-0.00185035,-0.07881070,-0.29926166,-0.00146917,-0.10519945,-0.07556616,-0.09335721,-0.15394774,-1.66127276,-0.32641184,-0.28548282,0.00000000,-0.22169395,0.48004717,0.17107587,0.00000000,0.27274248,0,13:08:52.3,0,0
14,0.00000000,3.50303173,0.09622303,-0.28321251,0.96488160,-0.06727187,0.04644801,-1.36496055,0.59963828,-0.21078968,-0.06304699,-0.36911580,-0.89325786,1.22521627,-0.64329690,0.20365803,0.39323989,0.02746007,-0.11584806,-0.30961937,-0.05328816,-0.05024178,-0.03694692,-0.17726067,-0.23237114,-0.31141993,-0.39414790,0.02161560,0.00000000,-0.22169395,-0.40578747,-0.18690260,0.00000000,-0.16301110,0,13:08:52.4,0,0
15,0.00000000,-0.31208932,0.14174064,-0.28321251,-1.38712907,-0.09524851,0.01451983,-1.33879459,0.38758606,-0.21078968,-0.10352544,-0.36078194,-0.74595016,-0.04467987,-0.70501691,0.09336199,0.51816106,0.02425468,0.02127015,-0.25756940,-0.01107534,-0.06893205,-0.04610176,-0.00948782,-0.09572919,1.34985292,-0.28084409,-0.25401366,0.00000000,-0.03195539,0.59066081,0.41462913,0.00000000,0.49416718,0,13:08:52.5,0,0
16,0.00000000,3.50303173,0.07974745,-0.15720615,2.19308376,-0.10835464,0.02919259,-1.37299848,0.36785880,-0.21956296,0.15794361,-0.36078194,-0.68070590,0.79474699,-0.67637402,0.10459076,0.30798364,0.01835866,-0.11584806,-0.35092071,0.03634201,-0.08111191,-0.08099747,-0.11786468,-0.18346480,-0.31141993,-0.36265254,-0.08744533,0.00000000,-0.22169395,-1.11201978,-0.03482509,0.00000000,0.13339433,0,13:08:52.6,0,0
17,0.00000000,3.50303173,0.13710864,0.02010594,2.19308376,-0.08211137,0.09394562,-1.42055821,0.72266465,-0.22537662,-0.17433998,-0.40989092,-0.82974648,-0.76817262,-0.70501691,-0.01392278,0.35047981,-0.02309988,-0.14656121,-0.29926166,-0.07818259,-0.05024178,-0.04012573,-0.14913572,-0.20608455,-0.31141993,-0.38065603,0.03063625,0.00000000,-0.12996784,0.99698937,-0.01221527,0.00000000,0.01230773,0,13:08:52.7,0,0
18,0.00000000,-0.31208932,0.13250066,-0.10590044,0.96488160,-0.06863756,0.11977980,-1.45754898,0.83856940,-0.21467447,-0.13276543,-0.41502610,-0.79811901,-0.20038369,-0.76704526,-0.10707963,0.30798364,-0.08828283,-0.07881070,-0.36627349,-0.12138669,-0.13224384,-0.10944778,-0.10087172,-0.16869543,-0.31141993,-0.36265254,-0.19066358,0.00000000,-0.31641427,-0.05273339,-0.11105550,0.00000000,0.02535544,0,13:08:52.8,0,0
19,0.00000000,3.50303173,0.09463018,-0.10590044,0.84471637,-0.14740181,0.02689291,-1.40022266,0.48250082,-0.22923574,-0.17114064,-0.40674701,-0.91692317,0.68000138,-0.79011834,-0.10150762,0.30798364,-0.07184961,-0.24970774,-0.22614056,-0.20199913,0.04826815,0.03008697,-0.29138052,-0.26633674,1.34985292,-0.42546374,0.03961577,0.00000000,-0.31641427,-1.15315795,-0.29294297,0.00000000,-0.16325316,0,13:08:52.9,0,0
