Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190213133052
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,  1y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,1444,1082,893,757,568,0,567,565,565,0,647,612,638,607,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under
Analog Gain,31,31,6,6,62,62,49,49,6,6,15,15,12,12,6,6,30,30,7,7,6,6,6,6,31,31,6,6,31,31,6,6,6,6,24,24,24,24,15,15,14,14,12,12,6,6,15,15,7,7,6,6,15,15,44,44,49,49,6,6,72,72,31,31,6,6,44,44,6,6,44,44,15,15,12,12,6,6,22,22,6,6,31,31,6,6,6,6,31,31,24,24,22,22,15,15,24,24,6,6,6,6,14,14,150,150,30,30,6,6,6,6
Digital Gain,22.01,1.00,49.17,100.00,2.32,5.77,2.64,5.29,22.29,43.34,4.57,9.92,2.42,6.02,1.38,2.90,4.07,14.58,2.07,4.67,11.62,100.00,2.52,3.89,4.55,100.00,10.75,100.00,7.09,11.63,16.94,23.87,6.05,100.00,7.87,10.78,4.75,1.00,2.61,1.00,3.95,4.85,2.90,4.68,1.89,2.85,4.39,7.03,2.91,6.59,68.07,100.00,1.98,100.00,1.73,41.84,2.44,8.53,18.95,100.00,100.00,100.00,11.31,24.53,49.74,94.79,17.19,24.79,25.85,100.00,1.52,3.66,3.14,7.07,2.71,6.40,1.51,3.56,2.06,5.86,1.89,3.09,1.64,43.71,20.63,100.00,100.00,100.00,2.91,4.17,1.54,100.00,1.32,33.23,2.66,3.49,2.35,3.71,1.31,1.61,1.00,2.98,1.56,1.00,100.00,100.00,1.44,4.33,42.66,64.84,100.00,100.00

Measurement Information
Date,2019/02/13 13:30:56
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.58183438,-0.12180332,0.61588717,-0.46125257,-0.17496957,0.22127746,0.03386304,0.01655681,0.07569978,-0.16443190,-0.53034997,-0.06995792,-1.98408270,1.19236350,-0.24392554,0.56745201,1.95870042,-0.10694930,-0.09705785,-0.14147657,0.02475774,-0.16482642,-0.19165386,-0.16292240,-0.21122532,-0.17161417,-3.61875844,0.14406165,-1.40090585,0.77328706,-0.77691382,-0.19206887,0.56086278,0.08770633,0,13:31:05.1,0,0
2,0.58183438,-0.12180332,0.60708058,-0.49051258,-0.17496957,0.25332695,0.03385340,0.01339574,0.16597781,-0.14381820,0.26245862,-0.02430435,0.60810459,-0.60169160,-0.17676304,-0.42883497,-0.18494229,-0.26465958,-0.20029306,6.57067919,-0.06051948,-0.10414413,-0.12277874,-0.26639137,-0.25065562,-0.46096671,-0.07307947,0.14158863,-1.29099870,0.59796852,-0.97008407,-0.10994294,-0.08854159,-0.20812356,0,13:31:05.2,0,0
3,0.58183438,-0.12180332,0.59828734,-0.53346026,-0.17496957,0.18586871,-0.04131047,-0.01251979,0.06015023,-0.20224626,0.15664415,0.05696889,-0.02435040,0.35492435,0.03540967,-0.44239068,1.65090084,-0.34871247,-0.25962228,6.58360195,-0.08491739,-0.10414413,-0.10968667,-0.22853962,-0.24259219,-0.17161417,1.21736503,-0.05754018,-1.26449394,2.90269375,-1.11541760,-0.06407349,-0.08854159,-0.38692078,0,13:31:05.3,0,0
4,0.58183438,-0.12180332,0.53817081,-0.59938657,-0.27736044,0.08377146,-0.07306547,0.00970467,-0.10310101,-0.16868754,0.26245862,0.04731948,0.05799766,1.65925550,0.00441307,-0.05893454,2.86194968,-0.40774357,-0.25962228,-0.12855385,-0.16346863,-0.16478598,-0.13063250,-0.36401734,-0.33050111,-0.46096671,-2.47411919,-0.21293250,-1.20178390,0.51233155,-1.41599619,-0.29755151,0.11621836,-0.13502371,0,13:31:05.4,0,0
5,0.47497475,-0.12180332,0.61588717,-0.49051258,-0.27736044,0.10994520,-0.05039383,0.00748308,-0.06935148,-0.19740218,0.15664415,0.02324055,-0.18234271,-0.22859842,-0.05598557,-0.44969112,1.59713531,-0.30814511,-0.23849905,-0.16287568,-0.10853874,-0.18839452,-0.17430381,-0.26435763,-0.26382476,-0.17161417,-0.15012334,-0.26314521,-1.18909752,0.68490118,-0.69341218,-0.11838378,0.11621836,-0.28026539,0,13:31:05.5,0,0
6,0.58183438,-0.12180332,0.63102925,-0.43391547,-0.17496957,0.12717296,-0.05251420,0.00909438,-0.09504720,-0.17133436,0.31849709,-0.08958964,-1.42605281,0.00882311,-0.36932415,-0.07860696,1.23905790,-0.15418190,-0.09705785,-0.09831949,-0.01250450,-0.11475156,-0.13333689,-0.30329520,-0.29984608,-0.17161417,-3.76503515,-0.07989823,-1.22442412,0.59796852,-1.22445881,-0.79313678,0.11621836,-0.71442753,0,13:31:05.6,0,0
7,0.58183438,-0.12180332,0.58573753,-0.45289797,-0.17496957,0.12717296,-0.04349468,-0.00148637,-0.09504720,-0.18851665,0.76294786,0.10954957,-6.58967495,-6.60370064,0.00479283,-0.71060622,-4.81968355,-0.20790863,-0.17894049,-0.18424493,-0.01479837,-0.21415579,-0.19756988,-0.28508770,-0.26382476,-0.17161417,-0.75642711,0.00195307,-1.17303848,2.81705689,-0.89360857,-0.07821514,-0.08854159,-0.02951648,0,13:31:05.7,0,0
8,0.47497475,-0.12180332,0.60891318,-0.45777673,-0.17496957,0.09677812,-0.05711970,0.00536650,-0.06935148,-0.17961711,0.21161036,0.12093435,1.09969783,0.74660701,0.16240886,-0.21981587,2.14508486,-0.34991539,-0.28066477,5.14717913,-0.11162206,-0.21593982,-0.19395024,-0.26639137,-0.25131500,-0.17161417,1.51044190,-0.34587377,-1.15749454,0.39108729,-1.20771801,-0.01601620,-0.33555782,-0.14300127,0,13:31:05.8,0,0
9,0.47497475,-0.12180332,0.56051713,-0.47877192,-0.27736044,0.26055795,0.03669102,-0.00962358,0.07554239,-0.18647261,0.81791407,0.12013435,0.50106514,1.04129231,0.16570173,0.44287762,2.68989682,-0.27280584,-0.17894049,5.20266438,-0.07345203,-0.13873455,-0.12993392,-0.24760222,-0.26930109,-0.46096671,-1.49838746,-0.17402127,-1.18108034,0.51233155,-0.93491656,-0.23398483,0.13903527,-0.47933409,0,13:31:05.9,0,0
10,0.47497475,-0.12180332,0.53980732,-0.48710468,-0.17496957,0.15855719,-0.03465942,-0.00434265,0.00496105,-0.21067575,-0.53034997,-0.09772380,-0.12697710,-0.31824985,-0.41228318,-0.65212119,0.45359325,-0.40313312,-0.31831947,2.84170246,-0.14629474,-0.24111657,-0.20173641,-0.28426039,-0.27740207,-0.17161417,1.11284339,-0.23950092,-1.18909752,0.51233155,-1.29016614,-0.39408711,-0.08854159,-0.56366086,0,13:31:06.0,0,0
11,0.69087183,-0.12180332,0.47763789,-0.56062603,-0.27736044,0.18586871,-0.00283009,-0.01038593,0.03712812,-0.22841550,-0.53034997,-0.10441482,-2.83976412,-2.90662336,-0.29205680,-0.34632376,-2.41424108,-0.40774357,-0.21729444,-0.10696689,-0.16346863,-0.20155767,-0.14817546,-0.30621555,-0.29104686,-0.17161417,-3.84148502,0.02404169,-1.18909752,0.47672424,-1.18460011,-0.29387248,0.11621836,0.11003414,0,13:31:06.1,0,0
12,0.58183438,-0.12180332,0.47653112,-0.57224095,-0.27736044,0.07549509,-0.08899860,-0.02547717,-0.13241290,-0.25977314,-1.59640622,-0.15960644,-1.05539966,-0.13311596,-0.47320151,-0.16636901,1.72623932,-0.30708876,-0.31831947,5.15994263,-0.15726280,-0.21785675,-0.18534343,-0.42136845,-0.37833557,-0.17161417,-1.66774845,-0.04202763,-1.21244431,0.51233155,-1.22033644,-0.25404173,0.11621836,-0.39992359,0,13:31:06.2,0,0
13,0.47497475,-0.12180332,0.56927538,-0.45289797,-0.27736044,0.10081255,-0.05039383,-0.02442767,0.00202324,-0.21748593,0.10222173,0.07214326,1.09969783,0.91028911,-0.00178988,-0.46773723,2.01651287,-0.40005317,-0.23849905,-0.20980021,-0.15364762,-0.25222835,-0.19234595,-0.36244678,-0.30341980,-0.17161417,0.64639890,-0.28808811,-1.10308337,2.98962641,-0.57671744,-0.31395981,0.11621836,-0.28026539,0,13:31:06.3,0,0
14,0.47497475,-0.12180332,0.47898579,-0.45993900,-0.27736044,0.08423611,-0.10089619,-0.01774695,-0.13730820,-0.21113180,-0.53034997,-0.05836362,-1.60372198,0.40368372,-0.24344517,-0.07860696,1.72623932,-0.29414088,-0.15750475,-0.19703710,-0.12234815,-0.27637714,-0.20748334,-0.38480458,-0.36579752,-0.14657152,-3.95423341,0.01322688,-1.16797674,0.30676287,-1.51193166,-0.58546984,-0.13079788,-0.23025121,0,13:31:06.4,0,0
15,0.37014982,-0.12180332,0.52125043,-0.51008898,-0.27736044,0.17559829,0.00570343,-0.02368092,0.05794339,-0.23723690,-0.63973856,0.07339646,-0.43110034,-0.83081007,0.13688059,-0.79199249,-0.28836706,-0.40842694,-0.25962228,-0.17571756,-0.18746448,-0.25222835,-0.16645005,-0.32554063,-0.28568596,-0.17161417,-0.93968827,-0.16645764,-1.09830403,0.42800716,-1.15668201,-0.61024582,-0.06230842,-0.47399172,0,13:31:06.5,0,0
16,0.58183438,-0.12180332,0.49954435,-0.51008898,-0.27736044,0.13380486,-0.04378416,-0.05910616,-0.01636914,-0.27238050,-0.79103166,0.12984562,0.96079040,1.32195461,0.14446926,0.01521191,2.14508486,-0.41403660,-0.37639675,2.86283803,-0.17058553,-0.26222372,-0.19165386,-0.36530155,-0.30887982,-0.17161417,0.57724476,-0.17713752,-1.06900513,2.73273253,-1.11541760,-0.23298547,-0.08854159,-0.35659972,0,13:31:06.6,0,0
17,0.47497475,-0.12180332,0.47653112,-0.57224095,-0.27736044,0.10081255,-0.05951858,-0.05466980,0.00202324,-0.28992346,-0.84346753,-0.12125131,-2.19369388,-1.34746230,-0.43511647,-0.64844865,-2.54398632,-0.32104111,-0.23849905,-0.21827500,-0.13624510,-0.27522373,-0.18815616,-0.42071754,-0.37518662,-0.17161417,-1.73678696,0.29142204,-1.05382919,2.81705689,-1.00985157,-0.28980842,0.11621836,-0.16679049,0,13:31:06.7,0,0
18,0.37014982,-0.12180332,0.41119015,-0.66419661,-0.27736044,0.16283005,-0.01764228,-0.04216742,0.09532042,-0.27408829,-0.04907132,-0.11592200,-1.14771068,0.65467417,-0.42487437,-0.10645294,1.67588198,-0.48174283,-0.37639675,-0.21827500,-0.27825978,-0.32554299,-0.20675810,-0.46242413,-0.38425973,0.14278103,-4.07833290,-0.11450481,-1.11063373,0.39108729,-1.25166178,-0.63354868,-0.13079788,-0.55432361,0,13:31:06.8,0,0
19,0.69087183,-0.12180332,0.42393366,-0.72681731,-0.37352538,0.13380486,-0.06421665,-0.04068222,-0.05549178,-0.27408829,-1.64580250,-0.02426318,0.80530143,-0.74115860,-0.20376131,-0.51464379,-0.18494229,-0.45758784,-0.37639675,-0.19703710,-0.26477498,-0.33859441,-0.21978267,-0.42218822,-0.32926169,-0.17161417,-0.47032040,-0.10397852,-1.05686808,0.42800716,-1.41231859,-0.21842220,0.34379521,-0.24863051,0,13:31:06.9,0,0
