Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190220123632
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,  1y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,1994,1406,713,651,658,0,612,591,595,0,672,627,578,571,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under
Analog Gain,31,31,6,6,31,31,6,6,6,6,15,15,7,7,7,7,31,31,6,6,6,6,12,12,7,7,6,6,30,30,6,6,6,6,7,7,12,12,7,7,12,12,6,6,6,6,15,15,12,12,6,6,24,24,22,22,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,28,28,24,24,12,12,72,72,7,7,6,6,7,7,6,6,12,12,6,6,7,7,7,7,12,12,6,6,6,6,31,31,6,6,6,6,6,6,6,6
Digital Gain,48.18,1.00,100.00,1.00,2.18,4.97,55.07,100.00,100.00,100.00,3.25,5.88,2.30,5.48,1.77,4.81,6.24,16.64,1.54,2.75,1.42,29.92,2.55,3.18,1.73,22.77,1.80,32.98,1.91,3.46,2.60,5.67,1.87,49.57,4.37,6.92,2.23,100.00,1.65,50.56,3.57,4.00,2.19,3.28,2.39,2.59,2.67,4.04,2.56,3.81,100.00,100.00,1.98,1.00,1.49,54.73,100.00,100.00,31.59,1.00,100.00,100.00,42.01,66.73,36.27,83.44,19.21,43.51,65.18,1.00,24.55,52.31,2.88,6.05,2.91,8.71,1.85,5.46,8.02,16.83,2.55,3.40,1.54,30.39,1.59,34.98,14.29,30.25,2.16,4.03,1.40,38.83,1.66,42.62,2.89,3.89,2.06,2.72,2.45,2.63,1.93,3.43,2.58,100.00,7.79,100.00,100.00,100.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/02/20 12:36:36
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,2.49685192,-0.27908510,0.25175357,-0.28146222,-1.48020732,0.18923162,-0.04115527,-0.25866079,-0.00009758,-0.19443858,-0.27163061,0.07135843,-0.34405974,-0.37066710,0.28422305,-0.65761924,0.04186196,0.08630433,-0.45253471,0.33579630,0.14492723,-0.43073213,-0.33490974,-0.17876062,-0.27935863,0.74598855,0.10842944,0.78374046,0.60557473,0.70759046,0.72702986,-0.65105480,0.35024232,-0.35915488,0,12:36:45.1,0,0
2,1.44330275,7.35166979,0.20598347,1.13910663,1.96447885,0.20970336,-0.01009847,-0.24020910,0.14251283,-0.18759364,-0.31974906,0.06402004,-0.19902028,-0.45657060,0.26227644,-0.62250900,0.05136101,0.12487174,5.77100992,0.15789938,0.21850279,-0.44003662,-0.31996837,-0.11072832,-0.17826572,-0.83762872,0.16455258,0.15672572,-1.19955814,0.70759046,-2.92606282,-0.54824120,0.01066841,-0.01235307,0,12:36:45.2,0,0
3,0.98593795,-0.27908510,0.23569869,-0.02561598,-0.37562624,0.21851464,0.01419219,-0.20346078,0.28815135,-0.18474698,-0.24285974,0.05970596,-0.14488639,-0.18372311,0.24211180,-0.66571367,0.31401572,0.06534207,-0.46282458,0.49320373,0.10782113,-0.43082613,-0.34000888,-0.11205452,-0.23043555,-0.83762872,0.15515901,0.96677703,-0.24289048,0.70759046,1.68369746,0.37871891,0.52375674,0.39154211,0,12:36:45.3,0,0
4,2.49685192,-1.50728714,0.15634438,-0.63179159,-2.30391049,0.09917736,-0.05502161,-0.25866079,-0.00009758,-0.22730519,-0.44736010,0.03766984,-0.20410468,-0.60033482,0.19631000,-0.70328128,-0.31923413,0.00165009,-0.46282458,-0.25210667,0.07120410,-0.45091999,-0.34595814,-0.13698938,-0.21723175,6.79312611,0.14578110,0.69906133,0.65255040,0.85568690,-1.92241955,-1.10879719,0.18989328,-0.50497544,0,12:36:45.4,0,0
5,1.44330275,-0.27908510,0.17783788,0.29133517,0.58104140,0.14579888,0.01226809,-0.24941410,0.31560865,-0.23792082,-0.35341817,-0.05513066,-0.30202258,-0.69837528,0.16721942,-0.70354199,-0.14709140,-0.01407081,3.33857250,0.32107493,0.01680122,-0.44159976,-0.32113197,-0.18800513,-0.26847398,-0.83762872,0.08052341,0.67672652,-2.54792547,0.27719727,-2.20486927,-0.90706652,-0.23388191,-0.45732984,0,12:36:45.5,0,0
6,0.16754998,-3.35939574,0.13840748,-0.76002568,-2.39975023,0.18510786,-0.01806730,-0.23098838,0.08711715,-0.23890582,-0.25729379,-0.01245836,-0.16501471,-0.60033482,0.16721942,-0.75705910,-0.17067525,-0.00917025,3.31836343,0.12843499,0.04617245,-0.46159655,-0.35000730,-0.20133589,-0.27440843,2.63869476,0.07592437,1.16437399,-0.23599668,0.41396022,0.83523226,-0.84959954,0.41031346,-0.14923735,0,12:36:45.6,0,0
7,0.35999897,-3.35939574,0.24566458,-0.76002568,-1.95918643,0.22424273,-0.03946964,-0.21717899,0.10396951,-0.19554968,-0.07504173,0.06226565,-0.30856085,-0.35088271,0.23610748,-0.65761924,0.17898820,0.01101701,5.66351891,0.30633190,0.09885238,-0.42927527,-0.34595814,-0.10297644,-0.23281118,4.94342041,0.15515901,1.21453559,0.37030703,0.55881786,-0.85650194,-1.01393795,0.18203104,0.18296142,0,12:36:45.7,0,0
8,1.20987153,-1.50728714,0.23157220,0.03548894,0.00112460,0.23243640,0.00496413,-0.23560469,0.21287139,-0.19342852,-0.25729379,0.03582657,-0.19902028,-0.24848858,0.24123843,-0.65761924,0.34716392,0.04424659,-0.43703139,0.34565273,0.10831020,-0.41450167,-0.31996837,-0.12903811,-0.22100295,-0.83762872,0.13641948,0.78938997,-1.19955814,0.70759046,-0.12143537,-0.95463723,0.35024232,-0.32049948,0,12:36:45.8,0,0
9,1.44330275,-1.50728714,0.17423239,-0.28146222,-1.48020732,0.19514212,-0.02568492,-0.25401211,0.17216255,-0.21000008,-0.19046524,0.01057701,-0.22426987,-0.66867220,0.20081638,-0.69545537,-0.44960046,0.00255434,-0.46282458,-0.01405674,0.06236911,-0.45091999,-0.36893380,-0.23791464,-0.31702495,-2.06583071,0.11774353,1.03440177,-0.24289048,0.55881786,-2.20486927,-0.46980128,-0.33105731,0.02361697,0,12:36:45.9,0,0
10,-0.37249142,-2.51093054,0.19088928,-0.28146222,-1.48020732,0.15099448,-0.05013920,-0.22937970,-0.01595040,-0.21484804,-0.11813387,0.01964498,-0.37933162,-0.16890085,0.20016786,-0.63135368,0.47753936,0.12423596,7.09358358,0.49320373,0.16519322,-0.44007039,-0.34000888,-0.17561504,-0.26067889,-3.06947422,0.08979070,0.74407524,-0.97795701,0.27719727,0.10016566,-0.02536689,0.24260008,0.37355605,0,12:36:46.0,0,0
11,2.21542001,-2.51093054,0.17408073,-0.52594322,-0.52353966,0.24946617,0.01226809,-0.25857863,0.31745887,-0.23309530,-0.30503744,-0.00452967,-0.31710175,-0.50101614,0.17608911,-0.70069700,-0.32392395,-0.06893999,-0.52927625,0.15789938,0.00140914,-0.41839188,-0.32106838,-0.16941670,-0.24462488,-0.83762872,0.11774353,0.47530773,-1.19955814,0.41396022,-1.46980274,-0.84587604,-0.06616853,-0.43700901,0,12:36:46.1,0,0
12,2.21542001,-1.50728714,0.13405262,-0.28146222,-0.95554304,0.19019939,0.01680090,-0.27232602,0.27804455,-0.25324267,-0.34299493,-0.07025582,-0.43428817,-0.65426308,0.12768413,-0.75399238,-0.36158943,0.03668991,-0.52927625,-0.06331324,0.07056937,-0.45235232,-0.35592589,-0.18186086,-0.25353119,0.74598855,0.10842944,0.44146162,-1.69946015,0.41396022,-2.92606282,-0.04645992,-0.06616853,-0.12434255,0,12:36:46.2,0,0
13,1.69229639,-4.09446239,0.10316694,-0.98455846,-1.44308257,0.09371471,-0.03630666,-0.24769361,0.12535286,-0.23027290,-0.27119327,-0.07695863,-0.33399874,-0.66400623,0.09156027,-0.71947682,-0.18944673,-0.01407081,3.31836343,0.45399666,0.00144844,-0.45925117,-0.33229861,-0.23932716,-0.29913610,-2.06583071,0.05739520,0.98362303,-0.23599668,0.13947505,-0.85650194,0.17620394,0.01431766,0.29843575,0,12:36:46.3,0,0
14,0.56367707,-1.50728714,0.14196186,0.32484150,0.74308485,0.09371471,-0.05926012,-0.27952674,0.03443136,-0.25991869,-0.16557287,-0.07979181,-0.43121371,-0.53614134,0.08363514,-0.79257476,0.04802505,-0.07909802,5.56308842,0.41512722,-0.04280389,-0.50708765,-0.37674710,-0.22068283,-0.26506457,3.93977714,0.02063651,1.41869855,0.37030703,0.27719727,-0.12143537,-0.10099885,0.01431766,-0.07046073,0,12:36:46.4,0,0
15,0.77075934,-2.51093054,0.19657020,-0.87627256,-1.95918643,0.17160515,-0.06552541,-0.27692327,-0.05861769,-0.23890582,-0.41807559,0.01057701,-0.38684779,-0.60816014,0.15627404,-0.73539799,-0.08027408,0.05728140,-0.57488823,0.07961527,0.09885238,-0.44313395,-0.34108511,-0.19734354,-0.25956768,-0.83762872,0.10842944,0.93330824,-0.24289048,0.85568690,0.72702986,-0.65105480,0.35024232,-0.28474808,0,12:36:46.5,0,0
16,-0.01839790,-1.50728714,0.17408073,0.03548894,0.00112460,0.24955450,-0.00423475,-0.31347868,0.23624964,-0.26097426,-0.42270184,0.00148423,-0.29433310,-0.51210433,0.23217048,-0.75105333,0.05732610,-0.06893999,-0.59998256,0.41994056,0.04658455,-0.42927527,-0.32628003,-0.20983423,-0.29320714,-2.06583071,0.08979070,0.89997345,-0.97795701,0.41396022,-0.85650194,-0.47211587,0.18203104,-0.14931796,0,12:36:46.6,0,0
17,1.20987153,-2.51093054,0.18253633,-0.52594322,-0.52353966,0.24951510,0.04004881,-0.30875263,0.29475108,-0.27054778,-0.53730839,-0.02052688,-0.19679430,-0.74139655,0.19749397,-0.79632539,-0.26860458,0.05185046,7.89301252,0.39573473,0.05810256,-0.47148210,-0.37078735,-0.19829503,-0.26378393,3.86689687,0.07592437,1.16437399,1.10537362,0.41396022,-0.85650194,-0.17162390,0.18203104,0.41237545,0,12:36:46.7,0,0
18,0.77075934,-0.27908510,0.20865759,0.32484150,0.74308485,0.20415570,-0.00796961,-0.28595105,0.22994034,-0.25229272,-0.36463201,-0.03641062,-0.14011462,-0.45293695,0.17608911,-0.75362128,0.17417960,0.07788084,5.65339947,0.55144817,0.11992508,-0.48214099,-0.36095718,-0.20435423,-0.28840140,4.94342041,0.05739520,1.60679102,0.37030703,0.41396022,-0.12143537,-0.88796908,0.18203104,-0.14923735,0,12:36:46.8,0,0
19,2.49685192,3.53654861,0.13848266,-0.10762587,0.27274460,0.13561122,-0.05789055,-0.30415916,-0.02278187,-0.25229272,-0.38311929,-0.04076267,-0.41155314,-0.44332075,0.12492827,-0.72726005,0.06658564,-0.02283976,-0.55464178,0.06991484,0.04658455,-0.46847540,-0.35101318,-0.17876062,-0.24462488,-0.83762872,0.11774353,0.95005196,-0.35109288,0.85568690,2.95887518,-2.08275652,0.52375674,-0.82741034,0,12:36:46.9,0,0
