Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190213125432
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,  1y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,1149,908,748,671,588,0,577,571,580,0,582,574,603,586,1980,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Stray,Stray,Normal,Normal,Stray,Stray,Stray,Stray,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under
Analog Gain,62,62,6,6,72,72,47,47,6,6,15,15,12,12,6,6,31,31,6,6,15,15,7,7,24,24,6,6,15,15,6,6,6,6,15,15,22,22,6,6,15,15,7,7,6,6,31,31,12,12,31,31,15,15,7,7,88,88,98,98,31,31,31,31,6,6,44,44,6,6,6,6,15,15,15,15,6,6,24,24,6,6,15,15,6,6,6,6,47,47,15,15,7,7,124,124,6,6,6,6,6,6,15,15,6,6,98,98,6,6,6,6
Digital Gain,100.00,1.00,47.12,100.00,5.48,9.64,2.70,4.65,22.29,43.09,4.43,7.94,2.54,6.44,1.61,3.28,8.33,40.33,1.65,3.31,2.30,66.82,3.69,5.35,5.46,95.34,5.09,91.02,8.57,12.79,20.23,29.56,3.38,85.63,12.11,14.65,6.10,1.00,2.85,100.00,8.14,7.22,30.22,32.16,2.19,2.82,5.58,6.47,2.82,5.04,22.33,32.26,2.74,1.00,1.91,21.76,30.97,31.94,100.00,1.00,22.32,22.71,28.71,45.57,32.80,58.06,41.81,35.96,39.78,1.00,17.72,38.29,2.59,5.05,3.30,8.21,1.87,4.52,2.11,5.93,2.41,3.87,1.95,56.65,8.85,100.00,100.00,100.00,3.33,5.40,1.32,71.13,1.48,21.46,1.00,1.00,36.59,38.02,1.57,2.02,1.97,3.86,1.52,67.19,6.74,100.00,2.42,2.42,100.00,100.00,100.00,1.00

Measurement Information
Date,2019/02/13 12:54:34
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,6.38388252,0.24751791,0.72411472,-0.01471102,-0.21689743,0.00228518,-0.15820238,-0.41079500,-0.21469210,-0.71857184,-2.43013215,-0.14609341,-3.50493526,-3.28919792,-0.86940640,0.00000000,-6.55331659,-0.17917176,0.02678479,2.77502584,-0.27581400,1.11378169,2.75062346,-0.24808712,-0.28383738,-1.81665242,-0.31545010,-0.28524381,-1.15164220,0.00000000,-1.13456023,0.26251340,0.03027083,1.79744697,0,12:54:43.1,0,0
2,6.38388252,1.43620408,0.50829726,-0.12004790,-0.21689743,0.06862406,-0.10471768,-0.28461140,-0.05130653,-0.58972669,-2.41149330,-0.05897930,-2.89750409,-0.98426616,-0.73264951,-6.16525555,-2.88700104,-0.18873343,-0.09947231,1.15461147,-0.34715599,-0.46160537,2.00545287,-0.40047625,-0.36104542,-2.00744057,-0.32873565,-0.28524381,-1.15164220,0.00000000,-1.21610177,0.08640755,0.14548014,0.73683184,0,12:54:43.2,0,0
3,0.00000000,0.24751791,0.49469951,-0.19687818,-0.21689743,-0.05786330,-0.19185138,-0.14251427,-0.74721026,-0.48782223,0.55136150,-0.27018258,-4.98395538,0.00000000,-1.18740273,0.00000000,0.00000000,-0.11937679,0.00126890,0.54312295,-0.33437669,-1.10807908,1.09402668,-0.34012192,-0.34002364,-1.93851793,-0.42505348,-0.34587455,-1.15164220,0.00000000,-1.26388848,-0.25285611,0.03027083,0.64026356,0,12:54:43.3,0,0
4,2.56876135,1.43620408,0.47861335,-0.26081926,-0.21689743,0.00559154,-0.12759662,-0.16023478,-0.13175289,-0.54644704,-1.20910954,0.07211491,-3.51008320,-0.98426616,-0.24137636,-6.16525555,-2.88700104,-0.04371314,0.00126890,0.22993419,-0.31141511,0.14523457,0.26944587,-0.38391188,-0.34610602,-1.93832648,-0.36393610,-0.28524381,-1.15164220,0.00000000,-1.29157460,-0.13658106,-0.00228876,0.45890954,0,12:54:43.4,0,0
5,-1.24687231,0.24751791,0.55619210,-0.26871043,-0.31928831,-0.05360790,-0.17461954,-0.02538962,-0.24153166,-0.48734096,0.68230754,-0.21882434,-4.67006636,18.98076248,-1.02649975,17.88513565,0.00000000,-0.09178805,-0.04935794,-0.13075531,-0.27923951,-0.55716318,-0.90281981,-0.29118967,-0.31284457,-1.90224040,-0.45107123,-0.36513880,-1.15164220,0.00000000,-1.28799403,-0.14380731,0.17797841,0.54084146,0,12:54:43.5,0,0
6,0.00000000,1.64341414,0.59779340,-0.18070380,-0.31928831,0.10872152,-0.08871971,-0.01811717,0.45315614,-0.51213205,-0.80662531,0.09006534,-2.48933721,-1.94082379,-0.28380999,-7.49507952,-4.22877645,-0.37575006,-0.14918578,-0.40318748,-0.46737832,-0.65704030,-1.38137281,-0.47310784,-0.39627185,-1.71988976,-0.39024359,-0.35551509,-1.15164220,0.00000000,-1.31181002,0.22748923,-0.00228876,0.82779729,0,12:54:43.6,0,0
7,-1.24687231,0.47649887,0.72411472,0.05446025,-0.21689743,0.06505070,-0.08235786,0.00944703,0.20681836,-0.44897750,0.29796076,-0.04508064,-3.45768142,0.87666410,-0.65161365,-5.18979836,25.37174606,-0.30667531,0.02678479,-0.60436672,-0.41789469,-0.41532615,-1.23404050,-0.44164446,-0.37341213,-1.49200809,-0.39024359,-0.34587455,-1.15164220,0.00000000,-1.02814782,-0.36390683,0.03027083,0.00638616,0,12:54:43.7,0,0
8,0.33674490,1.64341414,0.61947221,0.06569508,-0.21689743,0.04471178,-0.14123599,0.03173295,-0.05580619,-0.42925867,-0.99013227,-0.16879767,-4.93715668,-0.98426616,-1.10807216,0.00000000,12.72648525,-0.07617693,0.10823123,-0.74147761,-0.22340441,-0.16731198,-1.07743490,-0.36465880,-0.36681318,-1.17389941,-0.30659318,-0.33621669,-1.15164220,0.00000000,-1.05520868,-0.14380731,0.14548014,0.81994301,0,12:54:43.8,0,0
9,0.33674490,0.47649887,0.62381870,0.03333702,-0.21689743,0.04083173,-0.13198929,0.04285458,-0.05580619,-0.44435206,0.05416915,-0.14183594,-4.46041346,18.98076248,-0.93593776,-6.16525555,8.04940033,-0.08386356,0.21293879,-0.87519336,-0.29597959,-0.16731198,-1.01890087,-0.25543502,-0.33361408,-0.92167842,-0.35515687,-0.33621669,-1.15164220,0.00000000,-1.02814782,-0.15416954,0.17051125,0.87585264,0,12:54:43.9,0,0
10,2.56876135,1.64341414,0.62088740,0.01110968,-0.21689743,0.14845316,-0.05211401,-0.00683841,0.35163262,-0.47545993,-2.27375770,0.04320689,-3.78297710,11.14033031,-0.43347600,0.38609418,8.98502922,-0.01902347,0.10823123,-0.98592561,-0.21878031,-0.56108695,-0.99739426,-0.34471971,-0.36167663,-0.70161057,-0.32873565,-0.33621669,-1.15164220,0.00000000,-1.03904223,0.40836054,0.14548014,1.83436608,0,12:54:44.0,0,0
11,2.56876135,0.47649887,0.60342932,-0.08102819,-0.21689743,0.04471178,-0.12432083,0.02056866,-0.05580619,-0.45864999,-0.52158397,-0.00786053,-4.05518961,0.15950742,-0.69259465,-3.01530290,7.56049109,-0.12488369,0.23940237,-1.08464456,-0.27549672,-0.20247211,-0.91061109,-0.19247927,-0.21025944,-0.70161057,8.94689178,-0.33621669,-1.21061683,0.00000000,-1.13456023,-0.01107550,0.17797841,0.30758867,0,12:54:44.1,0,0
12,0.33674490,1.43620408,0.72119319,-0.16622727,-0.21689743,-0.01516389,-0.15496325,0.03892358,-0.41462666,-0.43477073,-0.75684857,-0.14948925,-4.07112646,-3.13975286,-1.04990971,-0.98043257,5.01480246,-0.30355021,0.02678479,-1.26277268,-0.38824847,-0.32206386,-0.83079165,-0.40536377,-0.37341213,-0.28320661,-0.37710524,-0.33621669,-1.40107691,0.00000000,-1.21610177,-0.28359309,-0.00228876,0.60497576,0,12:54:44.2,0,0
13,-1.24687231,0.24751791,0.75042230,-0.19803247,-0.11711133,-0.05786330,-0.16411494,0.05147553,-0.33922455,-0.43216589,-0.16826722,-0.15395284,-4.27208519,-4.55750704,-1.01436818,-2.70512176,-2.28998637,-0.31556034,0.07806733,-1.38634300,-0.38935384,-0.65704030,-0.77721739,-0.36700568,-0.34034482,0.16966602,-0.42505348,-0.39509189,-1.74358380,0.00000000,-1.21610177,-0.15416954,0.03027083,0.41088575,0,12:54:44.3,0,0
14,-1.24687231,1.43620408,0.55496877,-0.28843686,-0.21689743,0.03018005,-0.12759662,0.00000487,-0.01596467,-0.47117651,-1.37182736,-0.10905584,-4.27208519,-1.93930697,-0.86061704,-0.77391517,-2.78389454,-0.30667531,-0.07447216,-0.56443506,-0.47743547,-0.35652760,-0.74840319,-0.50099754,-0.42221054,0.59062958,-0.41205278,-0.34587455,-1.22747004,0.00000000,-1.31864238,-0.24910288,-0.00228876,-0.01791813,0,12:54:44.4,0,0
15,-1.24687231,0.24751791,0.60198605,-0.24085520,-0.31928831,0.03377595,-0.12802045,0.03013034,0.17147650,-0.45474395,-0.67046303,-0.14953169,-7.97537708,-1.47698796,-1.05548334,-0.95308554,-2.55038524,-0.43560559,0.05236634,0.03883450,-0.50821847,-0.46782470,-0.77336919,-0.46829075,-0.42221054,0.94605923,-0.43807802,-0.34587455,-0.58017629,0.00000000,-1.21610177,-0.43284881,0.03027083,0.49200615,0,12:54:44.5,0,0
16,2.56876135,1.64341414,0.64719492,0.08631400,-0.31928831,-0.03244597,-0.17461954,0.01402347,-0.12574343,-0.42954615,-1.92306864,-0.15395284,-5.18101597,-1.08283913,-1.01078176,-1.34539092,-2.35377884,-0.33064818,0.02678479,0.35550487,-0.43837756,-0.60982507,-0.77179664,-0.48015609,-0.36067915,1.24098766,-0.47258767,-0.39509189,-0.25790113,0.00000000,-1.02814782,-0.68190610,0.14548014,-0.37794274,0,12:54:44.6,0,0
17,0.33674490,0.24751791,0.67543370,0.04885820,-0.21689743,-0.00186768,-0.15820238,0.00281747,-0.49387902,-0.48860782,-1.95466697,-0.17832038,-8.71566582,-2.27893925,-1.06387031,-1.43083680,-3.23154068,-0.08638767,0.43307409,-0.87272501,-0.18649147,0.18858090,-0.71569967,-0.14929748,-0.25597540,1.51195455,-0.27993724,-0.32648206,0.11437943,0.00000000,-1.00073886,0.09833032,0.03027083,0.84891200,0,12:54:44.7,0,0
18,-3.47871780,1.43620408,0.59316468,0.08631400,-0.21689743,0.10973940,-0.06584127,0.05699839,0.47873923,-0.41104183,-1.21816325,0.01771930,-2.80901885,-1.75058019,-0.61380035,-2.25410509,-2.43254590,0.08694362,0.16033605,0.36924344,-0.19127056,-0.37710685,-0.74100769,-0.24159469,-0.26419955,1.86545241,-0.35515687,-0.33621669,0.12296311,0.00000000,-1.05520868,-0.25298926,0.14548014,0.54084146,0,12:54:44.8,0,0
19,-2.47507453,0.24751791,0.74555141,0.07506096,-0.11711133,0.02648771,-0.14741118,0.09728111,-0.01385187,-0.38131744,-0.62981111,-0.25054362,-6.62157631,-1.77436781,-1.19861269,-2.68047786,-2.49661040,-0.25692108,0.10823123,0.86809462,-0.39636731,-0.56649131,-0.76438963,-0.30033401,-0.26970008,1.78722858,13.46671009,-0.32648206,0.66596764,0.00000000,-0.95004404,-0.05599113,0.17051125,0.25941366,0,12:54:44.9,0,0
