Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190213144801
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,  1y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,1729,1250,483,515,528,0,532,544,565,0,537,547,533,545,1699,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,120,120,6,6,31,31,6,6,6,6,31,31,28,28,6,6,31,31,6,6,6,6,24,24,15,15,6,6,15,15,6,6,6,6,12,12,7,7,6,6,12,12,6,6,6,6,15,15,6,6,6,6,7,7,30,30,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,62,62,62,62,24,24,112,112,31,31,24,24,6,6,6,6,44,44,12,12,15,15,6,6,62,62,7,7,7,7,15,15,6,6,6,6,6,6,6,6
Digital Gain,1.00,1.00,100.00,1.00,27.29,36.12,100.00,100.00,100.00,100.00,33.64,51.98,5.18,22.89,8.51,34.78,1.00,1.00,100.00,8.46,10.37,100.00,46.00,6.70,4.56,100.00,18.19,100.00,11.94,9.11,22.25,17.52,6.70,100.00,20.39,13.95,5.95,1.00,7.67,1.00,28.85,17.29,15.50,10.73,11.55,6.22,12.76,8.58,5.67,3.55,1.00,1.00,3.57,1.00,1.00,1.00,100.00,100.00,1.00,1.00,100.00,100.00,45.28,65.40,1.00,1.00,1.00,1.00,100.00,1.00,99.29,100.00,8.38,13.50,14.64,1.00,1.73,7.21,1.00,1.00,72.71,6.02,2.45,35.47,8.88,100.00,45.89,38.53,2.74,2.21,1.42,55.19,1.54,55.25,28.18,19.14,3.28,3.18,5.42,3.11,3.30,3.02,1.83,1.00,100.00,100.00,100.00,100.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/02/13 14:48:04
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.00000000,3.25328040,0.43464264,0.56094640,3.50057173,-0.18219499,0.11473601,0.04004236,0.00000000,-2.42669439,-0.02927433,0.11103057,-1.04098511,0.50771791,-0.20201118,0.18512708,2.07157183,-0.89013875,-0.14865234,0.01673540,-0.42394197,0.08352415,0.12274568,-0.17821921,0.04079864,0.00000000,-0.14654495,0.00000000,-0.16902155,0.00000000,2.85658813,-0.24861838,0.00000000,0.00000000,0,14:48:13.1,0,0
2,0.00000000,-2.79385710,-0.15280677,-1.17990136,-3.11416578,0.30754897,0.79293001,0.13708454,0.00000000,-1.98613060,0.39783528,1.84928083,-7.36088705,-0.10817210,0.00209741,-0.40340707,0.16156964,0.10505710,0.05016962,8.53548336,0.47745842,0.20363303,0.05918451,-0.27657327,-0.00805109,0.00000000,-0.13400446,0.00000000,-0.91098189,0.00000000,-1.68015373,0.30092454,0.00000000,0.00000000,0,14:48:13.2,0,0
3,0.00000000,0.00000000,1.03287065,1.29601300,2.79961634,0.45355853,0.40474564,0.20523697,0.00000000,0.93312275,-0.31960082,-0.15139382,0.16367960,0.41765341,-0.05177222,0.08884250,-0.23315354,-0.54005677,-0.09256662,3.90876961,-0.34122396,0.11466018,0.10033851,0.03604217,0.12674661,0.00000000,-0.05826340,0.00000000,-1.01918423,0.00000000,-0.95904571,0.71011972,0.00000000,0.00000000,0,14:48:13.3,0,0
4,0.00000000,0.00000000,0.67572427,1.63191795,0.00000000,0.20969591,0.09331584,-0.26663238,0.00000000,11.47285652,-3.67339325,1.59279835,-5.14142036,-4.84400272,-0.26804972,-0.11259093,0.25801381,-0.23033078,0.02134851,0.09181610,0.26065144,0.20712659,0.20257756,0.14795639,0.21462275,0.00000000,-0.02851854,0.00000000,-0.01554088,0.00000000,-1.68015373,1.16839015,0.00000000,0.00000000,0,14:48:13.4,0,0
5,0.00000000,-2.79385710,0.07423484,-1.17990136,-3.11416578,-0.72475737,-0.09590589,0.58147418,0.00000000,-1.89261711,1.13985765,-0.71647418,0.97588891,-0.09842154,0.01953780,-0.89413500,-0.48678637,-0.59888035,-0.09256662,-0.12134638,-0.15857205,-0.33869556,-0.22214083,-0.37500387,-0.04626977,0.00000000,-0.17977734,0.00000000,-0.06251672,0.00000000,1.97293890,-0.26217923,0.00000000,0.00000000,0,14:48:13.5,0,0
6,0.00000000,-2.79385710,0.27680308,-0.22328542,1.99017560,-0.63261944,0.13302483,-0.01423445,0.00000000,-0.49593973,-0.80913013,-0.30370405,-4.02772284,2.77310467,-0.88165635,-0.04359126,5.65802956,-0.96238542,-0.25455469,-0.22490963,-0.72639602,-0.49642581,-0.27452248,-0.29180396,0.01006914,0.00000000,-0.14654495,-7.23536825,-0.94615519,0.00000000,0.11778710,-0.31614479,0.00000000,2.27184558,0,14:48:13.6,0,0
7,0.00000000,-0.56184071,0.03994935,0.35663134,3.50057173,0.24057546,0.49044675,-0.20162079,0.00000000,-2.07949996,-1.44381142,-2.40370727,0.91308630,-0.34152770,-0.85522044,-0.90040708,3.13426137,-1.22752619,-0.36290005,-0.22490963,-1.13684344,-0.42494047,-0.19128779,-0.34745568,-0.06256207,0.00000000,-0.20871808,-11.01674652,-0.29778436,0.00000000,1.34598923,-0.59498423,0.00000000,-2.31742764,0,14:48:13.7,0,0
8,0.00000000,3.25328040,0.95193827,0.17714904,0.00000000,-0.20173818,0.04314190,0.26457509,0.00000000,0.93312275,-0.27243051,0.42165878,0.08042700,-0.19544210,-0.39716020,-0.56727999,0.06684425,-0.58369958,0.02134851,0.12499261,-0.16306305,0.22810282,0.28165075,-0.09957232,0.06938541,0.00000000,-0.07517330,0.00000000,-1.01918423,0.00000000,-1.68015373,0.33028340,0.00000000,0.00000000,0,14:48:13.8,0,0
9,0.00000000,-0.56184071,-0.02749912,-0.08742442,-3.11416578,-0.15591788,0.24204940,0.09840118,0.00000000,-2.42669439,-0.25774360,-0.08045637,-0.16328599,1.93812478,-0.04396334,-0.45800859,5.56381273,-0.62455744,-0.03590391,6.12366581,-0.50134552,-0.04901302,-0.00932591,-0.29180396,-0.01950569,0.00000000,-0.14654495,0.00000000,-0.29778436,0.00000000,1.34598923,0.04933163,0.00000000,-0.03308608,0,14:48:13.9,0,0
10,0.00000000,0.00000000,-0.69295591,0.78345275,0.00000000,-0.85546041,0.15504332,0.30516043,0.00000000,2.76249695,0.17838152,1.96547329,-1.51158464,-1.71510541,-0.33765388,-0.74009728,0.03406290,0.03808504,0.05016962,-0.15756056,0.62567383,-0.58871710,-0.29121134,-0.02597883,0.11806919,0.00000000,-0.05826340,0.00000000,0.67944366,0.00000000,-0.83888048,-0.12939002,0.00000000,0.00000000,0,14:48:14.0,0,0
11,0.00000000,0.00000000,-0.39947850,0.78345275,0.00000000,0.01802967,0.35462320,0.59849584,0.00000000,-0.33080870,1.09816861,-1.52523267,-0.24689004,1.18562627,-0.14770186,-0.43109369,1.91051352,-0.05781746,-0.00738178,-0.32656068,0.18264505,-0.63237202,-0.43124086,-0.19894798,0.05571032,0.00000000,-0.14654495,0.00000000,-0.29778436,0.00000000,0.38932163,-0.74242657,0.00000000,-2.31742764,0,14:48:14.1,0,0
12,0.00000000,3.25328040,-0.21546103,0.56094640,0.70095539,0.82585835,0.81714618,0.30516043,0.00000000,1.78158796,0.07789885,1.96547329,0.12189591,1.98057306,-0.42768314,-0.05186814,3.41993928,-0.71172464,-0.12065188,-0.15756056,-0.00803423,-0.51723176,-0.25777584,-0.33918783,-0.05436030,0.00000000,-0.16318622,0.00000000,0.67944366,0.00000000,3.67156672,1.73422122,0.00000000,-2.31742764,0,14:48:14.2,0,0
13,0.00000000,3.25328040,-0.19169118,0.04838621,0.00000000,-0.52294838,0.04342428,0.18874533,0.00000000,0.91038847,-0.06711813,-1.73498130,-1.25061834,-1.63186562,-0.61213917,-0.52886951,0.09982166,-0.46057379,-0.00738178,-0.01579691,0.02306570,-0.27436832,-0.15133861,-0.28494364,-0.02759622,0.00000000,-0.11727460,0.00000000,0.67944366,0.00000000,-1.68015373,0.04015527,0.00000000,0.00000000,0,14:48:14.3,0,0
14,0.00000000,-0.56184071,0.29847205,-0.08742442,3.50057173,1.24505389,0.61758506,0.28578752,0.00000000,-0.45031461,-0.06711813,-0.09671092,0.60471851,2.19637108,-0.54200494,-0.07046890,4.30976582,-1.07020891,-0.17645361,-0.32656068,-0.73220491,-0.69692820,-0.51527071,-0.36455777,-0.00064547,0.00000000,-0.16318622,0.00000000,-0.16902155,0.00000000,1.97293890,0.44303688,0.00000000,0.00000000,0,14:48:14.4,0,0
15,0.00000000,-4.37747431,0.40377441,-0.22328542,-0.31454957,0.11007023,0.49044675,0.38007766,0.00000000,-0.98248720,-0.06711813,-0.66046232,-0.55496860,1.89195848,0.07407780,-0.00606257,4.30976582,-0.57780862,-0.09256662,9.13802338,-0.23761629,-0.01870278,-0.03311701,-0.16905592,0.05956126,0.00000000,-0.13400446,0.00000000,-0.29778436,0.00000000,0.85974741,0.34333536,0.00000000,3.62014413,0,14:48:14.5,0,0
16,0.00000000,3.25328040,-0.76802063,1.00500214,3.50057173,0.13907138,0.58210760,0.88295251,0.00000000,4.13293934,1.68845558,-0.52830100,1.11730826,0.42714021,-0.50845075,-0.79785043,1.81793892,-0.66639197,-0.14865234,-0.29581913,-0.41776901,-0.63237202,-0.44656572,-0.17480633,-0.00597831,-17.09897232,-0.14654495,-11.01674652,-0.43359494,0.00000000,0.11778710,-0.32872948,0.00000000,-8.21524906,0,14:48:14.6,0,0
17,0.00000000,3.25328040,-0.05714108,0.17714904,0.00000000,0.83705330,0.63944644,0.72126019,0.00000000,1.92284560,1.24442935,-0.90685695,1.38759422,-5.45014238,0.01953780,-0.94555461,-0.02627859,-0.64058316,-0.09256662,-0.15756056,-0.39752346,-0.30637640,-0.18574952,-0.09932322,0.05729648,0.00000000,-0.10466779,0.00000000,2.16932869,0.00000000,4.36698341,0.37681547,0.00000000,0.00000000,0,14:48:14.7,0,0
18,0.00000000,0.00000000,0.18368505,-1.52147889,0.00000000,-1.49660015,-0.49275479,0.10218066,0.00000000,3.99069905,-0.56363046,2.20503640,-5.27150011,-1.45685911,-0.32083699,-0.35955295,0.16156964,-0.35960603,-0.00738178,-0.08943372,0.11529783,-0.40130246,-0.18791458,-0.02345152,0.12846459,0.00000000,-0.04124793,0.00000000,0.94112664,0.00000000,2.85658813,1.49352670,0.00000000,0.00000000,0,14:48:14.8,0,0
19,0.00000000,-0.56184071,0.07095690,0.35663134,5.80529690,1.25461960,0.82731009,0.33694595,0.00000000,-1.89261711,0.66398114,-1.84263110,2.12093472,0.18749806,-0.29602355,-0.94958431,-0.54612696,-0.40445051,-0.19954306,8.90089703,-0.29341400,-0.39630878,-0.27959573,-0.46554062,-0.07656392,0.00000000,-0.23750748,-7.23536825,-0.43359494,0.00000000,-0.14389586,-0.35491765,0.00000000,3.62014413,0,14:48:14.9,0,0
20,0.00000000,3.25328040,-0.15280677,0.56094640,3.50057173,0.19076531,0.56059110,0.28578752,0.00000000,5.71655655,0.68420255,-0.60320747,-0.45497242,-2.89577341,-0.72345334,-0.46958122,0.16156964,-0.82227582,-0.14865234,-0.15756056,-0.39270967,-0.30483156,-0.18972822,-0.28494364,-0.00064547,0.00000000,-0.13400446,0.00000000,-0.16902155,0.00000000,0.38932163,0.44303688,0.00000000,0.00000000,0,14:48:15.0,0,0
