Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190220144212
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,  1y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,1239,961,563,562,598,0,542,550,650,0,652,615,573,568,1925,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Under,Under,Under,Under,Under,Under
Analog Gain,98,98,6,6,31,31,6,6,6,6,31,31,15,15,6,6,31,31,6,6,7,7,15,15,6,6,7,7,56,56,22,22,6,6,30,30,7,7,7,7,12,12,7,7,7,7,6,6,6,6,31,31,6,6,7,7,6,6,6,6,6,6,31,31,6,6,44,44,6,6,6,6,60,60,62,62,6,6,28,28,15,15,6,6,7,7,6,6,49,49,6,6,6,6,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Digital Gain,1.00,1.00,100.00,1.00,27.80,35.92,100.00,100.00,1.00,1.00,7.10,14.64,4.20,10.41,1.38,3.09,21.81,24.78,2.91,1.63,1.51,32.72,5.86,2.29,1.35,17.48,2.70,38.10,4.84,4.87,5.10,5.27,1.42,35.05,5.86,5.19,2.24,83.87,2.12,80.24,3.43,3.96,2.28,3.45,4.07,3.96,2.38,3.43,2.42,2.88,12.91,19.37,1.19,25.21,1.43,38.01,100.00,100.00,30.00,1.00,91.02,100.00,30.51,44.10,1.00,1.00,100.00,42.22,100.00,1.00,100.00,100.00,6.72,13.91,10.19,1.00,1.79,4.03,4.10,2.63,4.68,2.24,1.41,25.23,1.68,37.27,30.16,31.43,3.84,4.16,1.08,24.02,1.01,21.71,2.77,4.04,2.33,3.19,2.62,2.56,2.02,3.00,1.00,18.41,18.88,100.00,100.00,100.00,100.00,100.00,100.00,100.00

Measurement Information
Date,2019/02/20 14:42:16
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.00000000,2.51994610,0.06722408,-0.16817969,0.00000000,0.53497416,1.12194932,0.87466860,0.49495813,-0.75143379,0.04069363,-0.13687755,-0.12052174,-0.11001482,-0.05882508,-0.17311324,0.01850031,-0.41580656,0.63921010,0.30537233,-0.08001900,-0.12142911,-0.06373692,-0.10197303,0.09459094,0.75848448,0.01269687,0.13884462,1.89875138,0.12709746,-0.19041851,0.15429711,0.00000000,-1.26482320,0,14:42:25.1,0,0
2,0.00000000,2.51994610,0.07720838,0.43812403,0.00000000,0.64623386,1.23481071,0.87547147,0.29724282,-0.80081260,0.19991560,-0.12665541,0.13561969,-0.06334113,0.06764604,-0.20230423,0.08316023,-0.40231094,0.24226739,0.49132481,-0.12885697,-0.11422627,-0.04211070,-0.06809253,0.13065454,0.48325983,0.21269311,0.02944396,-0.20713466,0.25974384,0.92844540,0.55031455,0.00000000,1.62726462,0,14:42:25.2,0,0
3,0.00000000,2.51994610,1.66945100,0.95068425,0.00000000,0.73359150,1.20284986,0.89400387,0.61486572,-0.76351559,0.03636416,-0.12665541,-0.01481951,0.10205785,-0.01963983,-0.21155408,0.14977357,-0.42585486,0.55199075,0.50013143,-0.11066983,-0.12390809,-0.02424169,-0.09868775,0.08195110,0.63771045,0.17285840,0.12152188,3.55510592,0.25974384,1.33640099,0.58322078,0.00000000,-1.26482320,0,14:42:25.3,0,0
4,0.00000000,-1.29568768,0.40220410,-2.13842773,0.00000000,0.34215185,1.01710188,0.86625224,0.24814460,-0.75620443,0.01460655,-0.09373540,-0.17346193,-0.23988728,-0.03764602,-0.29640725,-0.07140934,-0.39069328,-0.96777636,-0.14638443,-0.13227069,-0.12142911,-0.02091556,-0.09777178,0.10067882,0.71194619,0.05855212,-0.07414010,0.37278211,0.25974384,-1.48109090,-0.63765049,0.00000000,-2.00850034,0,14:42:25.4,0,0
5,0.00000000,0.28792965,0.37960249,0.43812403,0.00000000,0.40254238,1.02086508,0.88270092,0.14210474,-0.77647310,0.09106843,-0.16673818,-0.08482780,0.01807215,-0.04641231,-0.24918465,0.08297009,-0.39761969,0.99291527,0.45183897,-0.10542355,-0.13158990,-0.05986708,-0.12044539,0.08195110,0.64415401,0.09872492,0.00782312,1.25038052,-0.00242691,-0.19041851,0.17292616,0.00000000,-1.48090661,0,14:42:25.5,0,0
6,0.00000000,2.51994610,-0.01667671,1.68575084,0.00000000,0.57343429,1.16125166,0.85632199,0.11205240,-0.79114234,0.17820951,-0.13927089,-0.10154171,-0.08566229,-0.12371951,-0.26067612,-0.03109811,-0.36079493,0.58231419,0.28774431,-0.11831826,-0.14323826,-0.09919227,-0.09777178,0.10233339,0.64415401,0.23692696,0.10853820,0.67046380,-0.00242691,0.41588524,-0.23014219,0.00000000,-3.32733393,0,14:42:25.6,0,0
7,0.00000000,-1.29568768,-0.21290918,-1.39646733,0.00000000,0.19098325,0.93015885,0.83512050,-0.37502259,-0.75890821,-0.05123238,-0.12168280,-0.07084908,-0.13263020,-0.00110870,-0.20230423,-0.08069149,-0.33452949,-0.09283498,0.31420788,-0.04603182,-0.12248646,-0.07067930,-0.10197303,0.07935929,0.42802539,0.04089517,0.02514578,0.67046380,0.12709746,-0.19041851,-0.55939037,0.00000000,-3.43488264,0,14:42:25.7,0,0
8,0.00000000,-3.52753282,-0.66900599,-1.31482792,0.00000000,0.33916983,1.01897621,0.82710904,-0.35687932,-0.77119642,0.13018008,-0.12168280,-0.02361272,0.19639154,-0.00988948,-0.18884122,0.21289314,-0.32150933,0.67007482,0.10009272,-0.02174231,-0.13049981,-0.07458620,-0.08078799,0.10236119,0.77060544,-0.01387297,0.02944396,1.02115297,-0.00242691,-0.19041851,-0.56227946,0.00000000,-3.14180350,0,14:42:25.8,0,0
9,0.00000000,-1.29568768,0.06722408,-0.21024683,0.00000000,0.44262028,1.01463950,0.83504599,-0.05162648,-0.72693378,-0.02496661,-0.13687755,-0.04115649,-0.00472213,-0.08296735,-0.17965168,0.12841018,-0.32150933,0.48995182,0.10009272,-0.03228171,-0.12173524,-0.06373692,-0.09055120,0.08783937,0.59641528,0.04089517,0.02514578,-0.20713466,0.12709746,0.21753705,0.23091896,0.00000000,-1.06843948,0,14:42:25.9,0,0
10,0.00000000,-2.52388978,-0.53060073,-1.39646733,0.00000000,0.39303523,0.99460560,0.80014664,-0.05162648,-0.79564106,0.17820951,-0.10046177,-0.15119103,-0.04087351,-0.05597193,-0.17965168,0.00490861,-0.29658481,-0.33596763,0.09125716,-0.06413535,-0.10057520,-0.02799603,-0.09845670,0.08013722,0.65699232,-0.03151587,-0.18514311,-0.20713466,0.25974384,-0.52442330,-0.74490762,0.00000000,0.50727826,0,14:42:26.0,0,0
11,0.00000000,2.51994610,0.11775531,-0.16817969,0.00000000,0.27169812,0.91880065,0.79158604,0.63476348,-0.71698570,-0.15597357,-0.10046177,-0.23026696,-0.39284590,-0.11700489,-0.24573550,-0.30201021,-0.34831604,-0.60052210,-0.66095072,-0.05632399,-0.14048566,-0.07855634,-0.10809962,0.08170911,0.90372646,-0.24284722,-0.15044384,2.60468459,0.39566574,-0.08385792,0.99304277,0.00000000,-0.66208804,0,14:42:26.1,0,0
12,0.00000000,2.51994610,-0.06828244,2.12980652,0.00000000,0.45077389,0.94835269,0.77941906,-0.08592673,-0.77110744,0.08677025,-0.15180257,-0.04244864,0.26509473,-0.20627703,-0.32837203,0.32498747,-0.41617593,0.73153508,0.46058324,-0.08699760,-0.12142911,-0.09520894,-0.12385166,0.06147255,0.71194619,0.00575157,0.11282689,1.25038052,0.12709746,-0.19041851,0.65566331,0.00000000,0.68872356,0,14:42:26.2,0,0
13,0.00000000,6.33506727,0.58911949,1.17319059,0.00000000,0.08493439,0.83358902,0.76526195,-0.04093999,-0.75395644,-0.18629701,-0.15700722,-0.34590042,-0.34865922,-0.26653865,-0.31858501,-0.15719683,-0.50621420,-0.24177441,0.06483592,-0.15535420,-0.12976755,-0.06373692,-0.09055120,0.08092546,0.59889609,-0.12136317,0.01216209,0.37278211,0.25974384,0.21753705,-0.15896000,0.00000000,-0.76073128,0,14:42:26.3,0,0
14,0.00000000,-2.52388978,-0.11233830,-1.92113161,0.00000000,0.14485249,0.89095020,0.77304810,0.00428295,-0.78316295,-0.02865237,-0.18181802,-0.20550723,-0.05896474,-0.30474466,-0.30645859,0.11405889,-0.48201293,-0.98512560,0.04288757,-0.18707353,-0.14733779,-0.08149330,-0.12561132,0.06651983,0.66257137,-0.14763716,0.01216209,1.02115297,0.25974384,0.65810245,-0.52285624,0.00000000,3.78045607,0,14:42:26.4,0,0
15,0.00000000,0.28792965,0.09503737,0.95068425,0.00000000,0.20656352,0.87244797,0.80290765,0.17748591,-0.72689009,-0.06863793,-0.11911419,-0.12336826,-0.01376845,-0.02400641,-0.14344251,0.12841018,-0.36935663,-1.12614560,0.10899692,-0.07542539,-0.10640221,-0.03884532,-0.10015008,0.07502678,0.83493745,-0.05792785,0.01216209,1.02115297,0.25974384,1.13708949,0.31673363,0.00000000,10.83600426,0,14:42:26.5,0,0
16,0.00000000,-1.29568768,-0.89532667,0.30231339,0.00000000,0.42452237,1.00451148,0.79860914,-0.17861545,-0.75163251,0.11277452,-0.05693344,-0.14245370,-0.11001482,-0.09638136,-0.20944332,0.04572815,-0.36491507,-0.53393435,0.52669257,-0.06803130,-0.09559000,-0.08149330,-0.07716046,0.09723110,0.77060544,0.01887667,0.01645079,1.25038052,0.12709746,0.41588524,-0.83903152,0.00000000,-2.70123982,0,14:42:26.6,0,0
17,0.00000000,6.33506727,0.25814256,1.17319059,0.00000000,0.35618258,0.96884227,0.79290861,0.35595635,-0.71706450,-0.04250957,-0.05419752,-0.19976945,-0.43705633,-0.07193940,-0.25326821,-0.36102617,-0.42092142,-1.09946787,-0.10208113,-0.05721730,-0.08672589,-0.03183406,-0.06921091,0.10236119,0.65699232,-0.10815131,-0.17214994,1.02115297,-0.00242691,-0.57016468,-0.16626208,0.00000000,-1.30776942,0,14:42:26.7,0,0
18,0.00000000,0.28792965,-0.48665130,-0.81655055,0.00000000,0.02238088,0.72990507,0.78213727,-0.45857999,-0.71455771,0.04941644,-0.04133822,-0.18168853,-0.32060158,-0.12859233,-0.25326821,-0.25208485,-0.27019995,-0.54285556,-0.35669610,-0.00065179,-0.09895216,-0.06068447,-0.06756740,0.11094848,0.66257137,-0.03594448,-0.17214994,1.02115297,0.25974384,-1.04052556,0.81546021,0.00000000,-0.82359004,0,14:42:26.8,0,0
19,0.00000000,2.51994610,0.55117321,0.43812403,0.00000000,0.35618258,0.95668769,0.76944274,0.42517835,-0.74175620,-0.05556184,-0.08519720,-0.06254386,-0.21878675,-0.13897833,-0.25912303,-0.06255481,-0.29658481,-0.30487880,0.08243577,-0.00065179,-0.10776654,-0.07458620,-0.06239306,0.11781508,0.59641528,0.01451613,0.02944396,0.37278211,0.25974384,1.26440620,0.54388589,0.00000000,1.37910473,0,14:42:26.9,0,0
