Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190213141557
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,  1y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,820,714,558,559,533,0,537,547,555,0,527,541,543,551,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Signal Check Result,Under,Under,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under
Analog Gain,124,124,6,6,120,120,6,6,6,6,22,22,15,15,6,6,31,31,6,6,7,7,7,7,12,12,7,7,14,14,7,7,7,7,7,7,7,7,6,6,7,7,6,6,6,6,15,15,7,7,6,6,6,6,31,31,6,6,6,6,6,6,24,24,6,6,44,44,6,6,6,6,12,12,24,24,7,7,30,30,15,15,28,28,6,6,6,6,31,31,31,31,88,88,6,6,120,120,12,12,7,7,6,6,6,6,6,6,6,6,6,6
Digital Gain,100.00,1.00,100.00,1.00,100.00,100.00,100.00,100.00,1.00,1.00,4.00,9.83,2.83,7.02,2.59,6.77,15.98,18.24,5.49,3.25,7.77,100.00,19.98,8.44,4.52,50.36,16.64,100.00,8.60,8.31,22.86,18.93,12.87,1.00,44.80,33.80,11.84,1.00,13.12,1.00,55.98,29.06,41.54,23.14,19.92,17.79,26.88,14.51,4.86,4.31,1.00,1.00,1.38,32.10,1.33,57.15,79.66,100.00,100.00,1.00,90.02,100.00,6.30,12.50,1.00,1.00,100.00,40.73,100.00,1.00,100.00,100.00,2.35,5.31,4.11,10.23,1.73,4.21,3.22,2.02,5.60,2.69,1.49,31.86,7.78,100.00,46.78,46.52,4.18,4.02,1.28,50.96,1.00,20.59,52.45,32.41,1.00,1.00,2.12,1.46,2.60,2.76,1.08,23.60,25.52,100.00,22.13,67.79,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/02/13 14:16:00
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,-2.97316837,-3.12237453,-0.73736554,-0.70333338,0.00000000,0.05743334,0.11042228,0.23950583,-0.10099958,-0.50378853,-0.44353649,-1.35017645,-0.59673101,-0.89807516,-0.50778228,-0.39684439,-0.07485370,-1.15652895,-0.61619002,-0.62071812,-1.46402526,-0.21661815,-0.31980845,-1.05500913,-0.31488779,6.35430622,0.26266843,0.40550873,1.01582134,-1.31128335,-0.00974378,0.18528678,0.00000000,-6.79125834,0,14:16:09.1,0,0
2,-2.97316837,-2.27390933,-0.22480530,-0.00442124,0.00000000,-0.05862357,0.03522497,0.27570969,-0.33651054,-0.45959967,-0.31762066,-0.66000104,0.14443465,0.50537783,-0.17409566,-0.71972811,-0.30699939,-0.50863165,-0.41324389,-0.74615264,-0.52118331,-1.15466082,-0.49231046,-0.38700238,-0.22250931,0.00000000,0.13670486,-0.28925183,0.04432453,-0.73136652,-0.79489642,0.13179877,0.00000000,1.92159104,0,14:16:09.2,0,0
3,-2.97316837,7.58869076,0.21925046,0.92722571,0.00000000,0.02179566,0.07002598,0.30065307,0.02256825,-0.38546664,0.07722260,-0.67471933,-1.24280202,0.87924469,-0.28322998,-0.19900616,0.04738593,-0.57733887,-0.31327853,-0.40171692,-0.26662642,0.57045394,-0.09340625,0.12666208,-0.16020693,0.00000000,-0.24434373,-0.28925183,-2.26071048,1.50053608,-0.05986690,0.16134119,0.00000000,-0.53314590,0,14:16:09.3,0,0
4,0.84195298,-1.27026618,-1.34366918,-0.00442124,0.00000000,-0.08437204,-0.01020556,0.15812282,-0.33651054,-0.63118064,-5.44513416,-0.84345883,-0.27238002,0.87924469,-0.31573716,-0.10226086,-0.01404416,-0.92459273,-0.51562589,-0.87191826,-0.91258448,-1.42902040,-0.52668995,-0.84810954,-0.33773908,0.00000000,0.08968759,-0.13707936,-0.33244267,-0.73136652,-0.18859273,0.19832838,0.00000000,2.44904017,0,14:16:09.4,0,0
5,-5.20518446,-1.27026618,-0.00229898,-0.51698148,0.00000000,-0.04922844,0.00480510,0.11488057,-0.31106275,-0.58212566,-3.14009929,-0.84352148,-0.62617815,-0.09094577,-0.22919582,-0.48898417,-0.18986191,-0.84108692,-0.46469948,-0.57827675,-0.91562188,-0.02781109,-0.22767079,-0.42677996,-0.25452989,0.00000000,0.06048059,-0.28925183,-0.50246960,-0.08299568,-0.43964094,0.01285774,0.00000000,-4.49162245,0,14:16:09.5,0,0
6,0.84195298,3.77356958,-0.73736554,0.92722571,0.00000000,-0.01380320,0.06011319,0.29112393,-0.11137363,-0.42835578,-0.18875696,-0.70037699,-0.19777882,0.37538791,-0.12680174,0.16049771,0.10950897,-0.66543245,-0.41324389,-0.44891185,-0.81337982,0.50977713,-0.08406322,0.04651045,-0.14821541,0.00000000,-0.22273910,-0.09017254,0.45419806,-0.08299568,0.54643679,0.05993913,0.00000000,-0.26828223,0,14:16:09.6,0,0
7,0.84195298,-3.85744095,-0.22480530,-0.31165075,0.00000000,-0.07616653,0.05065520,0.29077005,-0.45755833,-0.50180811,0.73608023,-0.96677005,-0.94622785,2.60561681,-0.27476850,-0.20913158,-0.18986191,-0.67880732,-0.46469948,4.96037579,-0.52118331,0.12830351,-0.17931922,-0.50593692,-0.26605648,0.00000000,0.11957102,0.06108992,-0.33244267,-0.73136652,0.32396746,0.05154271,0.00000000,-5.63894939,0,14:16:09.7,0,0
8,0.84195298,-0.04206398,-0.22480530,0.43614256,0.00000000,-0.13389386,-0.05902648,0.34227914,-0.39653391,-0.33392569,-0.01012097,-0.96677005,-0.94622785,0.21711762,-0.27476850,-0.29868376,0.10950897,-0.12905461,-0.26038161,-0.44891185,0.39002186,0.38499668,-0.12166936,-0.42677996,-0.21080959,0.00000000,0.05616594,-0.27985018,-0.50246960,0.65207082,0.16666277,0.27896720,0.00000000,0.20822573,0,14:16:09.8,0,0
9,0.00000000,1.54155326,-0.22480530,0.91512156,0.00000000,0.03693766,0.13929649,0.26482809,-0.20143257,-0.58699173,0.42717439,-1.26220620,-0.86664677,-1.12313116,-0.53230321,-0.53502470,-0.18986191,-0.07692229,-0.31327853,3.47976542,0.48350024,-0.50412649,-0.34458640,-0.73670524,-0.25467712,0.00000000,0.31692070,-0.30806533,-0.33244267,-1.31128335,0.32396746,-0.05677243,0.00000000,-5.48882771,0,14:16:09.9,0,0
10,0.00000000,1.54155326,0.51026124,0.40256137,0.00000000,0.06282029,0.10081062,0.27014077,0.01369596,-0.45581508,-1.02449536,-0.44390807,-0.46478683,-2.24644256,-0.02355175,-0.44630992,-0.07485370,-0.33297718,-0.36130345,-0.57827675,0.12781216,-0.21326834,-0.30141693,-0.74041873,-0.29943922,0.00000000,-0.14446755,-0.30806533,-0.05967546,0.65207082,-0.05986690,0.16927525,0.00000000,-0.53314590,0,14:16:10.0,0,0
11,0.00000000,-0.04206398,-0.60860270,0.43614256,0.00000000,-0.24040544,-0.12036385,0.26742068,-0.49631849,-0.47882786,-0.01144812,-1.27519655,-0.32972300,-1.12313116,-0.40793687,-0.53844970,-0.18986191,-0.33297718,-0.41324389,-0.83137709,-0.20628069,-1.40488350,-0.52080297,-0.30521843,-0.22250931,0.00000000,0.03904486,-0.10895979,-0.91234314,0.65207082,-0.05986690,0.11209479,0.00000000,5.84748554,0,14:16:10.1,0,0
12,0.00000000,-0.04206398,0.21925046,0.43614256,0.00000000,-0.04272398,0.05578924,0.26762211,-0.40843317,-0.51003921,-0.05518582,-1.33102596,-0.42243236,-0.09094577,-0.43512788,-0.48898417,-0.18986191,-0.67880732,-0.51562589,-0.57827675,-1.10172892,-0.02781109,-0.24621090,-0.94960296,-0.34637004,6.35430622,0.30412856,0.05173596,0.65879959,-1.83594751,0.43431196,0.32436273,0.00000000,-1.26952100,0,14:16:10.2,0,0
13,0.84195298,1.54155326,-0.00229898,0.40256137,0.00000000,0.06282029,0.13617787,0.25715026,0.13914736,-0.37771016,-2.14335942,-1.22699654,-1.09080565,0.13728437,-0.52373570,-0.34827954,-0.01404416,-0.75415558,-0.41324389,-0.70467108,-0.81337982,-0.39339542,-0.31980845,-0.38345057,-0.23396130,0.00000000,-0.11458413,0.06108992,-0.91234314,0.65207082,0.54643679,0.31584987,0.00000000,0.11949002,0,14:16:10.3,0,0
14,0.00000000,-0.04206398,-0.00229898,0.88019836,0.00000000,0.00491416,0.09061897,0.38098648,-0.19219865,-0.34919795,0.81344879,-1.42008305,-1.49602127,1.62424171,-0.66421056,-0.48701951,-0.24871439,-0.84392440,-0.46469948,-0.78736275,-0.81910610,-0.94439787,-0.44228619,-0.46432671,-0.28658208,0.00000000,-0.03466587,0.07051779,0.40951765,-0.73136652,-0.79489642,0.22736046,0.00000000,-2.69232941,0,14:16:10.4,0,0
15,0.00000000,7.58869076,0.84616625,0.90083879,0.00000000,0.09094941,0.16159019,0.35822111,0.38069069,-0.31703550,0.25302657,-0.63532370,-0.25164944,-2.31946850,-0.12080409,-0.53844970,-0.18986191,-0.42990237,-0.46469948,1.15421379,-0.43022233,-0.33688781,-0.30157343,-0.13190627,-0.20346367,0.00000000,-0.02610529,0.04239822,-0.91234314,-0.08299568,0.16666277,0.25018731,0.00000000,2.35150647,0,14:16:10.5,0,0
16,0.00000000,-0.04206398,-0.00229898,-0.07641763,0.00000000,-0.04922844,0.08052405,0.34006989,-0.08287232,-0.37811455,-0.93304116,-0.78259963,-0.56765974,-2.31946850,-0.27346784,-0.44630992,-0.18986191,-0.67880732,-0.46469948,-0.49235854,-0.61466169,0.16288880,-0.11194636,0.19182710,-0.17273803,0.00000000,0.18978558,0.04239822,0.04432453,-0.73136652,-0.18859273,0.05881651,0.00000000,-0.31042537,0,14:16:10.6,0,0
17,0.00000000,1.54155326,-0.22480530,0.91512156,0.00000000,0.01231357,0.09551429,0.32440716,-0.07220504,-0.43627903,0.51309657,-1.22699654,-0.82972223,1.25731826,-0.57329845,-0.43966675,-0.18986191,-0.61308998,-0.46469948,5.65893173,-0.55340040,-0.82078773,-0.39446157,-0.26544082,-0.21230929,0.00000000,0.15570363,0.18761814,-0.33244267,-0.73136652,-0.18859273,0.19455139,0.00000000,0.01647541,0,14:16:10.7,0,0
18,0.00000000,0.00000000,0.51026124,1.54231560,0.00000000,-0.08052672,0.05398698,0.27161983,0.05954162,-0.32962772,-5.01171875,-0.17465162,-1.05175245,-1.92964697,0.12601623,-0.14441819,0.10950897,0.26617917,-0.15303659,-0.49235854,0.77029097,-0.02256846,-0.19344135,0.57491088,-0.10322460,0.00000000,-0.25295055,-0.50450855,-3.23745704,3.73238134,1.26762187,0.37288573,0.00000000,-0.39641500,0,14:16:10.8,0,0
19,0.00000000,-1.27026618,-0.42912036,-0.00442124,0.00000000,-0.03310459,0.06536201,0.31606731,-0.21210882,-0.39327684,0.59485561,-1.04728055,-0.58863813,1.40685642,-0.32554728,-0.34810430,-0.07485370,-0.17733967,-0.36130345,3.23410058,0.39351788,-1.42679012,-0.53766102,-0.35031372,-0.17113413,0.00000000,0.20690668,-0.32675701,-0.68946445,-0.73136652,0.67922294,0.25561404,0.00000000,0.11949002,0,14:16:10.9,0,0
