Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190220141328
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,  1y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,1779,1279,598,583,638,0,597,582,655,0,642,609,583,574,1129,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0
Signal Check Result,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,31,31,6,6,96,96,6,6,6,6,31,31,6,6,6,6,31,31,6,6,15,15,7,7,6,6,6,6,7,7,7,7,6,6,7,7,6,6,7,7,7,7,6,6,7,7,7,7,6,6,124,124,12,12,15,15,6,6,6,6,120,120,31,31,6,6,31,31,6,6,6,6,60,60,44,44,6,6,22,22,7,7,6,6,6,6,31,31,7,7,6,6,6,6,7,7,7,7,6,6,6,6,15,15,6,6,6,6,6,6,6,6
Digital Gain,1.00,1.00,1.00,1.00,100.00,100.00,83.66,100.00,100.00,100.00,12.06,26.17,1.71,3.06,1.55,2.22,9.68,11.74,1.91,1.76,1.36,28.46,4.91,3.59,1.37,24.57,1.83,35.79,2.67,4.11,2.68,4.57,1.59,50.20,3.46,5.14,1.58,42.22,1.51,49.07,3.91,4.87,2.16,3.15,3.54,3.88,3.00,4.40,2.01,2.65,1.00,1.00,1.84,100.00,1.74,94.34,97.91,100.00,16.80,1.00,100.00,100.00,35.54,47.10,100.00,100.00,1.00,100.00,100.00,1.00,83.37,100.00,6.25,12.18,3.20,10.20,1.20,1.99,4.23,3.99,4.51,3.45,1.68,32.11,1.06,16.51,3.14,3.97,2.42,3.91,1.00,20.28,1.00,9.71,3.21,4.96,2.87,3.96,2.54,2.72,2.06,3.27,1.68,100.00,100.00,100.00,100.00,100.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/02/20 14:13:30
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.00000000,0.00000000,0.00000000,0.30728599,0.57377118,-0.01471607,0.05791222,0.16869080,-0.08999358,-0.02742591,-0.01274633,-0.07533007,0.05396472,-0.03564113,-0.27061662,-0.28093693,-0.11400188,-0.21726473,0.00451007,0.03313375,-0.23398587,-0.22202045,-0.17059737,-0.23710167,-0.14426422,0.00000000,0.81941921,0.24142817,-1.12027168,0.13793454,0.00000000,-0.53775287,0.10000538,-0.58818537,0,14:13:40.1,0,0
2,0.00000000,0.00000000,2.77439666,-0.06966802,-0.00614561,-0.17877327,0.04707060,0.16518062,-0.10300913,-0.01756239,-0.18164797,-0.11393525,-0.05528175,0.14962184,-0.29269373,-0.26681092,0.15152964,-0.27593595,-0.11160516,0.16345920,-0.28302112,-0.18707292,-0.13832861,-0.21490514,-0.12258510,0.00000000,3.12445402,0.54214162,-0.37831140,0.13793454,0.00000000,-0.14683899,0.10000538,1.71653998,0,14:13:40.2,0,0
3,0.00000000,-9.52989388,0.00000000,-0.06966802,-0.00614561,0.30176589,0.10671994,0.17416017,0.08532596,-0.03202259,-0.10373207,-0.05275176,0.09332453,0.26606792,-0.23542948,-0.22890373,0.41990697,-0.23196648,0.20754294,0.15018561,-0.24210159,-0.19415903,-0.17747913,-0.20154415,-0.13070245,0.00000000,2.13945007,0.79816884,-0.37831140,0.05996345,0.00000000,-0.08873487,0.10000538,5.36983919,0,14:13:40.3,0,0
4,0.00000000,0.00000000,3.73106432,0.71698999,0.57377118,-0.41381770,0.02667006,0.16536146,-0.04776136,-0.03556256,-0.04755622,-0.04932679,0.07141108,-0.03564113,-0.23773989,-0.26681092,-0.12295946,-0.28002450,-0.25251889,0.01986017,-0.26932511,-0.18489656,-0.15160218,-0.19069487,-0.12714425,0.00000000,3.10552740,-0.03285903,-0.63583028,0.13793454,0.00000000,-0.12791890,0.10000538,0.00000000,0,14:13:40.4,0,0
5,0.00000000,0.00000000,0.00000000,-0.42659181,-0.53080988,-0.12633741,0.05876449,0.15192443,0.00830637,-0.03637648,-0.13843223,-0.13642134,-0.16590829,0.14962184,-0.31652886,-0.25585449,0.15152964,-0.22266328,0.19427806,-0.00670097,-0.23943263,-0.21753648,-0.18254134,-0.25674099,-0.17656302,0.00000000,2.10661292,0.25530496,0.53768235,0.05996345,0.00000000,-0.50980228,0.10000538,0.00000000,0,14:13:40.5,0,0
6,0.00000000,0.00000000,2.77439666,-0.07626248,0.21115054,-0.23071373,0.03498066,0.14938715,-0.13354076,-0.04432248,-0.09081516,-0.13466203,0.19018924,0.11868268,-0.28552631,-0.28672707,0.13815907,-0.26701817,0.16789901,0.48001325,-0.28730509,-0.19265302,-0.15022349,-0.23282412,-0.15413862,0.00000000,2.09727526,0.79816884,-0.37831140,0.05996345,0.00000000,0.02983250,0.10000538,3.06490731,0,14:13:40.6,0,0
7,0.00000000,0.00000000,0.00000000,0.71698999,1.22214198,0.22076063,0.09531946,0.16536146,0.32159060,-0.04351734,-0.11679711,-0.02661841,0.10210373,-0.03564113,-0.20248307,-0.26681092,-0.12295946,-0.26254326,-0.35976505,0.05091882,-0.25165641,-0.14663543,-0.10264555,-0.22610211,-0.14786336,0.00000000,-0.31157222,0.28310624,-0.20427795,0.13793454,0.00000000,1.02090681,0.10000538,0.00000000,0,14:13:40.7,0,0
8,0.00000000,-9.52989388,2.77439666,-0.81827444,-1.48747742,-0.11629721,0.05758363,0.17883137,-0.03778151,-0.03637648,-0.15982142,-0.03765673,0.01523029,-0.08953244,-0.18642755,-0.21755840,-0.22528560,-0.24494113,-0.07597975,0.20808560,-0.22995406,-0.12986776,-0.12868075,-0.21270859,-0.15328792,0.00000000,-1.52303600,0.28310624,-0.20427795,0.13793454,0.00000000,0.97545344,0.10000538,1.71653998,0,14:13:40.8,0,0
9,0.00000000,0.00000000,0.00000000,-0.46135065,-0.00614561,0.21074308,0.09708353,0.17962037,0.13510807,-0.04081853,-0.05563154,-0.12021074,0.14181048,0.31076640,-0.18917622,-0.16830006,0.45594022,-0.18268561,0.16570331,-0.17680715,-0.17124949,-0.12986776,-0.12164076,-0.14782932,-0.11261021,0.00000000,3.10552740,0.55604172,0.66928476,0.13793454,0.00000000,0.06166009,0.10000538,-0.58818537,0,14:13:40.9,0,0
10,0.00000000,0.00000000,2.77439666,-0.08439662,0.57377118,-0.18861268,0.06095181,0.16612850,0.03103705,-0.03095192,-0.15547819,0.00353610,0.04188624,-0.19578479,-0.13964227,-0.22232564,-0.23883277,-0.15550256,0.06696492,-0.03092987,-0.13545059,-0.08990493,-0.07938997,-0.13698004,-0.10348546,0.00000000,2.15834427,0.31574833,0.32083738,0.21231785,0.00000000,1.09636915,0.10000538,0.00000000,0,14:13:41.0,0,0
11,0.00000000,0.00000000,0.00000000,0.32530737,0.26547444,-0.01999855,0.06487014,0.17431903,0.05329719,-0.03887310,-0.09502242,-0.06036511,-0.06061731,0.00445138,-0.18407720,-0.19474076,-0.09151580,-0.18710467,0.04013547,-0.05784677,-0.19323371,-0.11959879,-0.11078276,-0.18815063,-0.13070245,0.00000000,2.12539482,0.30641061,-0.20427795,0.13793454,0.00000000,0.42212164,-0.34405035,0.00000000,0,14:13:41.1,0,0
12,0.00000000,-9.52989388,3.73106432,-0.46135065,-0.96281320,0.16112348,0.08817640,0.15192443,0.11596268,-0.05133504,-0.10373207,-0.05619435,0.18277511,-0.22262610,-0.18073317,-0.23137935,-0.40193489,-0.18710467,0.13446373,0.19464856,-0.17550591,-0.11894711,-0.10264555,-0.16393079,-0.11354658,0.00000000,2.12539482,0.57926756,0.53768235,0.13793454,0.00000000,0.11969800,0.10000538,0.00000000,0,14:13:41.2,0,0
13,0.00000000,0.00000000,0.00000000,-0.11874840,0.26547444,-0.13238393,0.06287017,0.15480727,0.01941807,-0.06562763,-0.12110949,-0.05275176,0.10210373,-0.13856831,-0.19160712,-0.25362411,-0.41542676,-0.23107412,-0.34642559,0.02426288,-0.23398587,-0.14357048,-0.13832861,-0.16393079,-0.10348546,0.00000000,2.12539482,0.28778216,0.32083738,0.13793454,0.00000000,0.98526913,0.10000538,0.00000000,0,14:13:41.3,0,0
14,0.00000000,0.00000000,2.14744687,0.28066131,0.73581481,0.22457679,0.08989352,0.16021857,0.16412945,-0.04593695,-0.20769389,-0.10879086,-0.04211258,-0.02234614,-0.24865133,-0.19270037,-0.10502970,-0.20057365,0.13446373,0.05988828,-0.16473575,-0.11143500,-0.09184910,-0.22853354,-0.14873542,0.00000000,-1.55581737,0.58857405,0.66928476,0.13793454,0.00000000,-0.16909747,0.10000538,0.00000000,0,14:13:41.4,0,0
15,0.00000000,0.00000000,0.00000000,-0.08439662,1.22214198,-0.19406117,0.06487014,0.17172717,0.11912034,-0.03435828,0.00479663,0.00353610,-0.01613496,0.11947491,-0.14813225,-0.18378432,0.19194937,-0.14181809,0.17916219,0.10467705,-0.11749125,-0.07969995,-0.09739014,-0.13694325,-0.09536812,0.00000000,3.82402277,0.59789598,0.06298107,0.13793454,0.00000000,0.14531498,0.10000538,0.00000000,0,14:13:41.5,0,0
16,0.00000000,0.00000000,3.73106432,0.32530737,1.22214198,0.17772350,0.10418347,0.16279145,0.18898807,-0.03598088,-0.03799105,0.09223182,0.05978420,0.04483839,-0.06456655,-0.13363729,0.09020191,-0.15378118,0.08045677,-0.03539733,-0.11749125,-0.09676935,-0.13953874,-0.14276798,-0.10253931,0.00000000,-1.50423276,0.59789598,0.06298107,0.13793454,0.00000000,0.42212164,0.10000538,1.71653998,0,14:13:41.6,0,0
17,0.00000000,-9.52989388,0.00000000,-0.81827444,-0.53080988,0.08327783,0.06158979,0.15835661,-0.00782811,-0.03246313,-0.10709257,-0.03765673,-0.13188103,0.01339474,-0.13661081,-0.18378432,0.07209470,-0.16759057,-0.07154491,-0.03539733,-0.16693543,-0.09664045,-0.12054353,-0.16132118,-0.11354658,0.00000000,-1.52303600,0.59789598,-0.37831140,0.21231785,0.00000000,-0.01895402,0.10000538,-5.43914032,0,14:13:41.7,0,0
18,0.00000000,0.00000000,1.19077921,0.71698999,1.96410239,0.16112348,0.09618977,0.16021857,0.16983743,-0.04134864,-0.12476128,0.00356688,0.15066741,-0.18231489,-0.10423528,-0.17014816,-0.20270756,-0.13564351,-0.18132265,0.10020959,-0.11300126,-0.08636532,-0.10264555,-0.12080213,-0.08997878,0.00000000,0.79108286,0.32981405,1.06279767,0.13793454,0.00000000,0.32239598,0.10000538,0.00000000,0,14:13:41.8,0,0
19,0.00000000,0.00000000,0.00000000,1.06731939,1.96410239,0.18565983,0.08364353,0.15480727,0.06703974,-0.04485175,-0.14231893,-0.00006846,0.19603997,0.00445138,-0.12035371,-0.18378432,-0.22528560,-0.16759057,0.04457032,-0.17680715,-0.17124949,-0.07901242,-0.07938997,-0.16393079,-0.14061807,0.00000000,3.80524111,0.88655472,1.65654635,0.13793454,0.00000000,-0.80912477,0.10000538,0.00000000,0,14:13:41.9,0,0
