Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190225141740
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,  1y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,2000,1409,683,633,928,0,697,641,940,0,877,747,643,609,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0
Signal Check Result,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Over,Over,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,15,15,6,6,124,124,6,6,6,6,30,30,31,31,6,6,24,24,6,6,7,7,15,15,6,6,6,6,6,6,7,7,6,6,7,7,6,6,7,7,6,6,7,7,7,7,7,7,6,6,112,112,24,24,6,6,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,60,60,62,62,62,62,15,15,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,6,6,6,6,31,31,6,6,6,6,6,6,6,6
Digital Gain,40.04,1.00,100.00,1.00,100.00,100.00,100.00,100.00,100.00,100.00,4.25,7.93,6.61,21.08,18.13,47.01,4.17,7.16,1.78,2.17,1.29,27.41,2.95,3.20,1.25,20.76,1.74,35.72,2.22,2.84,4.01,6.36,1.69,51.38,3.44,4.93,1.43,34.44,2.07,88.40,2.68,2.99,3.19,3.52,3.27,4.38,2.76,3.41,1.90,2.78,1.00,1.00,1.87,1.00,100.00,1.00,100.00,100.00,1.00,1.00,100.00,100.00,36.42,55.79,1.00,1.00,100.00,100.00,100.00,1.00,85.93,100.00,8.31,15.02,11.89,25.41,3.62,8.14,3.00,4.76,2.82,3.30,1.15,2.22,1.40,3.19,1.00,1.00,2.25,3.47,1.03,2.54,1.00,8.94,2.10,2.74,3.08,3.47,1.35,1.82,1.29,1.99,2.32,1.00,100.00,1.00,100.00,100.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/02/25 14:17:43
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,-0.07724843,0.00000000,2.42116594,2.28411841,6.73577213,0.13056551,0.30363789,0.00961365,-0.07905100,-0.17519517,-0.04348726,-0.22078712,-0.06795350,-0.48437881,0.11008829,-0.30126050,-0.25462496,-0.12451220,-0.08720497,-0.58262074,-0.02613803,-0.00577812,-0.00785159,-0.02323633,-0.10430181,0.00000000,0.23889598,0.74188328,4.57328463,0.00000000,1.62888741,0.07928050,0.00000000,0.00000000,0,14:17:52.1,0,0
2,-0.07724843,1.33721697,0.11644091,-0.21818294,-1.61609054,-0.02623238,-0.36684662,-0.04448384,-0.17746314,-0.17519517,-0.04828514,-0.21199809,-0.19450243,-0.14381020,0.11427647,-0.34242469,-0.27229550,-0.11081621,-0.17646106,-0.60147268,-0.01843058,-0.05934709,-0.05632563,-0.03309057,-0.10620391,0.00000000,0.23431621,0.74188328,4.57328463,0.00000000,0.04527019,0.31488794,0.00000000,0.00000000,0,14:17:52.2,0,0
3,0.10311642,-2.47824574,2.42116594,-0.68287909,-0.77481735,0.00349186,0.09550372,-0.16120784,-0.14821206,-0.20526271,-0.08157586,-0.22655712,-0.04169476,-0.03863991,0.07975252,-0.30809182,0.28715035,-0.13141923,0.08128136,0.27038535,-0.09037293,-0.03237982,-0.00817442,-0.04755137,-0.09789312,0.00000000,0.20669036,-0.48631883,3.81607604,0.00000000,0.16543549,0.01247936,0.00000000,-2.41935611,0,14:17:52.3,0,0
4,-0.07724843,-0.24640028,0.18914953,-0.19179600,2.03700209,-0.15146695,-0.43814659,-0.16120784,-0.25798982,-0.21333741,-0.12874617,-0.24665816,-0.02121719,0.13509127,0.09693281,-0.28892818,0.28715035,-0.15043382,-0.02438329,-0.30468643,-0.06932130,-0.06965614,-0.03050304,-0.04995061,-0.11554964,0.00000000,0.19753109,-1.48996210,-1.47385299,0.00000000,1.12210310,0.78847355,0.00000000,0.43838739,0,14:17:52.4,0,0
5,-0.07724843,-0.24640028,2.42116594,0.32076421,-0.89498258,-0.16978027,-0.46164215,-0.16120784,-0.35358742,-0.23502526,-0.07031041,-0.27822208,-0.05491551,-0.19091807,0.05475400,-0.34427398,-0.01284504,-0.11004500,0.13012993,-0.33280599,-0.06599458,-0.10661961,-0.03050304,-0.04419493,-0.09684230,0.00000000,0.18838738,-0.48631883,0.75816345,0.00000000,-1.18293190,0.25934190,0.00000000,0.00000000,0,14:17:52.5,0,0
6,-0.07724843,-0.24640028,3.76953340,-0.19179600,0.68863475,0.00042284,-0.50390625,0.13976689,-0.28974873,-0.18338919,-0.10518238,-0.23225346,-0.07566038,-0.18154015,0.07586669,-0.28658101,-0.29433176,-0.13141923,-0.22490801,-0.31411427,-0.06160761,-0.03780257,0.00328404,-0.02388893,-0.10061019,0.00000000,0.21586455,2.32550073,4.57328463,0.00000000,-2.25945520,0.57640308,0.00000000,0.00000000,0,14:17:52.6,0,0
7,-0.07724843,1.33721697,0.18914953,1.03649163,2.92065120,0.10683829,0.09998487,-0.10891207,-0.09467421,-0.20173767,-0.04217731,-0.22392607,0.00298864,-0.29053712,0.15207496,-0.30370006,-0.09798633,-0.12451220,0.08128136,-0.31411427,-0.01067235,-0.01814103,0.00668777,0.00968767,-0.09293731,0.00000000,0.24812405,-1.48996210,-1.47385299,0.00000000,0.04527019,-0.84905225,0.00000000,0.00000000,0,14:17:52.7,0,0
8,-0.07724843,-0.24640028,3.76953340,-0.20390010,0.45338479,0.17407434,-0.05253152,-0.16120784,-0.16438045,-0.18902561,-0.00914341,-0.20984671,0.09993369,-0.07161730,0.19516662,-0.32312629,-0.11565688,-0.04887090,0.11217069,-0.64837950,0.05534767,-0.05568062,-0.05619992,0.02560901,-0.07504018,0.00000000,0.25742516,0.74188328,0.75816345,0.00000000,0.11845978,-0.51079422,0.00000000,0.00000000,0,14:17:52.8,0,0
9,0.10311642,-0.24640028,2.42116594,-0.19179600,-0.89498258,-0.02050477,-0.44602445,-0.07645988,-0.21959522,-0.16238436,-0.05301960,-0.19817212,-0.01729591,-0.04807378,0.18493995,-0.26982212,0.06212840,-0.03633025,0.17897482,-0.31411427,0.04728581,-0.02730812,-0.00810448,0.04551433,-0.06558194,0.00000000,0.27595952,-0.48631883,0.75816345,0.00000000,-0.67583799,0.07928050,0.00000000,0.00000000,0,14:17:52.9,0,0
10,-0.07724843,-0.24640028,1.53751683,-0.79809976,-1.61609054,0.11229519,0.03583324,-0.16120784,-0.04562459,-0.18084095,-0.06731606,-0.23802780,-0.02705623,0.17282122,0.15898378,-0.15246737,0.36236998,-0.08992473,-0.13201518,-0.60147268,0.03965046,-0.00202173,0.00668777,0.01897490,-0.05812501,0.00000000,0.24812405,-0.48631883,0.75816345,0.00000000,-2.18657517,-0.80579090,0.00000000,0.00000000,0,14:17:53.0,0,0
11,-0.07724843,-0.24640028,2.42116594,-0.19179600,0.68863475,0.02068664,-0.27626586,-0.24467114,-0.19007032,-0.19820750,0.00986492,-0.21238290,-0.01729591,-0.37193397,0.14129445,-0.30370006,-0.41579190,-0.08271728,0.03295960,-0.30468643,-0.00289039,-0.05008573,-0.00468195,-0.01738103,-0.06866119,0.00000000,0.23431621,-0.48631883,3.81607604,0.00000000,0.16543549,-0.21680534,0.00000000,-3.64755797,0,14:17:53.1,0,0
12,0.10311642,1.33721697,1.53751683,0.43018785,0.61592597,0.00499050,-0.31321192,-0.13192469,-0.15996580,-0.17519517,-0.06253512,-0.19232875,-0.08750929,0.19175398,0.10608451,-0.19499379,0.30918658,-0.11081621,-0.07836941,-0.30468643,-0.03231995,-0.05378542,-0.02732165,-0.03774665,-0.10995591,0.00000000,0.20669036,2.32550073,4.57328463,0.00000000,1.62888741,0.31424505,0.00000000,0.00000000,0,14:17:53.2,0,0
13,-0.07724843,1.33721697,2.42116594,0.32076421,0.68863475,-0.13343996,-0.43814659,-0.13192469,-0.22324751,-0.19257107,-0.09104252,-0.24063648,-0.06592571,-0.27171743,0.06951308,-0.30587941,-0.30752191,-0.11153840,-0.02879422,-0.64837950,-0.04770693,-0.09085525,-0.06708132,-0.03774665,-0.10620391,0.00000000,0.19753109,-0.48631883,0.75816345,0.00000000,0.04527019,0.30830061,0.00000000,0.00000000,0,14:17:53.3,0,0
14,0.10311642,-1.47460234,2.42116594,-0.68287909,-0.77481735,-0.01055533,-0.01572793,-0.24467114,-0.29567915,-0.23154953,-0.07031041,-0.27558592,0.12265226,0.11164766,0.04311405,-0.32751510,0.25645772,-0.17685468,0.01569878,-0.05396301,-0.07520711,-0.06045451,-0.00817442,-0.06554157,-0.10626211,0.00000000,0.20669036,-1.48996210,2.23245859,0.00000000,0.01195483,-0.64182699,0.00000000,-7.19134903,0,14:17:53.4,0,0
15,0.10311642,-0.24640028,2.42116594,-0.71646029,-2.12318468,0.02068664,-0.17204545,-0.24467114,-0.23312524,-0.19820750,-0.11466679,-0.23496135,0.00298864,0.15863480,0.12230229,-0.21442863,0.29594359,-0.04887090,0.09013572,-0.06794545,0.01258747,-0.04458378,-0.03858474,-0.03955339,-0.10156601,0.00000000,0.21586455,-0.48631883,-1.47385299,0.00000000,1.39363754,-0.48537394,0.00000000,0.00000000,0,14:17:53.5,0,0
16,-0.07724843,1.33721697,2.42116594,-0.21818294,-1.61609054,0.08297754,0.15773736,0.00961365,-0.09726419,-0.17162022,-0.14345050,-0.18392453,-0.01237867,0.13981509,0.18447161,-0.23097262,0.15237150,-0.05678890,-0.07836941,-0.33280599,0.04728581,-0.03405634,-0.04493712,0.00309987,-0.08646142,0.00000000,0.24812405,0.74188328,0.75816345,0.00000000,0.04527019,-0.55841535,0.00000000,0.00000000,0,14:17:53.6,0,0
17,0.10311642,-1.47460234,2.42116594,-1.32276404,-0.64407623,-0.14076816,-0.74358529,-0.07645988,-0.31886238,-0.16597444,0.01458305,-0.18978910,0.04680510,-0.28113550,0.18706904,-0.30370006,-0.42463392,-0.00788258,0.05519148,-0.00713591,0.07097112,0.02657510,0.03563466,0.04551433,-0.04763909,0.00000000,0.29455650,0.74188328,0.75816345,0.00000000,0.16543549,-0.53003359,0.00000000,0.00000000,0,14:17:53.7,0,0
18,-0.07724843,-0.24640028,2.42116594,-0.79809976,-1.61609054,0.01843346,-0.47888350,-0.13192469,-0.28138414,-0.17088877,-0.14823145,-0.24063648,-0.10216051,-0.16741470,0.17081448,-0.28426519,-0.10682837,-0.04215037,-0.06946523,-0.30468643,0.06176441,0.01034118,0.00645677,0.03622710,-0.07504018,0.00000000,0.30387843,0.74188328,4.57328463,0.00000000,0.16543549,-0.15882967,0.00000000,0.00000000,0,14:17:53.8,0,0
19,0.10311642,-2.47824574,2.42116594,-1.80174303,-1.87227833,-0.26015562,-0.98522699,-0.13192469,-0.40232593,-0.16623642,-0.14345050,-0.24045646,-0.11188669,-0.14856276,0.13323605,-0.26715478,0.03113952,-0.03633025,0.04183048,-0.30468643,0.05508641,-0.03405634,0.00328404,-0.02323633,-0.10337657,0.00000000,0.25742516,0.74188328,0.75816345,0.00000000,1.39363754,-0.53003359,0.00000000,0.00000000,0,14:17:53.9,0,0
