Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190218142516
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,  1y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,2000,1409,618,595,718,0,642,609,585,0,662,621,573,568,1599,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,112,112,6,6,49,49,6,6,6,6,7,7,7,7,7,7,24,24,6,6,7,7,15,15,12,12,7,7,7,7,6,6,6,6,7,7,7,7,7,7,12,12,6,6,6,6,22,22,12,12,6,6,6,6,31,31,6,6,98,98,6,6,31,31,6,6,31,31,6,6,6,6,60,60,62,62,7,7,24,24,15,15,6,6,7,7,6,6,12,12,6,6,7,7,15,15,22,22,7,7,6,6,6,6,6,6,6,6,6,6,6,6
Digital Gain,1.00,1.00,100.00,1.00,5.47,10.99,100.00,100.00,100.00,100.00,5.08,7.67,4.04,8.91,2.46,4.49,9.39,12.98,2.83,2.48,1.65,38.67,5.36,3.73,1.54,27.81,2.35,45.25,2.59,3.03,3.70,6.36,1.64,44.68,4.76,6.26,3.04,100.00,2.08,85.33,4.91,4.38,3.26,4.14,2.57,2.31,4.20,4.46,3.48,3.42,100.00,100.00,1.39,27.84,2.11,100.00,100.00,100.00,1.00,1.00,100.00,100.00,35.34,47.01,100.00,100.00,100.00,100.00,100.00,1.00,39.94,69.66,7.43,13.55,8.80,23.75,2.72,5.50,3.43,3.75,4.24,3.23,1.03,17.32,1.36,29.53,12.56,18.68,2.34,3.65,1.00,20.57,1.28,25.64,2.43,2.91,2.65,3.05,3.72,3.28,2.28,2.75,1.13,28.17,100.00,100.00,100.00,100.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/02/18 14:25:18
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.00000000,0.00000000,-0.01034582,0.39588782,2.53404713,-0.19086884,-0.13895825,0.09826688,-0.30636457,0.01869112,0.07742485,-0.06355006,-0.07919286,0.31052977,0.17896053,-0.10516587,0.09329850,-0.07115044,-0.00599772,-0.17530783,-0.05900655,-0.29160783,-0.25427431,-0.54562771,-0.36448142,-0.24420600,-0.08804544,0.02465751,0.05151561,0.00000000,-1.46306562,-0.91009742,-3.86025643,-4.06834507,0,14:25:28.1,0,0
2,0.00000000,0.00000000,0.06913350,0.92055213,2.53404713,-0.10647057,-0.12195686,0.14391054,-0.29662150,0.05081536,0.08639703,0.00971369,0.09129914,0.06266898,0.29334137,-0.14146073,-0.29686552,0.02524493,-0.00599772,-0.17530783,0.08142065,-0.25742584,-0.25093773,-0.55216414,-0.35468742,-0.82412267,0.05352839,0.47786433,-1.17677200,0.00000000,0.09985404,-0.91566890,2.40367389,-6.83346558,0,14:25:28.2,0,0
3,0.00000000,0.00000000,0.08159716,1.05641317,4.92809200,-0.01270969,-0.02511694,0.13776557,-0.12438582,0.06575436,0.00693321,-0.02399107,0.18593954,0.37375349,0.30714861,-0.00381486,0.12915878,0.04251762,0.07955510,-0.41681966,0.08142065,-0.20989773,-0.20617321,-0.48722279,-0.30745158,0.18256390,-0.32790756,0.32470828,0.18027841,0.00000000,-0.81469476,-0.96546829,0.00000000,0.00000000,0,14:25:28.3,0,0
4,0.00000000,0.00000000,0.33397087,0.47649637,1.11297095,0.00082552,-0.01247323,0.17305611,-0.07229576,0.10417517,-0.18228549,0.14476223,-0.08352929,-0.27369785,0.36746272,-0.09308628,-0.52693188,0.19184352,0.12283555,-0.39425996,0.28317913,-0.17145056,-0.19252481,-0.42772672,-0.27926967,-0.31733829,-0.48299763,-0.11178368,1.29042661,0.00000000,1.03051996,-0.24809705,0.00000000,0.00000000,0,14:25:28.4,0,0
5,0.00000000,0.00000000,0.17283538,0.47649637,1.18567991,-0.03911132,-0.05981712,0.13776557,-0.21414694,0.06549917,0.00693321,0.05774464,-0.12116847,-0.11615366,0.32310781,-0.05531761,-0.37534648,0.04079368,0.12283555,-0.39425996,0.09710944,-0.17145056,-0.21033472,-0.41412294,-0.28532228,-1.90087008,-0.24489972,-0.35822755,-0.56168187,0.00000000,-0.82158852,0.02782034,0.00000000,0.00000000,0,14:25:28.5,0,0
6,0.00000000,0.00000000,0.15495835,0.92055213,4.76606369,-0.04236559,-0.07058127,0.13025981,-0.18031356,0.07091855,0.09991094,-0.06283175,0.06339312,0.25078014,0.24486805,-0.03667986,0.12915878,0.15223959,5.87224817,-1.00759983,0.16913542,-0.22816996,-0.23155576,-0.39434797,-0.28532228,0.18256390,-0.14916490,0.18932284,1.02874362,0.00000000,-0.81469476,-0.57381481,-3.86025643,0.00000000,0,14:25:28.6,0,0
7,0.00000000,-1.40282428,0.02699039,-0.08309118,-0.39793739,-0.06441280,-0.02011209,0.14543051,-0.11624501,0.04136529,0.17168555,-0.02399107,0.20616899,0.10322105,0.27390689,-0.08791541,-0.14158165,0.13330595,0.05090912,0.56482321,0.12334995,-0.16077739,-0.16626775,-0.45840842,-0.29626745,-0.24420600,0.13716722,0.46121997,0.56407583,0.00000000,0.09985404,-0.06462056,-1.41144693,-3.92223024,0,14:25:28.7,0,0
8,0.00000000,0.00000000,0.10668372,0.47649637,3.41769648,-0.08535866,-0.06417067,0.11927814,-0.17019768,0.02836846,-0.12733072,-0.02484178,0.18315619,0.11676796,0.25533289,-0.05753013,-0.01514590,0.11038943,0.52052760,-0.68270898,0.13141349,-0.24459849,-0.22396332,-0.49788940,-0.33113635,-1.90087008,-0.55143374,-0.19848055,-1.29674840,0.00000000,-0.82158852,-0.38223681,0.00000000,0.00000000,0,14:25:28.8,0,0
9,0.00000000,0.00000000,-0.04493415,-1.16703188,1.57407117,-0.12769161,-0.14572959,0.09640068,-0.21414694,0.02836846,-0.24104935,0.12229484,0.49483564,0.10322105,0.31056228,-0.07141950,-0.13256100,0.03140255,0.05090912,-0.67367041,0.04964107,-0.23659594,-0.18908459,-0.40082151,-0.24001358,-2.62206364,-0.54787868,-0.75397891,0.28678337,0.00000000,0.07385226,1.10747731,0.00000000,0.00000000,0,14:25:28.9,0,0
10,0.00000000,-1.40282428,0.02622793,-1.03970718,-2.70266271,-0.12524241,-0.14572959,0.12855294,-0.36527210,0.05124919,0.00693321,0.01682790,0.23861900,-0.04908215,0.29274181,-0.09057003,-0.03746705,-0.04931150,-0.07627083,-0.42580682,0.01060495,-0.23376705,-0.20694335,-0.40082151,-0.27704319,-0.55250263,-0.18821740,0.29289341,0.05151561,0.00000000,0.30416912,0.24986014,0.00000000,-0.80679750,0,14:25:29.0,0,0
11,0.00000000,0.00000000,0.10338674,-0.04816792,1.18567991,-0.02177696,-0.05432712,0.17634226,-0.16589454,0.08859304,0.02951127,0.02733367,-0.29902923,-0.01295694,0.28284979,-0.05322383,-0.02409646,0.14209352,0.05090912,0.12877816,0.16913542,-0.16061912,-0.17625277,-0.31553400,-0.23451658,-1.16580343,-0.06573475,-0.37512109,0.18027841,0.00000000,-0.07962821,0.26283619,0.00000000,0.00000000,0,14:25:29.1,0,0
12,0.00000000,-5.21794558,0.03084117,-0.96771073,-1.62613952,-0.14662813,-0.12867552,0.12845232,-0.28752971,0.03697704,-0.00661394,0.08788002,0.19998138,0.11676796,0.34439602,-0.05535581,0.09774056,0.14209352,0.52052760,-0.15737808,0.18037836,-0.19903074,-0.21033472,-0.37290901,-0.22833905,-0.24420600,0.09492285,0.13746864,-0.59685522,0.00000000,1.03923571,-0.58584851,3.95920515,-6.64491463,0,14:25:29.2,0,0
13,0.00000000,-7.44996166,-0.00679852,-0.93160528,-1.28141546,-0.10657971,-0.05432712,0.14391054,-0.16589454,0.02836846,0.18961529,-0.08594465,0.36311635,0.31950933,0.28190055,-0.07141950,0.19480126,0.08756791,0.50634116,0.72517967,0.03948601,-0.19878952,-0.20873892,-0.39934525,-0.27535307,-0.24420600,0.24165691,0.37474751,-0.08429502,0.00000000,-0.92411852,-0.85559332,-5.94818878,-5.31616354,0,14:25:29.3,0,0
14,0.00000000,-7.44996166,0.02280009,-0.91971338,-1.17321301,-0.14883177,-0.09198185,0.12275890,-0.38218653,0.01878687,0.28718227,-0.07578256,0.69036043,0.19653596,0.29690093,-0.10842084,0.19480126,0.18445300,5.84391165,0.73415184,0.15654907,-0.21241485,-0.21379241,-0.47126549,-0.34658346,-0.60682672,0.32081962,-0.10112908,-0.66421181,0.00000000,-1.44878280,-0.43940061,-7.53180552,-5.39768791,0,14:25:29.4,0,0
15,0.00000000,0.00000000,0.18246424,-0.03606384,-1.11904550,-0.14416039,-0.15950866,0.12845232,-0.40016982,0.05986275,-0.20046395,-0.00040813,-0.44941512,-0.13886206,0.24486805,-0.07189979,-0.15053220,0.12585975,0.09396404,-0.99857610,0.11846693,-0.22816996,-0.21035624,-0.43858317,-0.28197467,-2.62206364,-0.48861489,-0.33970174,-0.66988420,0.00000000,1.77248025,0.50159323,0.00000000,0.00000000,0,14:25:29.5,0,0
16,0.00000000,0.00000000,-0.00680533,-0.03606384,1.11297095,-0.06410854,-0.08133165,0.12845232,-0.18031356,0.05104345,-0.08674532,-0.01307042,-0.03320610,-0.01295694,0.22340924,-0.07402605,-0.03746705,0.02022370,-0.04828079,-0.16635026,0.07306452,-0.25467342,-0.22308561,-0.44623780,-0.29807815,-4.20559549,-0.21588802,0.12181047,-1.29674840,0.00000000,-0.20839106,0.09350035,-3.86025643,-0.59681904,0,14:25:29.6,0,0
17,0.00000000,-1.40282428,0.11007967,0.39588782,0.95042998,-0.12771986,-0.10893089,0.11189189,-0.19871958,0.03296107,0.09991094,-0.03293343,0.14643231,-0.19310622,0.20461206,-0.12491675,-0.29686552,0.13330595,0.05090912,0.07922060,0.14542706,-0.26476651,-0.21885358,-0.48819959,-0.32063964,1.13923144,-0.04398150,0.38656157,0.78658211,0.00000000,-0.85676187,-0.08532940,-7.67537737,-0.78609997,0,14:25:29.7,0,0
18,0.00000000,0.00000000,0.08616850,-1.16703188,-1.11904550,-0.01774554,-0.04701012,0.15164240,-0.05640449,0.07984556,-0.04585847,0.08089355,-0.13524620,-0.34600493,0.26328841,-0.17764291,-0.47361913,0.12932308,4.13122845,-0.39425996,0.17043921,-0.19612493,-0.19057503,-0.39679852,-0.26136911,-1.16580343,-0.11319532,-0.56149477,-0.56168187,0.00000000,-0.81469476,-0.22346796,-3.86025643,3.56240964,0,14:25:29.8,0,0
19,0.00000000,-7.44996166,0.05636330,-0.13197236,0.67889553,-0.08230243,-0.08774182,0.14227113,-0.29662150,0.05124919,0.12698242,0.03961201,0.35763621,0.35108185,0.32744107,-0.03885989,0.28613859,-0.00242885,-0.09024153,-0.15737808,0.00721650,-0.18525794,-0.17425452,-0.36651060,-0.27066395,-1.78079021,0.30771273,-0.03390921,-1.17677200,0.00000000,0.74822485,-0.57015532,6.26393032,-4.21158266,0,14:25:29.9,0,0
