Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190225133828
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,  1y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,2000,1409,648,612,783,0,697,641,775,0,857,736,663,621,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,98,98,6,6,112,112,6,6,6,6,24,24,6,6,6,6,28,28,6,6,7,7,15,15,12,12,7,7,6,6,7,7,7,7,7,7,7,7,24,24,6,6,12,12,7,7,7,7,6,6,72,72,7,7,98,98,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,60,60,24,24,6,6,15,15,7,7,6,6,6,6,120,120,7,7,6,6,7,7,7,7,12,12,6,6,6,6,7,7,6,6,6,6,6,6,6,6
Digital Gain,1.00,1.00,100.00,1.00,1.00,1.00,100.00,100.00,100.00,100.00,4.94,12.95,2.24,5.02,1.55,2.95,6.65,14.58,2.09,2.57,1.47,33.23,3.59,3.81,1.38,27.95,2.13,49.90,1.95,2.52,4.96,7.46,1.72,59.50,3.51,4.91,3.01,100.00,1.63,94.07,2.82,3.05,2.68,2.89,2.67,3.56,3.20,4.00,1.96,2.98,1.00,1.00,1.84,69.22,1.00,1.00,100.00,1.00,1.00,1.00,100.00,100.00,67.05,95.07,1.00,1.00,1.00,1.00,100.00,1.00,97.62,100.00,6.50,14.49,3.22,8.31,1.70,3.38,3.69,5.65,4.15,4.61,1.00,9.39,1.00,4.87,1.00,1.00,2.48,3.90,1.00,19.23,1.22,27.79,2.24,2.75,2.35,2.57,1.27,1.84,1.12,1.97,1.87,1.00,100.00,100.00,100.00,100.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/02/25 13:38:35
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.00000000,-1.14032757,0.00000000,-0.61945069,-1.74904573,0.14106779,0.23148613,0.11256067,0.19288698,-0.12550354,-0.17072658,0.13637763,-0.09690399,-0.32319313,0.65807557,-0.18011793,-0.19728191,-0.05459132,-1.48678875,0.05720181,-0.05636659,-0.05096231,-0.00388760,0.00057586,0.00318837,0.00000000,0.02609265,0.00000000,0.00000000,0.00000000,0.52446240,0.67263246,0.00000000,0.86428142,0,13:38:44.1,0,0
2,0.00000000,-3.37217283,4.24483824,-1.14411497,-1.74904573,0.03312987,0.18017296,0.10317505,0.04219751,-0.13067098,-0.02856531,0.09153348,0.28360298,-0.07623144,0.63810486,-0.20264111,-0.03449523,-0.04443038,0.04978162,0.46656299,-0.07321262,-0.06858796,-0.00172812,-0.03814256,-0.00576220,0.00000000,0.02609265,0.00000000,-5.55793095,0.00000000,-1.70738316,-0.94229710,0.00000000,-5.52277136,0,13:38:44.2,0,0
3,0.00000000,0.44328976,0.00000000,0.60883695,1.06277370,-0.05855639,0.14757955,0.09314924,-0.06997822,-0.15635093,-0.01581561,0.09392795,-0.12881665,-0.33145162,0.57547653,-0.24439879,-0.38948536,-0.04479685,-1.44708192,-0.24787931,-0.07010238,-0.10072365,-0.01436831,-0.05656347,-0.03340535,0.00000000,-0.45061266,0.00000000,0.00000000,0.00000000,-3.12863040,0.06721537,0.00000000,0.00000000,0,13:38:44.3,0,0
4,0.00000000,0.44328976,5.19459391,0.60883695,1.06277370,0.28699675,0.27019769,0.08845314,0.32050386,-0.14738145,-0.01152374,-0.02748494,-0.01685267,-0.46220249,0.51945180,-0.24417375,-0.38483664,-0.12580273,-1.49997890,-0.08570468,-0.15912981,-0.05652702,0.01825486,-0.02435784,-0.02541165,0.00000000,-0.28438330,0.00000000,0.00000000,0.00000000,3.06474710,-0.23090637,0.00000000,0.00000000,0,13:38:44.4,0,0
5,0.00000000,0.44328976,0.00000000,-0.03953389,1.06277370,0.37369835,0.29437381,0.13199896,0.32516107,-0.09806594,-0.21791667,0.10399495,-0.37958297,-0.19742018,0.62137866,-0.13479392,-0.18334657,-0.05505672,-1.44708192,-0.26735875,-0.05552616,-0.05886730,-0.00006765,-0.01610707,0.00225115,0.00000000,-0.31297967,0.00000000,0.00000000,0.00000000,2.10807967,0.67946857,0.00000000,0.00000000,0,13:38:44.5,0,0
6,0.00000000,-2.36852956,2.00155115,-1.14411497,-4.05377102,0.33832973,0.28226545,0.11856861,0.24182580,-0.10985543,-0.04590023,0.13324079,0.08799804,-0.30246735,0.69076830,-0.19903518,-0.53476638,-0.03294263,-2.13563108,-0.08570468,-0.01507663,-0.10066130,-0.06273790,-0.01882823,-0.02451293,0.00000000,-0.17456937,0.00000000,0.00000000,0.00000000,-0.75071549,0.78643662,0.00000000,0.00000000,0,13:38:44.6,0,0
7,0.00000000,6.49042702,0.00000000,1.34390342,7.10991096,0.22505166,0.23752747,0.13199896,0.07114507,-0.09685726,-0.11915037,0.10451770,-0.07398747,-0.17669439,0.64866585,-0.17632654,-0.32903489,-0.00498264,-1.38027847,-0.04263489,-0.01418720,-0.01983226,0.00777414,-0.00493887,0.00225115,0.00000000,-0.01094809,0.00000000,0.00000000,0.00000000,0.75971222,0.07317779,0.00000000,0.00000000,0,13:38:44.7,0,0
8,0.00000000,0.44328976,0.42937586,0.60883695,1.06277370,0.45987719,0.33360791,0.13274282,0.34945142,-0.10205668,0.03563995,0.02293344,-0.33230290,-0.43321821,0.59853625,-0.15412052,-0.52074832,-0.03294263,-2.14904594,-0.75670403,-0.02968930,-0.06606091,-0.04063373,-0.01610707,-0.03165147,0.00000000,-0.26303044,0.00000000,0.00000000,0.00000000,0.75971222,-0.74348491,0.00000000,0.00000000,0,13:38:44.8,0,0
9,0.00000000,2.67530608,0.00000000,1.12139714,3.29479027,0.28021830,0.27826655,0.11791959,0.22688308,-0.11603969,-0.05882296,0.05159504,-0.18267357,-0.04720354,0.57077384,-0.13479392,-0.15073155,-0.05089302,-2.16242886,-0.56675643,-0.07399303,-0.11420845,-0.07057969,-0.03814256,-0.03428971,0.00000000,0.05876283,0.00000000,0.00000000,0.00000000,-0.70373976,0.47118664,0.00000000,-0.83162451,0,13:38:44.9,0,0
10,0.00000000,0.44328976,-0.92580032,-0.64583760,-1.24195158,-0.05855639,0.15177968,0.10317505,-0.08122981,-0.11603969,-0.07166150,0.08339757,-0.12424468,-0.31492224,0.59579378,-0.22165056,-0.35235944,-0.04056056,-0.84077805,-0.57459134,-0.10502150,-0.13129319,-0.08371806,-0.07026821,-0.05205802,0.00000000,-0.18075825,0.00000000,0.00000000,0.00000000,0.52446240,-0.23090637,0.00000000,0.00000000,0,13:38:45.0,0,0
11,0.00000000,-1.14032757,0.00000000,-1.22575438,-1.14995384,0.06882975,0.16882285,0.12595832,-0.02481967,-0.10825774,-0.08022208,0.04647365,-0.42992371,-0.09273540,0.56539345,-0.18342640,-0.01130851,-0.05505672,-2.18904209,-0.09741007,-0.09392076,-0.07365216,-0.04717346,-0.05656347,-0.04411606,0.00000000,-0.00472073,0.00000000,-1.74280977,0.00000000,-0.70373976,0.78643662,0.00000000,1.98197830,0,13:38:45.1,0,0
12,0.00000000,0.44328976,5.19459391,-0.64583760,-1.24195158,0.08139231,0.19413312,0.14833708,-0.03110433,-0.10205668,-0.03294776,0.06225170,-0.15524206,0.06144990,0.64258122,-0.09283322,0.01661042,0.02769672,-0.28822187,0.11197699,0.00353319,-0.05634313,-0.03403509,0.04176893,0.01220900,0.00000000,0.05423617,0.00000000,0.00000000,0.00000000,-1.70738316,-0.51987958,0.00000000,0.00000000,0,13:38:45.2,0,0
13,0.00000000,-1.14032757,0.00000000,0.33716527,0.82752395,0.35335559,0.28625906,0.14695363,0.22688308,-0.10586654,-0.09751245,0.14394808,0.24363872,-0.03056227,0.68414295,-0.11557920,0.18220456,0.05999981,-0.23442006,-0.34768391,0.04762266,-0.06701089,-0.04956875,-0.02999642,-0.02273024,0.00000000,0.01787598,0.00000000,0.00000000,0.00000000,0.25292784,-0.31225082,0.00000000,1.46642947,0,13:38:45.3,0,0
14,0.00000000,6.49042702,-0.92580032,0.73759973,6.48080063,-0.05495819,0.13770147,0.15453203,-0.21247286,-0.10205668,0.07023036,0.07582074,-0.13224906,0.08639328,0.65739030,-0.11557920,0.19155031,0.01721984,-2.10875797,-0.32788226,-0.00270616,-0.05789712,-0.02756773,-0.00864285,-0.01191334,0.00000000,-0.37278250,0.00000000,-1.74280977,0.00000000,-0.70373976,-0.93413222,0.00000000,0.00000000,0,13:38:45.4,0,0
15,0.00000000,0.44328976,0.00000000,-0.64583760,0.43366337,0.10536791,0.23906046,0.16120121,0.25229815,-0.09685726,-0.08884393,0.14406013,-0.05560801,-0.00545327,0.64341247,-0.06615724,-0.10852081,-0.00103387,-2.10875797,-0.25604025,-0.02310141,0.02841279,0.05388026,0.04996237,0.02022235,0.00000000,0.36984345,0.00000000,0.00000000,0.00000000,0.52446240,-0.74348491,0.00000000,0.00000000,0,13:38:45.5,0,0
16,0.00000000,-1.14032757,2.95130682,-0.03953389,-0.52084351,0.27539915,0.26066536,0.15642814,0.31032878,-0.08905667,0.05722691,0.09426835,0.12295852,-0.13500729,0.62635660,-0.13137454,-0.31032756,-0.01915790,-1.38027847,-0.46377754,-0.04420306,-0.00043605,0.00777414,-0.01882823,-0.03165147,0.00000000,-0.21230513,0.00000000,-1.74280977,0.00000000,-2.05210710,0.67263246,0.00000000,0.00000000,0,13:38:45.6,0,0
17,0.00000000,0.44328976,0.00000000,0.47302631,1.06277370,0.15172307,0.24391979,0.12330895,0.13744293,-0.13067098,-0.11486167,0.02293344,-0.50974482,-0.26918411,0.55021328,-0.15358056,-0.50204098,-0.02303809,-0.80078208,-0.30800912,-0.05636659,-0.03602676,-0.03540951,-0.02160912,-0.01469793,0.00000000,0.15022837,0.00000000,0.00000000,0.00000000,0.75971222,-1.44429350,0.00000000,0.00000000,0,13:38:45.7,0,0
18,0.00000000,2.67530608,-0.92580032,1.34390342,3.29479027,0.24149215,0.24862553,0.16260922,0.28026631,-0.08905667,-0.01566588,0.08327129,-0.14144662,-0.28585061,0.63747311,-0.15358056,-0.51140261,-0.02923343,-3.09229898,-0.30405545,-0.01507663,-0.01667017,0.00777414,-0.01992160,-0.02181311,0.00000000,-0.01372225,0.00000000,0.00000000,0.00000000,2.10807967,-0.47543412,0.00000000,0.00000000,0,13:38:45.8,0,0
19,0.00000000,-2.36852956,0.00000000,-0.63155472,-1.74904573,0.51553112,0.36553559,0.16260922,0.44630501,-0.10706013,0.04090587,0.13651817,-0.15045141,-0.02222242,0.65390861,-0.13137454,-0.14138579,0.05024477,-0.73343301,0.02463355,0.02990227,-0.05233414,-0.04956875,0.05878185,0.05276107,0.00000000,0.36984345,0.00000000,4.55149508,0.00000000,0.99488819,0.29480684,9.09332752,-2.47168899,0,13:38:45.9,0,0
20,0.00000000,0.44328976,4.24483824,0.47302631,1.06277370,0.31327912,0.29588276,0.16878201,0.36568180,-0.09685726,-0.02336598,0.13637763,0.01858707,-0.08037940,0.67497361,-0.06141369,0.07293528,0.05000121,-1.31259859,-0.08557221,0.05355167,-0.00424854,-0.00515181,0.03629708,0.02959399,0.00000000,0.01787598,0.00000000,0.00000000,0.00000000,0.52446240,0.12809056,0.00000000,0.00000000,0,13:38:46.0,0,0
