Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190218134542
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,  1y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,2000,1409,638,607,628,0,617,594,565,0,607,588,578,571,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,62,62,6,6,24,24,6,6,6,6,15,15,31,31,6,6,31,31,6,6,12,12,24,24,15,15,7,7,15,15,7,7,6,6,12,12,15,15,15,15,15,15,12,12,6,6,31,31,15,15,49,49,7,7,15,15,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,60,60,62,62,62,62,31,31,15,15,15,15,24,24,6,6,15,15,6,6,15,15,98,98,124,124,12,12,6,6,6,6,6,6,6,6,6,6,6,6
Digital Gain,1.00,1.00,100.00,1.00,29.79,46.28,100.00,100.00,100.00,100.00,5.48,9.09,8.34,22.13,13.31,31.04,8.34,13.69,1.91,1.90,1.35,29.33,3.31,2.55,1.65,34.40,2.95,56.14,3.01,3.57,4.11,7.32,2.17,69.52,4.10,5.74,3.42,1.00,2.77,100.00,10.44,8.37,4.03,4.68,3.42,3.58,7.62,7.19,4.00,3.96,1.00,1.00,1.81,47.60,1.76,100.00,100.00,100.00,81.85,1.00,100.00,100.00,61.98,100.00,1.00,100.00,100.00,100.00,100.00,1.00,100.00,100.00,6.38,12.61,10.55,29.72,3.19,6.82,2.94,3.60,3.22,2.78,1.72,39.89,1.20,21.93,28.08,50.72,2.13,3.48,1.18,28.56,1.93,44.80,3.63,3.64,17.51,17.53,2.39,2.33,2.12,2.73,1.09,24.91,60.38,100.00,100.00,100.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/02/18 13:47:28
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.00000000,5.21254349,-0.22807246,1.36861742,4.89520264,0.12611334,0.29179776,0.49245366,0.48004821,0.31295934,0.48877069,0.56400353,0.93647164,0.76082814,0.68305737,-0.20605336,0.23685487,0.47793245,-0.21906011,0.45736375,0.75350171,0.15266281,0.03605875,0.49022913,0.60500097,-0.76959771,0.25731412,-0.20125256,-0.54573190,0.37413734,1.16634226,0.50520462,4.00867081,2.32213998,0,13:47:37.1,0,0
2,0.00000000,5.21254349,0.52432364,1.36861742,4.89520264,0.12645157,0.21443306,0.33100149,0.38178515,0.31952697,0.53393686,0.69363809,0.65408260,0.40781742,0.81689036,-0.16470100,-0.31868127,0.49712443,-0.07420842,0.47058561,0.76759064,0.10583447,-0.05969101,0.81970459,0.73505980,-1.29051089,-0.37543458,-0.66315174,0.20486292,1.06469226,0.69591641,0.01983300,0.00000000,1.48072898,0,13:47:37.2,0,0
3,0.00000000,-2.41821122,-0.36924711,-0.08217649,-0.14863299,0.02988089,-0.05877496,0.38697007,0.26439756,0.31295934,0.43025565,0.71807438,0.25177795,0.14248219,0.80907333,-0.27018902,-0.86596358,0.54769605,-0.06122474,0.54598767,0.84740859,0.24731785,0.04343281,0.65196604,0.69194341,-1.33968687,0.43736941,0.31383467,0.17537613,0.70861900,-1.53592908,-0.55778068,-2.07743335,-1.74914420,0,13:47:37.3,0,0
4,0.00000000,-2.41821122,0.47603649,-0.08217649,0.80803460,0.01799942,0.03023433,0.39953357,0.30141127,0.30514801,0.52044505,0.65645427,0.76539838,0.71275985,0.76101190,-0.22739717,0.09069435,0.51627481,-0.07420842,0.47058561,0.73382843,0.17681773,-0.01561984,0.42078391,0.55789077,-1.50207710,0.60210246,0.66988719,0.24856584,0.70861900,0.42438194,-0.75808042,1.70394564,-2.38884687,0,13:47:37.4,0,0
5,0.00000000,-0.83459401,0.28501958,-0.01481989,-0.26879820,0.08298552,0.19784613,0.33100149,0.38183627,0.32337478,0.49805048,0.71833962,0.10139678,-0.05571540,0.75956339,-0.27036211,-0.59170383,0.63124126,-0.03090127,0.53258342,1.01606321,0.24755646,0.05706649,0.66783345,0.70796263,-1.45737195,-0.44315785,-0.15059158,1.68628442,1.06469226,0.69591641,-0.57671386,0.00000000,0.00000000,0,13:47:37.5,0,0
6,0.00000000,-3.64641356,0.00258206,-0.60684073,-1.15227616,0.06566042,0.17724755,0.34808797,0.33149466,0.29674119,0.57754850,0.70094371,0.87770212,0.80378747,0.73303777,-0.24557625,0.07099894,0.48685846,-0.16413859,0.42227706,0.70150119,0.12526256,-0.02837938,0.25204322,0.46535996,-1.74987042,0.62108368,0.23273930,-1.05282593,0.37413734,-1.53592908,-0.67838663,-2.97049451,-2.38184214,0,13:47:37.6,0,0
7,0.00000000,-0.83459401,0.13949539,0.94179606,2.03623676,0.07561344,0.18154781,0.39953357,0.41112393,0.29025793,0.55556524,0.63554096,0.00772732,0.40709388,0.65718049,-0.31168753,-0.20877938,0.42749384,-0.13432460,0.40046784,0.70899105,0.05960264,-0.07222452,0.59360808,0.61139494,-0.76959771,-0.42991227,0.23273930,1.75899339,1.06469226,0.69591641,-0.52175534,0.00000000,9.78329182,0,13:47:37.7,0,0
8,0.00000000,1.39742243,0.00512376,0.63355094,1.31481910,0.04634001,0.09608790,0.29801023,0.38895580,0.24388422,0.43584779,0.67038620,-0.14668615,0.01627110,0.52941263,-0.29159632,-0.71882951,0.37379551,-0.26516360,0.37444261,0.72912240,0.03006197,-0.08381771,0.56898636,0.60436207,2.80209637,-1.09855962,-0.68854052,2.43687940,1.44540155,0.93116623,0.25691035,0.00000000,0.00000000,0,13:47:37.8,0,0
9,0.00000000,-2.41821122,0.51447910,0.36187929,0.80803460,0.21218655,0.35241705,0.31702381,0.44404072,0.27086723,0.52839440,0.74836522,0.38063011,0.01627110,0.70235485,-0.28815651,-0.94921768,0.41710243,-0.14713721,0.44858456,0.70899105,0.23436846,0.02307506,0.55999768,0.63968337,-0.50709504,0.31333232,-0.16074845,0.17537613,1.06469226,-0.65245098,-1.06736588,0.00000000,5.96817017,0,13:47:37.9,0,0
10,0.00000000,1.39742243,-0.21140318,2.32523346,5.85187054,0.20363095,0.18154781,0.31702381,0.49696177,0.29674119,0.49805048,0.74836522,0.51536727,0.24871416,0.73449111,-0.24747375,-0.41713497,0.42749384,-0.09143619,0.42227706,0.65070039,0.22188739,-0.01563591,0.59990245,0.62224418,-0.76959771,0.30854809,-0.16074845,0.17537613,1.06469226,0.69591641,-0.26542354,0.00000000,0.07834887,0,13:47:38.0,0,0
11,0.00000000,5.21254349,0.11097626,2.32523346,2.66318655,0.05545885,-0.00671861,0.26105526,0.30730343,0.30514801,0.49805048,0.75692779,0.11056347,0.46983761,0.77828169,-0.20462030,-0.15504231,0.54769605,-0.03090127,0.37444261,0.84740859,0.14726213,-0.06916463,0.50935215,0.56634420,-1.87924862,0.14278865,0.66988719,1.52374351,1.06469226,-2.95717621,-1.77150011,0.00000000,0.92433453,0,13:47:38.1,0,0
12,0.00000000,-3.64641356,-0.74328607,-0.60684073,-1.15227616,-0.01117848,-0.15969712,0.26105526,0.14739010,0.27721727,0.54171264,0.71229661,0.82335407,0.69994622,0.74225229,-0.26959452,0.17368944,0.45919603,-0.19379196,0.35282177,0.67677826,0.09628380,-0.12286627,0.36520213,0.43005002,-2.53725624,1.24737835,0.97475129,-0.70810187,0.37413734,-0.57926142,-0.67838663,-2.07743335,-2.61401463,0,13:47:38.2,0,0
13,0.00000000,5.21254349,-0.02263562,0.63355094,3.54683542,0.10472938,0.08132274,0.33100149,0.37693670,0.30192879,0.55121154,0.69076788,-0.00110110,-0.04059576,0.70235485,-0.35428447,-0.48982167,0.52494156,-0.17688206,0.40922475,1.00093162,0.09249531,-0.06273573,0.56171471,0.53034621,-1.73692238,-0.37819538,-0.72387666,2.43687940,1.06469226,-1.37355900,1.51438069,0.00000000,0.00000000,0,13:47:38.3,0,0
14,0.00000000,5.21254349,0.62344843,0.76231378,1.24211025,0.13795900,0.18154781,0.22853813,0.53185427,0.27086723,0.48583418,0.57759440,-0.02779762,-0.78002352,0.62295562,-0.43426079,-1.30359232,0.54769605,-0.23589326,0.32702026,0.78791463,-0.15243231,-0.22284472,0.42078391,0.45468509,-2.34853530,-0.94362038,-0.75898772,-0.54573190,1.44540155,-1.37355900,2.12068439,0.00000000,-1.29875708,0,13:47:38.4,0,0
15,0.00000000,-0.83459401,-0.48195097,0.94179606,2.03623676,0.07158167,0.16125299,0.19267485,0.44404072,0.27989092,0.49260306,0.61635816,0.29534054,-0.10199840,0.65124947,-0.37168670,-0.72847891,0.58725119,-0.29010698,0.40046784,0.72927523,-0.10387215,-0.16469303,0.29922250,0.42188582,-2.48635721,0.71617806,0.15282130,0.17537613,0.70861900,-0.53228575,-0.74155629,0.00000000,-0.63610560,0,13:47:38.5,0,0
16,0.00000000,-3.64641356,0.78045964,-0.59473670,-0.14863299,0.14352952,0.22699246,0.14311816,0.37349072,0.28761643,0.24781018,0.69866049,0.46300036,-0.13241297,0.81111765,-0.39431047,-0.70916355,0.59636486,-0.27762327,0.40046784,0.68212402,-0.13557637,-0.21159780,0.38865823,0.40927419,-2.81927109,-0.79660398,-1.39518285,-1.37875438,0.70861900,0.69591641,0.37545174,0.00000000,-0.10288826,0,13:47:38.6,0,0
17,0.00000000,1.39742243,-0.27628419,0.94179606,3.61985421,-0.02953389,-0.13957421,0.11080611,0.14592604,0.30514801,0.47351509,0.79013813,0.14692862,0.08387002,0.90199983,-0.31402808,-0.39759663,0.73968881,-0.26516360,0.51038885,0.75950807,-0.06686574,-0.14056210,0.41264245,0.47267923,-2.90011215,0.41809586,-0.25640929,-2.12934923,1.06469226,-0.65245098,-1.25729764,0.00000000,-4.98418283,0,13:47:38.7,0,0
18,0.00000000,1.39742243,0.45497885,0.02724724,1.31481910,0.04246338,-0.03924179,-0.04927922,0.34569806,0.30383840,0.29574320,0.74039066,0.23757960,0.33262426,0.95175874,-0.24557625,-0.33352205,0.78924739,-0.55354172,0.48378500,0.70150465,-0.36904266,-0.21347889,0.48405838,0.52046543,-3.82027936,0.21778426,-0.30113569,0.20486292,1.06469226,-0.65245098,-0.85928673,0.00000000,-1.48457074,0,13:47:38.8,0,0
19,0.00000000,1.39742243,0.04929332,0.63355094,3.54683542,0.08298552,0.16830200,-1.58552492,0.18437177,0.26838574,-0.44384763,0.63365066,-0.16455923,-0.63619947,1.85219765,-0.23105073,-3.35228515,1.40592957,-0.82003230,1.01198435,0.49173954,-1.67393112,-0.60572702,0.16229105,0.33359525,-8.12599850,-0.35588783,-0.05162702,1.68628442,1.06469226,0.69591641,-0.25560951,0.00000000,-5.90851736,0,13:47:38.9,0,0
20,0.00000000,-0.83459401,0.21596925,0.49774030,1.07956922,-0.01153036,0.25559115,-1.47370470,0.18437177,0.25242665,-0.29621232,0.58857703,-0.02996907,0.12409139,1.56817782,-0.18678971,-1.34628344,1.41139722,-0.43352515,1.34263349,0.57026434,-1.87567079,-0.52198833,-0.06046830,0.21617579,-8.44398212,0.69616431,0.25472379,-1.05282593,1.44540155,0.93116623,0.17860270,0.00000000,0.47003153,0,13:47:39.0,0,0
