Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190219143517
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,  1y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,1124,893,623,598,633,0,632,603,615,0,582,574,578,571,944,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under
Analog Gain,49,49,6,6,72,72,6,6,6,6,24,24,6,6,7,7,24,24,7,7,31,31,12,12,6,6,7,7,6,6,6,6,7,7,6,6,7,7,7,7,7,7,7,7,7,7,15,15,6,6,144,144,7,7,6,6,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,31,31,15,15,6,6,22,22,7,7,6,6,7,7,14,14,6,6,12,12,6,6,12,12,22,22,6,6,7,7,7,7,24,24,6,6,6,6,6,6
Digital Gain,100.00,1.00,100.00,1.00,6.13,12.35,100.00,100.00,1.00,1.00,5.11,11.33,1.79,3.63,2.57,4.17,8.11,8.07,3.58,2.80,1.46,23.57,3.90,2.70,1.64,29.49,2.78,56.52,2.66,3.37,3.29,4.42,2.25,86.45,2.73,3.27,3.19,100.00,2.27,87.22,6.56,5.50,3.48,3.69,4.61,4.61,3.99,3.75,3.11,2.78,1.00,1.00,2.02,57.45,1.10,23.19,62.41,100.00,43.51,1.00,44.16,100.00,89.61,100.00,100.00,100.00,1.00,89.44,100.00,1.00,37.99,88.48,3.85,9.25,2.68,6.77,1.65,3.75,2.88,3.39,4.54,3.52,1.30,23.48,1.24,21.96,1.84,2.92,1.86,2.50,1.25,84.02,1.08,20.21,2.64,2.70,2.84,2.73,2.30,2.23,2.82,2.77,1.51,44.18,22.19,100.00,56.56,100.00,100.00,1.00,100.00,100.00

Measurement Information
Date,2019/02/19 14:35:19
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,-2.19021583,0.00000000,-0.34530374,-0.04854552,0.00000000,-0.28934988,0.00783017,-0.27346426,-0.33183327,-0.23925319,-0.26956522,-0.26968884,-0.08202995,-0.11220770,-0.04668504,-0.27115887,0.17776152,-0.13976307,-0.44505578,-0.07431395,0.19014664,-0.02809277,-0.14761651,-0.18211971,-0.20634481,0.00000000,-0.44120461,-0.14819367,0.73518234,-0.45743191,-0.68858916,2.52919698,0.33325285,-2.26155806,0,14:35:28.1,0,0
2,1.62541795,-7.03310347,-0.28132185,-0.28380701,0.00000000,0.07453526,0.10303361,-0.30644888,-0.25810990,-0.26702052,-0.33166960,-0.33997193,-0.11857525,0.00358992,-0.10322496,-0.30504978,0.14697154,-0.16363689,1.16793525,0.16477850,0.05732797,-0.06523506,-0.20021458,-0.29937539,-0.30149141,0.00000000,-0.10551897,0.02455816,-3.55675340,-0.86534560,-0.13854377,0.85610491,-0.31511801,-0.30946696,0,14:35:28.2,0,0
3,-0.60659856,0.00000000,-0.15914975,0.46401471,0.00000000,-0.09919190,0.05514366,-0.29310942,-0.43399358,-0.24912257,-0.15279011,-0.27423307,-0.15569216,-0.27305853,-0.08529023,-0.28219721,0.16452919,-0.13976307,0.45736769,0.62910360,0.10828326,-0.06523506,-0.19845118,-0.24333689,-0.25371304,0.00000000,0.46407145,-0.02763983,0.62930781,-0.66281009,-0.38306689,-1.17722094,-0.31511801,-3.00917125,0,14:35:28.3,0,0
4,-0.60659856,0.00000000,-0.04719076,0.32815364,0.00000000,0.26965275,0.17442453,-0.27268243,-0.07011878,-0.23925319,-0.29605296,-0.29269797,0.03373068,-0.06256857,-0.02861155,-0.22953863,0.19541851,-0.06901785,1.85987580,0.21369566,0.22545098,0.00090427,-0.14761651,-0.17886837,-0.24125250,0.00000000,0.50919086,0.06468328,-3.22499585,-0.86534560,-0.38306689,-0.86208481,-0.89503479,0.91525573,0,14:35:28.4,0,0
5,-2.19021583,0.00000000,-0.17407282,-0.62846231,0.00000000,-0.11395870,0.04036393,-0.27082351,-0.16485685,-0.24733767,-0.14794949,-0.26316208,-0.09098263,-0.18699919,-0.02037509,-0.21122345,-0.00376379,-0.09301260,-1.74785542,-0.30939516,0.19368932,-0.01067806,-0.15401764,-0.07472560,-0.17928377,0.00000000,-0.14669640,-0.16557129,-1.25202799,-0.01678752,-0.01081960,0.00000000,1.06831932,-5.32336521,0,14:35:28.5,0,0
6,-0.60659856,0.00000000,-0.26814598,1.11238551,0.00000000,-0.02322294,0.10914513,-0.27268243,-0.14548874,-0.23925319,-0.15777119,-0.21421961,0.01515812,0.11624434,0.02755536,-0.18612997,0.67976058,-0.05093066,1.31291270,0.25404960,0.22494030,0.00922677,-0.13975687,-0.20177259,-0.26008508,0.00000000,-0.19258712,-0.04702252,0.62492621,-0.23900433,-0.47345865,1.30917788,1.06831932,-5.32336521,0,14:35:28.6,0,0
7,1.62541795,0.00000000,-0.12702149,-0.11590210,0.00000000,-0.32476452,-0.00680920,-0.27082351,-0.44158533,-0.25715411,-0.24430533,-0.23210594,-0.00814624,0.10264180,0.01845550,-0.21841699,0.68873006,-0.09685639,-0.38571522,-0.03412378,0.16327477,-0.04497688,-0.18298353,-0.18265894,-0.22519305,0.00000000,-0.19258712,-0.05153488,-0.11265250,-0.66281009,-0.89562708,-2.68327308,-0.31511801,-0.69956088,0,14:35:28.7,0,0
8,-0.60659856,-3.21798229,-0.23003930,-1.11954534,0.00000000,-0.00274932,0.10549132,-0.29500449,-0.29784325,-0.23925319,-0.19203897,-0.23210594,0.14960180,-0.07611548,0.01411834,-0.23664844,0.45481518,-0.11930244,-1.76159382,0.24506243,0.07720012,-0.04461874,-0.15903045,-0.18211971,-0.21180668,0.00000000,0.19035192,-0.00087571,-3.87457800,-0.86534560,-0.58259952,-4.37122250,-0.89503479,-1.65771437,0,14:35:28.8,0,0
9,-3.41841769,-7.03310347,-0.38051385,-1.11605346,0.00000000,0.11371528,0.13702992,-0.29310942,-0.15232341,-0.24912257,-0.29303899,-0.32164058,-0.13266072,-0.26407135,-0.07989021,-0.30718583,0.20432268,-0.11197435,2.38603854,0.23158196,0.10444438,-0.05915811,-0.18298353,-0.26211873,-0.29347807,0.00000000,0.47306564,-0.00981142,0.37073842,-1.05630553,-0.33109558,-0.03258579,-1.41969919,1.16332400,0,14:35:28.9,0,0
10,5.44053888,0.00000000,-0.25574031,-0.64056641,0.00000000,0.20924318,0.16122951,-0.30644888,-0.14434999,-0.26702052,-0.22609511,-0.30840823,-0.04982433,-0.27305853,-0.06064354,-0.33430180,-0.30873710,-0.16279452,1.25357223,-0.02064331,-0.00249020,-0.04461874,-0.15903045,-0.23567778,-0.24396452,0.00000000,0.32788953,0.10848164,-0.22148527,-0.66281009,0.06098884,-0.42426845,-0.31511801,0.35898319,0,14:35:29.0,0,0
11,5.44053888,-9.26511955,-0.23783956,-1.11605346,0.00000000,0.04144688,0.11483536,-0.29569614,-0.24298492,-0.26702052,-0.14308144,-0.31025562,0.19215889,0.04387793,-0.01124882,-0.28470579,0.41491637,-0.14809194,0.51161188,0.23158196,0.05954733,-0.03327259,-0.19536011,-0.26211873,-0.27224135,0.00000000,0.63405746,-0.01873266,0.97704220,-1.05630553,-0.58259952,-6.85762119,-0.89503479,-1.14157462,0,14:35:29.1,0,0
12,1.62541795,0.00000000,-0.24696261,-0.19651066,0.00000000,-0.34288236,-0.00808076,-0.28161097,-0.54913640,-0.24733767,-0.29605296,-0.26661405,-0.07231238,0.11624434,-0.00090302,-0.20458657,0.24435079,-0.05354370,0.58475977,-0.01165615,0.15922141,-0.04497688,-0.19724430,-0.22082044,-0.26001546,0.00000000,-0.21081388,0.00362557,-1.86565566,-0.66281009,-0.89562708,0.05701887,-0.31511801,0.65029615,0,14:35:29.2,0,0
13,-0.60659856,-10.84873676,-0.19435987,-1.96805942,0.00000000,0.02728042,0.09342184,-0.27082351,-0.34381568,-0.23925319,-0.20994572,-0.30666906,-0.15557770,-0.20069213,-0.00616429,-0.22968005,0.25772133,-0.04369600,-0.33959395,0.02899581,0.19368932,0.02383546,-0.11567429,-0.22862667,-0.26529187,0.00000000,0.18124609,0.02607501,0.89618874,-0.66281009,-0.17602892,0.24980120,-0.31511801,0.35898319,0,14:35:29.3,0,0
14,1.62541795,-7.03310347,-0.33617899,-0.67548960,0.00000000,-0.21161902,0.03867114,-0.27268243,-0.49901408,-0.24733767,-0.35604775,-0.28890073,0.01052400,-0.02614834,0.02437392,-0.22968005,0.27569255,-0.05900224,-0.32572764,0.30382630,0.19368932,0.00404331,-0.12993506,-0.27762985,-0.27331045,0.00000000,-0.01072150,0.02155532,-1.56985271,-0.66281009,0.45267150,0.96995711,4.12709713,1.16332400,0,14:35:29.4,0,0
15,5.44053888,0.00000000,-0.22159235,-1.75943029,0.00000000,-0.35208246,0.00417245,-0.27268243,-0.48644501,-0.24733767,-0.23944452,-0.18134972,0.21030208,-0.35910359,0.09457446,-0.21979631,-0.20584629,-0.05900224,-0.32572764,-0.25063130,0.19368932,-0.01067806,-0.16552021,-0.18211971,-0.21982528,0.00000000,0.39624196,-0.03357552,0.89618874,-0.66281009,-0.89562708,4.91711521,-0.31511801,-1.14157462,0,14:35:29.5,0,0
16,-2.19021583,0.00000000,-0.17962423,0.32815364,0.00000000,0.21583433,0.16528650,-0.28623307,-0.16801150,-0.23923515,-0.22964948,-0.25521252,0.14960180,0.10264180,0.02672746,-0.20455000,0.51300555,-0.07339305,1.37290037,0.27660930,0.23900741,-0.04461874,-0.19536011,-0.12152629,-0.19029389,0.00000000,0.56848955,0.00807485,-3.55675340,-0.45743191,0.26802683,-0.49215907,-0.31511801,-0.69956088,0,14:35:29.6,0,0
17,-2.19021583,-7.03310347,-0.25574031,-0.67548960,0.00000000,0.15809460,0.14326055,-0.29500449,-0.16393919,-0.24733767,-0.19203897,-0.30840823,-0.04518336,0.10264180,-0.02033959,-0.21841699,0.27569255,-0.12581956,0.57095242,0.29470155,0.07361445,-0.01372589,-0.12834293,-0.24680880,-0.25199685,0.00000000,0.15851879,-0.06499373,0.37073842,-0.66281009,0.06098884,-2.24786115,0.33325285,-0.69956088,0,14:35:29.7,0,0
18,-0.60659856,0.00000000,-0.35493231,0.46401471,0.00000000,0.03496294,0.13364477,-0.29310942,-0.14089188,-0.25715411,-0.13825071,-0.27758816,-0.13266072,-0.22341941,-0.06491758,-0.26163706,0.01855734,-0.14260681,-4.02500057,-0.25975603,0.09289145,-0.04461874,-0.12993506,-0.17142445,-0.18465154,0.00000000,-0.18339418,-0.06499373,-3.22499585,-0.23900433,-0.47345865,-2.02730775,1.06831932,-0.69956088,0,14:35:29.8,0,0
19,-0.60659856,0.00000000,-0.23003930,0.46401471,0.00000000,-0.15984941,0.04851595,-0.29569614,-0.28073665,-0.27505207,-0.34979001,-0.29075131,-0.12801975,-0.03984129,0.00006298,-0.21841699,0.28467211,-0.12484646,-1.70649052,0.02899581,0.17750973,-0.01044188,-0.12993506,-0.12451822,-0.17126517,0.00000000,0.20866577,-0.07392944,0.43937936,-0.23900433,0.03910156,5.98775530,1.06831932,-5.32336521,0,14:35:29.9,0,0
