Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190226143612
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,  1y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,904,763,638,607,628,0,627,600,630,0,602,585,608,589,1229,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under
Analog Gain,120,120,6,6,31,31,6,6,6,6,7,7,6,6,15,15,15,15,7,7,15,15,7,7,6,6,7,7,7,7,6,6,6,6,6,6,7,7,7,7,7,7,6,6,7,7,7,7,6,6,6,6,6,6,15,15,6,6,6,6,6,6,31,31,6,6,48,48,6,6,6,6,7,7,15,15,6,6,12,12,7,7,6,6,7,7,31,31,6,6,6,6,6,6,15,15,12,12,6,6,7,7,6,6,6,6,6,6,6,6,6,6
Digital Gain,1.00,1.00,100.00,1.00,2.15,8.14,35.18,100.00,1.00,1.00,2.74,6.14,1.59,3.51,1.91,4.62,6.16,6.81,2.32,2.13,1.28,25.09,3.52,2.95,1.36,24.25,3.94,75.85,3.62,4.72,3.82,5.62,1.86,51.06,2.64,3.47,2.24,70.87,2.61,100.00,4.84,5.07,2.77,3.45,3.84,4.55,4.26,5.01,2.18,2.69,100.00,100.00,1.51,37.39,1.56,55.69,100.00,100.00,19.09,1.00,77.89,100.00,32.11,37.34,1.00,100.00,1.00,45.36,100.00,1.00,18.36,59.36,2.24,5.57,2.72,8.33,1.77,3.96,2.92,3.06,3.51,3.22,1.04,18.47,1.43,22.59,2.49,3.15,1.75,2.65,1.51,46.63,1.00,5.95,3.56,5.62,2.27,2.59,1.53,1.88,2.18,3.07,1.11,25.57,17.85,100.00,100.00,100.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/02/26 14:36:15
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.00000000,0.00000000,0.02537506,0.74607831,0.00000000,-0.16552718,-0.05317195,-0.44377604,-0.35662460,-0.56002694,-0.36758211,-0.27323589,-0.05997476,0.60643858,-0.17279817,-0.15230630,0.37488347,-0.21188892,0.10254063,0.40029016,-0.32789603,-0.34138736,-0.27406922,-0.25550556,-0.23916745,-0.82170403,0.08127970,0.06854382,0.32334879,0.23786217,-0.61051577,0.26597276,0.00000000,0.21371566,0,14:36:24.0,0,0
2,0.00000000,0.00000000,0.04652094,0.23522907,0.00000000,-0.20657110,-0.07692372,-0.42389137,-0.38080937,-0.57558274,-0.37670305,-0.25075111,0.13963695,0.27215993,-0.14525911,-0.13905786,0.60377455,-0.26080608,-0.09442333,0.35420766,-0.39938265,-0.37698621,-0.32857019,-0.28261811,-0.24396819,1.03040445,-0.01080121,-0.25031346,-0.41861153,0.06380033,0.35735404,-0.13580267,0.00000000,-1.40320575,0,14:36:24.1,0,0
3,0.00000000,0.00000000,0.02917090,0.40344036,0.00000000,-0.16552718,-0.06105687,-0.42389137,-0.37535986,-0.57558274,-0.44647148,-0.25075111,0.06931587,0.21765900,-0.13432050,-0.18711616,0.07099154,-0.24184163,0.06485775,-0.05117968,-0.37688461,-0.39030451,-0.34667373,-0.34485832,-0.27722645,0.67378795,-0.04619957,0.31267908,-0.17492858,-0.10487169,0.95818865,-0.14349534,2.61402559,-0.05340857,0,14:36:24.2,0,0
4,0.00000000,0.00000000,0.00643632,0.72039151,0.00000000,-0.16710547,-0.03765020,-0.45723903,-0.32212195,-0.58169597,-0.46009654,-0.28178343,-0.01518135,0.03368821,-0.19313160,-0.18836492,0.46504986,-0.27951539,-0.12367163,0.37720069,-0.39899153,-0.37967241,-0.31046298,-0.29581681,-0.26719397,0.02676119,-0.13868719,-0.27695984,-0.99852830,0.06380033,-0.99101335,0.28518757,0.00000000,-0.65844065,0,14:36:24.3,0,0
5,0.00000000,1.95911753,0.01182168,-0.27388513,0.00000000,-0.15834858,-0.05698784,-0.42884400,-0.34966806,-0.57558274,-0.40397584,-0.24818686,0.21380810,-0.25359854,-0.16092952,-0.28606614,-0.12549832,-0.28527141,-0.31419456,-0.07402026,-0.39025024,-0.42019016,-0.36714333,-0.30446950,-0.27312934,-2.20514131,0.14573771,0.00664066,-0.78123230,-0.02115397,0.00152105,0.00280621,2.61402559,0.61458278,0,14:36:24.4,0,0
6,0.00000000,1.95911753,0.00643632,0.39339536,0.00000000,-0.23192334,-0.07981832,-0.44595584,-0.39420143,-0.59026080,-0.41758987,-0.32400337,0.12169544,0.68734908,-0.22523737,-0.21391404,0.76157069,-0.28580233,0.01915393,0.70453703,-0.42495278,-0.40961686,-0.31757063,-0.31785586,-0.27159002,0.02676119,-0.05944257,-0.31221664,-0.78123230,0.06380033,1.31402159,-0.49383566,2.61402559,-0.34383848,0,14:36:24.5,0,0
7,0.00000000,1.95911753,0.01995723,0.23522907,0.00000000,-0.25471011,-0.09830099,-0.46212068,-0.41315019,-0.56948054,-0.39941144,-0.22343726,0.10904173,0.57022780,-0.13812724,-0.20559269,0.32584760,-0.22298488,0.53672785,0.31766236,-0.33710700,-0.43335932,-0.38502958,-0.35343662,-0.29536906,-2.20514131,-0.07265441,0.14390145,-0.78123230,-0.02115397,0.95818865,-0.31684542,2.61402559,-0.05340857,0,14:36:24.6,0,0
8,0.00000000,-1.85600364,0.04156186,0.55218023,0.00000000,-0.19697580,-0.06651141,-0.44377604,-0.39420143,-0.56002694,-0.52684110,-0.22343726,0.18691716,0.23576620,-0.10753201,-0.20443889,0.47394228,-0.22852333,0.06485775,0.37720069,-0.32789603,-0.35838589,-0.28129646,-0.29581681,-0.25310278,0.02676119,0.06358072,-0.27695984,-0.99852830,0.06380033,-0.99101335,-0.07257319,0.00000000,-0.65844065,0,14:36:24.7,0,0
9,0.00000000,0.00000000,0.04652094,0.72039151,0.00000000,-0.18380664,-0.06651141,-0.44377604,-0.37535986,-0.56002694,-0.37670305,-0.27323589,-0.00212909,0.01558100,-0.17644650,-0.22042036,-0.06773046,-0.22002558,-0.29751477,0.74138361,-0.31883296,-0.34950778,-0.28129646,-0.25550556,-0.25310278,1.32215869,0.17229886,0.18793745,0.32334879,-0.02115397,0.95818865,-0.11195570,2.61402559,4.26653719,0,14:36:24.8,0,0
10,0.00000000,0.00000000,0.01500352,0.72039151,0.00000000,-0.18928048,-0.06205001,-0.43460944,-0.33799416,-0.56002694,-0.30836836,-0.24818686,0.24869971,0.44443172,-0.14198858,-0.12925255,0.72017235,-0.25832415,0.39005587,0.35420766,-0.37688461,-0.39295793,-0.34667373,-0.30012804,-0.26313600,-1.55677056,0.05475221,0.17028049,-0.14134739,-0.10487169,-0.33269969,-0.73527324,-4.12676048,-6.77766371,0,14:36:24.9,0,0
11,0.00000000,0.00000000,0.02917090,0.40344036,0.00000000,-0.19313075,-0.04157055,-0.44377604,-0.33799416,-0.55572361,-0.29924744,-0.23443271,0.00226501,0.39005399,-0.16270548,-0.17538123,0.20797731,-0.22852333,0.24416453,0.71833247,-0.34584466,-0.39295793,-0.31757063,-0.29581681,-0.26313600,3.62688422,-0.03737106,0.44919971,0.86229587,0.06380033,0.35735404,-0.25825724,2.61402559,4.39596176,0,14:36:25.0,0,0
12,0.00000000,0.00000000,0.03286687,0.05311102,0.00000000,-0.20856073,-0.06143782,-0.45292774,-0.31511301,-0.55572361,-0.31289503,-0.26760924,0.04314612,0.23576620,-0.18219298,-0.15955897,0.57271588,-0.26636869,-0.12367163,0.35420766,-0.38590881,-0.41937920,-0.32857019,-0.28674167,-0.25470364,0.02676119,0.05031585,-0.46751246,-0.99852830,0.06380033,0.35735404,0.74818534,0.00000000,-0.34383848,0,14:36:25.1,0,0
13,0.00000000,0.00000000,-0.05205765,0.05311102,0.00000000,-0.23705584,-0.07811516,-0.46212068,-0.36186060,-0.59395629,-0.39941144,-0.24005938,0.04314612,-0.00252256,-0.18219298,-0.20559269,-0.09001639,-0.28527141,-0.73670202,-0.03747496,-0.40363660,-0.41937920,-0.32857019,-0.33996278,-0.27312934,-0.82170403,0.02829737,0.01100817,0.32334879,0.15014327,-2.91524124,1.04388976,0.00000000,-0.19385079,0,14:36:25.2,0,0
14,0.00000000,0.00000000,0.02903823,0.72039151,0.00000000,-0.29997334,-0.11859252,-0.47558364,-0.46816185,-0.58169597,-0.40397584,-0.28107971,0.25044048,0.42626476,-0.19475296,-0.14392769,0.55497617,-0.29646045,0.03572008,0.98494291,-0.39899153,-0.38329798,-0.32203472,-0.36589733,-0.29050487,-1.55677056,0.10618951,0.11759393,-0.14134739,-0.19160986,0.62396789,-0.16351908,-4.12676048,-3.85050774,0,14:36:25.3,0,0
15,0.00000000,0.00000000,0.11821333,1.00974405,0.00000000,-0.20856073,-0.07811516,-0.45292774,-0.40290594,-0.57226473,-0.38122973,-0.26492533,0.15202557,0.21765900,-0.16855335,-0.15805849,0.34361809,-0.24431495,0.38173550,0.35420766,-0.36357248,-0.37170419,-0.32857019,-0.26895660,-0.25832596,-2.20514131,0.14573771,-0.15774682,-1.95519602,-0.02115397,-0.99101335,0.02805739,0.00000000,-0.65844065,0,14:36:25.4,0,0
16,0.00000000,0.00000000,0.07109658,0.72039151,0.00000000,-0.26065847,-0.10177992,-0.44317719,-0.38840276,-0.55106753,-0.43735057,-0.21512249,0.06931587,0.21765900,-0.12450569,-0.17386773,0.46504986,-0.24674635,-0.47867414,-0.43544823,-0.34856135,-0.37083733,-0.33099759,-0.30934542,-0.27159002,0.02676119,-0.14751570,-0.27250984,-0.78123230,0.06380033,-0.99101335,0.03094715,0.00000000,-0.19385079,0,14:36:25.5,0,0
17,0.00000000,-1.85600364,0.04156186,-0.07788847,0.00000000,-0.27646771,-0.08499409,-0.46324876,-0.41630879,-0.55748266,-0.42815763,-0.22946890,0.00660821,0.29050457,-0.12450569,-0.09074929,0.12927651,-0.21188892,0.11094422,0.40029016,-0.35025433,-0.36810812,-0.29229602,-0.32292935,-0.26235417,-1.55677056,-0.13868719,0.04189746,-0.78123230,-0.02115397,0.62396789,-0.17792863,-4.12676048,-0.34383848,0,14:36:25.6,0,0
18,0.00000000,-1.85600364,0.01275619,0.39339536,0.00000000,-0.24765776,-0.08846159,-0.42969292,-0.41630879,-0.55748266,-0.35838917,-0.24849983,-0.05997476,0.30885309,-0.15964930,-0.10570567,0.50520766,-0.24674635,-0.46188039,0.00860753,-0.36212257,-0.36810812,-0.29229602,-0.30934542,-0.25390014,1.03040445,-0.03737106,-0.10926086,-0.25656801,0.06380033,-0.99101335,0.40506250,0.00000000,-0.49744216,0,14:36:25.7,0,0
19,0.00000000,-1.85600364,0.11708141,0.23906268,0.00000000,-0.21224990,-0.05698784,-0.44317719,-0.35662460,-0.55106753,-0.36758211,-0.26760924,0.09596564,0.88363194,-0.19313160,-0.15955897,0.47836632,-0.26080608,-0.09442333,0.35420766,-0.37252244,-0.41678947,-0.37388363,-0.28674167,-0.25470364,0.09387096,0.14573771,0.15704817,-1.09447145,-0.10487169,-0.64778388,-0.89840174,-10.52216434,-4.18879843,0,14:36:25.8,0,0
