Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190219140149
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,  1y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,874,746,623,598,613,0,582,574,630,0,582,574,608,589,1024,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0
Signal Check Result,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under
Analog Gain,72,72,6,6,124,124,62,62,6,6,7,7,6,6,12,12,15,15,6,6,14,14,6,6,6,6,7,7,15,15,7,7,6,6,7,7,6,6,7,7,7,7,7,7,7,7,12,12,6,6,72,72,7,7,6,6,6,6,124,124,6,6,31,31,6,6,44,44,6,6,6,6,7,7,22,22,6,6,22,22,7,7,6,6,7,7,124,124,12,12,7,7,6,6,15,15,24,24,6,6,6,6,7,7,124,124,6,6,6,6,6,6
Digital Gain,100.00,1.00,100.00,1.00,86.99,99.39,100.00,100.00,100.00,100.00,3.10,4.86,1.78,3.35,1.94,3.39,9.63,7.00,3.38,2.59,1.29,24.71,3.77,2.72,1.46,20.13,3.62,61.21,3.86,4.57,5.50,7.59,2.84,100.00,5.02,6.18,1.97,51.36,2.00,58.16,7.65,6.64,3.37,3.48,3.37,3.75,4.49,3.79,2.46,2.37,100.00,100.00,2.43,100.00,1.41,34.28,100.00,100.00,1.00,1.00,97.13,100.00,100.00,100.00,1.00,1.00,32.02,16.29,100.00,1.00,74.02,100.00,2.89,5.76,2.38,6.71,1.97,3.86,3.39,2.70,3.48,2.78,1.29,23.12,1.59,20.47,3.45,3.46,2.04,2.86,1.36,39.91,1.00,15.92,3.32,3.24,2.79,2.70,2.22,2.46,2.18,2.64,1.50,46.19,7.82,63.50,1.00,100.00,100.00,1.00,100.00,100.00

Measurement Information
Date,2019/02/19 14:01:53
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,7.05457735,0.03603953,2.60675931,1.39057994,-0.46090865,0.17968787,0.01016529,-0.02842597,-0.14567710,-0.09354533,-0.15939714,-0.11816221,-0.00286741,-0.36962521,-0.10567667,-0.14351392,-0.38283500,0.11785905,0.00986106,-0.23683771,0.08015241,-0.06590625,-0.30279544,-0.14111960,-0.01729424,-1.02143681,0.40980262,0.11972134,3.79076004,0.00000000,0.62276459,0.00000000,0.00000000,0.37125456,0,14:02:02.1,0,0
2,0.00000000,0.03603953,-0.48828393,-2.13171387,0.38755658,0.26301789,0.05288571,-0.04872908,-0.10788676,-0.16169760,-0.10154226,-0.11660536,-0.14636824,-0.19033207,-0.11861226,-0.19128449,-0.39627200,0.11785905,-0.15130587,0.12472214,-0.01841820,-0.06590625,-0.26382896,-0.17548823,-0.04091851,0.00000000,0.04046494,-0.08007351,-0.02436125,0.00000000,0.09863655,2.37816763,0.00000000,0.46800831,0,14:02:02.2,0,0
3,-2.53322315,0.03603953,-0.26099387,1.39057994,-0.46090865,0.17968787,0.02310161,-0.08374123,-0.10588362,-0.19540742,-0.24770975,-0.10857382,0.04294666,0.44586501,-0.08660600,-0.03722676,1.47807038,0.09732191,0.17276798,0.44987538,-0.05235412,-0.04605242,-0.26317582,-0.06105428,0.03560880,-3.32616210,1.32034755,0.13404290,-0.02436125,0.00000000,-0.41392365,-2.99094582,0.00000000,-0.21317947,0,14:02:02.3,0,0
4,0.00000000,0.03603953,-0.81952852,3.52229381,-0.46090865,0.23480529,0.06348054,-0.05692058,0.01672360,-0.11715937,-0.29824805,-0.07565398,-0.07304313,-0.01748086,-0.04988212,-0.13007967,0.37264690,0.13534635,0.03764979,-0.00037055,0.04080550,-0.01760058,-0.21909367,-0.02595646,0.02571834,-3.32616210,0.12154277,-0.06091671,0.00000000,0.00000000,0.08323720,0.00000000,0.00000000,2.34815121,0,14:02:02.4,0,0
5,0.00000000,0.03603953,0.48103556,1.39057994,-0.46090865,0.20251730,0.03973387,-0.03698448,-0.12672836,-0.12380418,0.13814288,-0.09883489,-0.03287311,0.62012094,-0.11923844,-0.01552833,1.50051987,0.10384512,0.15432729,0.10683585,0.02189173,-0.11289358,-0.33115828,-0.11059374,0.00778915,0.88347167,1.72498059,0.11499505,-2.25637770,0.00000000,0.54269230,0.67953956,0.00000000,-0.30926687,0,14:02:02.5,0,0
6,-2.53322315,0.03603953,-0.60504317,1.39057994,-0.46090865,0.16109172,0.03328099,-0.06998658,-0.15167668,-0.18254496,-0.21601391,-0.13437365,0.01084825,-0.40031782,-0.15961084,-0.22375838,-0.39627200,0.11406682,0.15432729,0.41404721,0.00510327,-0.09315737,-0.29693440,-0.13353667,-0.00322783,4.62557411,0.70774549,0.10549597,-0.02436125,0.00000000,0.54269230,-4.99107504,0.00000000,-0.86832762,0,14:02:02.6,0,0
7,0.00000000,0.03603953,-0.95042890,1.39057994,-0.46090865,0.14549638,0.01094199,-0.05795714,-0.16338690,-0.14477505,-0.11465915,-0.08100652,0.02459817,-0.20787586,-0.08753564,-0.14351392,0.37264690,0.11079521,-0.00854913,0.26867446,-0.03213797,-0.07414278,-0.28703284,-0.14510803,-0.01335438,-0.07319596,-0.31798401,0.01045774,-0.02436125,0.00000000,0.09863655,0.67953956,0.00000000,-0.30926687,0,14:02:02.7,0,0
8,0.00000000,0.03603953,0.12553161,1.39057994,-0.46090865,0.18853487,0.04834088,-0.08565672,-0.06809328,-0.15636843,-0.23898000,-0.03165107,0.12249269,0.01338386,-0.03280863,-0.06933186,-0.34691656,0.13534635,0.03764979,0.31355515,-0.01204420,-0.03159312,-0.25043541,-0.16364239,-0.02573468,5.64701080,0.40980262,-0.06572709,-0.02436125,0.00000000,-0.41392365,1.40085411,0.00000000,-0.51668900,0,14:02:02.8,0,0
9,-2.53322315,-0.69902700,-0.54931724,1.39057994,-0.46090865,0.21653533,0.06150928,0.03671902,-0.10588362,-0.05327935,0.08141963,-0.09292933,0.02701378,0.34702864,-0.10036994,0.02446187,1.25407600,0.20966372,0.35035962,0.45885494,0.13488369,-0.03756971,-0.23201181,-0.15304135,-0.02191877,0.00000000,0.39079431,0.04861923,3.79076004,0.00000000,0.93437499,0.82451683,0.00000000,0.01226547,0,14:02:02.9,0,0
10,0.00000000,0.03603953,-0.43702337,1.39057994,-0.46090865,0.20227458,0.05288571,-0.04673988,0.00508797,-0.16168797,-0.02036033,-0.02163201,0.26513830,0.03108283,0.01759974,-0.02618568,0.07191592,0.19217642,-0.27775669,-0.02739772,0.08015241,-0.07655361,-0.28502494,-0.09189336,0.02156612,0.00000000,1.30600119,0.14840183,-0.02436125,0.00000000,0.62276459,0.00000000,0.00000000,1.11769879,0,14:02:03.0,0,0
11,-2.53322315,0.03603953,-0.08002010,1.39057994,-0.46090865,0.17389882,0.05288571,0.04453049,0.01222894,-0.01148325,0.02360467,-0.01694547,0.04094911,0.19282275,-0.03145642,0.02647648,0.42224529,0.16729231,-0.12351714,-0.00037055,0.02058935,-0.01709574,-0.21909367,-0.08062450,0.01047443,0.00000000,-0.29411393,-0.17395790,3.79076004,0.00000000,0.11020438,0.00000000,0.00000000,0.37125456,0,14:02:03.1,0,0
12,0.00000000,0.03603953,-0.16920196,1.39057994,-0.46090865,0.14647283,0.02909804,-0.06619539,-0.07857002,-0.12098144,-0.23023570,0.01482844,0.09842040,0.19282275,-0.01924686,0.01493600,0.42224529,0.14553213,-0.30558151,-0.39954799,0.02189173,-0.07655361,-0.26103318,-0.02646926,0.03980954,0.00000000,0.44789809,0.02470771,-0.02436125,0.00000000,1.20210111,0.00000000,0.00000000,0.90005338,0,14:02:03.2,0,0
13,0.00000000,0.03603953,0.68004888,3.52229381,-0.46090865,0.11926469,0.02469621,-0.09756004,-0.14410837,-0.17903720,-0.33322346,-0.05324223,0.01311364,-0.41776422,-0.07397387,-0.20063019,-0.40967631,0.01779079,0.11762954,0.27761021,-0.14273678,-0.08472501,-0.28977966,-0.23513274,-0.07860561,-1.42156339,-0.84236270,0.10072289,-2.25637770,0.00000000,-0.37607738,-1.90196288,-10.98731518,-1.34116280,0,14:02:03.3,0,0
14,0.00000000,0.03603953,1.59705675,0.00000000,0.38755658,0.18682988,0.05885594,-0.10761442,-0.02363033,-0.26476160,-0.27818394,-0.06137944,0.01311364,-0.17273223,-0.06935392,-0.06933186,-0.79097229,0.12822701,0.00064844,0.26867446,0.06089928,-0.09315737,-0.27649415,-0.15237930,-0.00782757,0.00000000,0.02632509,0.01045774,3.79076004,0.00000000,0.62276459,-1.49334466,0.00000000,0.19274963,0,14:02:03.4,0,0
15,0.00000000,0.03603953,-0.34860241,1.39057994,-0.46090865,0.18791685,0.06241804,-0.03075257,0.08042668,-0.07284141,-0.62649339,-0.01871740,-0.13309933,-0.15946737,-0.03770312,0.00711797,0.07191592,0.15395032,-0.29632196,-0.37252083,0.02207867,-0.02841635,-0.22741422,0.01751570,0.07350580,0.00000000,-1.78966534,-0.16914751,0.00000000,0.00000000,1.47286737,0.00000000,0.00000000,1.50710356,0,14:02:03.5,0,0
16,-2.53322315,0.03603953,0.11912141,1.39057994,-0.46090865,0.18682988,0.08067233,-0.10776885,-0.06809328,-0.22511134,-0.10593633,-0.04148343,-0.06312838,0.29846495,-0.07012568,-0.03722676,0.98793018,0.12822701,-0.14207780,0.29558140,-0.08882743,-0.07414278,-0.26382896,-0.17486729,-0.01166757,1.83188987,1.23961949,0.11972134,-6.07184029,0.00000000,-0.04168718,-3.51675797,5.71273232,-1.34339559,0,14:02:03.6,0,0
17,-2.53322315,0.03603953,0.68004888,0.00000000,-0.46090865,0.21449143,0.07208755,-0.03930272,-0.00211799,-0.10345174,-0.27191105,-0.00338370,0.23841947,0.04442229,0.00403797,0.00711797,0.73919642,0.18477961,0.19132864,-0.01840352,0.00179795,-0.06523301,-0.27163142,-0.15301232,-0.02375197,0.00000000,-1.29836702,0.02950559,-2.25637770,0.00000000,0.62276459,3.05653334,0.00000000,-0.67180938,0,14:02:03.7,0,0
18,0.00000000,0.03603953,-0.54931724,1.39057994,-0.46090865,0.14685677,0.02990770,0.05621261,-0.03335776,0.03792610,-0.02668864,-0.01694547,0.04556367,-0.71158862,-0.02526368,-0.05874453,-1.24915481,0.11785905,-0.67304707,-0.20988697,-0.05235412,-0.07655361,-0.28502494,-0.09098509,0.02591595,0.00000000,-1.26507628,-0.29533717,-0.02436125,0.00000000,0.68954092,0.00000000,0.00000000,1.45408249,0,14:02:03.8,0,0
19,-2.53322315,0.03603953,0.00690156,1.39057994,-0.46090865,0.12016267,0.02824710,-0.01886808,-0.09964543,-0.06464644,-0.27633676,-0.05683712,-0.02223743,-0.20787586,-0.11207361,-0.12127075,0.02231754,0.13840115,0.29488590,0.13374276,-0.05180931,-0.09315737,-0.28159943,-0.04597395,0.04575298,2.32084846,0.72675377,0.11499505,-2.25637770,0.00000000,0.45584321,-0.66882777,0.00000000,-0.46882311,0,14:02:03.9,0,0
20,0.00000000,0.03603953,-1.89166629,1.39057994,0.38755658,0.14551127,0.04834088,-0.08003426,-0.04012430,-0.16168797,-0.15939714,-0.00338370,0.09842040,-0.33876050,-0.02675338,-0.02797177,-0.31976670,0.12822701,-0.50277019,-0.23683771,0.00179795,-0.11865846,-0.29219720,-0.14510803,-0.01802241,-1.02143681,-1.32197356,0.11499505,0.00000000,0.00000000,1.06682026,5.37830973,0.00000000,0.62453115,0,14:02:04.0,0,0
21,-2.53322315,0.03603953,-1.45643461,1.39057994,0.38755658,0.14163752,0.04466951,-0.08475605,-0.04247192,-0.13411981,-0.36788639,-0.07936811,0.00852654,-0.17273223,-0.11203691,-0.00418411,0.04476606,0.06207898,-0.03604932,-0.24577345,-0.05059934,-0.10441087,-0.28502494,-0.14574422,-0.01414265,0.81045306,-3.59375691,-0.10859563,3.79076004,0.00000000,-0.49609932,0.00000000,0.00000000,1.59663284,0,14:02:04.1,0,0
22,0.00000000,0.03603953,-0.20839946,1.39057994,-0.46090865,0.12016267,0.02552307,-0.04857188,-0.14410837,-0.09567185,-0.40525874,0.02496349,0.11701737,-0.32106152,0.00096615,-0.03914138,-0.76382244,0.17008327,0.00064844,-0.03637727,0.00510327,-0.05675030,-0.26889297,-0.11444845,0.00584768,0.00000000,-1.28882539,-0.09432348,-2.25637770,0.00000000,-0.49609932,0.00000000,0.00000000,0.77924412,0,14:02:04.2,0,0
23,0.00000000,0.03603953,-0.34860241,1.39057994,-0.46090865,0.13390110,0.02824710,-0.07452860,-0.11892395,-0.16993743,-0.14186746,-0.03872991,0.16888595,0.16185892,-0.02049999,-0.04554420,0.69857758,0.17008327,0.30408347,0.14272232,-0.03345187,-0.05675030,-0.23747477,-0.13384494,-0.02184527,0.00000000,-0.34175107,0.02950559,-0.02436125,0.00000000,0.01560529,-2.99094582,-7.20593643,-0.75484198,0,14:02:04.3,0,0
