Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190226140524
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,  1y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,849,731,618,595,603,0,567,565,635,0,607,588,618,595,1209,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
Signal Check Result,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under
Analog Gain,7,7,6,6,96,96,6,6,6,6,7,7,6,6,15,15,15,15,6,6,15,15,6,6,6,6,6,6,15,15,7,7,6,6,7,7,6,6,7,7,6,6,6,6,6,6,15,15,6,6,144,144,6,6,6,6,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,7,7,44,44,7,7,24,24,7,7,6,6,7,7,31,31,15,15,7,7,6,6,7,7,12,12,6,6,7,7,6,6,6,6,6,6,6,6,6,6
Digital Gain,86.91,100.00,100.00,1.00,100.00,100.00,33.82,100.00,1.00,1.00,2.94,6.85,1.76,5.04,2.53,6.95,8.08,7.78,2.76,2.26,1.57,28.96,2.89,2.27,1.33,19.23,3.89,57.42,4.05,4.93,6.91,9.21,2.00,45.25,6.55,7.70,1.87,43.74,2.14,67.65,4.73,5.02,2.65,3.22,3.29,3.83,3.63,4.41,2.15,2.78,1.00,1.00,1.29,26.59,1.28,29.51,100.00,1.00,18.36,1.00,65.36,100.00,34.00,50.10,1.00,1.00,1.00,1.00,100.00,1.00,84.96,100.00,2.52,7.76,2.80,42.85,2.59,7.01,3.05,2.95,3.37,2.84,1.51,28.30,1.37,21.86,14.01,14.08,2.18,3.01,1.39,42.59,1.00,13.08,2.96,3.71,2.34,2.73,1.81,2.21,2.43,3.66,1.16,27.06,12.07,100.00,100.00,100.00,100.00,1.00,100.00,100.00

Measurement Information
Date,2019/02/26 14:05:28
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.70735621,0.00000000,-1.70283544,0.70124072,0.00000000,-0.18670511,0.07261706,-0.31209794,-0.41128689,-0.29965857,0.15143125,-0.14520441,0.34988451,0.85871863,-0.17589441,-0.13221766,0.99645567,-0.12308303,0.17862763,0.73372185,-0.05131077,0.03941305,-0.18692496,-0.41503921,-0.38567609,0.00000000,0.06627625,0.00130142,-1.72052336,-0.26674283,0.11634335,-0.43282679,0.00000000,0.00000000,0,14:05:37.1,0,0
2,-0.14270976,1.31421161,-0.93445361,-0.11775524,0.00000000,-0.21052852,0.03511339,-0.29811552,-0.43782440,-0.28509733,0.14211716,-0.11345194,0.25462833,-0.23523501,-0.13390210,-0.34764743,0.30636659,-0.09516411,0.43714583,0.73372185,-0.04733934,0.01636188,-0.21678300,-0.40764192,-0.37579745,0.00000000,-0.12645613,0.09178802,-0.87205803,0.07547686,0.37798089,0.56557649,0.00000000,0.00000000,0,14:05:37.2,0,0
3,2.75205612,0.00000000,-0.11930355,0.70124072,0.00000000,-0.23628978,0.03077077,-0.38069084,-0.45514748,-0.33577076,-0.04443308,-0.10785822,0.35899830,0.11975086,-0.12501881,-0.33755788,0.42509970,-0.19703823,0.14590225,0.50846851,-0.12861674,0.00550542,-0.25310674,-0.40764192,-0.36663085,0.00000000,-0.05219704,-0.00321092,-1.72052336,-0.26674283,-0.92176479,-0.30592951,0.00000000,0.00000000,0,14:05:37.3,0,0
4,-0.52307242,-6.31654310,-2.66639709,0.26233941,0.00000000,-0.18103243,0.07734986,-0.33406204,-0.42649484,-0.28236562,0.05907793,-0.13022944,0.34078613,0.11975086,-0.17589441,-0.39195046,0.55024737,-0.18317799,0.39518508,0.88488632,-0.07894912,-0.01225405,-0.26361009,-0.43253848,-0.39789537,0.00000000,-0.22043838,-0.02111183,-1.72052336,-0.35244915,0.11634335,-0.17041576,0.00000000,0.00000000,0,14:05:37.4,0,0
5,2.34338593,-2.50090957,-0.86126387,0.40193242,0.00000000,-0.17593090,0.08649212,-0.30184335,-0.39025414,-0.31137833,0.03585212,-0.18999325,0.21820809,0.45210251,-0.24047910,-0.31263283,0.65723968,-0.16121270,0.38591027,0.46636525,-0.09756413,-0.00306111,-0.24196002,-0.40134320,-0.37025529,0.00000000,0.06180151,-0.03004035,-0.87205803,-0.35244915,-0.62561697,-0.58486271,0.00000000,0.00000000,0,14:05:37.5,0,0
6,-0.14270976,1.31421161,-1.81793153,0.54952532,0.00000000,-0.18859176,0.08649212,-0.39778259,-0.36895543,-0.26981705,-0.44045502,-0.15079813,0.21820809,0.08246780,-0.22202741,-0.37407401,0.50353962,-0.16121270,0.36734962,0.23904666,-0.09756413,-0.03118771,-0.25310674,-0.43338382,-0.38400522,0.00000000,-0.08826274,0.11499431,0.13158526,-0.26674283,0.11634335,0.03701251,0.00000000,0.00000000,0,14:05:37.6,0,0
7,-0.52307242,0.00000000,-4.01476431,0.70124072,0.00000000,-0.22237650,0.02185735,-0.33060613,-0.45514748,-0.25497234,-0.26032278,-0.11628122,0.38265151,-0.08762610,-0.12996154,-0.36325473,0.24989709,-0.23457649,0.09946980,0.23904666,-0.12427317,-0.06662901,-0.28583211,-0.43982089,-0.37025529,0.00000000,-0.06572135,-0.02560550,-1.72052336,-0.18432158,-0.31262577,0.04632185,0.00000000,0.00000000,0,14:05:37.7,0,0
8,0.26596040,1.31421161,1.37058151,-0.11775524,0.00000000,-0.16579551,0.05871527,-0.29071075,-0.37458912,-0.24905083,-0.00257877,-0.10776480,0.24551456,-0.29135817,-0.16641343,-0.41784748,0.27803019,-0.21942842,0.13659574,0.29995316,-0.11946983,0.01225608,-0.20599884,-0.35670817,-0.32426852,0.00000000,0.03591000,0.08280848,-0.87205803,-0.18432158,-1.58228457,-0.91828126,0.00000000,0.00000000,0,14:05:37.8,0,0
9,-0.52307242,0.00000000,-0.86126387,0.54024786,0.00000000,-0.19210489,0.06788943,-0.47267157,-0.38144836,-0.36467218,-0.56225008,-0.13875771,0.23641618,0.47074685,-0.21014561,-0.34075397,0.57842851,-0.10111773,0.54653138,0.29054353,-0.04733934,-0.00261795,-0.25310674,-0.33807972,-0.32336023,0.00000000,-0.09009591,-0.07047457,-0.87205803,-0.26674283,-0.62561697,0.12410206,0.00000000,0.00000000,0,14:05:37.9,0,0
10,-0.52307242,-4.73292589,-4.01476431,-0.40494111,0.00000000,-0.21786615,0.02586668,-0.38531986,-0.45514748,-0.25118846,-0.50625974,-0.20160349,0.00980838,-0.27271381,-0.23826681,-0.47320643,0.11471744,-0.11774620,0.63107949,0.72432828,-0.09090398,0.01064365,-0.21678300,-0.33679578,-0.30208930,0.00000000,0.11613481,0.01028095,-1.72052336,-0.35244915,-0.17980446,-0.24068709,0.00000000,0.00000000,0,14:05:38.0,0,0
11,-0.52307242,-4.73292589,-1.81793153,-0.40494111,0.00000000,-0.18393250,0.05891230,-0.42124766,-0.37458912,-0.28172603,-0.43582082,-0.17046747,0.21820809,-0.27271381,-0.22202741,-0.45116749,0.11471744,-0.14240962,0.12730527,0.29054353,-0.11511005,0.02855659,-0.20599884,-0.38633958,-0.34652767,0.00000000,-0.10827763,-0.07945410,0.13158526,-0.26674283,-2.61766076,-0.58683103,0.00000000,0.00000000,0,14:05:38.1,0,0
12,2.75205612,1.31421161,1.99753106,-0.11775524,0.00000000,-0.19954364,0.04501051,-0.34419093,-0.33758777,-0.25118846,-0.33517823,-0.13588436,0.27080262,0.15722968,-0.24047910,-0.34075397,0.41570613,-0.22471063,-0.02113690,0.22974016,-0.12861674,-0.05295867,-0.29417345,-0.36024892,-0.34661117,0.00000000,-0.10827763,-0.09742531,0.13158526,-0.18432158,0.02446860,-0.58683103,0.00000000,0.00000000,0,14:05:38.2,0,0
13,1.96302342,-4.73292589,-1.09653187,-0.40494111,0.00000000,-0.23798765,0.01307161,-0.37140822,-0.49681857,-0.32335722,0.02195198,-0.17300567,0.29546213,0.55765247,-0.24940839,-0.38689998,0.76829433,-0.16121270,0.50007808,0.88488632,-0.09756413,-0.02340950,-0.24156977,-0.36916426,-0.34270921,0.00000000,0.01323835,0.05590156,0.13158526,-0.18432158,0.42933455,0.24176107,0.00000000,0.00000000,0,14:05:38.3,0,0
14,2.34338593,1.31421161,-1.70283544,-0.11775524,0.00000000,-0.20423952,0.01789004,-0.28703490,-0.37458912,-0.23930077,-0.17380656,-0.17300567,0.28192610,0.06394912,-0.29468849,-0.43269280,0.35962039,-0.27429619,0.34433681,-0.00871351,-0.17368670,-0.03397884,-0.26717243,-0.48287922,-0.40626433,0.00000000,-0.31324583,0.04249725,0.13158526,-0.18432158,0.42933455,-0.20917620,0.00000000,0.00000000,0,14:05:38.4,0,0
15,1.96302342,-2.50090957,-0.11930355,0.08498126,0.00000000,-0.17345157,0.05925013,-0.45704687,-0.46249849,-0.28796694,-0.73967820,-0.15079813,0.29999998,-0.54166406,-0.21741796,-0.48428664,-0.08404350,-0.17149721,0.35812154,0.66362804,-0.09756413,-0.03148092,-0.25257179,-0.38633958,-0.35575575,0.00000000,-0.11284208,-0.11079587,-0.87205803,-0.10064741,0.37798089,0.65287215,0.00000000,0.00000000,0,14:05:38.5,0,0
16,3.19345212,-2.50090957,1.37058151,-0.65703076,0.00000000,-0.17109396,0.05891230,-0.40969619,-0.37458912,-0.26326159,-0.61693484,-0.14983258,0.27080262,-0.01735299,-0.17118515,-0.29565015,0.30636659,-0.10111773,0.40447557,-0.23437820,-0.07418924,-0.02459052,-0.27266064,-0.34620711,-0.33175015,0.00000000,-0.08556924,-0.15164299,0.13158526,-0.10064741,0.02446860,-0.69359457,0.00000000,0.00000000,0,14:05:38.6,0,0
17,1.96302342,-4.73292589,0.14237933,0.26233941,0.00000000,-0.17378239,0.04955600,-0.47671029,-0.39646414,-0.35908926,-0.55758208,-0.17610389,0.16026795,-0.01735299,-0.26557255,-0.33755788,0.30636659,-0.13354030,0.53720939,0.49909064,-0.05224009,-0.02199476,-0.25602570,-0.37527344,-0.35575575,0.00000000,0.04042137,0.10078223,-1.72052336,-0.35244915,-0.17980446,-0.57217699,0.00000000,0.00000000,0,14:05:38.7,0,0
18,-0.14270976,-4.73292589,-2.16265583,-0.40494111,0.00000000,-0.14003424,0.08646097,-0.37415841,-0.31588936,-0.26700467,-0.34915012,-0.11345194,0.33170277,-0.32851556,-0.20816042,-0.54993349,0.09597791,-0.22471063,-0.00257161,0.29995316,-0.15123209,0.00550542,-0.22785829,-0.41806743,-0.36344859,0.00000000,-0.23629326,0.01927517,-0.87205803,-0.26674283,-0.92176479,0.06128515,0.00000000,0.00000000,0,14:05:38.8,0,0
19,2.34338593,0.00000000,1.37058151,0.38428953,0.00000000,-0.14004353,0.03639576,-0.38037154,-0.42311946,-0.28441903,-0.10344317,-0.14153644,0.33170277,0.08246780,-0.21280269,-0.45838964,0.24055138,-0.16461565,0.02075295,0.69154692,-0.10125769,-0.01113830,-0.26717243,-0.37419733,-0.32709572,0.00000000,-0.19047919,-0.10186630,1.35978734,-0.01089661,-2.61766076,0.56557649,0.00000000,0.00000000,0,14:05:38.9,0,0
20,2.34338593,-2.50090957,1.99753106,-0.26534811,0.00000000,0.04769263,0.02650571,-0.37415841,-0.39343169,-0.23039447,-0.05368443,-0.15017956,0.16476853,0.76956159,-0.28390604,-0.26263401,1.05350137,-0.26189443,0.12730527,0.47568718,-0.16472609,-0.02459052,-0.26717243,-0.37792999,-0.23790087,0.00000000,0.08094917,0.10309776,-1.72052336,-0.01089661,-0.17980446,-1.22568846,0.00000000,0.00000000,0,14:05:39.0,0,0
21,0.26596040,0.00000000,0.57645470,0.70075399,0.00000000,0.15380438,0.00201596,-0.27670553,-0.32897925,-0.15510795,-0.30679423,-0.13052964,0.23184423,0.27970028,-0.26762056,-0.37407401,0.53154004,-0.10111773,0.42780012,0.25770634,-0.03402795,0.00405898,-0.24196002,-0.25300339,-0.28552496,0.00000000,-0.18659140,-0.16773410,0.13158526,0.44558942,0.76642889,-0.38666216,0.00000000,0.00000000,0,14:05:39.1,0,0
22,-0.14270976,-2.50090957,-3.23917890,0.38428953,0.00000000,0.30864820,0.00679386,-0.29170546,-0.28905159,-0.26700467,-0.51458806,-0.15290789,0.28645283,0.04549254,-0.29906642,-0.46561426,0.35033780,-0.19881517,0.26394203,0.66362804,-0.16037531,-0.03278762,-0.27759251,-0.32108608,-0.40224752,0.00000000,0.03172033,0.02620212,-0.87205803,0.16817050,0.14129083,-1.07063484,0.00000000,0.00000000,0,14:05:39.2,0,0
23,2.75205612,-4.73292589,0.14237933,0.03396017,0.00000000,0.37372267,-0.00075562,-0.19129238,-0.18080607,-0.27811044,-0.24793960,-0.11629470,0.29546213,0.11975086,-0.28099251,-0.34075397,0.52220988,-0.14981811,0.64035434,0.66362804,-0.09565875,-0.02459052,-0.27759251,-0.27931014,-0.43180382,0.00000000,-0.07452777,-0.00230706,0.13158526,0.53956062,0.76642889,0.38303301,0.00000000,0.00000000,0,14:05:39.3,0,0
24,2.75205612,0.00000000,0.41391376,0.85687476,0.00000000,0.46013635,0.00384629,-0.25223550,-0.14759961,-0.31174660,-0.87940419,-0.07266488,0.13942663,0.13845821,-0.21280269,-0.36325473,0.43450934,-0.20250459,0.03009866,-0.23437820,-0.11511005,0.01107230,-0.23973918,-0.09768533,-0.38568944,0.00000000,-0.01770500,-0.02730145,2.94340467,0.63509691,0.02446860,-0.56366366,0.00000000,0.00000000,0,14:05:39.4,0,0
25,2.75205612,-2.50090957,4.22954750,0.70075399,0.00000000,0.42681324,-0.01770817,0.00178848,-0.23205569,-0.26916826,0.11421113,-0.01219311,0.45820761,0.39648852,-0.15816498,-0.44011462,0.66656989,-0.05765123,0.70105457,0.48502493,-0.02305676,-0.00687963,-0.28866780,-0.16529709,-0.43220282,0.00000000,0.24925168,-0.01293352,-0.87205803,0.53956062,0.42933455,-0.25959158,0.00000000,0.00000000,0,14:05:39.5,0,0
26,3.19345212,1.31421161,1.99753106,0.28946221,0.00000000,0.45329252,-0.02218404,-0.06637990,-0.21587807,-0.34590924,-0.16358189,-0.05243343,0.30722287,-0.08762610,-0.21741796,-0.45116749,0.41570613,-0.22471063,0.17862763,0.02401188,-0.13772541,-0.00020747,-0.26717243,-0.22387354,-0.45893142,0.00000000,0.08733480,0.05770762,0.13158526,0.53956062,-0.31262577,-0.04020893,0.00000000,0.00000000,0,14:05:39.6,0,0
27,-0.52307242,1.31421161,-2.16265583,1.03147423,0.00000000,0.54048336,0.03897893,-0.01007906,-0.13664597,-0.31554276,0.16309077,-0.06690508,0.30263576,-0.10626482,-0.22199421,-0.46561426,0.40632820,-0.21524990,0.31526440,0.92698961,-0.07894912,0.02720674,-0.20574467,-0.16209717,-0.43035993,0.00000000,0.27573970,0.05770762,0.13158526,0.63509691,0.02446860,-0.00610478,0.00000000,0.00000000,0,14:05:39.7,0,0
28,0.26596040,-2.50090957,1.99753106,0.86118168,0.00000000,0.42093933,-0.04256170,-0.12527500,-0.23935615,-0.34275037,-0.24793960,-0.10145938,0.28443879,0.22408630,-0.29906642,-0.47283995,0.65723968,-0.22060256,0.43714583,0.46636525,-0.13339870,0.00700857,-0.24495043,-0.19714408,-0.46497786,0.00000000,0.17742680,0.04756948,-0.87205803,0.53956062,1.23520732,-0.76180321,0.00000000,0.00000000,0,14:05:39.8,0,0
29,2.75205612,-4.73292589,1.37058151,-0.04125802,0.00000000,0.45060641,-0.03396185,-0.12527500,-0.22335762,-0.33716705,-0.25256503,-0.09302804,0.18297662,-0.32851556,-0.30840671,-0.39195046,0.36897653,-0.16461565,0.04883819,0.25770634,-0.06073698,0.00700857,-0.24196002,-0.19714408,-0.43640640,0.00000000,0.08733480,0.12717043,0.13158526,0.63509691,-0.31262577,-0.59477973,0.00000000,0.00000000,0,14:05:39.9,0,0
30,2.75205612,1.31421161,1.99753106,0.68114483,0.00000000,0.45907149,-0.00298176,-0.09365574,-0.21587807,-0.37804615,-0.13631222,-0.05823080,0.44001064,0.18730116,-0.22676653,-0.44471881,0.73125720,-0.27429619,0.28253901,0.83845389,-0.12008730,-0.03829527,-0.28335348,-0.25175357,-0.49210793,0.00000000,0.13517487,0.00713962,-0.87205803,0.53956062,0.42933455,-0.58486271,0.00000000,0.00000000,0,14:05:40.0,0,0
31,2.34338593,-6.31654310,0.41391376,0.54024786,0.00000000,0.51889896,-0.00307253,-0.03315952,-0.20561878,-0.35109916,0.11716191,-0.09885727,0.00980838,0.86075622,-0.33608311,-0.27981484,1.10439408,-0.23054351,0.52790290,0.85701454,-0.10883372,-0.01079509,-0.26944160,-0.21705374,-0.46458390,0.00000000,0.22289050,0.04688802,-0.87205803,0.44558942,0.42933455,-0.91108668,0.00000000,0.00000000,0,14:05:40.1,0,0
32,-0.14270976,1.31421161,-0.11930355,1.03147423,0.00000000,0.49158734,0.02782429,-0.13894577,-0.14621732,-0.37804615,-0.12266462,-0.05538721,0.21031733,0.22408630,-0.26993421,-0.49131110,0.51289570,-0.14240962,0.19739911,0.46636525,-0.04733934,0.00405898,-0.26361009,-0.20525059,-0.45994797,0.00000000,0.32106137,-0.06779058,-0.87205803,0.53956062,-0.62561697,-0.75432789,0.00000000,0.00000000,0,14:05:40.2,0,0
33,0.26596040,1.31421161,2.88118005,0.68114483,0.00000000,0.50221568,0.05891230,-0.07019524,-0.08010087,-0.31776881,-0.25256503,-0.03786342,0.11618307,0.98664331,-0.26115164,-0.13221766,1.10052848,-0.10391539,0.08181560,0.50846851,-0.05131077,0.03015750,-0.23088473,-0.17615466,-0.44035622,0.00000000,-0.49937424,-0.10738496,0.13158526,0.63509691,0.42933455,-0.99434596,0.00000000,0.00000000,0,14:05:40.3,0,0
34,-0.52307242,-6.31654310,-2.16265583,0.18991847,0.00000000,0.56700230,0.11405075,-0.08986235,-0.13081779,-0.33637780,-0.28466347,-0.04955798,0.26375690,0.15722968,-0.24940839,-0.29565015,0.44399375,-0.14240962,0.35761973,0.47568718,-0.07418924,0.00700857,-0.25257179,-0.17397906,-0.44615695,0.00000000,0.03979949,0.04345677,-0.87205803,0.34820983,-0.62561697,-1.12052584,0.00000000,0.00000000,0,14:05:40.4,0,0
