Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190226111540
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,  1y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,1824,1600,1572,1157,984,810,668,624,678,0,607,588,660,0,682,632,668,624,1244,0,2000,1409,1662,1210
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under
Analog Gain,6,6,15,15,6,6,6,6,31,31,7,7,6,6,7,7,7,7,6,6,98,98,6,6,6,6,6,6,7,7,7,7,7,7,6,6,6,6,7,7,6,6,6,6,7,7,7,7,6,6,150,150,7,7,15,15,60,60,31,31,14,14,31,31,15,15,31,31,6,6,7,7,12,12,7,7,6,6,15,15,7,7,12,12,7,7,15,15,12,12,7,7,7,7,7,7,7,7,6,6,7,7,12,12,6,6,62,62,6,6,6,6
Digital Gain,3.75,4.90,2.71,3.31,4.15,6.93,1.69,2.74,2.30,5.98,10.89,14.05,2.63,4.97,2.71,4.22,32.72,30.18,1.99,2.18,3.30,20.61,5.39,4.52,1.70,25.61,2.29,50.07,6.51,8.87,6.53,10.90,4.46,100.00,3.57,4.96,2.28,41.30,3.50,100.00,4.99,6.15,2.13,3.15,3.53,5.73,5.56,7.15,2.47,3.23,32.14,32.96,2.29,56.92,1.32,22.81,1.79,4.94,3.87,51.65,3.04,8.89,30.33,69.71,3.72,6.58,7.12,21.63,1.15,2.05,3.26,11.18,2.96,4.42,2.61,4.98,1.75,3.04,3.21,3.58,3.09,3.09,1.41,36.73,1.57,30.01,2.15,4.85,2.18,3.39,1.44,35.14,1.48,34.24,2.47,3.37,2.26,3.12,1.66,2.31,100.00,100.00,100.00,100.00,9.49,100.00,2.31,2.45,87.07,92.47,67.79,68.69

Measurement Information
Date,2019/02/26 11:15:42
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.12727484,-0.14977522,0.14484490,-0.15699613,-0.62372154,-0.31774187,-0.05736701,-0.22151120,-0.50928402,-0.36969662,0.58078647,-0.64958328,-2.55963397,-0.31770268,-1.29857504,-0.52370155,-0.73077923,-0.25697863,0.69396079,-0.21009326,-0.26655471,-0.63341588,-1.05683720,-0.24864838,-0.43255770,-0.71131080,-0.18650532,-0.06773672,-0.88631743,0.05788889,0.39416131,-1.38540804,0.33420441,0.41999635,0,11:15:51.1,0,0
2,0.10090622,-0.18690658,0.12370835,-0.20698084,-0.70404446,-0.14231819,-0.04354104,-0.23592013,-0.35711449,-0.39399272,0.43049946,-0.67575210,-2.67078948,-0.20175856,-1.29519761,-0.49531657,-0.67124093,-0.24225727,0.78623122,0.13656197,-0.23031603,-0.62860268,-1.04205847,-0.24276319,-0.44591519,-0.71131080,-0.02365780,-0.14230855,-0.95442235,0.05788889,0.32268214,0.96012461,0.26159278,1.08299923,0,11:15:51.2,0,0
3,0.07249698,-0.20385568,0.06595370,-0.22655833,-0.73216397,-0.27851862,-0.03025447,-0.24855930,-0.50928402,-0.39773419,-0.37467286,-0.75452679,-2.89971209,-0.09191286,-1.44196379,-0.43728805,0.74949354,-0.35879689,0.52852684,0.05647301,-0.38332421,-0.70992297,-1.09275031,-0.26810530,-0.47091231,-0.71131080,0.13354711,-0.10815645,-0.92750835,0.03606369,0.34231099,-0.09299707,0.29817575,0.66147900,0,11:15:51.3,0,0
4,0.11243247,-0.16453491,0.12724870,-0.18803251,-0.70390141,-0.06361580,0.00244570,-0.20398581,0.03323781,-0.38370374,0.91426802,-0.61046994,-2.62546539,-0.21078221,-1.22892845,-0.52370155,-0.68962044,-0.37068808,-0.13636313,0.13656197,-0.39417130,-0.64686841,-1.05728352,-0.16591561,-0.39828375,-0.71131080,0.05028829,-0.19395930,-0.89417791,0.12395820,0.36601797,-0.15547325,0.33301401,0.55350620,0,11:15:51.4,0,0
5,0.05485792,-0.14980081,0.06901847,-0.17050746,-0.63476241,-0.22030739,-0.00692747,-0.17936839,-0.50928402,-0.35552269,1.53626549,-0.51473874,-2.52448773,-0.07373208,-1.09407890,-0.43112919,0.53791624,-0.32136008,-0.09408004,0.53191870,-0.36410892,-0.62358582,-1.04205847,-0.06163201,-0.33710840,-0.71131080,0.44334185,-0.03608629,-0.69059360,0.03606369,0.32268214,-0.47275111,0.29945228,0.63001829,0,11:15:51.5,0,0
6,0.19516239,-0.14111143,0.24034876,-0.15530711,-0.52761340,-0.05228200,0.05667169,-0.17936839,-0.02332322,-0.36113513,1.04546273,-0.59190017,-2.70001650,-0.25369161,-1.20444846,-0.49330536,-0.67124093,-0.26462987,0.72688228,0.53191870,-0.28344107,-0.61497879,-1.02158689,-0.16591561,-0.38184980,-2.07670951,0.23971625,-0.02245015,-0.71865141,0.03606369,0.33602309,0.63454056,0.34884948,0.87954205,0,11:15:51.6,0,0
7,0.14121017,-0.12083767,0.16283564,-0.14696389,-0.67549253,0.09057537,0.07005805,-0.17936839,0.36721200,-0.34603825,1.12515533,-0.63799071,-2.32677388,-0.35746175,-1.24161780,-0.43340841,-0.60636783,-0.30737159,0.30686799,-0.17836492,-0.31841600,-0.59760356,-1.03636563,-0.06579976,-0.36077538,0.25352418,-0.07934793,-0.00425316,-0.54215455,0.19083016,0.31065735,1.19122601,0.31403416,0.82031709,0,11:15:51.7,0,0
8,0.16410911,-0.08370326,0.18172969,-0.13826022,-0.58007354,0.06759090,0.06679516,-0.17936839,0.45962635,-0.34603825,1.88765144,-0.52606726,-2.92285609,-0.20288593,-1.18831956,-0.36796054,-0.56426454,-0.33017591,-0.03717319,-1.11678386,-0.32265526,-0.61659652,-1.03616786,-0.17139578,-0.38636100,-0.71131080,-0.31424239,-0.07446185,-0.58277160,0.07980137,0.24767955,0.88960093,0.22629355,0.65424079,0,11:15:51.8,0,0
9,0.16994482,-0.11764645,0.20259956,-0.14938930,-0.60417336,-0.16859046,0.00244570,-0.20850329,0.04437383,-0.34710434,1.06297290,-0.66201216,-2.82698345,0.18022896,-1.30789936,-0.34421244,1.14421999,-0.35063395,-0.22891781,-0.22365145,-0.38159624,-0.64369613,-1.05677366,-0.20767136,-0.38364860,-2.07670951,-0.13084480,-0.09262881,-0.58683169,0.05788889,0.33949125,-0.09299707,0.38343468,0.55786234,0,11:15:51.9,0,0
10,0.12304836,-0.16453491,0.18344778,-0.17755672,-0.65869772,-0.10399894,0.02939005,-0.19432801,-0.18464713,-0.35552269,0.72943169,-0.51339042,-2.28012967,0.16184951,-1.08186698,-0.33981028,-0.16231206,-0.28701013,0.05910901,0.16803113,-0.27558324,-0.61373764,-1.00043583,-0.20767136,-0.40910792,-0.71131080,-0.36543438,-0.11073602,-0.62135822,0.14613582,0.17007081,-2.04044223,0.16743700,0.20017883,0,11:15:52.0,0,0
11,0.15577056,-0.14437160,0.20215511,-0.17871058,-0.66396409,-0.18108414,0.02018507,-0.20398581,-0.11662168,-0.36493227,0.55959523,-0.55387568,-2.54598641,-0.44036585,-1.16603398,-0.49330536,-0.67124093,-0.29860830,0.27380523,-0.68569595,-0.29213077,-0.64200950,-1.05677366,-0.21774311,-0.41348767,-0.71131080,0.00393428,-0.11528137,-0.51557851,0.01971742,0.17756608,0.17436224,0.12319527,0.53302842,0,11:15:52.1,0,0
12,0.07194100,-0.18100867,0.08439440,-0.20201491,-0.65678918,-0.25999883,-0.01136212,-0.21841058,-0.22322267,-0.37528539,-0.29514179,-0.50239688,-2.50308514,-0.49041522,-1.04049909,-0.52481705,-1.79010487,-0.40481609,-0.28054661,0.08748626,-0.43951800,-0.67865437,-1.05683720,-0.27424955,-0.44875956,-0.71131080,-0.21409741,-0.07673824,-0.65007877,0.14613582,0.23237480,-0.70997524,0.26164761,0.48406091,0,11:15:52.2,0,0
13,0.06841809,-0.20914569,0.10455658,-0.22655833,-0.73200893,-0.20143341,-0.01653879,-0.22464778,-0.42051178,-0.40332296,-0.62566453,-0.66274089,-2.49462461,-0.53555375,-1.28056633,-0.55368286,-0.28672349,-0.42071220,0.28244507,0.39360297,-0.42496714,-0.68948722,-1.07206225,-0.42841095,-0.52449191,-0.71131080,-0.30967864,-0.09920587,-0.57362783,0.01971742,0.23880915,-0.74011040,0.17519812,0.31953490,0,11:15:52.3,0,0
14,0.03255526,-0.16702616,0.04907935,-0.18259908,-0.70646465,-0.05228200,0.02939005,-0.23285735,0.04871359,-0.37528539,-0.02406094,-0.63423216,-2.68879294,0.06626827,-1.32547283,-0.43450555,0.14611796,-0.33299831,0.33346468,-0.28641117,-0.36753985,-0.66401589,-1.05683720,-0.27424955,-0.42357937,0.15519311,-0.39777523,-0.08120570,-0.51783162,0.12395820,0.26576090,-0.31629291,0.26359057,0.43192756,0,11:15:52.4,0,0
15,0.15398814,-0.09795086,0.20756149,-0.13873962,-0.59395212,0.12803119,0.06636530,-0.16964221,0.20621650,-0.35165066,0.23619150,-0.54111511,-2.62585616,-0.06448070,-1.17304981,-0.36884332,0.57969993,-0.23200333,0.09237120,-0.17836492,-0.22421308,-0.62233126,-1.02074313,-0.18165891,-0.36710590,0.15519311,-0.13084480,-0.15774854,-0.40450343,0.03606369,0.25037530,-0.34020713,0.26359057,0.52610731,0,11:15:52.5,0,0
16,0.10604990,-0.11216163,0.10649728,-0.12455320,-0.63476241,-0.06361580,0.05321127,-0.15499097,-0.04439841,-0.33275008,0.85949081,-0.51417953,-2.73911738,0.20331840,-1.10429907,-0.40048891,0.20610556,-0.28653494,0.19626956,0.58184403,-0.31321332,-0.57910013,-0.93396509,-0.17139578,-0.38521266,0.15519311,-0.31424239,-0.07446185,-0.22282259,0.12395820,0.43447924,1.06707263,0.36561334,0.86877090,0,11:15:52.6,0,0
17,0.15398814,-0.10662690,0.20756149,-0.12880196,-0.60806489,-0.14344247,0.01215744,-0.16642466,-0.22322267,-0.33659586,0.07002325,-0.54111511,-2.53373933,-0.31553707,-1.14550829,-0.30740207,-0.12020876,-0.17480610,0.24870318,-0.19200103,-0.17519414,-0.60912031,-0.98447585,-0.26017952,-0.39910755,0.15519311,-1.26841187,-0.07446185,-0.23669378,0.10186958,0.21717449,0.55435777,0.22374101,0.59446281,0,11:15:52.7,0,0
18,0.19724865,-0.11764645,0.23949306,-0.14696389,-0.60837680,-0.30013406,0.01191713,-0.16642466,-0.44532481,-0.33275008,0.79432392,-0.58015954,-2.53373933,-0.18892743,-1.15263224,-0.39947224,-0.56426454,-0.28653494,0.43223068,0.21331766,-0.29290918,-0.60749602,-0.98213416,-0.16071539,-0.35175312,0.15519311,0.06891674,-0.00425316,-0.31623632,0.01971742,0.20203115,0.21751003,0.21000820,0.65911728,0,11:15:52.8,0,0
19,0.14121017,-0.12094813,0.16283564,-0.13180374,-0.58007354,-0.24841712,0.00264983,-0.18107590,-0.53593874,-0.34603825,0.81502259,-0.56552374,-2.55682874,-0.67595261,-1.15263224,-0.46531150,-1.11892807,-0.31590229,0.28322333,0.50037175,-0.36410892,-0.62233126,-1.00281072,-0.15031973,-0.36077538,0.15519311,0.05959480,-0.03152597,-0.12252894,0.10186958,0.26005927,0.44922343,0.21000820,0.65897709,0,11:15:52.9,0,0
