Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190219111418
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,  1y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,2000,1409,718,654,803,0,607,588,655,0,717,653,668,624,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under
Analog Gain,24,24,6,6,15,15,6,6,6,6,7,7,6,6,15,15,15,15,7,7,24,24,6,6,6,6,7,7,15,15,12,12,12,12,6,6,6,6,14,14,6,6,6,6,14,14,7,7,6,6,30,30,7,7,15,15,31,31,6,6,6,6,31,31,6,6,31,31,6,6,7,7,7,7,7,7,6,6,15,15,6,6,6,6,6,6,72,72,12,12,7,7,7,7,6,6,6,6,6,6,6,6,7,7,6,6,6,6,6,6,6,6
Digital Gain,36.81,1.00,100.00,1.00,2.64,5.89,27.48,68.93,61.70,100.00,4.96,7.21,2.21,5.57,1.59,5.85,5.71,9.30,2.17,3.50,1.38,24.19,2.28,2.74,1.46,21.90,2.34,46.70,3.05,4.92,3.35,6.12,1.81,98.10,2.39,3.73,2.19,68.69,1.42,87.84,2.56,3.53,2.30,3.59,2.37,3.58,3.03,4.81,2.55,3.78,36.65,41.14,2.06,81.92,1.62,37.56,81.58,86.61,60.05,1.00,45.13,100.00,41.53,61.86,27.99,85.85,52.34,100.00,100.00,1.00,11.26,31.82,3.92,6.74,2.18,5.74,1.56,3.64,2.56,3.94,2.00,2.46,1.00,17.68,1.10,16.28,27.37,27.65,1.96,3.36,1.41,45.63,1.18,27.39,1.89,2.90,2.20,3.46,2.14,3.00,1.72,2.64,1.82,100.00,20.92,100.00,24.36,66.60,100.00,100.00,100.00,100.00

Measurement Information
Date,2019/02/19 11:14:20
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.15421812,-0.67526841,-0.01277614,-0.49649411,-0.88602072,-0.32098922,-0.10803951,-0.30268827,-0.40468636,-0.30193856,-0.28495452,-0.25848949,-0.39625078,-0.13472790,-0.24853885,-0.36327672,0.33949274,-0.10996762,0.01270678,0.13711149,-0.20358987,-0.42713571,-0.39897558,-0.23454113,-0.29221132,-0.26449814,-0.20853673,-0.06338906,0.35549501,-0.20539075,-0.73092079,-2.01208520,-0.74568015,-0.48439419,0,11:14:29.1,0,0
2,1.00279248,3.14036536,0.07229732,-0.00122283,0.47148606,-0.23404637,-0.03658764,-0.29567766,-0.29591444,-0.28208470,-0.28969714,-0.29686680,-0.39625078,-0.27143770,-0.30610490,-0.36582887,-0.00491991,-0.08605611,0.26270664,0.13711149,-0.15909205,-0.45253721,-0.41621700,-0.19049950,-0.27169612,-0.05047909,-0.19866315,-0.06338906,0.35549501,0.10924032,-0.07156441,-0.90647244,-0.46305734,1.18054497,0,11:14:29.2,0,0
3,0.15421812,0.90834892,0.02900917,-0.36127988,-0.88602072,-0.32206097,-0.08577990,-0.28601983,-0.40543792,-0.25267342,-0.41101909,-0.28819254,-0.47385815,-0.41089556,-0.33497384,-0.36327672,-0.40593904,-0.08436152,0.02244145,0.80595249,-0.16889590,-0.41772607,-0.41839886,-0.20494452,-0.26937079,-0.15925650,-0.18883295,-0.05421486,0.76568615,-0.20539075,-0.49411666,-1.57592440,-0.47900456,0.28539836,0,11:14:29.3,0,0
4,-0.00163043,-0.67526841,-0.04351517,-0.18235859,-0.42780873,-0.30529726,-0.08815541,-0.27010971,-0.34985569,-0.26392692,-0.30874497,-0.29110932,-0.25312883,-0.32709825,-0.30024487,-0.39656633,-0.41993338,-0.08436152,0.25301507,0.48831958,-0.16039051,-0.40645370,-0.37900156,-0.20619778,-0.28077400,-0.21383405,0.07941432,-0.05421486,0.22597550,-0.50300658,-0.30211061,0.83794707,-0.61505431,1.25297880,0,11:14:29.4,0,0
5,0.47992569,0.90834892,0.01192054,0.08014378,0.15511334,-0.37230635,-0.11031788,-0.29832226,-0.37570798,-0.28628382,-0.40996850,-0.29110932,-0.35358500,-0.19960107,-0.31431130,-0.39397651,0.31620792,-0.08068074,0.43481547,1.05405378,-0.19137537,-0.42904773,-0.37761182,-0.24987818,-0.31473902,-0.15925650,0.05505860,0.13510986,0.22597550,-0.20539075,-0.93817246,-0.95286292,-0.74568015,-3.74861860,0,11:14:29.5,0,0
6,0.15421812,3.14036536,-0.07506704,-0.13486648,0.15511334,-0.31383067,-0.08357770,-0.32233846,-0.35527542,-0.30602002,-0.42889526,-0.28304601,-0.24868378,-0.08210922,-0.30048528,-0.34390119,0.89872968,-0.09985492,0.01270678,1.04016566,-0.18485446,-0.42904773,-0.39987993,-0.25020868,-0.30570048,-0.21383405,0.04535817,0.01323763,0.35549501,0.10924032,-0.07156441,-1.57592440,-0.60618240,0.01332273,0,11:14:29.6,0,0
7,0.15421812,-1.90347052,0.03151090,-0.18235859,-0.42780873,-0.36339760,-0.09804782,-0.35332906,-0.40811494,-0.30715355,-0.47578374,-0.30704674,-0.40077323,-0.02234059,-0.34287745,-0.40517896,0.57272041,-0.11382890,0.40595978,1.00793254,-0.19718948,-0.43279648,-0.38894132,-0.26826179,-0.33305326,-0.21383405,0.28672475,-0.00954649,0.60318488,-0.78990585,0.36516991,-0.47947282,-0.05864660,-2.17862129,0,11:14:29.7,0,0
8,-0.14922386,-0.67526841,-0.08514232,-0.39736885,-0.14406040,-0.42825162,-0.11809122,-0.29968616,-0.48890147,-0.29700825,-0.37369105,-0.36937952,-0.46147349,-0.44573367,-0.42704895,-0.44049034,-0.12050886,-0.18017787,-0.33093473,0.96219456,-0.27811086,-0.48383069,-0.43089327,-0.29387081,-0.34176618,-0.05721361,-0.01254597,-0.03223635,0.60318488,-0.20539075,-0.28686500,0.87304288,-0.23491894,1.34879673,0,11:14:29.8,0,0
9,-0.44066623,-0.67526841,-0.10562646,-0.39736885,-0.88602072,-0.45267224,-0.15989695,-0.35625812,-0.46304917,-0.30653194,-0.55467492,-0.32935709,-0.36550713,0.03619746,-0.38513488,-0.43528676,0.82062864,-0.17122564,0.13790852,0.63145453,-0.28333789,-0.53633571,-0.46997786,-0.28306827,-0.34434497,-0.36612120,0.25797907,0.03976541,0.45651999,-0.20539075,-0.49411666,0.94520158,-0.61505431,0.14684466,0,11:14:29.9,0,0
10,0.15421812,0.90834892,-0.03311387,-0.05507047,-0.14406040,-0.30102298,-0.08815541,-0.32296851,-0.35077846,-0.31563628,-0.43576562,-0.32086059,-0.37109503,-0.40042835,-0.37105855,-0.40770897,-0.46164638,-0.11077343,0.18077701,0.72257268,-0.21682587,-0.45329270,-0.39781219,-0.29365587,-0.33761007,-0.36397842,-0.62276441,0.01777146,0.60318488,0.10924032,-0.28686500,0.09112777,-0.33950680,-5.50061369,0,11:14:30.0,0,0
11,-0.14922386,-1.90347052,0.02177175,-0.39736885,-1.43533289,-0.21340004,-0.02934436,-0.26327294,-0.24562131,-0.29168320,-0.44918048,-0.27144876,-0.23878242,-0.31787017,-0.23779500,-0.39397651,0.31620792,-0.04410453,0.43481547,1.08655894,-0.16372888,-0.37840372,-0.36799952,-0.20534837,-0.28309759,-0.15925650,0.11862130,-0.04959362,0.22597550,0.10924032,0.10481762,0.79506779,-0.09542119,1.71189499,0,11:14:30.1,0,0
12,-0.00163043,-1.90347052,-0.00244128,-0.62378222,-2.12643671,-0.28011703,-0.05642518,-0.27974188,-0.33003378,-0.29168320,-0.19907561,-0.25662649,-0.34092340,-0.27143770,-0.25188619,-0.34643930,0.33949274,-0.03120999,0.66828823,0.49764982,-0.12445205,-0.37509352,-0.35454065,-0.17615265,-0.28084782,-0.21383405,0.11862130,0.04066915,0.76568615,0.10924032,-0.28686500,-0.46587321,-0.33950680,-1.55178332,0,11:14:30.2,0,0
13,0.15421812,3.14036536,-0.03980728,-0.13486648,-0.58684695,-0.29137415,-0.07546066,-0.27905801,-0.31947488,-0.26277745,-0.32419321,-0.22053726,-0.25318900,-0.55035049,-0.17919949,-0.36582887,0.01378743,-0.04277566,-0.45985079,0.51164544,-0.14590834,-0.37438262,-0.35454065,-0.18469001,-0.29189441,-0.21383405,-0.52982301,-0.15074697,0.35549501,0.10924032,0.10481762,-0.46587321,-0.09542119,0.56605339,0,11:14:30.3,0,0
14,-0.44066623,-0.67526841,0.01475200,0.14687803,0.46224329,-0.28452215,-0.04914659,-0.25565928,-0.33003378,-0.24464533,-0.31942153,-0.27271757,-0.21963519,-0.02668225,-0.26695526,-0.32725859,0.93120688,-0.10288676,0.61519736,1.35028815,-0.20266709,-0.39621049,-0.36869058,-0.18058878,-0.26022655,-0.15925650,0.89879417,0.04984334,0.76568615,-0.78990585,0.65452248,0.70189452,-0.05864660,2.08245230,0,11:14:30.4,0,0
15,-0.29687366,0.90834892,-0.06074547,-0.13486648,0.15511334,-0.26387581,-0.05642518,-0.29832226,-0.30040273,-0.27360201,-0.30874497,-0.29110932,-0.38876754,-0.47576872,-0.32357416,-0.41081393,-0.04680976,-0.08436152,-0.49871185,1.07258821,-0.18359955,-0.38781339,-0.36799952,-0.22051853,-0.30352017,-0.15925650,0.07941432,0.03150989,0.76568615,-0.50300658,-0.10243404,-1.21971452,-0.37096870,-3.35862255,0,11:14:30.5,0,0
16,-0.00163043,-1.90347052,0.02177175,-0.39736885,-0.42780873,-0.33036244,-0.08357770,-0.29418862,-0.35393277,-0.27360201,-0.33725238,-0.29157925,-0.22978315,-0.48958755,-0.28123027,-0.37972891,0.29302120,-0.08866140,0.21919782,1.55095732,-0.17683601,-0.40015659,-0.35847613,-0.20994842,-0.30352017,-0.15925650,0.60803831,-0.08628675,0.35549501,-0.20539075,-0.10243404,0.30887786,-0.47900456,0.60678470,0,11:14:30.6,0,0
17,0.15421812,-0.67526841,0.02177175,-0.18235859,-0.14406040,-0.24514657,-0.02934436,-0.29901543,-0.30498227,-0.29700825,-0.42415491,-0.29157925,-0.35834575,0.12212951,-0.26695526,-0.35816517,1.13700056,-0.05991215,0.97726953,1.77170563,-0.16801915,-0.38073331,-0.32716027,-0.25338763,-0.30842656,-0.05721361,0.57898891,-0.09082057,0.35549501,-0.50300658,-0.10243404,0.29555002,-0.23491894,0.51794136,0,11:14:30.7,0,0
18,0.31466338,-0.67526841,-0.01682517,-0.27008072,-0.88602072,-0.38404393,-0.10826107,-0.30649960,-0.43823439,-0.28582105,-0.39376950,-0.31232736,-0.32892010,-0.40042835,-0.31469607,-0.43846703,0.25611296,-0.12331331,0.16643061,0.69050080,-0.22003783,-0.46530151,-0.40875080,-0.22459966,-0.31713423,-0.21383405,0.02600920,0.09405348,0.22597550,0.10924032,-0.07156441,1.01116955,-0.33950680,1.40372133,0,11:14:30.8,0,0
19,0.47992569,0.90834892,-0.00664025,-0.05507047,0.46224329,-0.33866993,-0.11288308,-0.30442062,-0.38356382,-0.30485198,-0.35509405,-0.29407275,-0.35705316,-0.30902386,-0.32870325,-0.39108935,0.84809422,-0.12589595,0.37252459,0.96677369,-0.22448380,-0.46257529,-0.40875080,-0.23957594,-0.33305326,-0.11485870,0.54043376,-0.04127485,0.60318488,-0.20539075,0.10481762,0.73197550,-0.23491894,0.86129618,0,11:14:30.9,0,0
