Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190226104403
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,  1y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,1824,1600,1712,1456,1304,999,678,630,618,0,582,574,705,0,697,641,758,677,1389,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal
Analog Gain,12,12,72,72,7,7,7,7,44,44,15,15,7,7,12,12,15,15,6,6,6,6,6,6,7,7,12,12,15,15,15,15,7,7,6,6,6,6,7,7,6,6,7,7,7,7,7,7,6,6,48,48,7,7,7,7,44,44,112,112,15,15,31,31,28,28,31,31,7,7,7,7,12,12,7,7,6,6,15,15,7,7,15,15,12,12,6,6,28,28,6,6,7,7,12,12,7,7,6,6,6,6,14,14,6,6,24,24,98,98,88,88
Digital Gain,2.76,4.38,4.33,4.35,2.59,3.70,2.39,2.82,1.58,3.22,5.78,5.15,3.19,5.94,1.67,3.06,9.65,10.45,1.81,2.34,15.71,100.00,4.23,4.54,2.07,28.95,4.63,62.85,8.85,10.78,8.21,12.33,2.34,82.60,4.76,6.51,3.05,67.56,2.52,85.78,4.83,5.37,3.06,4.05,4.71,6.46,3.99,5.14,2.47,3.58,2.09,3.28,2.69,93.71,2.03,25.22,2.13,3.81,100.00,100.00,2.22,4.59,34.82,82.26,2.12,3.67,12.62,34.81,2.40,3.83,2.33,3.33,3.26,3.66,2.46,5.26,2.14,3.99,3.00,3.93,3.19,3.53,1.48,35.41,1.18,24.56,20.12,36.10,2.48,3.78,1.45,34.15,1.17,23.08,2.22,2.91,2.76,3.77,1.35,1.95,1.57,2.34,1.39,61.51,8.69,100.00,2.07,4.61,100.00,1.00,15.18,15.37

Measurement Information
Date,2019/02/26 10:44:06
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,-0.38865000,0.85169470,0.11641834,0.24505872,-0.82826388,0.34824181,-0.45038733,-0.21390381,0.19832820,-0.36352190,1.27218592,-0.22337054,0.75783712,-0.92699027,-0.05442288,-0.27493700,-2.36414242,0.70828116,0.98680067,0.97972792,0.12157664,-0.12626547,-0.14914112,-0.56498164,-0.18205240,0.33830118,0.92706734,-0.06271653,1.04917419,3.33602619,-0.17049716,0.55801713,-0.14624889,0.39525279,0,10:44:15.1,0,0
2,-0.32954076,0.90161139,0.15317085,0.27214056,-0.76047331,0.59369975,-0.41179088,-0.19792183,0.37983319,-0.34316337,-0.67077357,-0.26852676,0.50483513,-0.86743170,-0.09652250,-0.15701410,-2.31148028,0.72945678,0.88814789,0.32968846,0.15163906,-0.06771286,-0.13064317,-0.48291335,-0.12175945,0.42019492,0.31527993,-0.00609002,1.12371433,-15.74630642,-0.18037513,-1.46307766,-0.13990624,-0.52559084,0,10:44:15.2,0,0
3,-0.35576081,0.94889814,0.13241442,0.23734848,-0.78715110,0.45567238,-0.44109628,-0.18330285,0.31234875,-0.33042067,0.60232031,-0.22943552,0.71537513,-0.06693991,-0.01759043,0.00308205,-0.81912750,0.73452622,0.85950184,0.27748099,0.15163906,-0.08160222,-0.13563119,-0.58413911,-0.18204460,0.46858364,-0.27544284,-0.02231407,1.11929643,-8.11555099,-0.16726242,0.73593783,-0.13899148,0.24100840,0,10:44:15.3,0,0
4,-0.39645135,0.93618560,0.08500946,0.24505872,-0.77188134,0.40274212,-0.42165086,-0.20953840,0.21552368,-0.37308702,0.38694528,-0.22943552,0.64667588,0.77255183,-0.03487945,-0.01885268,0.14760980,0.57884252,0.55670315,0.27748099,-0.03209292,-0.10939095,-0.15589985,-0.54006553,-0.15267931,0.45635274,0.73636943,-0.06889971,1.10276937,-0.47909454,-0.16562420,0.75037104,-0.13179989,0.17982025,0,10:44:15.4,0,0
5,-0.36874780,0.89227492,0.10438631,0.21502115,-0.76047331,0.37604308,-0.49700838,-0.19706739,0.22046870,-0.34316337,1.41597927,-0.25940198,0.55909097,0.42132667,-0.12639816,-0.08627312,-0.58561265,0.76660395,2.01987314,0.47167829,0.16004212,-0.10034382,-0.15589985,-0.55193353,-0.17192598,0.45209864,0.00259424,-0.03040849,1.08201003,-11.93067169,-0.17868541,-0.42096922,-0.13912268,-0.22911565,0,10:44:15.5,0,0
6,-0.41248694,0.78434432,0.04940652,0.13723159,-0.83811474,0.24182118,-0.55202514,-0.23989199,0.02395059,-0.37201905,-0.88905573,-0.25940198,0.50287527,0.23072684,-0.16597810,-0.05126200,-0.60457838,0.47184035,0.86128157,0.75732237,-0.05921464,-0.13745265,-0.17926140,-0.64165902,-0.21834606,0.33872440,0.21629795,-0.06271653,1.01371717,-14.16268921,-0.19607960,0.72699457,-0.17031078,0.04056004,0,10:44:15.6,0,0
7,-0.41406327,0.82130557,0.03325587,0.07825828,-0.95387775,0.13280968,-0.57756716,-0.24529761,0.13009709,-0.38179246,1.27218592,-0.22846583,0.66620302,1.81428134,-0.03487945,0.19971076,1.37353265,0.51258963,0.71368319,0.59881192,-0.04221936,-0.19606394,-0.19924986,-0.61787260,-0.19126701,0.33037692,0.44872352,-0.09478690,0.87790674,-8.11555099,-0.21502291,-0.66241759,-0.20605497,-0.39087254,0,10:44:15.7,0,0
8,-0.49225387,0.67788464,-0.06871382,0.05643402,-0.96567923,0.15040489,-0.52073950,-0.26069981,0.15787783,-0.39062873,-3.19378114,-0.27657330,0.37979805,0.58467245,-0.07927798,-0.05786024,-0.09243722,0.46334484,1.03892815,0.26950404,-0.10015929,-0.15997544,-0.17437164,-0.58438557,-0.17921172,0.27345911,0.44872352,-0.14259383,0.92516536,0.00000000,-0.19607960,-2.42984653,-0.24930926,-0.90630835,0,10:44:15.8,0,0
9,-0.51032907,0.47601312,-0.08341476,-0.02966073,-1.09476900,-0.01399884,-0.55498230,-0.23174627,0.12053321,-0.39026433,2.62045002,-0.35626164,0.52672362,1.89387739,-0.25742152,0.15404902,1.68616331,0.41713426,1.49521255,0.45975921,-0.12436961,-0.23628689,-0.23718652,-0.63906395,-0.22016378,0.24231535,0.63432509,-0.10472176,0.87002748,-11.93067169,-0.19706345,1.00348055,-0.25204706,0.37418094,0,10:44:15.9,0,0
10,-0.43977457,0.62238652,0.06133261,0.20374922,-0.96584743,0.36250573,-0.40424401,-0.21039316,0.31479761,-0.36583826,-0.81572562,-0.33055019,0.56440717,0.29028541,-0.21944906,-0.00678757,-0.79504859,0.38959393,1.28643417,0.75074977,-0.08361533,-0.16225925,-0.19753988,-0.54269964,-0.16092396,0.51061755,0.46915701,-0.07075180,1.11929643,3.33602619,-0.13870829,1.00348055,-0.11139293,0.10945446,0,10:44:16.0,0,0
11,-0.34672919,0.74585038,0.09234784,0.21502115,-0.91827607,0.32058030,-0.51789391,-0.22473705,0.22175053,-0.38053304,0.38694528,-0.27336213,0.46659395,0.19278361,-0.13778369,-0.24355975,-0.30693403,0.43829590,0.94466132,-0.04676321,-0.05943080,-0.13463292,-0.22292443,-0.47120714,-0.11191791,0.53670472,0.75701743,-0.00609002,1.17805362,-0.47909454,-0.09058128,0.19773610,-0.08712501,-0.00869091,0,10:44:16.1,0,0
12,-0.38510659,0.75285500,0.09435257,0.21390419,-0.87997198,0.37369242,-0.42323443,-0.21677095,0.32667914,-0.37138039,-0.88905573,-0.29039454,0.35667357,0.02853425,-0.16597810,-0.19997442,-0.59510386,0.49073619,0.54263747,0.59266245,0.01770883,-0.11175778,-0.17437164,-0.48568991,-0.14047268,0.46431863,0.52675694,-0.05667444,1.16942465,-8.11555099,-0.13885476,-0.24523957,-0.08224031,-0.51521355,0,10:44:16.2,0,0
13,-0.42215291,0.76799738,0.04925068,0.22811794,-0.86051649,0.24985085,-0.55002218,-0.17926501,0.03949888,-0.33814672,2.15793943,-0.24218401,0.63796628,0.52384055,-0.06280537,0.02822355,-0.27346927,0.49494183,0.29758036,0.79140025,0.03611903,-0.08655910,-0.15920009,-0.45975208,-0.14286178,0.45635274,1.14164340,0.02244350,1.16942465,-14.16268921,-0.12845559,0.49375579,-0.09030505,0.12278890,0,10:44:16.3,0,0
14,-0.43665031,0.71456534,0.00852612,0.16701721,-0.90164918,0.37373295,-0.45705071,-0.20766163,0.25318936,-0.36661968,-0.88905573,-0.33417165,0.30891454,-0.16550459,-0.26248705,-0.23592943,-1.20068884,0.57312739,1.15000701,0.43143132,0.09473235,-0.05629496,-0.08117634,-0.52022678,-0.17815006,0.41748619,-0.03029101,-0.06889971,1.10265863,-11.93067169,-0.14380205,0.41603211,-0.12982498,-0.21799034,0,10:44:16.4,0,0
15,-0.43665031,0.73199177,-0.01108383,0.14474466,-0.92347568,0.26888219,-0.56623709,-0.24192230,0.10199311,-0.38083047,1.13640285,-0.30272996,0.40541932,0.48088524,-0.12639816,0.02822355,-0.30693403,0.54172552,0.71368319,0.12248641,0.00271582,-0.13933794,-0.19443296,-0.54006553,-0.18150783,0.30637091,0.43653986,0.02315484,1.07055795,11.45157719,-0.14720115,1.23194194,-0.14882585,0.34986439,0,10:44:16.5,0,0
16,-0.44934800,0.69310462,-0.06437200,0.06971920,-0.92347568,0.13280968,-0.54469150,-0.22901137,0.05331742,-0.35714516,-0.88905573,-0.30749902,0.36278346,0.54684561,-0.23885432,-0.05311254,-0.59510386,0.53860211,0.43155855,0.26950404,-0.00606727,-0.15075584,-0.21516867,-0.55711961,-0.23020726,0.15179242,0.37183028,-0.03849044,0.96171099,-8.11555099,-0.19961280,-0.56141800,-0.19590721,-0.57845080,0,10:44:16.6,0,0
17,-0.46370697,0.56435752,-0.13917193,0.04891510,-0.97367203,0.07214437,-0.48905751,-0.24987045,0.02395059,-0.35206008,1.06754446,-0.33791700,0.34576800,-0.06792741,-0.11152034,-0.32020909,-1.56230843,0.30322325,-1.03180850,0.53186274,-0.23383383,-0.10939095,-0.19753988,-0.55454832,-0.26933286,0.03009282,0.33175120,0.01503398,0.94315267,-16.97450829,-0.23023997,1.76263475,-0.24320725,0.53918201,0,10:44:16.7,0,0
18,-0.49225387,0.36622930,-0.09622396,0.09273256,-1.13932240,0.02096591,-0.56584471,-0.25086361,-0.03628013,-0.33814672,0.05376466,-0.31379345,0.10833000,0.33324069,-0.25971654,0.07897047,-0.28785315,0.31587338,-2.10799789,-0.22943707,-0.07783726,-0.21858673,-0.23222505,-0.59608752,-0.25189096,0.23033717,-0.13992429,-0.13466281,0.87002748,0.00000000,-0.19348106,-0.61462033,-0.24947640,-0.50370753,0,10:44:16.8,0,0
19,-0.37222880,0.44367468,0.03960809,0.27058831,-1.03682792,0.27899039,-0.42630234,-0.22582105,0.02278574,-0.33814672,1.27218592,-0.25940198,0.04183123,0.54109597,-0.18807931,-0.01169357,0.42753881,0.39663351,0.09517846,-0.11257362,0.05924722,-0.13032252,-0.19217527,-0.48305392,-0.14164995,0.63408911,-0.03029101,-0.03040849,1.25084662,-8.11555099,-0.08904380,-0.15175055,-0.13917582,-0.11997948,0,10:44:16.9,0,0
