Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190219102322
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,  1y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,2000,1409,718,654,768,0,632,603,660,0,732,662,673,627,1119,0,2000,1409,1552,1104
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,49,49,6,6,72,72,6,6,6,6,28,28,15,15,28,28,24,24,6,6,15,15,7,7,7,7,7,7,15,15,15,15,15,15,6,6,7,7,7,7,6,6,6,6,7,7,7,7,6,6,144,144,15,15,15,15,47,47,49,49,7,7,31,31,30,30,22,22,6,6,6,6,49,49,49,49,7,7,15,15,6,6,6,6,7,7,112,112,7,7,7,7,7,7,6,6,6,6,6,6,6,6,15,15,6,6,6,6,6,6,6,6
Digital Gain,100.00,1.00,100.00,1.00,4.07,10.63,40.48,100.00,100.00,100.00,3.37,8.75,2.48,7.90,3.17,5.99,4.23,10.95,1.64,2.98,1.80,33.31,3.65,4.95,1.00,14.65,1.91,30.86,2.36,4.47,1.41,2.59,2.21,100.00,6.47,12.04,2.00,57.25,2.54,100.00,3.83,5.42,1.65,2.80,1.67,3.25,2.93,5.03,2.16,4.18,1.00,7.90,2.09,100.00,1.79,49.10,100.00,100.00,1.00,1.00,12.68,35.39,15.48,33.85,1.67,5.10,4.61,16.30,43.11,1.00,29.46,81.17,5.82,12.76,4.68,15.39,2.58,6.59,2.72,5.40,2.58,3.61,1.00,16.39,1.00,13.94,1.16,1.38,2.35,4.53,1.25,36.70,1.21,27.84,1.37,2.11,1.60,2.54,2.09,3.38,1.40,3.10,1.89,100.00,100.00,100.00,86.45,100.00,100.00,100.00,100.00,100.00

Measurement Information
Date,2019/02/19 10:23:26
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,-0.76918995,1.96801865,0.05261204,0.17708987,0.66525161,0.19287725,0.44435319,0.89189351,0.41482443,-0.06382088,0.10904389,0.12364668,-0.48487255,-0.28388682,0.16292925,-0.44565055,0.40614116,1.45321023,3.66198874,0.24170487,0.39528054,-0.26476845,-0.12597083,0.18227006,-0.10897891,-4.28194475,-0.40225264,-0.52670765,0.00000000,0.00000000,0.67729175,0.52482337,0.24312352,0.16108365,0,10:23:35.1,0,0
2,2.31112075,0.73981655,0.10832599,0.26356986,1.36524820,-0.11211972,0.26759905,0.85865468,0.09996010,-0.09139755,-0.06906665,0.10220113,-0.17883989,0.02474866,0.14787355,-0.49920171,-0.78252399,1.36605418,5.26114225,1.60573328,0.32431307,-0.23172444,-0.06427114,0.13562287,-0.14107205,-4.50378990,7.43501043,0.29653883,0.00000000,0.00000000,0.82381743,0.68703979,0.20762321,0.33794466,0,10:23:35.2,0,0
3,7.47413063,-2.49572945,0.00649833,-0.76137799,-1.56667924,-0.12829016,0.26633656,0.83056617,0.18006276,-0.11326265,-0.03175320,0.08159832,-0.15114391,-0.21279415,0.13532424,-0.54970807,0.32304788,1.32703936,4.50628805,0.96788067,0.28174841,-0.27100024,-0.10382348,0.12434790,-0.15088299,-4.30596972,7.39961195,-0.43197265,0.00000000,0.00000000,0.72280073,0.65269679,0.20312192,0.16217971,0,10:23:35.3,0,0
4,1.08291852,0.73981655,0.24410324,-0.13986130,-1.63947368,-0.01503216,0.20980488,0.89189351,0.12703630,-0.04849011,-0.00079608,0.11085527,-0.36218941,-0.17793691,0.12485073,-0.47602677,0.36201221,1.30834770,3.53508425,0.24170487,0.28510678,-0.24278873,-0.09877361,0.15139994,-0.10473602,-4.22469139,-0.39323202,0.23648672,0.00000000,0.00000000,0.83962405,0.94024092,0.33498278,0.30193990,0,10:23:35.4,0,0
5,2.31112075,-2.49572945,0.20551403,-0.58429593,-0.21831183,0.37955046,0.57484943,0.93563706,0.56609255,0.00504932,-0.07191741,0.19988474,-0.27220246,-0.14849484,0.21239485,-0.42647082,0.43082455,1.45321023,4.68160915,1.61628973,0.45752448,-0.17851476,-0.07227169,0.23024142,-0.04117243,-3.89029384,5.23342609,-0.45619723,0.00000000,0.00000000,0.77855510,0.94455934,0.46824437,0.51143193,0,10:23:35.5,0,0
6,-0.76918995,-0.26382676,0.13454677,-0.34273386,-2.28784442,-0.09673867,0.13216841,0.95971197,0.04086719,0.00700611,0.16744705,0.24230061,-0.09290396,-0.09712465,0.28711379,-0.36692247,0.45062679,1.43362582,3.72660613,1.68550527,0.43871099,-0.11673351,-0.03511018,0.21704818,-0.07259165,-3.77985358,-0.35722533,0.29775012,0.00000000,0.00000000,0.87957180,0.36808053,0.46448582,0.16108365,0,10:23:35.6,0,0
7,1.08291852,0.73981655,0.11955999,-0.13986130,0.01688082,0.18074043,0.43130705,0.97415799,0.34940290,0.01350333,0.17812695,0.21406001,-0.21577969,-0.18653409,0.23995551,-0.36316454,0.47050050,1.45319057,5.43687487,1.06314111,0.46997938,-0.13519998,-0.06474522,0.22876310,-0.06148857,-3.83899379,-0.33913305,-0.42513859,0.00000000,0.00000000,0.77855510,0.45942238,0.44065702,0.25159866,0,10:23:35.7,0,0
8,8.32259655,-0.26382676,0.19631208,-0.69306320,-2.28784442,0.25172675,0.43298745,0.92608821,0.45401379,-0.00532793,0.08957750,0.22154315,-0.39112756,-0.06089074,0.23632497,-0.32264426,0.48548397,1.49222517,3.75915027,0.32118070,0.45752448,-0.13898234,-0.05602831,0.25907359,-0.03979454,-3.93712950,-0.33913305,0.30660442,0.00000000,0.00000000,0.83962405,1.05147326,0.42077142,0.41112220,0,10:23:35.8,0,0
9,1.08291852,-1.11229205,0.03617466,-0.21672752,0.26066715,-0.09329469,0.16361205,0.85351473,0.07584501,-0.01433169,0.15678822,0.23585992,-0.16216239,-0.09712465,0.26303467,-0.34665006,0.45062679,1.43040919,4.69781017,0.34795195,0.43247423,-0.12781592,-0.03274685,0.20015697,-0.08376339,-3.90434003,-0.39323202,-0.42956266,0.00000000,0.00000000,0.72280073,0.85356259,0.35430238,0.39275774,0,10:23:35.9,0,0
10,-1.50425661,-1.11229205,0.00046588,-0.11653439,0.26066715,0.09897565,0.43132892,0.86802381,0.32351500,-0.02655443,0.10904389,0.16997933,-0.15483196,-0.07202176,0.18791790,-0.39454514,0.39631101,1.36634076,4.64935112,1.03649938,0.39867789,-0.14225616,-0.04154126,0.18110614,-0.09855245,-3.94788456,5.13917017,0.38803452,0.00000000,0.00000000,0.85945266,0.88112330,0.36292088,0.47185719,0,10:23:36.0,0,0
11,-0.76918995,3.55163598,-0.01678954,-0.28475186,1.83292568,0.00147220,0.34386280,0.83254427,0.24697968,-0.04849011,0.07218663,0.11676468,-0.42375708,-0.25842750,0.13575289,-0.37862638,0.41598925,1.44614828,4.68160915,0.28393164,0.41868433,-0.18238598,-0.05430260,0.13806766,-0.11989035,-4.00179768,-0.43354324,-0.47832203,0.00000000,0.00000000,0.63391632,0.70114970,0.29405552,0.20385477,0,10:23:36.1,0,0
12,-0.76918995,-1.84735847,0.01740488,-0.90124708,-1.56667924,-0.19176401,0.13759957,0.77386582,-0.00312256,-0.07579876,0.15049206,0.11512228,-0.28527388,-0.15793708,0.16323312,-0.45340478,0.33274829,1.34287965,4.63319254,0.22592030,0.32565191,-0.20359519,-0.08387047,0.13388100,-0.14425674,-4.08814907,5.10371494,0.35736644,0.00000000,0.00000000,0.76408076,0.68703979,0.25772196,0.34182382,0,10:23:36.2,0,0
13,1.08291852,-0.26382676,0.01740488,-0.21672752,-0.56303596,0.17762280,0.49782515,0.79845685,0.40474370,-0.09968993,0.09335675,0.06881428,-0.22379632,-0.11175631,0.09898813,-0.46414968,-0.83594239,1.28097928,5.88118315,1.54799831,0.27910236,-0.23544914,-0.06190493,0.08006085,-0.16167770,-4.07838726,5.05530643,-0.39262053,0.00000000,0.00000000,0.66306406,1.08477247,0.22555296,0.37277997,0,10:23:36.3,0,0
14,0.07927525,-0.26382676,-0.13954727,-0.21672752,0.01688082,0.10913602,0.43435290,0.77096087,0.36767185,-0.11649191,0.03680840,0.06790231,-0.32031178,-0.05984628,0.04932892,-0.49484208,-0.84558296,1.25972605,4.52207756,0.95740414,0.22699954,-0.24921283,-0.05161310,0.09309150,-0.18214266,-4.08814907,-0.52630663,0.31388807,0.00000000,0.00000000,0.82381743,0.51615310,0.21102141,0.16431698,0,10:23:36.4,0,0
15,-0.76918995,-2.49572945,0.03095225,-0.47202542,-0.65887564,-0.16256167,0.08726803,0.83767289,0.01612716,-0.03493112,0.09335675,0.09676483,-0.47246158,-0.29972899,0.10908131,-0.50042611,0.30849987,1.34287965,5.32436228,-0.73074728,0.35606810,-0.22516583,-0.07456298,0.12164000,-0.11989035,-3.88709784,-0.40225264,-0.60854274,0.00000000,0.00000000,0.76408076,0.66653913,0.40012780,0.28762358,0,10:23:36.5,0,0
16,-1.50425661,0.73981655,0.18764502,0.46644241,1.36524820,0.26364449,0.47237396,0.85865468,0.45339254,-0.00532793,0.14615001,0.24230061,-0.17912935,-0.05163228,0.23838343,-0.38671041,0.40614116,1.36326516,4.66545677,1.00998604,0.37777808,-0.16787377,-0.05958398,0.24722019,-0.04723180,-4.04305792,-0.33000833,0.36610377,0.00000000,0.00000000,0.82381743,0.81141555,0.44445673,0.39275774,0,10:23:36.6,0,0
17,-0.76918995,0.73981655,0.10169098,0.17708987,0.01688082,0.09926947,0.29707411,0.87744749,0.27166155,-0.00532793,0.27193853,0.19358854,-0.21007745,-0.17619544,0.23765792,-0.33882040,0.45062679,1.36605418,3.71040535,0.28393164,0.38640186,-0.14984696,-0.03511018,0.23273741,-0.07369421,-3.88296509,-0.33913305,-0.33091578,0.00000000,0.00000000,0.67729175,0.93812197,0.43777677,0.37311244,0,10:23:36.7,0,0
18,8.32259655,-0.26382676,0.17213568,-0.21672752,-0.56303596,-0.07831226,0.12295705,0.89001203,0.15717071,-0.00339112,0.17812695,0.22154315,-0.37974054,-0.46881476,0.25271997,-0.31479707,0.49547482,1.40781701,0.15496136,-4.27251911,0.42001933,-0.13548060,-0.05602831,0.26040250,-0.04057942,-3.83639383,-0.28898606,0.29775012,0.00000000,0.00000000,0.80005586,1.07661712,0.47884476,0.38694614,0,10:23:36.8,0,0
19,0.07927525,1.96801865,0.14059813,0.17708987,0.66525161,0.22209279,0.40774071,0.85865468,0.37523407,-0.01945681,0.16744705,0.19988474,-0.32789922,-0.06610938,0.23953554,-0.31448752,0.47050050,1.41097438,2.39467597,1.65878594,0.41116330,-0.10928216,-0.00703880,0.24722019,-0.06271058,-3.91775107,-0.33000833,-0.43845508,0.00000000,0.00000000,0.72280073,0.95654219,0.44543800,0.46080011,0,10:23:36.9,0,0
20,0.07927525,0.73981655,0.05261204,-0.34273386,-2.28784442,0.20756617,0.47598207,0.79021484,0.37194452,-0.04707669,0.01496979,0.10351836,-0.50201821,-0.21749678,0.15319197,-0.34276736,0.44071695,1.40459716,0.12202299,1.65878594,0.41014662,-0.12389025,0.00437497,0.21337885,-0.09375435,-3.90843749,5.19736052,0.26703319,0.00000000,0.00000000,0.77855510,0.52482337,0.36825061,0.22894017,0,10:23:37.0,0,0
