Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190220162217
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,  1y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,2000,1409,833,721,718,0,597,582,675,0,662,621,823,716,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Over,Over,Over,Over,Over,Over,Over,Over,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,72,72,6,6,15,15,6,6,6,6,49,49,49,49,6,6,31,31,6,6,15,15,6,6,6,6,6,6,15,15,7,7,6,6,7,7,6,6,12,12,6,6,6,6,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,62,62,62,62,47,47,60,60,6,6,6,6,6,6,62,62,7,7,6,6,6,6,7,7,7,7,6,6,15,15,14,14,6,6,6,6,6,6,6,6
Digital Gain,1.00,1.00,100.00,1.00,43.76,54.46,100.00,100.00,100.00,100.00,19.85,30.13,20.72,46.70,54.46,100.00,12.82,1.00,1.88,3.14,6.28,70.36,2.05,2.36,1.41,22.09,1.37,26.94,2.35,3.31,3.86,5.41,1.84,62.73,3.51,5.02,1.42,36.26,1.28,73.80,3.18,3.30,2.60,2.93,2.37,3.24,4.62,5.73,1.75,2.88,100.00,100.00,1.29,31.92,65.97,1.00,100.00,100.00,83.23,1.00,100.00,100.00,57.32,67.01,100.00,100.00,100.00,83.16,100.00,1.00,100.00,100.00,8.51,13.91,11.91,25.29,100.00,1.00,4.53,13.42,1.17,2.09,1.00,74.81,1.16,2.20,1.00,6.80,2.67,4.15,1.00,2.82,1.18,4.86,4.37,5.11,3.24,3.93,1.20,2.06,2.11,5.69,1.26,39.07,100.00,100.00,100.00,100.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/02/20 16:22:21
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.00000000,-2.33133340,-0.92580652,0.16207530,0.95169383,-0.19638607,-0.44891435,-1.00599289,-1.27401674,-0.30969366,-0.91522473,-0.26214504,0.05219520,-0.00537318,-0.11442138,-0.29693374,0.31354353,0.31602928,0.36901918,0.85588825,0.11152599,-0.24897681,-0.09626282,-0.10197726,-0.05833480,5.50833559,0.31848809,-0.03980470,1.13529217,0.29194885,1.08298004,-1.47106290,-2.59711146,-2.87361073,0,16:22:30.1,0,0
2,0.00000000,2.71250248,0.61261910,1.54551268,2.17989588,-0.52157652,-1.08126068,-1.00599289,-1.01664591,-0.33801192,-0.80795211,-0.25784951,-0.01970336,-0.16251993,-0.12396989,-0.31016156,-0.04461544,0.28331232,0.19095264,0.86451590,0.09249496,-0.26143649,-0.09332835,-0.12429842,-0.07961871,-1.38475013,0.05510615,0.48522601,-2.47082472,0.97935635,-3.49160695,-0.59838319,-1.80350041,-1.18071699,0,16:22:30.2,0,0
3,0.00000000,6.52762365,0.04420264,-0.31531161,-0.84624732,0.06923114,-1.39631748,-1.00599289,0.19848023,-0.35311776,-1.12814653,-0.23744790,0.06030071,0.06630340,-0.07308194,-0.21324837,0.33153218,0.30176115,0.01494335,0.07291695,0.06518849,-0.32760522,-0.14839543,-0.17417206,-0.13201366,0.00000000,-0.25062197,1.38054752,3.56926584,1.77014136,-0.41129646,0.92067158,0.00000000,0.00000000,0,16:22:30.3,0,0
4,0.00000000,-2.33133340,-0.63921404,-0.41784149,-0.05194943,-0.25940579,-0.22417614,-0.75979829,-0.86044669,-0.36221617,-1.20689321,-0.30917495,-0.06120365,-0.29700577,-0.18173307,-0.34502724,-0.27574906,0.21871118,0.21789297,0.77456909,-0.00086150,-0.34286201,-0.17409566,-0.13421607,-0.11959819,-1.38475013,0.07151736,0.21647826,1.06210268,0.97935635,1.00995100,-0.60362297,-0.20306660,-1.88967788,0,16:22:30.4,0,0
5,0.00000000,-1.10313129,0.30972007,-0.95678866,-1.35334122,-0.82538491,-5.79038048,-1.00599289,0.19848023,-0.26762450,-0.77900797,-0.18271685,-0.01925502,-0.11302781,0.00092058,-0.20206054,0.02312058,0.29594931,-0.16296718,0.20295212,0.17240843,-0.14484887,0.01190518,0.02131286,-0.00377691,0.00000000,-0.09067682,1.71454084,7.38438702,2.68784904,1.17232096,0.43241996,0.00000000,-7.92237186,0,16:22:30.5,0,0
6,0.00000000,6.52762365,-0.06019506,1.88141763,2.80684543,0.31658158,-0.91840076,-0.75979829,0.06858621,-0.25271776,-0.57964087,-0.15884915,-0.03245954,-0.21821681,0.02680540,-0.22714558,-0.13596074,0.31461751,-0.22259058,0.03466202,0.21388638,-0.13377461,0.01454041,0.04612274,0.02199379,2.43037105,0.01904278,0.76777130,-0.24636781,1.77014136,2.01359439,-2.27388024,0.00000000,-3.22805333,0,16:22:30.6,0,0
7,0.00000000,-2.33133340,0.34521684,-0.41784149,-0.90041459,-1.26298892,-1.98079932,-1.00599289,-0.91437429,-0.24331614,-0.39048567,-0.15959463,0.02731252,0.08505289,0.00192129,-0.19069453,0.55349928,0.36260170,0.08099811,0.83795071,0.24266410,-0.08844585,0.04276849,0.11712446,0.05237936,-3.61676669,0.50370932,0.21647826,-0.16609935,0.97935635,1.86011374,-1.29366553,-1.71346247,-2.15864301,0,16:22:30.7,0,0
8,0.00000000,0.48048601,0.00800889,-0.35048491,-1.00861704,0.09709477,-0.49219659,-0.49343276,-0.47172877,-0.24331614,-0.51929253,-0.16390264,-0.06038681,0.02087692,0.02575983,-0.21996145,0.39501578,0.32912579,-0.08951956,0.07011738,0.22541319,-0.10605688,0.04634745,0.05904933,0.02277055,2.43037105,-0.17541525,1.06566584,2.64572001,1.35818493,1.00995100,0.73427051,-0.20306660,-0.30614612,0,16:22:30.8,0,0
9,0.00000000,-1.10313129,-0.10063987,-0.95678866,-1.35334122,-0.73830551,-1.95969665,-0.49343276,-0.64354795,-0.25354677,-0.60723299,-0.15456030,0.05757526,-0.12612867,0.00293128,-0.23605859,0.04582897,0.35797864,0.07663518,0.44926953,0.22840245,-0.16558686,-0.01143093,0.04612274,0.00416459,2.43037105,0.04564539,0.76777130,-1.24262261,1.35818493,1.00995100,-0.34442377,0.00000000,1.04526377,0,16:22:30.9,0,0
10,0.00000000,-2.33133340,0.25702712,-1.53670549,-2.35698438,-0.50150883,-1.55239391,-1.00599289,-0.64354795,-0.27486676,-0.74776846,-0.20320320,-0.00313507,-0.07681363,-0.05105048,-0.21996145,0.21910848,0.32474118,0.12582015,0.60028738,0.15906546,-0.19003341,-0.04062389,-0.02045417,-0.03689848,-1.38475013,-0.01778628,0.48522601,-2.47082472,0.62492913,-3.49160695,-1.54643273,-1.80350041,-1.88607025,0,16:22:31.0,0,0
11,0.00000000,0.00000000,-0.29489011,4.62582302,10.55261135,-0.68097478,-1.99346054,-0.49343276,-0.35870454,-0.32133824,-0.64295107,-0.20390484,-0.05526660,-0.09950350,-0.08504658,-0.25564450,0.01399584,0.32488769,-0.05276983,0.18979286,0.15734190,-0.20919709,-0.06970873,-0.00645865,-0.03448195,0.00000000,0.19532759,1.06566584,1.33724940,1.77014136,0.66522694,1.26192498,0.00000000,4.86659098,0,16:22:31.1,0,0
12,0.00000000,-2.33133340,0.00800889,-0.93040168,-1.85708225,-0.67694712,-1.19333839,-1.27235854,-1.06912172,-0.32810387,-0.97140634,-0.25204262,-0.09895799,-0.13110171,-0.13481447,-0.29097447,-0.01765460,0.22639547,0.07436462,0.16362312,0.06740149,-0.24269812,-0.09825939,-0.10054144,-0.09700992,-1.38475013,-0.02934669,0.48522601,-2.47082472,1.35818493,1.00995100,-1.72882450,0.00000000,-3.10460567,0,16:22:31.2,0,0
13,0.00000000,2.71250248,0.10071715,1.54551268,3.76351309,1.03765881,1.05392766,-0.49343276,-0.69963193,-0.36089039,-1.10299933,-0.22542258,0.06814127,-0.00537318,-0.10939929,-0.27936351,0.30457136,0.27361450,0.04884247,0.66330880,0.06272597,-0.30477110,-0.13741107,-0.07024749,-0.09400736,2.43037105,0.23910518,0.48522601,-0.24636781,0.62492913,0.16148576,-0.01130999,-0.20306660,0.42853215,0,16:22:31.3,0,0
14,0.00000000,2.71250248,-0.45580232,1.03295243,-1.35334122,0.11248585,-0.64513725,-0.75979829,-0.29896024,-0.38042426,-1.01773810,-0.28633872,-0.09787809,-0.12773857,-0.18506046,-0.32762161,-0.06701005,0.22299400,-0.08574998,0.25379375,-0.01044484,-0.35099232,-0.20032014,-0.17272170,-0.14992166,2.43037105,-0.14752465,0.76777130,-1.24262261,0.97935635,-0.33841634,-0.00776193,-1.80350041,-0.70173788,0,16:22:31.4,0,0
15,0.00000000,0.48048601,-0.07938554,-0.35048491,-0.00497380,-0.26525900,-0.19462712,-0.49343276,-1.06912172,-0.27486676,-0.83353376,-0.19998303,-0.01574317,-0.10547043,-0.04130743,-0.31016156,0.14216290,0.30176115,0.00341735,0.72380280,0.12958735,-0.23503789,-0.06234167,-0.01432775,-0.02862652,-1.38475013,-0.09038005,0.48522601,-0.16609935,1.35818493,1.96661854,-1.09231710,1.60043383,-1.80341613,0,16:22:31.5,0,0
16,0.00000000,-1.10313129,0.30972007,-0.35048491,-0.00497380,-0.47218344,-0.64961064,-0.49343276,-0.52958167,-0.23307857,-0.72279358,-0.11445029,0.15231587,-0.04490098,0.06071164,-0.14794980,0.08246115,0.35791767,0.10708518,0.26470599,0.25701049,-0.12509307,0.02549684,0.08920363,0.03405900,0.00000000,-0.14777698,1.06566584,3.56926584,1.77014136,-1.63949847,0.43454441,0.00000000,0.93206501,0,16:22:31.6,0,0
17,0.00000000,6.52762365,0.05567009,2.27875733,1.45847809,0.30738494,0.06361533,-0.49343276,-0.29896024,-0.23226504,-0.42998296,-0.11029436,-0.02740162,-0.10323098,0.04087752,-0.19558741,0.08246115,0.34815672,-0.05897310,0.30476624,0.22823279,-0.09289762,0.07008141,0.11309489,0.05236198,0.00000000,0.21031180,0.76777130,0.34099463,1.35818493,1.96661854,0.73427051,1.60043383,2.28483605,0,16:22:31.7,0,0
18,0.00000000,6.52762365,0.52191216,0.42664871,1.45847809,-1.09177768,-2.49207425,-0.49343276,-0.23861878,-0.22188030,-0.42998296,-0.11029436,0.08486971,-0.07102535,0.04087752,-0.17549454,-0.06698059,0.34815672,-0.02825617,0.34512016,0.23404972,-0.04091879,0.08750629,0.13772081,0.06912858,0.00000000,0.13292550,1.06566584,0.34099463,1.77014136,1.00995100,0.25840908,0.00000000,0.42853215,0,16:22:31.8,0,0
19,0.00000000,0.48048601,0.54657388,0.81044614,2.92185616,0.56880748,0.68472284,-1.00599289,-0.17754981,-0.21325672,-0.49125499,-0.12715247,0.05601558,-0.16787606,0.00092058,-0.20730159,-0.08543718,0.34815672,-0.01940185,0.74257118,0.23404972,-0.03842438,0.09846273,0.09500039,0.05026323,2.43037105,0.25794446,0.76777130,1.06210268,1.35818493,1.96661854,0.34333310,-0.20306660,0.86214602,0,16:22:31.9,0,0
