Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190225154642
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,  1y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,2000,1409,868,742,713,0,607,588,705,0,702,644,813,710,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Over,Over,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,72,72,6,6,62,62,6,6,6,6,49,49,44,44,6,6,31,31,7,7,6,6,6,6,6,6,6,6,15,15,15,15,6,6,6,6,6,6,7,7,7,7,6,6,7,7,7,7,6,6,6,6,7,7,6,6,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,62,62,62,62,6,6,44,44,6,6,6,6,6,6,6,6,14,14,6,6,6,6,7,7,6,6,6,6,12,12,22,22,6,6,6,6,6,6,6,6
Digital Gain,100.00,100.00,100.00,1.00,100.00,100.00,100.00,100.00,100.00,100.00,20.29,36.36,5.44,19.61,98.79,100.00,8.32,100.00,2.36,4.87,8.10,100.00,1.76,2.21,1.08,16.94,1.22,20.01,2.68,3.88,3.41,5.12,1.23,30.17,2.18,3.28,1.59,41.67,1.46,45.49,3.19,3.74,1.92,2.38,2.60,3.75,2.47,3.51,1.70,2.92,100.00,1.00,1.82,61.24,100.00,1.00,100.00,100.00,1.00,1.00,100.00,100.00,53.31,70.06,100.00,100.00,100.00,96.00,100.00,1.00,100.00,100.00,8.79,17.56,12.16,32.91,62.25,100.00,2.03,8.94,1.31,2.02,1.04,2.59,1.26,2.53,1.00,1.00,1.88,3.11,1.38,3.08,1.31,2.74,1.00,6.42,1.99,2.73,1.21,2.10,1.71,4.15,1.40,50.82,100.00,100.00,100.00,100.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/02/25 15:46:44
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,-0.29995593,7.18076372,-0.74934220,0.68117678,1.51826620,0.82680655,-0.17129792,0.21307848,0.44232282,-0.09029149,-0.71457762,0.05667467,0.03724253,-0.10715650,0.17959046,-0.07577709,0.08099953,0.11625571,-0.39690575,-0.30652541,0.27097210,-0.00339976,0.00572161,-0.00949154,-0.06029333,0.00000000,-0.52414197,1.42102253,5.52995253,0.00000000,0.00000000,0.12043235,0.00000000,0.00000000,0,15:46:53.1,0,0
2,1.93206048,-1.67819357,-0.74934220,-2.13064265,-4.60192156,-1.49868321,-0.27404660,-0.70881093,0.14358364,-0.10401873,-1.74475920,0.02600645,-0.11615334,-0.23574588,0.09023095,-0.17055285,-0.17452715,0.11625571,-0.12718205,-0.02150419,0.24977010,0.00776147,0.01316083,-0.02258107,-0.03667913,2.09287500,-0.06901148,0.68595594,-0.51718503,0.00000000,1.00125599,-0.36198509,0.00000000,0.47041333,0,15:46:53.2,0,0
3,5.74718189,-1.67819357,-0.74934220,-0.80876541,-1.29355311,-1.54356337,-1.00860345,0.41268644,0.14358364,-0.07637814,0.02738270,0.01291091,-0.06280554,-0.06977876,0.09362508,-0.12621662,0.07641977,0.10925695,-0.00523116,-0.00753349,0.25269040,0.00595752,0.00306500,-0.01315320,-0.04422732,0.00000000,-0.06901148,1.42102253,5.52995253,0.00000000,-1.30346942,-0.24717382,0.00000000,0.97740823,0,15:46:53.3,0,0
4,-0.29995593,-1.67819357,0.20732541,-2.13064265,-3.14566159,1.06126630,0.48001727,-0.70881093,3.10973024,-0.11102235,-0.78809160,-0.00841746,-0.13916567,-0.35913134,0.08212233,-0.18110873,-0.19753996,0.11748787,-0.14992820,0.08798885,0.23891762,-0.03968527,-0.02614499,-0.00851411,-0.05232360,2.09287500,0.30647802,0.03758509,0.36441898,0.00000000,1.00125599,0.24706222,-1.71987855,0.81510460,0,15:46:53.4,0,0
5,0.00000000,1.13362575,0.20732541,-0.16039459,0.05481428,-2.86283612,-1.40057099,-1.11765814,0.01966781,-0.13376848,-0.86516380,-0.01026601,0.00595079,-0.24964602,0.09005856,-0.15383589,-0.20678666,0.10246146,0.06848914,0.06954815,0.22088012,-0.06086239,-0.02427970,-0.06699914,-0.07986967,2.09287500,0.04122262,0.03758509,-0.51718503,0.00000000,-2.88708663,0.70017314,-1.71987855,1.31493771,0,15:46:53.5,0,0
6,-0.29995593,1.13362575,0.83427507,0.57467198,1.28301632,-2.88568950,-1.07165134,-0.26714337,-0.52145135,-0.12434812,-0.12320349,-0.07058951,-0.16791666,-0.10209264,0.01261919,-0.17159666,0.11425670,0.11337290,0.17262261,-0.11367105,0.21547234,-0.09371492,-0.08303526,-0.06595383,-0.09072231,2.09287500,0.41144291,0.03758509,2.66914439,0.00000000,0.76600611,-2.15991116,1.02670276,-4.30164623,0,15:46:53.6,0,0
7,-0.29995593,-4.26536846,1.79094267,-1.78602183,-2.22406387,-1.06154203,-0.80734384,-1.11765814,-0.22009671,-0.16941248,-0.90102404,-0.06407723,-0.09510627,-0.12506659,0.05183694,-0.15774024,0.18224865,0.11259247,0.16362838,0.00091148,0.20191415,-0.11079011,-0.09727393,-0.10264695,-0.11343069,-1.72224617,-0.02375982,0.03758509,0.36441898,0.00000000,1.00125599,1.05155528,1.02670276,0.26122433,0,15:46:53.7,0,0
8,-0.29995593,-0.44999155,0.83427507,-0.90235496,-1.29355311,0.11614164,0.02430991,1.31482196,-4.15782642,-0.09701248,-0.75148588,-0.10472919,-0.17840353,-0.25615627,0.01874679,-0.20316920,-0.10098836,0.10364912,0.15013652,0.09821050,0.18130299,-0.12698373,-0.11322150,-0.12289602,-0.11799514,0.00000000,-0.03297245,0.68595594,5.52995253,0.00000000,0.92854691,-2.10805082,0.00000000,3.92203045,0,15:46:53.8,0,0
9,1.93206048,-0.44999155,1.79094267,-0.90235496,-1.29355311,0.66138113,0.28419253,1.41906440,2.63647509,-0.05149343,-0.00952557,-0.01756326,-0.07700273,-0.15343265,0.06857517,-0.13974844,0.05340746,0.10320937,-0.03701216,0.06954815,0.23619941,-0.04705747,-0.03523614,-0.03748075,-0.04507624,2.09287500,-0.10221639,0.03758509,-0.51718503,0.00000000,1.00125599,-0.56366771,0.00000000,-1.04006398,0,15:46:53.9,0,0
10,-0.29995593,3.36564207,-0.74934220,0.57467198,1.28301632,0.72602397,0.38008350,0.89290828,3.34055591,-0.05605615,0.06454010,0.01847628,-0.07659028,-0.06051918,0.10726121,-0.11247560,0.17399336,0.13395680,0.23147509,-0.04003856,0.27751797,-0.01088285,-0.00971811,-0.02815052,-0.05349461,2.09287500,0.12119219,0.68595594,2.59643531,0.00000000,-1.81056345,-0.71230239,-1.71987855,-0.53322983,0,15:46:54.0,0,0
11,-3.11177540,3.36564207,1.79094267,0.57467198,-0.06535105,0.74294847,0.26214752,0.41268644,1.76143157,-0.07637814,-0.00952557,0.01381653,0.00957012,-0.06051918,0.09316066,-0.09416173,0.09022760,0.13555010,-0.11806826,-0.04933966,0.26922560,-0.03043388,-0.03450835,-0.03657667,-0.03494472,0.00000000,-0.07851057,0.68595594,1.71483135,0.00000000,0.52818966,-1.25186896,0.00000000,-4.13955736,0,15:46:54.1,0,0
12,-1.88357329,3.36564207,-0.74934220,0.68117678,-0.78645897,-2.95460916,-1.10770631,-0.26714337,0.31671226,-0.09501661,-1.67124522,0.03158115,-0.10693261,-0.03727369,0.09891324,-0.07577709,0.10412774,0.17019750,0.14121419,-0.14762031,0.30983189,0.02175708,0.02512881,0.01319427,-0.02008010,0.00000000,-0.04996363,1.42102253,5.52995253,0.00000000,2.76020598,0.19680710,0.00000000,2.44070244,0,15:46:54.2,0,0
13,1.93206048,1.13362575,0.83427507,-0.16039459,-0.06535105,-2.76138735,-1.05369794,0.21307848,0.14358364,-0.06713142,0.02738270,-0.02420983,-0.22672762,-0.06051918,0.06269906,-0.13984166,0.09022760,0.12731917,-0.24503048,-0.03543952,0.23891762,-0.01934950,-0.02078157,-0.01689081,-0.05349461,2.09287500,0.12589811,0.68595594,1.71483135,0.00000000,-1.30346942,-0.71230239,0.00000000,0.74201846,0,15:46:54.3,0,0
14,5.74718189,-1.67819357,0.83427507,0.44590914,-0.94882900,-0.28201461,-0.24466112,1.41906440,-0.10151979,-0.06522067,0.02738270,-0.04067697,-0.22981842,-0.12569089,0.02155491,-0.09416173,0.15555267,0.12573253,-0.01432231,0.06954815,0.22623090,-0.04795607,-0.02427970,-0.04112914,-0.06525072,2.09287500,0.27352864,0.68595594,2.66914439,0.00000000,-1.30346942,-0.41619769,0.00000000,0.20885691,0,15:46:54.4,0,0
15,-0.29995593,-1.67819357,0.83427507,-0.80876541,-2.29719639,-2.06909728,-1.03266120,-1.11765814,0.01966781,-0.13806629,-0.86516380,-0.03314494,-0.10627437,-0.09752053,0.06567010,-0.15785564,0.12800662,0.12234508,0.08201345,-0.09077337,0.21547234,-0.06629521,-0.04696956,-0.06788438,-0.06698275,2.09287500,0.22210468,0.03758509,-0.51718503,0.00000000,-1.30346942,-1.10399270,0.00000000,-2.11676168,0,15:46:54.5,0,0
16,5.74718189,-0.44999155,0.20732541,-3.20739007,-0.18388869,0.76136827,0.21646152,0.21307848,-4.11872387,-0.13806629,-0.82901239,-0.05230638,-0.09057177,-0.21483766,0.04094318,-0.16728748,-0.14824460,0.09350389,-0.05053647,0.02825218,0.19373026,-0.07911708,-0.04138935,-0.12793426,-0.12855826,2.09287500,-0.46173745,0.68595594,1.71483135,0.00000000,-1.30346942,-1.73024857,0.00000000,7.73766422,0,15:46:54.6,0,0
17,-3.11177540,1.13362575,0.83427507,1.18097568,1.28301632,0.33870897,-0.05227242,-1.11765814,-2.01137114,-0.17837006,-1.92877305,-0.09026276,-0.13102470,-0.25156155,0.01874679,-0.21278499,-0.09186362,0.08654346,-0.07759754,-0.03987465,0.15705237,-0.12698373,-0.11322150,-0.11176790,-0.11799514,0.00000000,0.34217271,0.68595594,1.71483135,0.00000000,4.74366856,0.90224355,0.00000000,4.63056707,0,15:46:54.7,0,0
18,-0.29995593,-1.67819357,-0.74934220,0.44590914,0.05481428,-1.87802827,-0.55720758,2.71741176,-0.13977377,-0.09259312,-0.12320349,-0.01299116,-0.12438157,-0.26808670,0.09362508,-0.15383589,-0.12534690,0.12494755,0.20874780,0.03285040,0.25819615,-0.05714350,-0.06049388,-0.04590690,-0.06274600,2.09287500,-0.35922104,0.68595594,1.71483135,0.00000000,1.00125599,-1.25186896,0.00000000,-0.48618382,0,15:46:54.8,0,0
19,-1.88357329,-0.44999155,0.83427507,-0.20246169,1.01148188,0.70432723,0.28709334,0.41268644,3.37848711,-0.04411862,-0.71457762,0.02598280,-0.11615334,-0.27140135,0.11258357,-0.13409697,-0.07461208,0.12494755,0.13202125,-0.16625902,0.29881167,0.00219120,-0.01990896,-0.00949154,-0.03782819,2.09287500,-0.05949597,0.68595594,1.71483135,0.00000000,-1.30346942,-0.71230239,0.00000000,-1.41679811,0,15:46:54.9,0,0
