Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190220154729
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,  1y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,2000,1409,718,654,703,0,617,594,675,0,652,615,903,763,1464,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under
Analog Gain,124,124,6,6,124,124,6,6,6,6,31,31,7,7,60,60,24,24,7,7,31,31,6,6,6,6,6,6,15,15,6,6,6,6,7,7,6,6,7,7,6,6,6,6,6,6,7,7,6,6,124,124,12,12,15,15,124,124,12,12,124,124,31,31,6,6,31,31,6,6,6,6,62,62,49,49,15,15,31,31,6,6,6,6,6,6,31,31,6,6,6,6,6,6,14,14,12,12,6,6,12,12,24,24,6,6,72,72,6,6,6,6
Digital Gain,100.00,1.00,1.00,1.00,100.00,100.00,100.00,100.00,100.00,100.00,7.68,21.55,5.68,14.96,16.02,16.10,5.86,9.38,2.44,3.82,3.68,38.16,2.74,3.14,1.63,24.89,1.88,40.60,2.51,3.44,3.94,5.69,1.89,73.63,3.47,5.04,2.30,94.97,2.43,100.00,3.73,3.94,3.27,3.69,2.68,3.98,4.70,5.89,2.18,3.89,100.00,100.00,1.86,100.00,1.73,28.72,100.00,100.00,16.90,100.00,100.00,100.00,37.75,51.79,92.82,100.00,89.77,94.16,100.00,1.00,99.49,100.00,5.53,10.25,7.37,29.89,3.44,9.02,2.60,5.76,1.57,2.15,1.03,19.02,1.00,15.10,3.88,4.15,2.53,4.00,1.00,4.38,1.00,5.00,4.77,7.30,2.29,2.95,1.18,2.13,1.70,4.39,1.79,82.74,10.05,100.00,9.25,9.30,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/02/20 15:47:31
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.00000000,0.00000000,1.24331748,0.20536737,-0.72049004,0.78017354,0.30155027,2.02301335,0.40200722,0.14204587,-0.46142957,0.64759427,0.15544139,0.14944051,0.24303745,0.59218067,0.16102584,1.25797498,-1.86364257,0.19518891,0.42311966,0.22723506,0.49105248,0.54730183,0.82867730,0.40179992,0.55737162,0.06994115,-3.30457664,-0.29567209,3.14938641,0.75419080,-0.03337396,0.66533661,0,15:47:41.1,0,0
2,0.00000000,0.00000000,0.01511537,0.71792758,-0.72049004,0.47138950,0.02983098,2.02301335,0.29406324,0.16741142,-0.38391635,0.61812711,0.04451007,0.04171604,0.21919121,0.61977309,-0.38718471,1.27613449,-1.84550297,-0.76147866,0.44281507,0.22723506,0.45689267,0.61577767,0.86288273,0.40179992,0.58865148,0.00303177,-3.30457664,2.11265612,0.91736996,0.65091664,-0.03337396,1.38403237,0,15:47:41.2,0,0
3,0.00000000,0.00000000,0.01511537,-0.51036006,-0.60032487,0.68225455,0.29908225,2.02301335,0.28590047,0.14380036,-0.49140254,0.61658746,0.10107949,-0.16265033,0.20481281,0.53181535,-0.14826059,1.28349459,-1.10180426,0.14407307,0.41194004,0.21526995,0.45046192,0.54730183,0.84966987,0.40179992,-2.24007010,-0.00704178,-3.30457664,-0.19206917,1.80101907,-0.40739891,-0.03337396,-0.95469844,0,15:47:41.3,0,0
4,0.00000000,0.00000000,-0.38222420,0.71792758,2.21149468,1.06153560,0.56050706,4.32794523,0.53122556,0.10239173,-0.36950061,0.59508502,0.11807636,-0.02554877,0.16963173,0.59593809,-0.14826059,1.25797498,-1.13197875,0.87586713,0.39243671,0.20538458,0.43391773,0.55556327,0.83644581,-1.90292549,0.49010685,-0.03217568,-3.30457664,-0.39728725,-0.43099746,0.68342662,-0.03337396,1.27923489,0,15:47:41.4,0,0
5,0.00000000,0.00000000,0.50135708,1.16198337,0.35634276,0.45608908,0.17493297,2.02301335,0.16904964,0.08919945,-0.73286355,0.56002766,-0.02190012,0.02646696,0.12937471,0.47821307,0.04197780,1.25071502,-1.17393279,1.43155575,0.35124183,0.16630419,0.41752374,0.48342794,0.80176729,0.40179992,-0.04818030,0.12446402,0.00000000,1.90743804,0.91736996,-0.07008512,-0.03337396,-1.24015880,0,15:47:41.5,0,0
6,0.00000000,0.00000000,0.50135708,1.45299411,2.21149468,0.00930201,-0.12976137,4.32794523,0.07567835,0.08957100,-0.72978294,0.52523464,0.00707649,-0.12229781,0.10102927,0.50154269,-0.53712618,1.27613449,-1.16198897,-2.23179817,0.37349695,0.15439522,0.37205976,0.45434853,0.77752095,-1.90292549,0.38828313,0.10455435,0.00000000,-0.39728725,-0.43099746,1.47993541,-0.03337396,4.29699516,0,15:47:41.6,0,0
7,0.00000000,-3.67364120,0.50135708,-0.59096855,1.09830308,0.63693982,0.31006366,2.02301335,0.25513902,0.02746292,-1.10212886,0.52426863,0.12214193,-0.02899334,0.06437878,0.52151811,-0.26137146,1.19898903,-1.97109580,-0.96825594,0.28351125,0.05675560,0.29911688,0.37130523,0.70623827,-1.90292549,0.29323083,0.06488875,0.00000000,1.80759239,0.91736996,-0.11223479,-0.03337396,1.38013935,0,15:47:41.7,0,0
8,0.00000000,0.00000000,0.50135708,0.51361251,1.58454490,0.06595170,-0.14644279,2.02301335,-0.06119247,0.00208132,-1.16985965,0.48184365,0.11527924,0.04780802,0.03294212,0.51121807,0.18995549,1.22637355,-0.17699380,1.26295018,0.27029264,0.01720567,0.27991927,0.34694567,0.70029706,0.40179992,-0.26229310,0.09323258,0.00000000,1.70959663,-0.43099746,-0.07008512,0.40838629,-0.66626090,0,15:47:41.8,0,0
9,0.00000000,-3.67364120,0.50135708,-0.51036006,-0.64730054,0.46461749,0.15606137,2.02301335,0.22422127,0.02746292,-1.14457250,0.53386825,0.07059538,-0.34461084,0.07298578,0.41501695,-0.93765193,1.19898903,-2.01233149,-0.05101508,0.29109403,0.04872032,0.29823726,0.38970011,0.70765561,0.40179992,-2.47347283,-0.05913249,0.00000000,1.80759239,-0.43099746,0.16671357,-0.03337396,1.03316653,0,15:47:41.9,0,0
10,0.00000000,0.00000000,0.50135708,0.06955674,-0.60032487,0.33828452,0.00071174,2.02301335,0.13899900,0.13592343,-0.62438649,0.57411146,-0.07919104,-0.04605218,0.16089684,0.59218067,-0.19479409,1.26651287,-2.82321739,-2.17112827,0.42311966,0.19113393,0.42840883,0.51032966,0.78525686,-1.90292549,0.53655225,-0.03217568,0.00000000,1.90743804,-0.43099746,0.66597760,-0.03337396,2.79583097,0,15:47:42.0,0,0
11,0.00000000,0.00000000,0.50135708,1.16198337,2.32650518,0.21583128,0.02884465,2.02301335,0.13341331,0.16278420,-0.63019639,0.66388893,-0.07050209,0.00541392,0.21476752,0.55893928,-0.43931770,1.31869018,-1.10180426,-0.76147866,0.44300973,0.22723506,0.46892470,0.68060845,0.88893038,-1.90292549,0.63593984,0.11029738,0.00000000,-0.19206917,-0.43099746,0.70538497,-0.03337396,1.77129912,0,15:47:42.1,0,0
12,0.00000000,0.00000000,0.50135708,1.25562441,1.70460689,0.55286443,0.20399518,2.02301335,0.22994898,0.15390170,-0.37801072,0.69163513,0.25098535,0.13395783,0.22774102,0.57917899,-0.12746677,1.31869018,-0.47010824,0.19518891,0.46596456,0.20655864,0.45366508,0.60107988,0.85202730,-1.90292549,-2.18797088,-0.06305702,0.00000000,2.00905323,-0.43099746,-0.11575937,-0.03337396,-0.34467420,0,15:47:42.2,0,0
13,0.00000000,-7.45502043,0.50135708,-0.51036006,-1.60396814,0.04067586,-0.19715098,2.02301335,-0.04803486,0.16278420,-0.27099016,0.68354917,0.24563967,0.25041234,0.24795716,0.59593809,0.12974605,1.30925763,-1.07757473,0.19518891,0.42343667,0.20324247,0.45366508,0.48337495,0.78855443,0.40179992,0.55737162,0.00303177,0.00000000,2.00905323,-0.43099746,0.65091664,-0.35032511,2.12125158,0,15:47:42.3,0,0
14,0.00000000,-3.67364120,-0.45531046,-0.51036006,-1.60396814,0.82518744,0.49098873,2.02301335,0.30984825,0.13926190,-0.49140254,0.61919355,0.00461320,0.08249173,0.14397858,0.54857445,-0.17417563,1.28481305,-1.84550297,-0.83800685,0.42343667,0.11827802,0.37308872,0.49136925,0.79690349,-1.90292549,0.46452117,-0.02214845,0.00000000,2.00905323,-0.43099746,0.49403507,-0.03337396,-0.41528267,0,15:47:42.4,0,0
15,0.00000000,0.00000000,-0.45531046,1.55366588,2.32650518,0.55409688,0.21537183,2.02301335,0.10775007,0.11267555,-0.78274584,0.59936446,0.34910399,0.16337851,0.12218205,0.56854987,0.04197780,1.30039001,-1.16198897,0.79010904,0.35469311,0.07470466,0.36596856,0.45462069,0.77046430,0.40179992,-0.09368756,0.03991407,0.00000000,1.90743804,-0.43099746,0.04317958,-0.03337396,-0.30998072,0,15:47:42.5,0,0
16,0.00000000,0.00000000,2.08497453,0.51361251,1.58454490,0.48436105,0.24309057,2.02301335,0.25762957,0.11108971,-0.75818384,0.61621034,0.15336813,-0.24929804,0.08839497,0.48797318,-0.85157871,1.27478516,-1.18585038,0.04814873,0.36258173,0.09465005,0.34126320,0.40706021,0.70765561,0.40179992,0.35811836,0.00006907,0.00000000,1.80759239,0.91736996,0.16589227,-0.03337396,2.27816510,0,15:47:42.6,0,0
17,0.00000000,-3.67364120,1.12830687,-0.06630431,-0.64730054,0.30286595,0.17792189,2.02301335,0.02202287,0.05188814,-0.92945224,0.51468110,-0.00164543,-0.15753725,0.03674311,0.47821307,-0.01404696,1.31720018,-0.06493533,-0.00168711,0.34752992,0.04872032,0.31379443,0.35660148,0.67578536,-1.90292549,-0.21327288,-0.04437640,0.00000000,1.80759239,3.14938641,0.29725811,-0.03337396,0.27417371,0,15:47:42.7,0,0
18,0.00000000,-7.45502043,0.50135708,-0.59096855,-1.49576569,-0.04110412,-0.19082196,2.02301335,-0.14838535,0.03484345,-0.83698463,0.49271306,0.25033227,0.16698331,0.00844152,0.48808485,0.41062799,1.26606178,-0.13597803,0.68107164,0.29559103,0.00549062,0.27119663,0.33964935,0.68118674,0.40179992,2.00865579,-0.10310441,0.00000000,1.61324525,-0.43099746,-0.18503796,-0.03337396,-0.81104296,0,15:47:42.8,0,0
19,0.00000000,0.00000000,-0.45531046,0.71792758,1.58454490,0.67699343,0.50710809,2.02301335,0.19343431,0.01241012,-1.23884535,0.44936320,0.02920602,0.33452365,-0.04301302,0.43887237,0.37558112,1.25071502,-1.25689316,-0.10969130,0.25533116,-0.05160649,0.22995529,0.31444633,0.64960259,-1.90292549,-0.33988798,-0.12733535,0.00000000,1.61324525,-0.43099746,0.39174339,-0.03337396,1.03316653,0,15:47:42.9,0,0
20,0.00000000,0.00000000,-0.45531046,-1.04930723,-4.25341749,0.61502963,0.33528519,2.02301335,0.34037563,0.10272953,-0.90915215,0.61621034,0.19230743,-0.03901187,0.09801867,0.49818847,-0.00390877,1.30039001,-0.55452245,0.03313807,0.40077788,0.12476712,0.35608548,0.44408092,0.74668807,0.40179992,-2.36304379,-0.05719535,0.00000000,1.90743804,0.91736996,-0.11575937,-0.03337396,-1.08190036,0,15:47:43.0,0,0
