Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190225151133
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,  1y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,2000,1409,983,810,698,0,647,612,660,0,682,632,798,701,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0
Signal Check Result,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Over,Over,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under
Analog Gain,31,31,6,6,98,98,6,6,6,6,31,31,31,31,6,6,31,31,7,7,6,6,6,6,7,7,7,7,15,15,15,15,7,7,6,6,7,7,15,15,6,6,6,6,7,7,7,7,6,6,72,72,7,7,31,31,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,62,62,62,62,15,15,30,30,6,6,7,7,6,6,6,6,7,7,6,6,6,6,7,7,7,7,6,6,6,6,7,7,6,6,6,6,6,6,6,6
Digital Gain,75.04,1.00,100.00,1.00,100.00,100.00,100.00,100.00,100.00,100.00,31.52,48.81,33.08,70.67,100.00,1.00,12.43,1.00,1.87,3.61,19.52,100.00,1.91,2.34,2.15,39.75,1.87,31.82,2.93,4.09,4.99,7.44,1.89,63.66,2.60,3.85,3.52,100.00,1.72,100.00,2.83,3.20,2.68,3.25,2.51,3.32,4.98,6.67,1.76,2.88,1.00,1.00,2.86,100.00,2.20,100.00,100.00,100.00,1.00,1.00,100.00,100.00,52.42,79.34,100.00,100.00,83.09,99.19,100.00,1.00,96.85,100.00,8.40,14.80,11.46,27.90,36.53,100.00,1.97,6.44,1.24,2.01,1.87,1.00,1.00,8.25,40.40,1.00,3.59,5.81,1.00,4.82,1.00,12.85,2.30,2.98,100.00,100.00,100.00,100.00,1.40,2.47,2.21,100.00,25.17,100.00,1.00,100.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/02/25 15:11:36
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,-0.40251791,-0.94550323,0.91166359,-0.95381868,-3.47811365,2.04420209,2.09388161,0.00000000,0.36929280,-0.00548086,-0.74384516,0.03065372,-0.04526509,-0.22362700,0.13922700,0.18869421,-0.14168647,0.29351723,-2.74187660,-2.90622902,0.25248212,0.03486912,0.08556230,0.01715198,-0.10265729,0.00000000,0.03631428,-0.71459514,5.88558102,0.00000000,4.16777658,4.26317263,0.00000000,11.55455780,0,15:11:45.1,0,0
2,0.74047792,1.86631620,0.91166359,1.12951195,1.40318108,0.55396253,0.63532102,-0.46222040,-0.11305656,-0.08918265,-0.25051036,-0.02020010,-0.11100610,0.09492736,0.06408562,0.18457803,0.03742433,0.27119511,-0.46457440,-0.58320069,0.23020133,0.02593340,0.06454138,-0.01568386,-0.13683288,0.00000000,0.70383763,0.01040227,-0.26301616,0.00000000,0.51468384,2.23909044,-0.84235430,4.55196476,0,15:11:45.2,0,0
3,-0.40251791,-1.94914651,0.91166359,-2.18210626,-4.48175716,-0.09945742,-0.39745754,1.12139690,-0.28755453,-0.07281499,2.64313364,-0.07032195,-0.30662474,-0.12703264,-0.01902707,0.09066984,-0.17796065,0.24996045,-2.78537989,-2.96083164,0.18282285,-0.04251859,-0.00036157,-0.08297810,-0.18394549,0.00000000,0.61327350,-0.10322137,2.07045960,0.00000000,2.39823961,0.44474462,0.00000000,0.10817056,0,15:11:45.3,0,0
4,-0.04723214,7.91345406,-1.62862134,1.63335633,1.56572211,1.44008386,1.42346537,-0.46222040,0.12035917,-0.14238970,-0.42246792,-0.06729416,-0.21026617,-0.14017935,0.00545060,0.14618607,-0.16891432,0.24258448,0.36215174,-0.65610623,0.19071549,-0.02419609,0.01033042,-0.03820703,-0.18488051,0.00000000,-1.08535445,-0.45355073,0.00000000,0.00000000,6.21336079,2.33179760,0.00000000,0.00000000,0,15:11:45.4,0,0
5,0.33251199,-0.94550323,-0.04500406,-0.86022919,-3.02549696,-1.57878733,-2.68788838,-0.46222040,-0.17340489,-0.16225806,-0.50864911,-0.11663169,-0.29513162,0.03722070,-0.05031414,0.11600740,0.48269540,0.23513061,0.20672251,-0.71017206,0.16120699,-0.06547163,-0.03050845,-0.11344875,-0.24990639,0.00000000,0.50738150,-0.16530167,2.07045960,0.00000000,-3.30095005,0.40485159,-0.84235430,-0.05926013,0,15:11:45.5,0,0
6,1.18104219,4.09833241,0.91166359,1.12951195,2.98679829,-0.32707235,0.43503493,-0.46222040,-0.45228228,-0.06770103,2.47117591,-0.04032521,-0.25710148,-0.16648687,-0.02722896,0.08729493,0.16851377,0.22845970,-0.55080742,0.63819534,0.16451223,-0.08634908,-0.01812548,-0.06063809,-0.17761904,0.00000000,0.69079322,0.28918228,0.45809200,0.00000000,0.58739269,-0.02031413,0.00000000,1.69173038,0,15:11:45.6,0,0
7,-0.04723214,-1.94914651,-0.04500406,-0.83384222,-0.82866442,-0.80758089,-1.06333447,-1.69042253,-0.22850820,-0.03348036,2.55429435,0.04774759,0.13556018,-0.15427604,0.11869133,0.12665138,-0.16891432,0.27168748,-0.46457440,0.70131487,0.25248212,-0.00175365,0.03115112,0.02091397,-0.10531442,0.00000000,-0.88501149,0.03594425,-0.16155683,0.00000000,0.58739269,1.01252413,-0.84235430,0.84934938,0,15:11:45.7,0,0
8,-0.40251791,-1.94914651,-0.67195374,-0.83384222,-0.82866442,0.23081592,0.29237217,1.12139690,-0.50467634,-0.03270083,-1.00995910,0.02550231,0.04686247,-0.06060458,0.05912067,0.12967071,0.06474227,0.26996252,-0.45269176,-0.59235996,0.23384921,0.04832800,0.07645644,-0.02830266,-0.13023746,0.00000000,0.00990229,0.01890268,-0.26301616,0.00000000,-1.41739416,0.01008529,-0.84235430,1.24829876,0,15:11:45.8,0,0
9,-0.04723214,0.28269890,-0.67195374,0.39444542,0.05481365,-0.04142642,0.53392029,1.12139690,-0.34153247,-0.01515786,1.38054323,0.03404229,0.04686247,-0.06060458,0.08112224,0.12665138,0.06474227,0.26996252,-1.39350939,-0.59235996,0.23920856,0.01537728,0.04563864,-0.05091802,-0.13023746,0.00000000,-0.00325697,0.36143538,5.62209272,0.00000000,0.58739269,-3.64657187,0.00000000,-4.38591766,0,15:11:45.9,0,0
10,0.33251199,4.09833241,-1.62862134,2.49053741,6.17548227,-0.71168119,-0.87533635,1.12139690,-0.28755453,-0.02475756,2.72891045,0.04692148,0.04686247,-0.14089343,0.09518795,0.13031572,-0.10056199,0.27951688,0.30511862,-2.88792610,0.25227284,0.01252910,0.05372916,-0.03189160,-0.13676962,0.00000000,0.72563034,-0.33992711,-0.26301616,0.00000000,0.51468384,-0.57728487,0.00000000,0.38617799,0,15:11:46.0,0,0
11,0.33251199,0.28269890,-0.67195374,-0.95381868,-3.47811365,-0.19847646,-1.21581280,-1.69042253,0.12035917,-0.08053528,-0.33934951,-0.02020010,-0.25918591,-0.29021472,0.00851899,0.07171060,-0.31700498,0.25213885,-1.39350939,0.08354924,0.20909683,-0.00078738,0.03646069,-0.08297810,-0.19569294,0.00000000,-1.07249200,-0.02776887,2.07045960,0.00000000,0.51468384,-4.57548046,0.00000000,-3.15761280,0,15:11:46.1,0,0
12,0.33251199,-4.18104887,-1.62862134,-1.83748543,-2.10389924,-1.12950778,-0.88968021,17.84783936,-0.77175987,-0.04344572,3.51096201,-0.04233180,0.10618204,0.08505514,0.01035525,0.10363665,0.38071957,0.23295565,1.78132451,2.36829233,0.14480175,-0.06457438,-0.03230830,-0.07292107,-0.20110799,0.00000000,2.12935781,0.48646557,0.45809200,-12.53166008,-0.92303497,-0.31635171,-0.55940253,-1.04944134,0,15:11:46.2,0,0
13,-0.04723214,0.28269890,-1.62862134,0.90700561,0.17497893,0.63663298,1.10568392,3.35341334,-0.34153247,-0.07952547,1.20592713,-0.07449941,0.23938107,-0.12148880,-0.02107036,0.06518095,0.01024131,0.20878793,0.82470858,-0.69217187,0.12421909,-0.07328404,-0.04906464,-0.13536218,-0.23216665,0.00000000,1.63886201,-0.49915174,-1.84663343,-12.53166008,-0.87605923,-0.35461262,-0.55940253,-1.84995770,0,15:11:46.3,0,0
14,-0.40251791,-0.94550323,-0.67195374,-0.25392544,0.17497893,0.21622416,0.66150874,1.12139690,-0.71770990,-0.12456618,-1.26809776,-0.09398758,0.06672442,-0.23160316,-0.06425402,0.04924579,-0.18699180,0.20702936,-1.49190545,-0.72356468,0.12421909,-0.11315548,-0.06567863,-0.17006411,-0.26310581,0.00000000,-1.21639359,-0.56077290,2.07045960,0.00000000,0.51468384,-0.28541723,0.00000000,1.69173038,0,15:11:46.4,0,0
15,-0.04723214,-0.94550323,-0.04500406,0.25863478,1.13164651,0.54353869,1.05061138,3.35341334,-0.22850820,-0.04183877,-1.00995910,-0.01581904,-0.04957370,-0.01940311,0.00851899,0.08144242,0.16851377,0.21893042,-1.49190545,1.59486294,0.17759860,-0.02270210,0.01370428,-0.04543137,-0.16243199,0.00000000,1.28413713,-0.05724005,-0.26301616,0.00000000,2.81940913,0.01008529,4.02536392,-0.29507056,0,15:11:46.5,0,0
16,-1.05086029,7.91345406,-1.62862134,4.72238255,6.17548227,0.58616716,0.58097267,7.16853428,-0.11305656,0.03325063,1.56088006,0.05108854,-0.16759907,-0.24145536,0.08873829,0.09117679,-0.14168647,0.27951688,-0.43684173,0.05620855,0.27923664,0.00742175,0.03749504,0.02091397,-0.09708333,0.00000000,0.07165613,-0.32291248,5.88558102,0.00000000,4.32980490,2.30299711,0.00000000,0.00000000,0,15:11:46.6,0,0
17,-0.73620254,1.86631620,-1.62862134,1.12951195,2.98679829,-0.08090871,-0.73019695,-0.46222040,-0.17340489,-0.00821234,-1.00995910,0.06751009,-0.01432593,0.19093744,0.12499174,0.19757697,0.57774842,0.28904387,0.30511862,1.71267509,0.25248212,0.06181987,0.09637451,0.07121240,-0.08633009,0.00000000,1.39777768,0.33585384,4.27372551,0.00000000,0.51468384,0.84515393,0.00000000,2.08292723,0,15:11:46.7,0,0
18,0.33251199,1.86631620,0.91166359,0.52320820,0.05481365,1.25652432,1.50924695,1.12139690,0.12035917,0.01560773,1.38054323,0.07614456,-0.02323012,0.13505243,0.12185391,0.20425236,0.27766493,0.29125753,-0.42489958,-2.85572052,0.26584312,0.07081407,0.09927796,-0.00198373,-0.10629596,0.00000000,-0.89831841,-0.30584514,5.88558102,0.00000000,-1.88355589,3.75836182,0.00000000,-6.80091000,0,15:11:46.8,0,0
19,-0.04723214,1.86631620,0.91166359,0.52320820,0.05481365,0.57573992,0.20306197,1.12139690,0.18403482,0.00675340,-0.83245599,0.05458425,0.07331733,-0.05169746,0.13285348,0.16894931,-0.09138780,0.27951688,-1.38156724,-0.56940526,0.24714549,0.04832800,0.07645644,0.05907610,-0.10475100,0.00000000,0.03631428,-0.70606774,5.88558102,0.00000000,4.32980490,10.35141373,0.00000000,-0.32532808,0,15:11:46.9,0,0
20,-0.04723214,1.86631620,-1.62862134,1.12951195,2.98679829,1.12540340,1.55812979,7.16853428,-0.17340489,-0.01421817,2.72891045,-0.00764162,-0.14570627,-0.11817833,-0.01341015,0.10718519,-0.12345969,0.27119511,-0.43684173,1.69893658,0.21698947,0.03226024,0.06875826,-0.10517265,-0.18669142,0.00000000,-0.10298582,0.55751246,0.45809200,0.00000000,1.30881035,0.67035943,3.18300986,3.08652520,0,15:11:47.0,0,0
