Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190221131217
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,  1y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,2000,1409,628,601,608,0,572,568,645,0,637,606,653,615,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,88,88,6,6,6,6,6,6,6,6,24,24,15,15,24,24,31,31,7,7,24,24,6,6,6,6,7,7,15,15,7,7,6,6,15,15,7,7,14,14,7,7,7,7,7,7,7,7,6,6,6,6,7,7,24,24,6,6,6,6,6,6,31,31,6,6,31,31,6,6,62,62,15,15,15,15,31,31,72,72,6,6,7,7,12,12,60,60,15,15,6,6,6,6,14,14,6,6,6,6,15,15,24,24,6,6,6,6,6,6,6,6
Digital Gain,1.00,1.00,100.00,1.00,63.58,82.60,68.69,100.00,100.00,100.00,4.11,7.26,2.69,5.97,2.58,6.94,9.01,17.06,2.58,4.21,1.53,37.29,2.13,2.20,1.29,19.45,4.31,92.73,2.97,4.30,5.89,8.31,2.66,95.81,6.75,8.76,2.71,100.00,1.63,100.00,3.52,4.40,2.73,3.99,2.69,4.42,4.57,5.89,2.06,3.41,48.18,100.00,3.03,100.00,1.61,64.41,100.00,100.00,1.00,1.00,100.00,100.00,52.45,64.00,100.00,1.00,100.00,100.00,79.72,1.00,2.33,2.61,3.96,7.09,3.72,7.83,2.06,4.93,5.94,8.92,2.69,3.00,1.54,31.88,1.45,23.79,3.82,3.83,2.39,3.74,1.59,49.32,1.04,18.95,1.95,2.88,2.31,3.29,1.61,2.42,1.95,4.59,1.60,69.03,100.00,1.00,100.00,100.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/02/21 13:12:19
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.00000000,-0.42035973,-1.13904047,-0.25096151,-0.70649338,0.35077894,0.03018399,-0.32283854,0.68626273,0.33970875,-0.60455006,0.64143300,0.59413213,0.59532869,-0.41253963,-0.62279648,0.95390946,-0.48112080,-0.01267029,1.45960629,0.01245189,0.07719230,-0.17961942,-0.14570931,-0.14137110,0.29412168,2.66937232,0.09008723,0.37754676,0.00000000,-2.15584373,-0.87798530,0.00000000,-0.77707374,0,13:12:28.1,0,0
2,0.00000000,5.62677765,-0.53345549,0.87932265,1.87007606,0.15391207,-0.10771529,-0.00085887,0.21262111,0.56261468,0.22863282,0.66860723,0.66749781,0.40570456,-0.41938102,-0.53506947,0.99864471,-0.53203410,0.00055156,2.44726038,0.03297132,0.09108726,-0.15691075,-0.16948996,-0.14183928,0.08703946,2.69989944,0.44552389,-0.47091842,0.00000000,-2.66293764,-1.73070681,0.00000000,-4.59245110,0,13:12:28.2,0,0
3,0.00000000,5.62677765,1.76111841,0.48764002,2.10532618,0.27911392,0.01748776,-0.05341475,0.51786089,0.52527392,-0.02224487,0.67338741,0.62519532,-0.07229803,-0.34437141,-0.46989027,0.09255576,-0.49230099,-0.34244975,2.46057701,0.08311831,0.13173921,-0.12042636,-0.14403512,-0.14240530,0.50930029,-0.36570910,0.12531358,1.38119006,0.00000000,0.14888167,-0.33748862,0.00000000,0.00000000,0,13:12:28.3,0,0
4,0.00000000,5.62677765,-1.49118555,0.48764002,2.10532618,0.22580080,-0.09744408,-0.18211812,0.25239867,0.38908193,-0.36531648,0.65917939,0.66308838,0.61297160,-0.40812129,-0.59035736,1.24305320,-0.52997053,-0.40435293,2.00320482,0.02180312,0.11819232,-0.15896706,-0.17863062,-0.15192245,-0.31218204,-0.36570910,0.28870219,-0.36441359,0.00000000,0.87029952,0.06740689,0.00000000,6.85368109,0,13:12:28.4,0,0
5,0.00000000,0.00000000,0.20925821,0.89777023,2.10532618,0.06355514,-0.20015770,-0.11251044,-0.10957102,0.45994619,-0.07053734,0.67975688,0.61190033,0.15643512,-0.40812129,-0.52972943,0.69947070,-0.43568042,0.65461028,1.96772277,0.05798096,0.05759940,-0.19338337,-0.11282098,-0.12409711,-0.20231305,0.41053355,0.10327738,0.37754676,0.00000000,-1.43473554,-0.53615594,0.00000000,-2.29446483,0,13:12:28.5,0,0
6,0.00000000,1.81165671,0.81374609,0.49764317,1.87007606,0.27753046,0.00832021,-0.01609568,0.39637461,0.45674178,0.90590400,0.59597695,0.64989883,0.59532869,-0.47999862,-0.61782289,0.94054842,-0.52365094,1.16629910,2.75949621,0.01968432,0.05487026,-0.18489219,-0.18557627,-0.14241053,0.20350210,4.95917511,0.73099339,0.35693461,0.00000000,-2.21001101,-1.16118455,-8.81706142,-4.87378836,0,13:12:28.6,0,0
7,0.00000000,0.00000000,-0.52469438,1.33421552,4.33734226,0.08568042,-0.17305775,-0.18571731,-0.01131599,0.43684313,-1.01342607,0.62368500,0.54133153,0.38347265,-0.46693560,-0.53506947,0.95390946,-0.58732170,-0.46124879,2.36781359,-0.02331631,0.04629849,-0.17961942,-0.15314230,-0.12515055,0.21994777,0.41053355,0.26229015,1.86743188,0.00000000,2.38089824,-0.03708831,0.00000000,0.00000000,0,13:12:28.7,0,0
8,0.00000000,5.62677765,1.51439500,0.45371452,-0.19939925,0.11208879,-0.13595651,-0.04427105,-0.04130411,0.49972206,-0.27139571,0.63475114,0.69076097,0.32612979,-0.43357605,-0.61782289,1.18519235,-0.49303153,0.58471364,1.38931918,-0.01194288,0.01725402,-0.20676929,-0.16948996,-0.13297518,-0.31218204,-0.36570910,0.10327738,-0.31743789,0.00000000,3.89129376,2.90847707,0.00000000,0.00000000,0,13:12:28.8,0,0
9,0.00000000,-3.23217916,1.24148417,-0.89765966,-3.29366851,0.20275210,-0.07381316,-0.07785355,0.26831925,0.46979541,0.29580531,0.61073524,0.69076097,-0.30227095,-0.49340293,-0.79688632,0.26539278,-0.59344345,0.28076318,2.73761749,-0.01901725,0.03024292,-0.20734072,-0.13690817,-0.11476723,-0.20231305,4.04826689,0.09449816,-0.36441359,0.00000000,-1.31457031,-0.57558423,0.00000000,-1.55245268,0,13:12:28.9,0,0
10,0.00000000,5.62677765,-1.13904047,1.22965205,4.41036129,0.40222874,0.05616260,-0.02578836,0.53677213,0.53317976,0.18914697,0.63585359,0.56766850,0.08103300,-0.43748665,-0.61284214,0.94054842,-0.56282407,0.32887989,1.97216630,0.00777236,0.06002299,-0.17067470,-0.22464582,-0.15025908,-0.31218204,-0.39647052,0.12969868,-0.36441359,0.00000000,0.14888167,-0.62287307,0.00000000,1.50196052,0,13:12:29.0,0,0
11,0.00000000,1.81165671,-0.19166812,0.10596054,0.52170873,0.43075189,0.10186281,-0.13232869,0.61368710,0.48982763,-0.63370728,0.62095070,0.38003373,-0.11283958,-0.44669893,-0.55518591,0.69947070,-0.44312373,0.00055156,0.87546277,0.04001121,0.05168913,-0.19536081,-0.16062716,-0.11904464,0.12693015,-0.30373016,-0.01357888,0.91076428,0.00000000,0.07617272,0.79857004,0.00000000,0.00000000,0,13:12:29.1,0,0
12,0.00000000,-0.42035973,-0.23382819,-0.25096151,-0.36176932,0.16948317,-0.10448104,-0.15734312,0.00244992,0.41488096,-0.37840280,0.61259657,0.70292062,-0.48871392,-0.41508839,-0.66107547,-0.38548213,-0.47441432,-0.03461865,1.98100841,0.03297132,0.02188473,-0.17961942,-0.18588433,-0.12011938,-0.31218204,-0.33483893,-0.01804748,-1.32108116,0.00000000,-1.31457031,-0.62307137,0.00000000,5.15505314,0,13:12:29.2,0,0
13,0.00000000,-0.42035973,0.20925821,0.49764317,1.59854162,0.24883524,-0.00320739,0.08607022,0.28409395,0.62271845,-0.12149311,0.61259657,0.51849473,-0.14855422,-0.45348865,-0.64030766,0.34937853,-0.55653167,0.25909397,2.81674671,-0.04803458,0.03314989,-0.17067470,-0.18448803,-0.11904464,-0.09700343,-0.35026366,-0.21881513,-0.31743789,0.00000000,0.49894935,0.00050666,0.00000000,0.00000000,0,13:12:29.3,0,0
14,0.00000000,1.81165671,-0.02131434,1.22965205,2.82674384,0.14371803,-0.10857291,-0.04041559,-0.04642468,0.47728714,-0.02369678,0.59321266,0.46296096,0.11637484,-0.49150857,-0.59035736,0.95390946,-0.51701856,0.57604516,2.38972473,-0.00513863,0.00627038,-0.22053322,-0.18139048,-0.11520471,-0.51926422,4.07902861,-0.04022526,-2.16954637,0.00000000,-0.35790265,-0.50184488,-5.00194120,-1.89005518,0,13:12:29.4,0,0
15,0.00000000,1.81165671,-0.02131434,0.49764317,0.64187402,0.11007088,-0.12929553,-0.02654926,-0.14127566,0.52511364,-0.08798368,0.58500689,0.57805127,0.57332772,-0.50903863,-0.60817468,1.17197180,-0.54763788,0.21158080,2.73761749,-0.06748787,-0.03132563,-0.22081062,-0.27122280,-0.17788725,0.08703946,-0.41172370,0.29751649,0.37754676,0.00000000,1.49724901,0.45909026,0.00000000,8.80828381,0,13:12:29.5,0,0
16,0.00000000,5.62677765,0.03055401,0.87932265,3.45369363,0.32850984,0.00966484,-0.01908966,0.40041253,0.47269377,0.32602113,0.54585940,0.53957754,0.00222692,-0.56416237,-0.75282568,0.55787373,-0.57808793,0.49429104,3.07485008,-0.09124457,-0.02911547,-0.21577080,-0.27007341,-0.16014749,-0.09700343,-0.38111129,0.28870219,0.91076428,0.00000000,0.07617272,0.00929259,0.00000000,0.00000000,0,13:12:29.6,0,0
17,0.00000000,5.62677765,-0.07059923,1.28945291,3.45369363,0.19179378,-0.11278597,-0.10945337,-0.06069643,0.43633971,-0.14438669,0.58316195,0.67336488,-0.56362700,-0.53782541,-0.74723637,0.28737617,-0.62389344,0.17733985,2.74634743,-0.11230566,-0.02909740,-0.20676929,-0.19177589,-0.13351290,0.00476916,0.42593575,0.26229015,-0.36441359,0.00000000,-2.15584373,0.40454450,0.00000000,7.45998478,0,13:12:29.7,0,0
18,0.00000000,-0.42035973,-0.20781431,-0.25096151,-1.71013665,0.37810963,0.07035141,0.01970889,0.40734243,0.53834480,-0.13906552,0.58403081,0.61679506,-0.84028304,-0.48040554,-0.68854105,-0.01513890,-0.50768197,0.58471364,2.42951822,-0.03690356,0.02481603,-0.18195498,-0.16801244,-0.11010128,-0.09700343,0.45680588,0.14743838,0.63922971,0.00000000,1.49724901,-1.18555856,0.00000000,0.00000000,0,13:12:29.8,0,0
19,0.00000000,-0.42035973,0.72197193,-0.58146071,-1.71013665,0.27412176,0.04266500,-0.14978644,0.19476923,0.33146843,0.16666770,0.63656312,0.63414431,0.36577368,-0.42610866,-0.60061145,0.92727488,-0.48112080,0.88706696,2.42506409,-0.00513863,-0.00253316,-0.19338337,-0.15314230,-0.09328994,-0.31218204,2.77706361,-0.20547572,-0.36441359,0.00000000,-0.08636820,0.01499536,0.00000000,3.64486384,0,13:12:29.9,0,0
20,0.00000000,1.81165671,0.34743407,0.48764002,0.52170873,0.37796977,0.09817819,0.01810196,0.51279938,0.55460280,-0.58958185,0.60151452,0.58016789,-0.14855422,-0.46656159,-0.61284214,0.35828564,-0.52359158,-0.04775699,2.42951822,-0.00984732,0.01369438,-0.17283405,-0.14403512,-0.09374016,-0.09700343,-0.28817433,-0.21881513,-0.31743789,0.00000000,2.38089824,0.79857004,0.00000000,0.00000000,0,13:12:30.0,0,0
