Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190228130423
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,  1y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,1834,1311,588,577,548,0,542,550,670,0,602,585,598,583,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,144,144,6,6,56,56,6,6,6,6,22,22,15,15,15,15,31,31,6,6,56,56,6,6,7,7,15,15,30,30,15,15,6,6,22,22,6,6,7,7,7,7,6,6,6,6,7,7,6,6,6,6,6,6,24,24,6,6,6,6,6,6,31,31,6,6,31,31,6,6,98,98,15,15,15,15,7,7,49,49,7,7,15,15,6,6,6,6,72,72,6,6,6,6,12,12,7,7,6,6,31,31,15,15,6,6,6,6,6,6,6,6
Digital Gain,1.00,1.00,100.00,1.00,3.05,10.98,28.63,96.94,100.00,100.00,6.19,17.62,2.82,12.76,1.86,9.50,13.08,38.40,1.74,2.16,1.00,12.98,2.28,1.68,1.03,15.11,6.97,100.00,3.11,4.00,7.22,8.66,1.60,42.98,8.05,8.75,1.77,45.01,2.16,88.00,3.97,4.86,2.09,3.55,2.15,3.48,4.73,6.33,2.04,3.16,100.00,100.00,1.56,39.32,1.41,49.12,60.86,100.00,44.84,1.00,46.32,100.00,23.86,48.71,1.00,100.00,100.00,100.00,100.00,100.00,10.32,10.07,3.55,9.26,3.76,13.73,2.06,6.36,3.23,4.89,2.88,2.29,1.43,28.77,6.23,100.00,16.11,21.44,4.61,4.70,1.04,23.00,1.01,18.66,1.98,2.75,2.53,3.68,1.31,1.94,2.57,10.07,1.37,45.95,24.30,100.00,100.00,100.00,1.00,1.00,1.00,1.00

Measurement Information
Date,2019/02/28 13:04:25
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.00000000,-1.73706353,-0.02049681,0.03526392,-0.13387658,0.05167066,0.18578638,-0.86834115,-0.99889737,-0.23970060,2.46044183,-1.01348615,-1.32848179,1.44711459,-0.91832143,0.31694183,0.83285707,-0.01577720,0.12362666,-0.19588123,-0.52520442,1.11151707,0.36699140,0.16939542,0.48980486,4.56326962,-0.06410173,0.19076419,0.60226202,-0.96414632,0.12839684,-0.70231766,0.00000000,-11.40615654,0,13:04:34.1,0,0
2,0.00000000,-1.73706353,0.07314343,0.16064905,0.60118997,0.10679036,0.18466400,-0.86682653,-0.93847805,-0.22547689,2.69563293,-0.96055597,-1.35145652,0.64894813,-0.84185207,0.36493343,0.63218373,0.08232979,-0.04233255,-0.65105724,-0.43801710,1.13900256,0.38757932,0.21991117,0.51975513,0.43119764,-0.02321489,0.03458216,-0.53191286,-0.96414632,-0.61356348,0.23281430,0.00000000,-5.28576326,0,13:04:34.2,0,0
3,0.00000000,-3.32068062,0.07248672,0.28188542,1.21449065,0.13996087,0.20237276,-0.84670317,-0.97916001,-0.23223688,2.77218962,-0.98913187,-1.31568515,0.99927747,-0.90001500,0.39676273,0.76252192,0.04924501,0.18857439,-0.16946009,-0.42061147,1.13150680,0.36772549,0.19827607,0.51217443,0.43119764,0.04564611,-0.12014271,-0.74603653,-0.96414632,0.12839684,-0.31638172,0.00000000,-4.40201044,0,13:04:34.3,0,0
4,0.00000000,-1.73706353,0.12553939,0.16064905,1.94955719,0.19933458,0.24784620,-0.87549502,-0.86097908,-0.23970060,2.69848299,-0.97607785,-1.36810851,0.58504695,-0.84460825,0.26588160,0.49261743,0.01640877,-0.13056795,-0.37599865,-0.44732049,1.14618480,0.39489740,0.24521586,0.49056986,4.08429050,0.26571488,0.15496257,0.21057944,-1.15803850,0.52027422,0.37364024,-24.29506683,-9.09552383,0,13:04:34.4,0,0
5,0.00000000,0.49495292,0.15249954,0.01807095,-0.85507011,0.35858962,0.36451152,-0.85814500,-0.56804430,-0.23223688,2.69563293,-0.98023093,-1.41472530,0.16166151,-0.93498510,0.24673495,0.37602341,0.13829236,0.01088375,-0.39815763,-0.38558117,1.14796352,0.37497565,0.20804882,0.49841166,0.91017669,0.26122916,0.04805206,-0.43055379,-0.96414632,-0.61356348,0.28254607,0.00000000,2.70629478,0,13:04:34.5,0,0
6,0.00000000,0.49495292,0.10469235,0.01807095,1.44965518,0.24793059,0.25675043,-0.86682653,-0.75819886,-0.22843260,2.21217823,-0.96379769,-1.22357452,-1.24094462,-0.90757746,0.38793615,0.13586465,0.17177930,0.11164622,-1.24846363,-0.39889255,1.12925410,0.37357801,0.21991117,0.48076722,0.43119764,-0.17958337,0.04805206,-0.74603653,-0.76311827,-0.15270495,-1.49982977,0.00000000,0.00000000,0,13:04:34.6,0,0
7,1.09708214,4.31007385,0.02519838,0.28445929,-0.85507011,0.09513312,0.14799097,-0.86405241,-0.79273343,-0.24338205,2.11515784,-0.96872854,-1.18488824,-0.63464093,-0.88706952,0.41063172,0.27751410,0.10505994,-0.01375664,-0.64217174,-0.40995479,1.16266418,0.41578871,0.20147245,0.49375084,0.60771424,-0.06410173,-0.22730911,-0.70211756,-0.34259862,-0.86633283,0.27804348,0.00000000,0.00000000,0,13:04:34.7,0,0
8,0.00000000,0.49495292,0.07404394,0.16064905,0.60118997,0.10679036,0.12076313,-0.86834115,-0.82673585,-0.24338205,2.20928454,-0.98420107,-1.18824553,0.68120766,-0.94666702,0.48326337,0.66017383,0.08232979,-0.13878530,-0.94040453,-0.45536709,1.13150680,0.39567828,0.21398528,0.48267722,2.01475787,-0.32219130,0.07050058,0.77309251,-0.55452776,-0.38546571,-1.03262377,0.00000000,0.00000000,0,13:04:34.8,0,0
9,0.00000000,-1.73706353,-0.05140205,0.03526392,-0.13387658,0.05521416,0.16652496,-0.89421630,-0.90753269,-0.26272890,1.72830331,-0.99233127,-1.12149167,0.61687630,-0.92691135,0.36493343,0.51590228,0.00644744,0.05452377,-0.68207055,-0.50037426,1.13150680,0.38503525,0.20303854,0.47970301,0.08304992,0.43869117,0.04805206,-0.43055379,-0.76311827,0.35649461,-0.19465466,0.00000000,-3.25172949,0,13:04:34.9,0,0
10,0.00000000,4.31007385,-0.10069712,0.28445929,1.44965518,-0.16791391,0.03699917,-0.88560903,-1.19880390,-0.26560551,1.73405921,-1.00851309,-0.99801773,-0.21886209,-1.00865507,0.30355716,0.38533759,-0.01628270,-0.17540926,-0.43352547,-0.50714552,1.12033308,0.38757932,0.12673958,0.44761461,0.60771424,-0.24265167,-0.39516574,-0.70211756,-0.55452776,-0.15270495,0.20240788,0.00000000,-3.25172949,0,13:04:35.0,0,0
11,0.00000000,0.00000000,0.01143536,0.41566402,2.45329833,0.07347777,0.11716954,-0.91551548,-0.70082474,-0.27382174,1.29469359,-1.01726413,-0.89360976,-0.28239423,-1.02935648,0.24074601,0.35277793,0.00651229,0.00997907,-0.48174110,-0.50434482,1.07974195,0.34386319,0.14230202,0.44556761,1.43484092,0.09015224,0.03008086,0.26053229,-0.76311827,-0.15270495,0.06220023,0.00000000,-0.94700414,0,13:04:35.1,0,0
12,0.00000000,4.31007385,-0.00504317,0.28445929,1.44965518,-0.03784695,0.08093089,-0.86846191,-1.06925511,-0.25817740,1.73695755,-1.01582432,-0.99132305,0.22519365,-0.98362595,0.35086200,0.48334262,-0.02600132,-0.08286332,-1.00661826,-0.50037426,1.06229806,0.34386319,0.10421286,0.42922989,0.60771424,-0.14945821,-0.10670568,-1.44407785,-0.76311827,-0.38546571,-0.48768750,0.00000000,0.00000000,0,13:04:35.2,0,0
13,-4.92758417,4.31007385,0.01143536,0.16064905,-1.70353532,-0.00734145,0.02302846,-0.91436076,-1.00157607,-0.25078470,2.02407718,-0.94830287,-0.98124391,-0.69935048,-0.88090414,0.31447101,0.24947660,0.05944356,-0.14693899,-0.94040453,-0.44732049,1.10288918,0.36639091,0.19238068,0.46473569,2.01475787,0.01861898,0.08405878,0.26053229,-0.34259862,-1.10937262,-1.42059290,0.00000000,0.00000000,0,13:04:35.3,0,0
14,0.00000000,4.31007385,0.10428308,0.66228551,2.79802251,0.25061712,0.23437627,-0.92327887,-0.80812705,-0.27015701,2.12090802,-0.97195828,-1.06887650,0.64894813,-0.96459830,0.40027606,0.62282759,0.04897957,0.06668943,-0.15172023,-0.43801710,1.13768554,0.39606205,0.24169195,0.48748916,2.29535913,0.23868775,0.17728372,-0.23347634,-0.76311827,0.35649461,0.62242854,0.00000000,-4.85380125,0,13:04:35.4,0,0
15,0.00000000,-1.73706353,-0.03860181,0.03526392,-0.13387658,0.05167066,0.13071349,-0.90575385,-0.96523339,-0.26272890,2.02407718,-0.97932690,-1.04114437,-0.43822515,-0.85977811,0.06488189,0.19376922,0.09267598,-0.01781914,-0.66433072,-0.40315139,1.11038506,0.36639091,0.17983733,0.46542296,0.91017669,-0.34026524,0.19076419,0.08200639,-0.55452776,-0.15270495,-0.70662802,0.00000000,0.00000000,0,13:04:35.5,0,0
16,0.00000000,-3.32068062,0.01051845,-0.34946114,-0.13387658,0.19960511,0.29008436,-0.95753843,-0.72515059,-0.26272890,2.37611747,-0.98915726,-1.00138319,1.22062469,-0.86009371,0.33746490,0.86065835,0.21431144,0.29088578,-0.92261940,-0.37924629,1.12033308,0.40621799,0.20635699,0.47970301,0.91017669,0.13047360,0.06602582,0.08200639,-0.76311827,-0.38546571,0.03627354,0.00000000,1.35803092,0,13:04:35.6,0,0
17,0.00000000,-3.32068062,0.04093780,0.03526392,-0.13387658,0.08886345,0.17238207,-0.89713299,-0.94649881,-0.25078470,1.83083665,-0.99156970,-0.98795140,0.19336434,-0.91819489,0.30355716,0.37602341,0.09455061,-0.04233255,-0.38488415,-0.42061147,1.13594353,0.40500852,0.22965342,0.48043290,5.08793402,0.02308643,0.06602582,0.86080217,-0.96414632,-0.38546571,0.53482890,0.00000000,2.09999108,0,13:04:35.7,0,0
18,0.00000000,-1.73706353,0.05740401,0.28188542,1.21449065,-0.01605938,0.15873662,-0.91436076,-0.98627138,-0.24402471,1.92750287,-0.98012668,-0.84742391,1.15776193,-0.83260047,0.26191685,0.72996229,-0.02600132,-0.07076082,-0.64217174,-0.50714552,1.12141299,0.40534464,0.16358860,0.45408177,0.91017669,-0.12711819,-0.07978877,-0.74603653,-1.15803850,0.12839684,-0.37116575,0.00000000,-8.21764469,0,13:04:35.8,0,0
19,0.00000000,0.49495292,0.05805637,0.40727052,1.94955719,0.02668954,0.05496684,-0.91436076,-1.10212493,-0.25817740,1.51888478,-0.99144500,-0.84071648,0.45931745,-0.89604014,0.16863514,0.46943069,-0.05830933,-0.19561213,-0.19588123,-0.51362270,1.06997561,0.35518378,0.20303854,0.45335376,0.91017669,0.20280127,0.17283444,-0.43055379,-0.96414632,0.35649461,0.03627354,0.00000000,-3.66005015,0,13:04:35.9,0,0
20,0.00000000,-1.73706353,-0.02049681,0.28188542,1.21449065,-0.05175412,0.23157980,-0.91991735,-0.90695816,-0.26560551,1.63116169,-1.01168334,-0.82124698,1.74460208,-0.89604014,0.36230591,0.95491892,-0.00341701,0.10352730,-0.43352547,-0.50822860,1.07913220,0.36494219,0.15306652,0.42717734,3.64372659,0.07228328,0.17728372,0.21057944,-0.96414632,0.12839684,0.58673555,0.00000000,-7.13216972,0,13:04:36.0,0,0
