Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190221124037
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,  1y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,1339,1020,713,651,658,0,632,603,660,0,657,618,718,654,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,124,124,6,6,60,60,12,12,31,31,22,22,7,7,22,22,31,31,6,6,24,24,6,6,6,6,6,6,7,7,6,6,6,6,7,7,12,12,15,15,7,7,7,7,6,6,7,7,6,6,6,6,31,31,6,6,6,6,6,6,6,6,31,31,6,6,31,31,6,6,31,31,15,15,15,15,7,7,28,28,6,6,6,6,6,6,62,62,6,6,6,6,6,6,7,7,7,7,6,6,12,12,6,6,6,6,6,6,6,6,6,6
Digital Gain,100.00,100.00,100.00,1.00,7.29,12.14,1.93,4.38,20.50,20.94,4.52,8.45,5.41,12.01,1.42,3.67,9.91,25.96,2.04,3.27,1.68,28.89,2.08,2.38,1.41,26.12,3.44,67.60,3.28,4.94,3.77,5.92,2.56,72.65,4.20,5.96,2.51,94.52,1.69,74.52,3.68,4.20,3.06,4.22,2.36,4.20,5.69,7.32,1.71,3.10,100.00,100.00,6.17,1.00,100.00,1.00,100.00,100.00,1.00,1.00,100.00,100.00,61.47,81.64,1.00,1.00,1.00,1.00,76.08,1.00,2.79,6.28,2.71,5.09,2.44,4.92,2.25,4.18,2.09,3.33,2.07,2.52,1.60,33.16,1.00,14.04,2.04,2.04,2.23,3.55,1.35,36.16,1.03,20.88,2.71,3.43,2.17,2.99,1.11,2.25,1.59,4.17,44.66,1.00,100.00,100.00,100.00,100.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/02/21 12:40:40
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.00000000,-0.10344163,1.26762867,0.21079387,0.24208443,-0.25348848,-0.37702116,-0.21343388,-0.69429654,0.39956313,0.76710683,1.05284286,2.28415203,-0.08484349,0.41574448,0.38281831,-0.42128637,0.19672397,-0.26556396,-0.03969585,0.51859266,0.47074988,0.18834235,0.26268619,0.11840393,2.80777979,4.21100950,1.70129144,-1.13834560,0.00000000,0.12662864,-1.23633087,0.00000000,4.37636852,0,12:40:49.1,0,0
2,6.28510332,-0.10344163,1.31303823,0.21996807,0.14802355,0.08808753,-0.00523772,-0.19882122,0.33007416,0.40805402,0.74268627,1.06201696,2.37904429,-0.30160892,0.44959021,0.42493519,-0.95257854,0.24369812,-0.52387053,-0.69475961,0.57755560,0.49359444,0.22067314,0.33123586,0.12274881,1.28609467,4.35108376,6.36521959,5.60312748,0.00000000,-0.66766894,1.09436905,0.00000000,0.00000000,0,12:40:49.2,0,0
3,1.67534304,-0.62810594,1.49893665,0.20351116,-0.10769028,-0.20786817,-0.44260964,-0.21343388,-0.78602242,0.42784062,0.82516813,1.07389879,2.23442888,0.07681922,0.43552381,0.38281831,-0.19675916,0.16290002,-1.22416329,-0.46054730,0.47801247,0.47381821,0.18945135,0.24298337,0.09858386,0.43762943,4.21100950,4.78160191,-0.44401011,0.00000000,-3.47948837,-2.52520299,0.00000000,0.00000000,0,12:40:49.3,0,0
4,-2.63561153,-0.62810594,1.07867873,0.19900988,-0.15805118,0.04104681,-0.03679255,-0.22259903,0.26043734,0.36922163,0.83783650,1.06694353,2.59708691,0.78841716,0.45763135,0.43054596,0.63747859,0.21349058,-0.30260116,-0.05350367,0.49253151,0.46788579,0.20226762,0.31304258,0.11840393,-0.29743713,4.26928616,3.55340004,-0.63125157,0.00000000,0.05343909,-0.03215304,0.00000000,0.00000000,0,12:40:49.4,0,0
5,-11.92918873,-0.10344163,0.53834629,0.18720233,-0.03398187,-0.08959641,-0.22359037,-0.24734013,-0.02403883,0.34241408,0.52818203,1.01673675,2.17273450,0.40377688,0.34062251,0.36283481,0.21878015,0.19467086,-0.61660093,-0.27879015,0.45589933,0.44315776,0.17894180,0.21788330,0.08051826,-0.94580793,4.15772820,2.54975653,-2.21486878,0.00000000,0.17360438,-0.18353832,0.00000000,3.02119255,0,12:40:49.5,0,0
6,0.00000000,-0.10344163,1.73491192,0.14912537,-0.08687527,-0.06792718,-0.16726272,-0.22836670,0.05823876,0.35317630,0.58897877,0.97867030,2.48669338,-0.41283888,0.34950304,0.34540281,-0.73977149,0.17120752,-0.97774273,0.06894104,0.42406619,0.39655751,0.14820699,0.17908524,0.08051826,-0.29743713,4.18433189,3.55340004,-0.63125157,0.00000000,0.05343909,-2.48847008,0.00000000,0.00000000,0,12:40:49.6,0,0
7,0.00000000,0.47647518,1.81816530,0.17626372,-0.06399029,-0.04523330,-0.24586807,-0.21487416,-0.06711966,0.32262748,0.60322636,1.03052330,2.26730704,0.27969962,0.42928076,0.43502107,-0.17361140,0.21772985,-1.28425157,-0.77787232,0.49253151,0.44315776,0.17717414,0.30286074,0.09858386,1.28609467,4.38320923,6.36521959,1.78800642,0.00000000,-0.66766894,2.14274025,0.00000000,0.00000000,0,12:40:49.7,0,0
8,0.00000000,-0.10344163,1.42393744,0.17424861,0.05122474,-0.08595730,-0.29480037,-0.20371670,-0.19870456,0.39101511,0.66788590,1.04485071,2.41598248,0.17483163,0.43500099,0.45375320,-0.16433658,0.16290002,-0.87184036,-0.24647625,0.49649975,0.50147152,0.22424117,0.34238362,0.12573124,-0.94580793,4.29643583,3.55340004,-2.21486878,0.00000000,0.17360438,-0.25688213,0.00000000,6.07227468,0,12:40:49.8,0,0
9,0.00000000,-0.10344163,1.21834958,0.18526886,0.05122474,-0.08451775,-0.20288034,-0.22621010,-0.06729774,0.38196874,0.83491111,1.07037199,2.28886819,0.14196667,0.44925097,0.43471244,0.05385742,0.21772985,-0.52387053,-0.43728229,0.52903205,0.53747880,0.23195189,0.33648622,0.13042733,1.08297110,4.26928616,2.54975653,-1.13834560,0.00000000,-2.17840648,0.58441496,0.00000000,0.73685104,0,12:40:49.9,0,0
10,0.00000000,0.47647518,1.46359003,0.22819079,0.47212508,-0.02325614,-0.15504590,-0.20272303,0.17363124,0.38997656,0.83491111,1.05397928,2.49337792,-0.58235645,0.44925097,0.35559374,-0.70286322,0.23674445,-0.54715657,-0.23260991,0.55877376,0.48770759,0.19886096,0.24298337,0.08929340,-0.29743713,4.18433189,3.55340004,1.67347383,0.00000000,0.05343909,-0.68163460,0.00000000,0.00000000,0,12:40:50.0,0,0
11,0.00000000,0.47647518,1.19519508,0.21906224,0.37532628,0.01609598,-0.13314934,-0.21646704,0.13849168,0.37293765,0.78176272,1.06674457,2.36027265,-0.05672397,0.47708952,0.43976891,-0.39804089,0.23461622,-0.87184036,-0.21865143,0.52613163,0.52947199,0.25878474,0.29439318,0.11721233,-0.29743713,4.21100950,3.55340004,-0.63125157,0.00000000,1.40180647,-1.11713886,0.00000000,0.00000000,0,12:40:50.1,0,0
12,0.00000000,-0.10344163,1.24493134,0.21169995,0.39777866,-0.04549930,-0.12127893,-0.24139744,0.05823876,0.36743516,0.56163001,1.06228554,2.40196443,-0.16823617,0.46319938,0.31450334,-0.47210655,0.21349058,-0.02387323,-0.26500544,0.50633883,0.44600871,0.17898840,0.25359815,0.10364649,1.08297110,4.15772820,2.54975653,-1.13834560,0.00000000,0.12662864,-0.10149366,0.00000000,5.32612419,0,12:40:50.2,0,0
13,0.00000000,-0.10344163,1.42947161,0.14912537,0.05122474,-0.18411432,-0.37838072,-0.29333067,-0.63587219,0.36027098,0.66046900,1.02586150,2.19118619,0.23361713,0.36863661,0.31104150,0.01685607,0.17983760,-0.93192863,-0.49294281,0.49253151,0.44315776,0.19291367,0.20038645,0.06755733,-0.29743713,4.24232531,3.55340004,1.67347383,0.00000000,-0.66766894,-1.88102114,0.00000000,0.00000000,0,12:40:50.3,0,0
14,0.00000000,-0.10344163,1.08657753,0.16835696,-0.03398187,-0.06814487,-0.13598397,-0.27472901,0.12250210,0.34196097,0.71899784,0.97261226,2.28666687,-0.44485748,0.32192880,0.31284323,-0.73977149,0.08165845,-1.72887075,0.12377021,0.39228949,0.43741086,0.19344880,0.22597228,0.08814307,-0.94580793,4.18433189,3.55340004,-2.21486878,0.00000000,-1.17476308,-1.11713886,0.00000000,0.00000000,0,12:40:50.4,0,0
15,0.00000000,-0.62810594,1.17186689,0.12403072,-0.26260486,-0.18411432,-0.38989976,-0.27952161,-0.44365606,0.33350694,0.62697542,0.99111098,2.35942054,0.04453221,0.34930950,0.36480805,-0.19675916,0.06472087,-2.19815969,-0.54345143,0.37030393,0.41564652,0.17135590,0.21515857,0.06074879,0.43762943,4.21100950,4.78160191,1.78800642,0.00000000,1.56434762,1.35840988,0.00000000,0.00000000,0,12:40:50.5,0,0
16,0.00000000,-0.62810594,1.45739770,0.17370360,0.14802355,-0.18411432,-0.41631174,-0.25034562,-0.62154311,0.37241331,0.75733739,1.03019929,2.33223534,0.15604439,0.42099383,0.45147136,0.07710293,0.19872153,-0.91809821,-0.01652841,0.52613163,0.51570803,0.24315791,0.35105589,0.11721233,-0.29743713,4.29643583,3.55340004,-0.44401011,0.00000000,-2.25128627,0.38196743,0.00000000,0.00000000,0,12:40:50.6,0,0
17,0.00000000,0.47647518,1.35455263,0.20084195,0.30371776,-0.16488940,-0.36514387,-0.22185072,-0.28761494,0.40007600,0.70709294,1.05644667,2.21096396,0.70019245,0.42117742,0.43502107,0.26960030,0.18178394,-0.55651265,-0.44658881,0.50396520,0.49065167,0.22248524,0.25179628,0.10484035,0.43762943,4.21100950,4.78160191,-0.63125157,0.00000000,-1.17476308,-1.98718882,0.00000000,0.00000000,0,12:40:50.7,0,0
18,0.00000000,-0.62810594,1.35383868,0.18720233,0.24208443,-0.06792718,-0.17528185,-0.20272303,0.06345761,0.39150593,0.77689332,1.04246306,2.20624781,0.34484708,0.37864995,0.45147136,0.06313225,0.16662052,-1.60450637,-0.45126471,0.53029567,0.47957638,0.19886096,0.28008386,0.10870697,0.43762943,4.24232531,3.55340004,1.78800642,0.00000000,-0.66766894,-0.09131385,0.00000000,0.00000000,0,12:40:50.8,0,0
19,0.00000000,-0.62810594,1.17444181,0.16708709,-0.15805118,-0.20390785,-0.40145651,-0.26495829,-0.56557864,0.40967289,0.78176272,1.07924056,2.17519569,0.39187425,0.44959021,0.49191472,0.10038890,0.19872153,-0.86248428,-0.70871812,0.49649975,0.47666925,0.20065737,0.28008386,0.09625558,2.46640849,4.32366419,4.78160191,1.60076487,0.00000000,-2.25128627,-1.78772748,0.00000000,0.00000000,0,12:40:50.9,0,0
20,0.00000000,-0.62810594,1.17915297,0.18991147,-0.12300751,0.03070047,-0.06320451,-0.22357412,0.27029142,0.41703346,0.65814286,1.07472265,2.54036522,-0.13594915,0.41544822,0.38964880,-0.43519831,0.19872153,-0.54715657,-0.69943553,0.53714252,0.50168997,0.22424117,0.25179628,0.09007850,0.43762943,4.26928616,4.78160191,1.78800642,0.00000000,1.63705635,-0.82248199,0.00000000,0.00000000,0,12:40:51.0,0,0
