Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190228123614
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,  1y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,1639,1197,623,598,638,0,637,606,660,0,677,630,663,621,1975,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,24,24,6,6,72,72,6,6,6,6,24,24,6,6,7,7,31,31,7,7,12,12,6,6,6,6,12,12,12,12,7,7,6,6,7,7,7,7,22,22,6,6,6,6,7,7,6,6,6,6,47,47,7,7,31,31,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,24,24,12,12,6,6,49,49,7,7,6,6,12,12,72,72,6,6,7,7,7,7,7,7,6,6,6,6,15,15,31,31,6,6,6,6,6,6,6,6
Digital Gain,29.01,1.00,100.00,1.00,70.41,79.59,38.93,100.00,77.83,100.00,4.60,11.57,1.77,3.99,1.93,5.17,12.61,26.99,2.66,3.81,1.22,25.93,2.35,2.31,1.47,24.58,2.30,47.85,2.56,4.43,2.92,5.40,2.09,64.54,2.82,4.65,3.34,100.00,1.50,78.01,2.78,3.60,2.06,3.46,2.02,4.22,2.50,3.67,1.90,3.38,1.00,1.00,1.75,52.37,2.45,100.00,59.04,100.00,100.00,1.00,100.00,100.00,41.21,58.27,1.00,1.00,100.00,100.00,97.91,1.00,30.07,83.73,4.00,11.66,3.36,8.60,1.45,2.97,3.43,5.24,4.17,4.25,1.44,27.65,1.26,20.84,4.67,4.69,1.62,2.96,1.34,41.65,1.62,41.37,2.21,3.20,1.56,2.42,1.52,2.71,3.31,7.37,2.36,24.18,42.62,100.00,66.87,100.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/02/28 12:36:17
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,1.51930487,0.88063967,10.20411873,0.06092350,0.39423710,0.70222765,0.40529507,0.26975691,0.29432687,0.51987559,-0.24220330,0.16832325,0.41213822,-0.04498030,-0.03888224,-0.32208121,0.07221628,-0.25773677,1.74315798,0.55284077,-0.04098600,0.02297674,-0.01182884,0.25952646,0.45255834,0.00000000,0.11445010,0.12614763,0.67930710,0.00000000,0.03632277,0.27280945,0.00000000,1.92788434,0,12:36:26.1,0,0
2,2.98187780,0.00000000,14.03931141,0.94647318,1.97584474,0.93126917,0.46386725,0.30567622,0.62743658,0.55395967,-0.33562252,0.11359536,0.09051479,0.52302408,-0.12107950,-0.24034548,0.93569297,-0.28229541,-1.31838536,-0.20345883,-0.03917787,0.00390370,-0.03063799,0.23470971,0.46274343,0.00000000,-0.04220421,-0.41875345,0.61324960,0.00000000,0.54006398,0.73393750,0.00000000,0.00000000,0,12:36:26.2,0,0
3,2.30703497,-2.93482304,6.34381723,0.11220719,1.84785974,0.63624114,0.38324445,0.27081901,0.18470086,0.51277614,-0.24695998,0.10728332,0.18497194,0.07791202,-0.11899307,-0.28464440,0.07221628,-0.34197897,0.85759240,0.00614550,-0.13918482,-0.00520436,-0.02559278,0.22113538,0.44576687,0.00000000,-0.06040121,-2.11738157,-0.33268952,0.00000000,0.54006398,0.48647553,0.00000000,-0.37684089,0,12:36:26.3,0,0
4,1.89909053,-0.70297766,5.39083147,0.29683828,2.69896245,0.87523907,0.48466113,0.32567608,0.64001220,0.56394136,-0.26136419,0.18874423,0.10894107,0.14289448,-0.07284740,-0.25861639,0.58585107,-0.25773677,1.74315798,0.82479650,-0.01384424,0.05606768,0.00100209,0.30557781,0.51314896,0.00000000,0.30243859,0.21334343,-0.46239212,0.00000000,1.88843131,0.23157816,0.00000000,1.92788434,0,12:36:26.4,0,0
5,0.36488998,0.88063967,2.63408804,0.06092350,0.86832464,0.59229600,0.43054980,0.31484973,0.09093901,0.56144440,-0.11775325,0.20249794,0.15199597,0.75193822,-0.02347009,-0.12603614,1.20543981,-0.24321172,-1.20599639,0.20197682,0.01357565,0.08601314,0.01988601,0.30110860,0.49341276,0.00000000,-0.12527002,0.21334343,0.78617442,0.00000000,-2.76830482,0.30769369,0.00000000,0.00000000,0,12:36:26.5,0,0
6,-0.20013295,-0.70297766,0.84536266,0.68852091,2.69896245,0.85883307,0.50895351,0.35970938,0.38977823,0.57897931,-0.17705585,0.18159465,0.07597384,-0.12025295,-0.02347009,-0.21523210,-0.05585289,-0.21501330,-3.47605300,-0.37778562,0.02191470,0.05736716,-0.00063933,0.29444683,0.48317075,0.00000000,-0.11601864,-2.09158826,-1.08537829,0.00000000,1.76826608,1.53771913,0.00000000,0.00000000,0,12:36:26.6,0,0
7,-0.06423560,-1.93117976,0.96310025,-0.53643602,-1.47157776,0.63624114,0.45342484,0.38367513,0.15060723,0.58271235,-0.05993976,0.18298012,-0.03060689,-0.16249976,-0.03787903,-0.27537796,-0.08398599,-0.20007814,0.14237104,0.19226815,0.00395353,0.06697177,-0.00677931,0.30671507,0.48910359,0.00000000,0.18790245,-0.29385433,-0.00870783,0.00000000,-2.76830482,-0.57667512,0.00000000,0.00000000,0,12:36:26.7,0,0
8,-0.20013295,3.11265588,0.96310025,0.72130138,1.39423335,0.68701196,0.46602213,0.34966347,0.19192871,0.53905171,-0.22829139,0.18715578,0.25310448,-0.69543499,-0.01380426,-0.28951475,-0.64378494,-0.21557675,0.10791957,-0.13667448,-0.00088365,0.05747268,-0.01007320,0.25952646,0.47229454,0.00000000,-0.12991875,-0.38262162,-0.12871073,0.00000000,-0.46357936,0.35018808,0.00000000,0.00000000,0,12:36:26.8,0,0
9,-0.06423560,0.88063967,1.78368473,0.06092350,0.39423710,0.56512654,0.40804955,0.34352908,-0.15120418,0.53905171,-0.14317963,0.16262785,0.27403507,-0.00305560,-0.04632202,-0.26101902,-0.35214612,-0.24428923,1.00119770,0.10079001,-0.01858797,0.07648328,0.01204041,0.26687008,0.44519505,0.00000000,0.03124813,-1.15042388,0.27361420,0.00000000,-0.53645933,-0.52400047,0.00000000,0.00000000,0,12:36:26.9,0,0
10,-0.20013295,-0.70297766,-0.18301983,0.29683828,-0.62047511,0.67271996,0.45034239,0.35991484,0.36468834,0.51678246,-0.16148257,0.10786580,-0.06627097,-0.42171130,-0.13197327,-0.35300642,-0.44038305,-0.29663220,-0.03732719,0.26666507,-0.06132021,-0.00369203,-0.05532281,0.25160605,0.47133240,0.00000000,0.01280743,0.18755026,-1.41905975,0.00000000,0.54006398,-0.22757897,0.00000000,0.00000000,0,12:36:27.0,0,0
11,-0.06423560,6.92777729,1.08927190,0.50241745,0.37952113,0.68596852,0.45231438,0.34352908,0.27589160,0.55259520,-0.18731549,0.19308144,0.04245126,-0.34294412,-0.03452696,-0.25836194,-0.09333170,-0.25444621,-3.54517341,0.11514893,-0.00427075,0.05747268,-0.00841599,0.25574198,0.46476528,0.00000000,-0.29464775,-2.09158826,-0.03510094,0.00000000,1.76826608,1.38070679,0.00000000,0.00000000,0,12:36:27.1,0,0
12,0.21812043,0.88063967,0.49204046,0.06092350,0.39423710,0.55373317,0.44358355,0.37740922,-0.10495604,0.58271235,-0.26136419,0.20696023,0.08074551,-0.28187513,0.01373703,-0.26074386,-0.60624218,-0.22969086,-1.17132759,-0.34868503,0.02191470,0.07644802,-0.01178604,0.28060350,0.48502296,0.00000000,-0.09746875,-1.12458193,-1.08537829,0.00000000,0.54006398,-1.01826215,0.00000000,0.00000000,0,12:36:27.2,0,0
13,0.36488998,0.88063967,1.13627100,-0.23531461,-0.14638753,0.74672127,0.49940854,0.40124169,0.33016053,0.58141768,-0.06929589,0.19308144,0.20898908,-0.49521545,-0.03452696,-0.27525398,-0.32401302,-0.18612975,1.84099901,0.20680752,0.01486496,0.07508322,0.01988601,0.29006466,0.48143372,0.00000000,0.05441557,-0.38262162,-0.00870783,0.00000000,-0.46357936,-0.21448053,0.00000000,0.00000000,0,12:36:27.3,0,0
14,0.07510193,-1.93117976,0.64561337,0.68852091,2.69896245,0.30241194,0.37929931,0.42503521,-0.73870808,0.60533088,-0.18640156,0.18874423,0.22339801,-0.19514187,-0.00007631,-0.30115646,-0.10266193,-0.20434228,1.84099901,0.18738991,0.05693802,0.09415627,0.01204041,0.26524794,0.45284623,0.00000000,0.03589687,0.22368208,-0.77706128,0.00000000,-1.31204462,-1.73850250,0.00000000,-9.68604279,0,12:36:27.4,0,0
15,-0.06423560,-1.93117976,0.34963262,0.29683828,2.25694418,0.64537722,0.45034239,0.37740922,-0.10270709,0.58271235,-0.08318526,0.19203697,0.35015401,0.00629836,0.00113286,-0.26101902,-0.07462437,-0.23943390,-3.51072192,0.41930613,-0.01524547,0.08462393,0.00262233,0.27631140,0.44107747,0.00000000,0.20180257,0.22368208,0.50385243,0.00000000,-0.46357936,-0.25092369,0.00000000,1.92788434,0,12:36:27.5,0,0
16,-0.06423560,0.88063967,0.06477775,0.27724558,0.86832464,0.57504672,0.43993556,0.41487628,-0.10270709,0.58114511,-0.31716591,0.16709660,-0.07825078,0.31937250,-0.07175306,-0.16983521,0.41034302,-0.26898187,-1.26978123,0.36161312,-0.03917787,0.06560933,-0.01007320,0.26146254,0.46218953,0.00000000,0.03124813,0.21334343,0.27956823,0.00000000,0.03632277,-0.45997819,0.00000000,0.00000000,0,12:36:27.6,0,0
17,2.74764895,-0.70297766,5.50484657,-0.14721750,0.39423710,0.47596318,0.40529507,0.36116868,0.05056392,0.52770555,-0.21949440,0.14698488,0.16604663,-0.97223514,-0.09814164,-0.34967151,-1.00965798,-0.21868874,0.07858618,-0.20816475,-0.01858797,0.02444107,-0.03494674,0.27083653,0.46965545,0.00000000,0.19255118,-1.13492060,-0.33268952,0.00000000,-1.76466143,0.08511136,0.00000000,0.00000000,0,12:36:27.7,0,0
18,0.21812043,-1.93117976,1.29504788,-0.34777406,-1.47157776,0.39927664,0.37933165,0.37995592,-0.25057134,0.53027540,-0.21494135,0.14845258,0.02812971,-0.57908940,-0.06050846,-0.28690886,-0.71358109,-0.25830919,1.68049049,0.06270141,-0.04098600,0.04194122,0.01638628,0.22181635,0.44463578,0.00000000,0.15564294,-1.12458193,-1.41905975,0.00000000,-0.46357936,-0.49608791,0.00000000,0.00000000,0,12:36:27.8,0,0
19,0.21812043,-1.93117976,0.64561337,-0.65977770,-1.06249344,0.74163032,0.48560372,0.41127896,0.47195318,0.60791534,-0.14105763,0.18823439,-0.01547300,-0.30076918,-0.02582883,-0.23182178,-0.58731544,-0.21408531,-1.15638471,0.17284191,0.04727202,0.06697177,-0.01949128,0.28621262,0.44211641,0.00000000,-0.12527002,-1.12458193,-0.03510094,0.00000000,-1.76466143,-0.52400047,0.00000000,0.00000000,0,12:36:27.9,0,0
20,0.21812043,-1.93117976,1.40057254,-0.86033428,-1.47157776,0.67271996,0.47425431,0.42842695,0.21907304,0.59869850,-0.12238737,0.23403315,0.22938643,-0.26773527,0.02479390,-0.23452468,-0.58731544,-0.21408531,1.11388755,-0.03495387,0.03773903,0.11337744,0.02781904,0.28621262,0.45964643,0.00000000,0.05441557,-0.38262162,-1.08537829,0.00000000,-0.46357936,-1.16108859,0.00000000,0.00000000,0,12:36:28.0,0,0
