Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190410160114
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,1719,1244,688,636,693,0,637,606,605,0,632,603,613,592,1599,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Under,Under,Under,Under
Analog Gain,62,62,6,6,31,31,6,6,6,6,12,12,15,15,15,15,31,31,6,6,14,14,6,6,7,7,6,6,12,12,6,6,6,6,12,12,15,15,6,6,15,15,6,6,6,6,22,22,7,7,6,6,72,72,6,6,15,15,6,6,6,6,31,31,6,6,31,31,6,6,6,6,15,15,31,31,7,7,28,28,6,6,6,6,15,15,49,49,7,7,7,7,7,7,15,15,15,15,6,6,31,31,6,6,6,6,12,12,6,6,6,6
Digital Gain,1.00,1.00,100.00,1.00,2.61,5.05,33.79,73.19,100.00,100.00,2.85,4.71,3.35,10.48,1.49,7.58,5.91,11.23,1.64,2.35,1.30,24.36,2.36,2.57,1.43,29.04,1.53,28.28,2.14,3.21,2.31,4.59,2.13,72.97,3.52,5.11,2.14,100.00,1.35,35.08,5.55,6.87,1.99,3.22,1.68,4.07,2.92,4.12,2.00,5.77,1.00,100.00,100.00,1.00,1.00,1.00,11.79,80.64,1.00,1.00,28.08,89.44,32.00,48.04,1.00,1.00,100.00,100.00,100.00,1.00,62.69,100.00,2.41,4.78,3.14,11.86,2.68,7.99,2.54,4.23,2.87,3.27,1.61,32.15,1.19,19.51,3.39,3.43,2.39,4.35,2.12,100.00,1.77,38.56,2.28,4.16,2.66,4.14,1.65,4.10,1.82,10.83,1.00,1.00,100.00,100.00,1.39,7.82,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/04/10 16:01:17
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.00000000,4.14020061,0.24599297,-0.00902737,2.14078808,-0.07203611,-0.26597199,-0.16810688,-0.10829851,-0.33481064,0.12446133,-0.21894810,-0.11007667,0.01680533,-0.32898483,-0.20807891,0.26202795,-0.24753851,-0.29482007,0.05723044,-0.28585985,-0.38547379,0.06330880,-0.18294050,0.00804769,0.00000000,0.00000000,0.00000000,0.69592476,0.00000000,0.68893886,-0.25822356,0.00000000,0.00000000,0,16:01:27.1,0,0
2,0.00000000,-3.49055433,0.15020561,-0.24758887,-2.52313972,0.00906978,-0.04496880,-0.15809941,0.07497147,-0.33770460,0.11073410,-0.24507546,0.14894044,-0.14851986,-0.33623895,-0.22730283,-0.15451157,-0.30488482,4.67764473,0.13064834,-0.41403478,-0.41313979,0.04716602,-0.25473431,-0.01824713,1.82974505,-8.95288563,0.00000000,1.21919250,0.00000000,1.13178921,-0.12491778,11.95033169,-4.10957956,0,16:01:27.2,0,0
3,0.00000000,-1.90693700,0.12793748,-0.54593241,-1.10539210,-0.11022220,-0.29413655,-0.19949400,-0.18405218,-0.36239460,0.07416265,-0.26042840,0.12171260,0.09709049,-0.37302411,-0.18879355,0.47531891,-0.24719167,4.69641638,-0.06469880,-0.31712541,-0.43178010,0.01408794,-0.29754731,-0.11529306,0.00000000,-8.95288563,0.00000000,0.52519149,0.00000000,0.43933690,-0.28537872,0.00000000,0.00000000,0,16:01:27.3,0,0
4,0.00000000,-1.90693700,0.13124208,-0.54593241,-0.10174883,-0.11073696,-0.28024834,-0.17732759,-0.16564989,-0.37093344,0.06056013,-0.28800187,-0.20568067,-0.15774794,-0.40204030,-0.24938902,-0.15451157,-0.26688081,-0.38464838,-0.18041724,-0.30484354,-0.44213650,0.03609180,-0.23713949,-0.08477627,0.00000000,0.00000000,0.00000000,0.63842320,0.00000000,0.55318600,0.01652390,0.00000000,0.00000000,0,16:01:27.4,0,0
5,0.00000000,0.32507938,0.21450776,0.40916610,2.86189628,-0.08540289,-0.32631347,-0.18653259,-0.21713158,-0.34343824,0.06964347,-0.25238326,-0.08941547,0.15433963,-0.37133512,-0.18879355,0.62299877,-0.29974595,-0.32808226,0.03898812,-0.38276717,-0.40264291,0.03414670,-0.20836861,0.00174834,1.83846700,0.00000000,0.00000000,1.09361553,0.00000000,0.56269550,0.34234345,0.00000000,0.00000000,0,16:01:27.5,0,0
6,0.00000000,0.32507938,0.15393193,0.20804939,0.55717099,0.04881669,-0.04425171,-0.15887100,0.15784737,-0.31652105,-0.03042284,-0.17109825,-0.07781716,0.13887417,-0.28680986,-0.13169611,0.49380615,-0.25094464,-0.27573919,0.06637415,-0.35317832,-0.39494833,0.04513033,-0.21967275,-0.02222991,0.00000000,-1.32213068,0.00000000,0.79268497,0.00000000,0.81814551,0.33747336,0.00000000,0.95026803,0,16:01:27.6,0,0
7,0.00000000,0.32507938,0.20929983,-0.00902737,0.55717099,-0.03455464,-0.14608315,-0.15323617,-0.02386796,-0.31652105,0.05094257,-0.17109825,-0.05464972,0.04460658,-0.27494243,-0.15678957,0.28507912,-0.17496121,-0.24215789,-0.05100585,-0.22225863,-0.43076411,0.04320041,-0.22120628,-0.04719113,0.00000000,-1.32213068,0.00000000,0.35123989,0.00000000,0.13266630,-0.36033770,0.00000000,0.00000000,0,16:01:27.7,0,0
8,0.00000000,-1.90693700,0.21820202,0.10123787,1.97841835,0.01830363,-0.01551312,-0.15421867,0.13144098,-0.32615325,0.05094257,-0.18479516,0.00223387,-0.12995921,-0.29741126,-0.18072487,0.08332725,-0.25620964,-0.27573919,-0.23107937,-0.32978266,-0.39289778,0.05232517,-0.19733590,-0.00809977,0.00000000,0.00000000,0.00000000,0.79268497,0.00000000,0.13266630,-0.61220503,0.00000000,0.00000000,0,16:01:27.8,0,0
9,0.00000000,-1.90693700,0.23725392,0.05190403,0.63005090,0.00717339,-0.08313916,-0.16712554,0.06437683,-0.32905337,-0.02581663,-0.18654200,0.14300129,-0.12068441,-0.27023220,-0.17636931,-0.13146040,-0.27561209,-0.28528771,0.14434129,-0.38656679,-0.41384891,0.05611200,-0.18695481,0.00454439,0.00000000,0.00000000,0.00000000,0.63842320,0.00000000,0.42397931,0.18278717,0.00000000,0.00000000,0,16:01:27.9,0,0
10,0.00000000,4.14020061,0.23219754,-0.00902737,1.12645328,-0.04420063,-0.24728027,-0.15421867,-0.05034293,-0.34346232,0.03716977,-0.24845333,-0.04375288,-0.03939365,-0.32969177,-0.20015983,-0.34263867,-0.28464299,-0.30433559,-0.04647202,-0.41551435,-0.42229572,0.03609180,-0.18618919,-0.02780351,0.00000000,0.00000000,0.00000000,0.40874147,0.00000000,-0.18294324,0.29216301,0.00000000,0.00000000,0,16:01:28.0,0,0
11,0.00000000,-1.90693700,0.18131731,-0.09987886,-1.67467451,-0.09699853,-0.25124484,-0.15887100,-0.12758268,-0.34724516,0.08785562,-0.23124151,-0.06663135,0.01680533,-0.34127268,-0.20400901,0.28507912,-0.27224904,-0.33754048,-0.16681470,-0.35288411,-0.45905170,0.00052975,-0.26149735,-0.03017347,0.00000000,-5.13725185,0.00000000,0.29433283,0.00000000,0.43933690,-0.23828293,0.00000000,-2.93828082,0,16:01:28.1,0,0
12,0.00000000,-3.49055433,0.19104898,-0.04647214,-0.21841426,-0.04354168,-0.07963059,-0.16810688,0.03143445,-0.36149514,-0.00388661,-0.28356287,-0.04294157,0.14050919,-0.39129630,-0.20694387,0.78450859,-0.35378405,4.62632227,0.01624196,-0.53147811,-0.43191129,0.03351528,-0.29480705,-0.02051077,1.15679932,-12.76826191,0.00000000,1.85442901,0.00000000,0.89296424,-0.17626126,0.07165638,-4.44580936,0,16:01:28.2,0,0
13,0.00000000,-1.90693700,0.15584849,0.29085037,2.98206162,-0.10982543,-0.26577276,-0.15887100,-0.14832014,-0.36239460,0.06964347,-0.29214248,0.09456272,0.17279622,-0.38893840,-0.19716871,0.47531891,-0.30733082,-0.38464838,-0.06469880,-0.38578123,-0.43093050,0.02062237,-0.23983409,-0.03766805,1.83846700,0.00000000,0.00000000,0.98618525,0.00000000,0.68740523,-0.38568535,0.00000000,5.44428730,0,16:01:28.3,0,0
14,0.00000000,0.32507938,0.20976263,0.40916610,2.86189628,0.02098121,-0.07199351,-0.14887869,0.06997887,-0.32905337,0.09238945,-0.23260170,-0.12380391,0.15433963,-0.35690370,-0.18357381,0.42476755,-0.23319212,-0.29482007,0.14434129,-0.31954017,-0.43274292,0.04258767,-0.23379549,0.00174834,0.00000000,-1.32213068,0.00000000,0.68633753,0.00000000,0.56269550,0.66279829,0.00000000,1.38222992,0,16:01:28.4,0,0
15,0.00000000,0.32507938,0.20955434,0.40916610,1.63369417,0.00934883,-0.17319824,-0.13106975,-0.01293586,-0.30207071,0.12446133,-0.15705556,0.17997657,-0.12068441,-0.25030339,-0.19336556,-0.36112592,-0.18566242,-0.22289366,0.07098036,-0.21258566,-0.37598261,0.06782019,-0.20848557,0.03354742,0.00000000,0.00000000,0.00000000,0.23800816,0.00000000,0.29773599,0.61020511,0.00000000,-2.10018086,0,16:01:28.5,0,0
16,0.00000000,-1.90693700,0.18680818,0.25302076,0.63005090,0.02105201,-0.03111521,-0.14856026,0.07251554,-0.31652105,0.08317563,-0.19484836,-0.22081213,-0.09276549,-0.29538679,-0.13423793,-0.33337137,-0.27020893,-0.26617411,-0.05100585,-0.41551435,-0.43076411,0.02253362,-0.20488977,0.00454439,0.00000000,-8.95288563,0.00000000,1.16154921,0.00000000,0.43933690,-0.38568535,-9.59433365,-4.44872618,0,16:01:28.6,0,0
17,0.00000000,-1.90693700,0.22358358,0.05190403,1.63369417,0.04881669,-0.02571736,-0.18120533,0.18662728,-0.31557614,0.01558302,-0.19929256,0.01153496,0.04460658,-0.28562453,-0.16799562,0.28507912,-0.18620636,2.51540995,0.16261356,-0.26632264,-0.39392060,0.04707346,-0.22977450,-0.02478899,0.00000000,-1.32213068,0.00000000,0.74157935,0.00000000,0.81076384,0.16058145,0.00000000,5.64914131,0,16:01:28.7,0,0
18,0.00000000,0.00000000,0.17035647,0.31212580,2.14078808,0.00707913,-0.08313916,-0.14856026,0.06146388,-0.33482170,0.10166287,-0.19090194,-0.06391703,-0.08806938,-0.30442771,-0.18369043,-0.32408878,-0.19752623,-0.21323583,-0.23107937,-0.26191604,-0.39184529,0.04320041,-0.14767838,-0.05187961,0.00000000,0.00000000,0.00000000,-0.20379835,0.00000000,0.26187301,0.34361318,0.00000000,0.00000000,0,16:01:28.8,0,0
19,0.00000000,0.00000000,0.18124986,0.31212580,4.37280464,-0.10835761,-0.30799013,-0.13925375,-0.18405218,-0.33863238,0.03407026,-0.24249756,-0.35327598,0.05858902,-0.36408219,-0.16524765,0.30356637,-0.23319212,-0.27573919,0.24700190,-0.30551270,-0.40440652,0.06072421,-0.20488977,-0.04038559,0.00000000,0.00000000,0.00000000,0.47408581,0.00000000,0.81076384,0.16962850,0.00000000,4.69247389,0,16:01:28.9,0,0
