Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190401131448
Experiment Comment,

Subject Information
ID,RE3
Name,Kojima
Measurement Comment,
Age, 23y
Sex,Male

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,1995,1406,683,633,713,0,627,600,650,0,672,627,593,580,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,88,88,6,6,124,124,6,6,6,6,31,31,7,7,6,6,31,31,6,6,31,31,7,7,6,6,6,6,6,6,6,6,6,6,14,14,12,12,6,6,22,22,6,6,6,6,14,14,12,12,6,6,72,72,6,6,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,62,62,56,56,6,6,24,24,7,7,6,6,6,6,56,56,15,15,7,7,12,12,31,31,12,12,7,7,62,62,6,6,6,6,6,6,6,6,6,6
Digital Gain,100.00,100.00,100.00,1.00,100.00,100.00,100.00,100.00,100.00,100.00,7.80,23.36,3.27,7.05,1.41,2.66,10.06,35.29,1.76,2.26,2.25,33.85,3.24,3.03,1.27,23.75,1.77,32.00,1.97,2.73,4.37,8.04,2.02,52.99,3.40,4.28,2.01,100.00,1.69,40.53,5.43,5.19,2.66,3.71,2.64,3.41,2.59,3.91,2.87,4.48,1.00,1.00,1.00,1.00,1.00,1.00,100.00,100.00,1.00,1.00,100.00,100.00,54.25,70.77,1.00,100.00,100.00,100.00,100.00,1.00,100.00,100.00,8.72,15.94,9.92,60.27,1.18,2.11,3.20,5.14,2.75,2.96,1.00,9.29,1.00,14.35,3.19,3.21,2.48,4.20,1.47,46.92,1.25,24.04,2.70,3.20,2.10,2.53,3.24,4.13,4.72,4.96,1.00,1.00,100.00,1.00,100.00,100.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/04/01 13:14:51
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.00000000,-1.08663833,0.32786340,0.52994972,0.90528053,0.09361389,-0.43716589,-0.24396813,-0.23541492,-0.37008002,0.93047273,-0.41446093,-0.00152040,-0.22975601,-0.39141703,-0.21968608,-0.18345338,-0.46858689,1.34796250,-0.21898596,-0.53054351,-0.27209982,0.08903223,-0.56325006,-0.45734045,0.00000000,0.00000000,0.00000000,1.29725790,0.00000000,0.58090180,-0.46130490,0.00000000,3.82081318,0,13:15:01.1,0,0
2,0.00000000,6.54411602,0.32786340,1.37443995,2.36873269,-0.53284818,-0.52249569,-0.23865612,-1.38546073,-0.36898351,0.67366338,-0.44022426,-0.34763619,-0.14540349,-0.42308372,-0.21729839,-0.21096465,-0.50384754,-0.06831658,-0.47478780,-0.48380747,-0.31288311,0.10657007,-0.49000472,-0.36081338,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.74344271,1.82033706,0.00000000,0.00000000,0,13:15:01.2,0,0
3,0.00000000,2.72899532,1.91148067,1.37443995,2.36873269,-0.28569207,-0.49060136,-0.24733141,-0.94481939,-0.37724608,0.76125616,-0.47850925,-0.23334423,-0.08674811,-0.46182758,-0.23415688,0.08268225,-0.43601525,-0.06831658,-0.07629225,-0.41046864,-0.28436303,0.13550372,-0.49947926,-0.38649827,0.00000000,0.00000000,0.00000000,1.48081887,0.00000000,-1.48857367,1.29749727,0.00000000,0.00000000,0,13:15:01.3,0,0
4,0.00000000,-1.08663833,-0.62880421,-1.33087456,-3.75145531,-0.08771363,-0.44547158,-0.24733141,-0.09196377,-0.39179114,0.79515183,-0.53229308,-0.12618135,0.09760112,-0.48552799,-0.18383539,0.23344037,-0.53029585,-0.01911505,-0.06695451,-0.55386806,-0.24104300,0.16618602,-0.56375849,-0.42921957,0.00000000,0.00000000,0.00000000,-2.59108472,0.00000000,0.58090180,0.35318235,7.70801830,-1.11337936,0,13:15:01.4,0,0
5,0.00000000,2.72899532,0.32786340,1.24567711,0.78511524,-0.39980379,-0.55140477,-0.24366882,-0.93147820,-0.40815398,0.71279889,-0.54082626,-0.21089619,-0.21011303,-0.50890642,-0.35598066,-0.26097241,-0.54688209,-0.02846900,-0.22826855,-0.57361281,-0.28811008,0.12618963,-0.56075710,-0.40344596,0.00000000,0.00000000,0.00000000,-1.00746751,0.00000000,3.12118673,1.08727539,0.00000000,-0.52079886,0,13:15:01.5,0,0
6,0.00000000,6.54411602,0.32786340,1.75823736,3.71710014,-0.36358634,-0.53041375,-0.23936321,-0.85647863,-0.38171256,0.67800349,-0.53885072,-0.47012162,-0.36795056,-0.51243401,-0.27920654,-0.36416271,-0.55795735,-0.05643521,-0.10887920,-0.60480189,-0.28811008,0.12060196,-0.55240905,-0.40122950,0.00000000,0.00000000,0.00000000,-0.75119764,0.00000000,0.58090180,-1.14457452,0.00000000,-6.83608484,0,13:15:01.6,0,0
7,0.00000000,-1.08663833,0.32786340,1.10986650,0.90528053,-0.09942958,-0.44479111,-0.24250963,-0.63350314,-0.37091094,0.60965222,-0.48031422,-0.26769304,-0.24372670,-0.46571371,-0.23641199,-0.21096465,-0.57079136,-2.34284163,-0.09959662,-0.59200186,-0.28153369,0.08709641,-0.55091774,-0.47832298,0.00000000,0.00000000,0.00000000,1.48081887,0.00000000,-1.48857367,0.44176754,0.00000000,-1.86916625,0,13:15:01.7,0,0
8,0.00000000,-2.31484056,0.32786340,-1.11357844,-4.59992075,-0.42520884,-0.53668213,-0.22506326,-1.18858492,-0.34680712,0.59091264,-0.45434973,-0.17359991,-0.33550054,-0.41467950,-0.24273953,-0.35501105,-0.48073858,-4.58180857,-0.34603444,-0.43962505,-0.28345889,0.10103174,-0.49354556,-0.37309644,0.00000000,0.00000000,0.00000000,-1.00746751,0.00000000,-0.76746553,-0.36448294,0.00000000,0.00000000,0,13:15:01.8,0,0
9,0.00000000,0.49697894,0.32786340,0.59730631,-0.44308683,-0.29295453,-0.46510050,-0.23483641,-0.83104759,-0.36533627,0.64574450,-0.48359969,-0.33846200,-0.38175839,-0.44544500,-0.34377527,-0.58504009,-0.46930486,-4.57235861,-0.10887920,-0.42501479,-0.27021310,0.12892935,-0.52253270,-0.41239527,0.00000000,0.00000000,0.00000000,1.48081887,0.00000000,-1.48857367,0.64635462,0.00000000,0.00000000,0,13:15:01.9,0,0
10,0.00000000,0.49697894,0.32786340,-0.58891422,-1.51961005,-0.21663746,-0.44242790,-0.23379305,-0.60418391,-0.37724608,0.79515183,-0.50107932,-0.21044652,-0.45791519,-0.43880150,-0.30513358,-0.71486610,-0.46858689,-0.95696914,-0.62144810,-0.49319848,-0.35051629,0.07866403,-0.60930181,-0.50442326,0.00000000,0.00000000,0.00000000,-0.75119764,0.00000000,-3.07219100,-0.97420567,0.00000000,0.00000000,0,13:15:02.0,0,0
11,0.00000000,-1.08663833,0.32786340,-0.50727475,-1.44673014,-0.34949273,-0.57198727,-0.23428698,-1.00249732,-0.38625801,0.69917363,-0.50642812,-0.25609019,-0.10976089,-0.49022800,-0.31412643,-0.09709012,-0.51112336,2.64012742,-0.12274554,-0.55914563,-0.33668369,0.07432581,-0.59876311,-0.46899071,0.00000000,0.00000000,0.00000000,-0.16619413,0.00000000,-0.69427586,-0.71925390,-5.51974583,-3.97212291,0,13:15:02.1,0,0
12,0.00000000,0.49697894,-0.15837839,0.59730631,-0.44308683,0.19841518,-0.36825463,-0.24759912,-0.08839504,-0.40263939,0.44055340,-0.55585331,-0.08360010,-0.07744700,-0.49167645,-0.19287598,0.10099614,-0.56530297,0.69483167,-0.12274554,-0.61820501,-0.30210567,0.11499402,-0.51203728,-0.38996553,0.00000000,0.00000000,0.00000000,-2.59108472,0.00000000,0.81615174,2.10380745,0.00000000,2.74074864,0,13:15:02.2,0,0
13,0.00000000,2.72899532,0.32786340,0.63937342,0.78511524,-0.15179370,-0.41729203,-0.25163701,-0.48073027,-0.40797001,0.48406938,-0.50996262,-0.02673511,-0.21928722,-0.48795053,-0.31412643,-0.41430974,-0.50070190,-0.95696914,-0.24213488,-0.49319848,-0.33585992,0.11221892,-0.57191437,-0.46730351,0.00000000,0.00000000,0.00000000,1.48081887,0.00000000,0.74344271,-0.14896128,0.00000000,0.00000000,0,13:15:02.3,0,0
14,0.00000000,-1.08663833,-0.62880421,0.97400546,1.86194825,-0.46989763,-0.57136059,-0.25599307,-1.19944978,-0.42514965,0.57306945,-0.60981959,-0.31941774,-0.52235472,-0.57738411,-0.40154004,-0.60313231,-0.63146836,0.65770030,-0.49793673,-0.68265039,-0.33585992,0.11500245,-0.60656857,-0.46899071,0.00000000,0.00000000,0.00000000,-1.00746751,0.00000000,-1.48857367,0.23962359,0.00000000,0.43586871,0,13:15:02.4,0,0
15,0.00000000,-1.08663833,0.32786340,0.52994972,-0.09836272,-0.40084302,-0.53156769,-0.24396813,-0.98104519,-0.38625801,0.55543917,-0.54969049,-0.47012162,-0.21928722,-0.54397535,-0.33743078,-0.25191870,-0.66720730,-0.21797453,-0.25143600,-0.67973518,-0.27868223,0.12060196,-0.57475269,-0.43834826,0.00000000,0.00000000,0.00000000,-0.75119764,0.00000000,-0.76746553,0.44176754,0.00000000,-1.86916625,0,13:15:02.5,0,0
16,-0.37847671,-1.08663833,0.32786340,-0.50727475,-0.09836272,-0.17810813,-0.46226496,-0.22945738,-0.72875047,-0.37454888,0.74009442,-0.50968778,-0.27686724,-0.01188017,-0.46571371,-0.16904713,0.05997386,-0.49025527,0.71349132,-0.12274554,-0.45542637,-0.27021310,0.12060196,-0.48797667,-0.36368677,0.00000000,0.00000000,0.00000000,1.22454894,0.00000000,3.04816818,0.37568834,0.00000000,0.43586871,0,13:15:02.6,0,0
17,-4.19359779,-1.08663833,-0.90033871,0.52994972,0.85830492,-0.09822966,-0.47275731,-0.23379305,-0.49494636,-0.36342722,0.58696020,-0.46295819,-0.07596570,-0.20086631,-0.42589661,-0.27920654,-0.25191870,-0.55531931,1.78582370,0.07436831,-0.56815183,-0.28811008,0.11127302,-0.44433656,-0.29574841,0.00000000,0.00000000,0.00000000,-1.00746751,0.00000000,-0.64730024,0.44353449,0.00000000,6.12569284,0,13:15:02.7,0,0
18,-0.37847671,0.49697894,0.32786340,0.52994972,0.90528053,-0.06147098,-0.43415439,-0.23452304,-0.50542402,-0.37355563,0.60503763,-0.49245745,-0.08051873,-0.37253767,-0.43418926,-0.30194449,-0.57591534,-0.52292550,-0.97578263,-0.47478780,-0.57354468,-0.26924807,0.10657007,-0.56325006,-0.42921957,0.00000000,0.00000000,0.00000000,-0.75119764,0.00000000,0.81615174,-0.43304023,0.00000000,-4.29618359,0,13:15:02.8,0,0
19,-4.19359779,0.49697894,1.06982374,1.10986650,3.09015036,-0.05164797,-0.43356794,-0.24396813,-0.48330835,-0.38171256,0.69190866,-0.51504999,-0.16544156,-0.10055593,-0.47100943,-0.23415688,-0.22919142,-0.57637829,1.28253841,-0.00001389,-0.63242769,-0.27868223,0.11499402,-0.51636171,-0.37501219,0.00000000,0.00000000,0.00000000,-2.59108472,0.00000000,2.16451907,-0.01775281,0.00000000,-1.11337936,0,13:15:02.9,0,0
