Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190410153046
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,2000,1409,693,639,678,0,627,600,605,0,587,576,838,724,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,124,124,6,6,98,98,6,6,6,6,31,31,7,7,7,7,31,31,7,7,31,31,6,6,7,7,6,6,15,15,6,6,6,6,15,15,7,7,6,6,24,24,6,6,6,6,31,31,6,6,6,6,31,31,98,98,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,49,49,28,28,6,6,24,24,6,6,7,7,7,7,98,98,7,7,7,7,7,7,49,49,49,49,6,6,31,31,6,6,6,6,6,6,6,6,6,6
Digital Gain,100.00,100.00,100.00,1.00,100.00,100.00,100.00,100.00,100.00,100.00,6.58,20.97,3.57,8.75,1.90,3.82,7.73,19.98,2.24,2.89,11.68,55.53,2.06,2.27,1.48,25.11,1.68,31.85,2.35,3.92,2.56,5.42,2.00,61.78,3.90,6.44,3.49,1.00,1.38,36.54,7.16,8.47,2.41,3.51,1.47,5.38,3.87,5.56,1.95,8.02,50.28,100.00,3.37,1.00,1.00,1.00,24.28,100.00,1.00,1.00,82.05,100.00,41.13,76.80,100.00,100.00,100.00,100.00,100.00,1.00,45.05,100.00,5.89,16.93,2.58,8.56,1.50,3.20,2.95,4.83,2.47,2.78,1.50,31.60,1.23,17.60,4.62,4.66,3.00,6.19,2.10,100.00,1.79,32.10,4.56,4.57,4.55,4.65,1.56,6.07,2.24,15.89,100.00,1.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00

Measurement Information
Date,2019/04/10 15:30:51
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.00000000,-0.17426392,0.07249258,-1.53216422,-0.40807477,0.01405346,-0.18939404,-0.33937329,-0.20634423,-0.40978229,-7.27460909,-0.20035869,-0.26705968,-0.19630833,-0.28294286,-1.04848027,0.30745190,-0.47561696,-0.85046434,-0.15243632,-0.31817016,-0.48086968,-0.07920002,-0.36708605,-0.11614662,-0.05903358,-0.33980295,0.00000000,-0.91021746,0.00000000,0.15761645,0.81109214,0.00000000,5.52295494,0,15:31:00.1,0,0
2,0.00000000,2.05775261,0.02687463,-0.21028718,0.61452067,0.16532405,-0.18269677,-0.31476411,-0.03742190,-0.29800409,-6.97081089,-0.08785768,-0.13478762,-0.40510580,-0.16321966,-1.06547558,0.28023487,-0.65968329,-0.91431618,0.04832431,-0.57500523,-0.51348472,-0.06703968,-0.34834656,-0.06943619,-1.20878410,-0.30693793,0.00000000,-0.63074690,0.00000000,1.44834101,0.98237634,1.94719875,3.68279243,0,15:31:00.2,0,0
3,0.00000000,2.05775261,-0.11574159,0.43808365,-0.61368138,0.31186742,-0.05972268,-0.31476411,0.07368562,-0.33160868,-6.78943348,-0.12704246,-0.36091191,-0.27399641,-0.20963648,-1.00835633,0.14806710,-0.51333869,-0.77190471,-0.03135573,-0.34765723,-0.48938125,-0.06994911,-0.40037918,-0.25307533,-0.05903358,-0.19278646,0.00000000,-0.51853484,0.00000000,-1.19075084,0.16638169,0.00000000,1.98987305,0,15:31:00.3,0,0
4,0.00000000,-0.17426392,0.02687463,-0.79020399,0.73468596,0.21581149,-0.12400080,-0.32133958,-0.01653199,-0.34864193,-7.51750135,-0.12501509,-0.21073483,-0.28788459,-0.20767477,-1.05601680,0.48784041,-0.44443315,-0.85046434,-0.02676861,-0.34740639,-0.46023217,-0.05354780,-0.37177771,-0.06943619,-1.43678260,-0.30693793,0.00000000,-0.39500412,0.00000000,0.71330357,-0.40151048,3.98571897,0.34630877,0,15:31:00.4,0,0
5,-3.12998772,5.87287378,0.49931398,1.77945387,1.96288800,0.10636451,-0.19642355,-0.29044104,-0.11340960,-0.34793866,-6.22252083,-0.11662450,-0.12064780,-0.37746760,-0.16584805,-1.06370950,0.13896874,-0.60684919,-0.78586316,0.16285276,-0.44440106,-0.49290249,-0.05347846,-0.32954335,-0.06013508,-0.05903358,-0.30693793,0.00000000,-0.51853484,0.00000000,1.11428404,1.09037971,1.94719875,2.09375191,0,15:31:00.5,0,0
6,0.00000000,-1.75788116,-0.50742424,-0.19600429,-0.16075495,0.18847081,-0.19885264,-0.31034002,-0.10393295,-0.33855096,-6.55514717,-0.13200635,-0.06978707,-0.09329817,-0.19010276,-1.03902209,0.64163613,-0.40965271,4.82906246,-0.03588236,-0.24922723,-0.49871150,-0.06994911,-0.34834656,-0.09106241,1.32900321,-0.30693793,0.00000000,-0.16820550,0.00000000,0.32657406,0.23891190,1.68099368,0.87097305,0,15:31:00.6,0,0
7,0.00000000,2.05775261,-0.95147991,-0.30387661,0.61452067,0.44536000,-0.05315534,-0.30383456,0.20937110,-0.39396837,-6.94445372,-0.16758867,-0.16307521,-0.00650250,-0.23215558,-1.02477443,0.49693877,-0.67808300,-0.93240839,-0.25301102,-0.55202425,-0.48086968,-0.07019850,-0.25836384,-0.08827482,-0.73229223,-0.24061301,0.00000000,-0.16820550,0.00000000,-0.25028706,-0.22591491,0.00000000,0.02956234,0,15:31:00.7,0,0
8,0.00000000,2.05775261,-0.29007652,1.04438734,0.73468596,0.10636451,-0.20304182,-0.32365653,-0.08734567,-0.36681682,-6.62045002,-0.18575566,-0.11207012,-0.28788459,-0.26078251,-1.06266665,0.29832721,-0.70991719,-1.02204275,0.27701432,-0.70573580,-0.44054636,-0.01026306,-0.37941191,-0.14393534,2.44430852,-0.36779299,0.00000000,0.43809822,0.00000000,-0.02865681,0.21658260,-4.08132648,0.75096202,0,15:31:00.8,0,0
9,0.00000000,-0.17426392,1.01187420,0.39601657,0.73468596,0.37517002,-0.11669153,-0.30383456,0.13855740,-0.30859590,-6.22252083,-0.12501509,-0.13953173,-0.08403862,-0.18768719,-1.02272725,0.50605255,-0.62108403,-0.83666897,0.17647780,-0.56856370,-0.49290249,-0.06703968,-0.35979885,-0.05427250,1.09594107,-0.35384479,0.00000000,0.03653361,0.00000000,-0.36239600,0.40768775,-4.08132648,0.53461027,0,15:31:00.9,0,0
10,-3.12998772,-0.17426392,-0.11574159,1.35263252,2.43331385,0.44536000,-0.03942857,-0.29449826,0.20937110,-0.29718858,-6.23126221,-0.12586036,-0.17761560,-0.26013005,-0.19864362,-1.02554810,0.15718089,-0.67724013,-0.83666897,0.28160143,-0.57187378,-0.43676883,-0.02373204,-0.37764758,-0.15314797,0.65324634,-0.33980295,0.00000000,-0.07805297,0.00000000,-0.25028706,-0.15394861,0.00000000,-0.48942959,0,15:31:01.0,0,0
11,0.00000000,-0.17426392,0.72086340,0.39601657,-0.26895738,0.43426570,-0.07894139,-0.30137059,0.13855740,-0.31494024,-6.14146185,-0.11103077,-0.10641251,-0.25084746,-0.18579769,-1.02548587,0.50605255,-0.37797505,10.11867237,-0.03588236,-0.19191949,-0.48086968,-0.07446881,-0.29880011,-0.04507492,-1.43678260,-0.33980295,0.00000000,-0.39500412,0.00000000,1.06853449,0.39902109,1.68099368,0.48803851,0,15:31:01.1,0,0
12,0.00000000,-0.17426392,0.31622720,-0.18390024,-0.26895738,0.28019693,-0.11027404,-0.28349870,0.07948527,-0.31208184,-6.49182224,-0.10074572,-0.03666784,-0.16855381,-0.16584805,-0.97970027,0.66893166,-0.55018979,-0.85046434,0.08018422,-0.49471518,-0.46595776,-0.05354780,-0.44815010,-0.18440187,1.09594107,-0.35384479,0.00000000,0.03653361,0.00000000,1.06853449,0.04826431,1.68099368,1.05920720,0,15:31:01.2,0,0
13,0.00000000,-0.17426392,0.07249258,0.39601657,-0.26895738,0.38097459,-0.10312247,-0.30137059,0.13855740,-0.36537978,-6.68012285,-0.16519916,-0.34672543,-0.10259930,-0.23973186,-1.04176974,0.62345773,-0.37239608,8.50086784,0.08018422,-0.15392305,-0.44806057,-0.03551912,-0.32551590,-0.11614662,-0.97572201,-0.29277578,0.00000000,-0.16820550,0.00000000,-0.63009357,0.59022403,-0.26620507,1.33655262,0,15:31:01.3,0,0
14,0.00000000,-1.75788116,-0.89266825,0.32865998,-0.16075495,0.38949299,-0.04948806,-0.31476411,0.23493010,-0.36243862,-6.81799269,-0.19558376,-0.16307521,-0.10259930,-0.27208641,-1.04848027,0.47875705,-0.46512863,10.04171944,0.08018422,-0.27744138,-0.44615445,-0.02651761,-0.31521779,-0.00697984,0.86794269,-0.40029803,0.00000000,-0.39500412,0.00000000,0.98586804,0.79527515,-2.06141877,0.39865193,0,15:31:01.4,0,0
15,0.00000000,-1.75788116,0.23458776,-0.70856452,-1.11742258,0.19096959,-0.11751309,-0.30183318,-0.01653199,-0.31674156,-6.46763182,-0.15267664,-0.36091191,-0.08403862,-0.23919570,-1.01802063,0.48784041,-0.60480607,-0.91431618,-0.04498076,-0.41535008,-0.48086968,-0.08818718,-0.39223891,-0.10312121,-1.43678260,-0.40029803,0.00000000,-0.28041756,0.00000000,-0.63009357,-0.58178961,-0.26620507,-1.37286699,0,15:31:01.5,0,0
16,0.00000000,-0.17426392,-0.16275176,-0.18390024,-0.26895738,0.57044995,0.05094458,-0.31167254,0.49257573,-0.28135335,-6.45240259,-0.11777516,-0.32779270,-0.23686506,-0.18894497,-1.00140703,0.34387597,-0.42834315,4.81526709,0.08018422,-0.32328406,-0.48003551,-0.05806750,-0.30646807,-0.10352907,0.86794269,-0.25962761,0.00000000,-0.07805297,0.00000000,0.71330357,0.23991843,-2.13412762,-0.02455126,0,15:31:01.6,0,0
17,0.00000000,-0.17426392,-0.11574159,0.32865998,0.68771023,0.10636451,-0.18269677,-0.31237015,-0.18726954,-0.34300190,-6.51319790,-0.13066718,-0.17761560,-0.25084746,-0.20963648,-1.01587880,0.33474740,-0.55104607,-0.88248301,0.10761575,-0.47249317,-0.41320503,-0.02651761,-0.30806792,-0.03036294,2.21631002,-0.35384479,0.00000000,-0.07805297,0.00000000,-0.02865681,0.53007305,-4.08132648,0.48803851,0,15:31:01.7,0,0
18,0.00000000,-1.75788116,-0.33716983,0.32865998,-0.16075495,0.20919695,-0.13469499,-0.29449826,-0.00493182,-0.29634348,-6.45240259,-0.08225847,0.04110159,-0.04684484,-0.15230115,-0.97741079,0.52432483,-0.64156467,-0.91431618,0.29073000,-0.57453108,-0.43772832,-0.01477792,-0.39411816,-0.06693436,1.79492748,-0.43261194,0.00000000,-0.18577962,0.00000000,0.71330357,-0.20579436,0.17059781,-0.82966989,0,15:31:01.8,0,0
19,0.00000000,-0.17426392,0.46417522,0.39601657,-0.26895738,0.28369999,-0.11684044,-0.28349870,0.09380152,-0.32418701,-5.80239105,-0.07855192,-0.13955294,-0.06079314,-0.15326361,-1.01113915,0.34387597,-0.60263020,-0.85046434,0.02365591,-0.51906979,-0.42076093,-0.05664032,-0.35700029,-0.19095960,-0.97572201,-0.29277578,0.00000000,-0.16820550,0.00000000,-0.63009357,-0.08078000,-0.26620507,0.13776459,0,15:31:01.9,0,0
