Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190401124109
Experiment Comment,

Subject Information
ID,RE3
Name,Kojima
Measurement Comment,
Age, 23y
Sex,Male

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,1559,1149,638,607,588,0,557,559,690,0,657,618,623,598,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,62,62,6,6,96,96,6,6,6,6,31,31,12,12,6,6,31,31,6,6,62,62,15,15,15,15,28,28,30,30,15,15,7,7,30,30,7,7,15,15,15,15,7,7,6,6,15,15,7,7,6,6,62,62,6,6,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,56,56,31,31,6,6,24,24,7,7,12,12,62,62,6,6,72,72,7,7,15,15,15,15,12,12,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Digital Gain,100.00,1.00,100.00,1.00,17.82,19.60,100.00,100.00,100.00,100.00,14.58,33.86,2.91,5.40,1.39,2.47,7.74,14.70,2.06,2.29,14.58,39.83,3.06,2.55,1.31,22.35,3.06,68.17,2.17,2.50,6.57,10.66,3.13,100.00,5.01,5.53,2.75,100.00,2.04,100.00,6.04,6.24,2.70,3.80,2.13,2.78,3.27,4.47,3.42,4.84,100.00,1.00,13.22,1.00,1.00,1.00,100.00,100.00,1.00,1.00,100.00,100.00,54.67,72.65,100.00,100.00,1.00,100.00,100.00,1.00,100.00,100.00,9.47,21.12,4.42,19.72,1.88,3.34,2.94,3.61,4.54,4.38,1.71,40.57,1.51,13.90,28.20,48.11,6.23,6.23,1.32,35.56,1.37,34.07,2.96,4.28,2.42,3.01,2.40,2.91,1.93,3.66,100.00,1.00,100.00,1.00,100.00,100.00,100.00,100.00,100.00,100.00

Measurement Information
Date,2019/04/01 12:41:24
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,1.04163396,1.23488951,0.53081161,-0.42371091,0.00000000,0.59108955,-0.04776210,-0.38545483,0.28044626,-0.40774223,-4.98169804,-0.55681312,-0.13693574,-0.34655228,0.17212333,-1.16705656,-1.07292008,-0.13984300,2.77181077,-1.54767561,-0.04724322,-0.58074969,-0.46583799,-0.20929520,-0.21757555,0.00000000,-2.32321668,0.00000000,2.05689263,0.00000000,-2.32170010,1.69973254,-4.00037956,5.59922028,0,12:41:33.1,0,0
2,1.04163396,1.23488951,0.47233662,-0.42371091,0.00000000,-0.02830500,-0.16838016,-0.38545483,0.02201195,-0.40291306,-5.95945311,-0.54198170,0.04907898,-0.54983634,0.10519820,-0.97945845,-0.96839857,-0.21054660,1.83881915,-1.53805923,-0.05263785,-0.59198415,-0.45527482,-0.23793928,-0.24995583,0.00000000,-1.52836227,0.00000000,2.05689263,0.00000000,-0.23826623,1.91582811,-0.18525852,0.00000000,0,12:41:33.2,0,0
3,-2.77348709,-0.34872779,0.47275239,-1.15877748,0.00000000,0.54906577,-0.08744901,-0.38644180,0.31986353,-0.41598734,-5.66626644,-0.57164842,-0.23198807,-0.36054790,0.10867307,-1.10252428,-1.05877018,-0.20292513,2.31367564,-1.56673980,-0.06410912,-0.57901967,-0.45151722,-0.25896192,-0.28083137,0.00000000,-2.32321668,0.00000000,2.05689263,0.00000000,-1.58663368,1.08959103,-0.18525852,2.33767271,0,12:41:33.3,0,0
4,0.00000000,1.23488951,0.67958462,0.92455316,0.00000000,-0.21169354,-0.20944707,-0.39528501,-0.00631072,-0.42616624,-6.53172779,-0.62608021,0.04553457,-0.15078437,0.06114089,-1.23895168,-1.11972916,-0.18762188,4.30676889,-1.55721617,-0.10976644,-0.61851835,-0.45151722,-0.31893671,-0.33022764,-6.77546310,-2.24178720,0.00000000,2.12960124,0.00000000,0.71840137,-0.10588682,6.92237234,2.33767271,0,12:41:33.4,0,0
5,0.00000000,-0.34872779,0.44645387,0.70204681,0.00000000,0.71267152,-0.12579066,-0.39138097,0.32144189,-0.44284666,-6.30089045,-0.64053065,0.03097331,2.22411418,0.04747889,-0.94007242,9.52054119,-0.20382963,4.02668762,20.66405678,-0.08222038,-0.63191336,-0.46292132,-0.31373778,-0.28823051,-10.59058380,-2.71918511,0.00000000,0.66614950,0.00000000,0.07692436,0.45335940,0.87523484,-0.96693122,0,12:41:33.5,0,0
6,-2.77348709,1.23488951,0.18027057,1.43711340,0.00000000,-0.01502445,-0.23967113,-0.40118483,0.01108741,-0.44649187,-7.07816601,-0.61170763,-0.31966099,0.13687257,-0.00594625,-1.10080659,-1.08697546,-0.30048153,2.67837214,-1.62359762,-0.17731619,-0.63369721,-0.45151722,-0.35114235,-0.29837826,0.00000000,-2.40353513,0.00000000,4.36161757,0.00000000,0.61019897,0.27941921,-0.18525852,0.00000000,0,12:41:33.6,0,0
7,0.00000000,-0.34872779,0.47384003,-0.41681710,0.00000000,0.48169741,-0.07577574,-0.39147249,0.24136986,-0.43548033,-6.48719215,-0.60569298,0.10713509,0.59405363,0.07886869,-0.89887291,6.19903040,-0.17184578,3.73733497,-1.63300729,-0.07356716,-0.63191336,-0.47146931,-0.32130355,-0.28448811,0.00000000,-2.87326717,0.00000000,5.87201357,0.00000000,1.56686664,-0.11950523,0.00000000,0.00000000,0,12:41:33.7,0,0
8,1.04163396,-1.57692981,0.56141007,-0.45888424,-9.82680702,-0.08626809,-0.14009255,-0.38545483,-0.05312315,-0.39833260,-6.02712822,-0.56273425,-0.10242167,-0.34655228,0.10999281,-1.09185576,-1.07292008,-0.17240371,3.14941406,-1.54767561,-0.05868132,-0.60435623,-0.45629743,-0.29843500,-0.29883486,-6.77546310,-2.32321668,0.00000000,-0.17512392,0.00000000,-1.62170362,0.85119289,-6.23239613,3.29434013,0,12:41:33.8,0,0
9,-5.00550365,-1.57692981,0.64657062,-1.06518793,-6.01168537,0.66233319,-0.01954699,-0.38056365,0.32424065,-0.39556623,-5.53389931,-0.59552461,-0.22704890,-0.92315674,0.06821691,-1.09394991,-1.04458368,-0.20928743,3.16349363,-1.54767561,-0.03565074,-0.60991919,-0.47536173,-0.23535004,-0.25371543,-6.77546310,-1.89662480,0.00000000,-0.17512392,0.00000000,-0.23826623,1.82284570,-0.18525852,2.33767271,0,12:41:33.9,0,0
10,0.00000000,-0.34872779,0.15464261,-0.41681710,0.00000000,0.88957208,0.00209590,-0.38150299,0.39327869,-0.40403160,-6.48719215,-0.51816893,0.07862261,0.28331754,0.14469181,-0.67767733,3.29943299,-0.08653110,2.37988687,-1.51889563,0.03351058,-0.60883373,-0.45444882,-0.22884318,-0.25809395,0.00000000,-2.07514262,0.00000000,1.94848585,0.00000000,1.49367690,1.26830804,0.00000000,0.00000000,0,12:41:34.0,0,0
11,1.04163396,-0.34872779,0.58783931,-0.41681710,0.00000000,0.40341538,-0.04968376,-0.36574137,0.21280453,-0.39919418,-5.50253105,-0.53607345,-0.40183675,0.00876380,0.13068466,-0.79107165,-0.98278236,-0.14057150,1.27053833,-1.51889563,-0.00353572,-0.59453732,-0.43999121,-0.24062520,-0.25809395,0.00000000,-1.43417466,0.00000000,0.00000000,0.00000000,1.28927290,1.10286105,0.00000000,0.00000000,0,12:41:34.1,0,0
12,0.00000000,-0.34872779,0.64679229,-1.15877748,0.00000000,-0.58197981,-0.18563107,-0.38052014,-0.08723302,-0.40662578,-6.38150978,-0.57164842,-0.09261782,-0.90898257,0.07662113,-1.08952165,-1.01615977,-0.11702799,2.33723950,-1.54767561,-0.00710380,-0.64397413,-0.45444882,-0.32506713,-0.32079235,0.00000000,-2.15913534,0.00000000,4.36161757,0.00000000,0.61019897,1.55518079,0.00000000,0.00000000,0,12:41:34.2,0,0
13,0.00000000,3.46690583,0.23357472,1.77301836,0.00000000,0.22230917,-0.16182184,-0.38056365,0.18450324,-0.41683599,-6.02712822,-0.53325242,0.16565517,0.60804921,0.09710068,-0.92389083,3.20859075,-0.18623626,2.32775521,-1.55721617,-0.07549681,-0.60435623,-0.42379040,-0.31700027,-0.29483852,0.00000000,-1.43417466,0.00000000,2.05689263,0.00000000,0.26547489,0.88614661,0.00000000,0.00000000,0,12:41:34.3,0,0
14,1.04163396,3.46690583,0.55625004,1.77301836,0.00000000,0.20655306,-0.15183444,-0.38645986,0.14849353,-0.42983934,-6.61436367,-0.58237725,0.06496946,2.64310026,0.06180073,-0.90955997,9.95074844,-0.32389811,3.06080341,-1.57624710,-0.24825521,-0.63915443,-0.46489102,-0.33972445,-0.30238909,-6.77546310,-1.62096596,0.00000000,-1.75874126,0.00000000,-0.01666514,-0.19996230,3.10725141,4.03630066,0,12:41:34.4,0,0
15,0.00000000,-0.34872779,0.26143101,1.53778529,13.40442276,-0.06446048,-0.26332015,-0.38644180,-0.05633663,-0.44284666,-6.68966818,-0.67793399,0.01165793,1.57677233,0.00933289,-1.20611668,8.30125618,-0.27775252,3.97596741,20.65000153,-0.22316411,-0.64586157,-0.45343006,-0.34804571,-0.29473051,-6.77546310,-2.94592857,0.00000000,3.47796869,0.00000000,1.33159888,-0.33563474,5.41197681,-8.82991886,0,12:41:34.5,0,0
16,0.00000000,-1.57692981,0.64114350,-0.45888424,-6.01168537,0.27518973,-0.11743407,-0.39528501,0.12097587,-0.41683599,-6.35740566,-0.59111619,0.16952321,1.09743476,0.06180073,-1.04708111,6.13832378,-0.27014613,3.72808361,-1.64706266,-0.12885502,-0.69608277,-0.49436018,-0.25395057,-0.23242328,-6.77546310,-2.07514262,0.00000000,0.54598397,0.00000000,0.72529525,1.12143016,9.22709846,2.33767271,0,12:41:34.6,0,0
17,1.04163396,7.28202724,0.30883464,2.17035794,0.00000000,0.29355279,-0.05421322,-0.38056365,0.13766941,-0.38415840,-6.10465622,-0.52106494,-0.13693574,-0.04809421,0.13205908,-0.94825083,-0.99712884,-0.10950759,3.17297792,-1.54767561,0.02657758,-0.60145080,-0.45629743,-0.21197478,-0.20766875,0.00000000,-1.33825433,0.00000000,2.12960124,0.00000000,1.61384225,1.44068432,0.00000000,0.00000000,0,12:41:34.7,0,0
18,0.00000000,-1.57692981,0.79682833,0.05367596,-6.01168537,0.20655306,-0.12289096,-0.36175451,0.01947424,-0.37664950,-5.28763008,-0.54198951,-0.19253534,0.41267848,0.14895691,-0.98262566,0.88970131,-0.20292513,2.32775521,-1.52848589,-0.08109622,-0.62122035,-0.46489102,-0.25208923,-0.26726231,0.00000000,-1.43417466,0.00000000,4.36161757,0.00000000,-0.23826623,0.17113066,-0.18525852,2.33767271,0,12:41:34.8,0,0
19,1.04163396,-0.34872779,0.47722572,0.18948662,0.00000000,0.83369058,0.02050594,-0.37163761,0.40691838,-0.38040733,-5.00399590,-0.52106494,-0.12210044,-0.04809421,0.18110918,-0.97767985,-1.01615977,-0.18871695,0.50479031,-1.51889563,-0.07836752,-0.62024766,-0.46302724,-0.26161045,-0.24995583,0.00000000,-1.89662480,0.00000000,-0.28353056,0.00000000,-0.73816848,0.21641713,0.00000000,0.00000000,0,12:41:34.9,0,0
