Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190408155754
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,2000,1409,878,748,673,0,617,594,705,0,642,609,1598,1172,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,88,88,6,6,56,56,6,6,6,6,48,48,44,44,124,124,49,49,7,7,28,28,6,6,6,6,14,14,7,7,7,7,7,7,6,6,6,6,7,7,7,7,6,6,112,112,72,72,72,72,6,6,112,112,6,6,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,62,62,62,62,15,15,144,144,7,7,6,6,15,15,56,56,7,7,6,6,6,6,7,7,49,49,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Digital Gain,100.00,1.00,100.00,1.00,100.00,100.00,100.00,100.00,100.00,100.00,18.22,32.18,11.57,26.10,100.00,100.00,1.00,1.00,1.76,5.59,1.37,19.40,1.45,3.50,1.25,25.40,1.81,50.18,2.76,5.45,3.15,8.54,1.74,61.24,1.99,4.28,1.35,34.38,1.35,41.09,2.91,5.37,1.55,3.45,1.00,1.00,12.06,43.04,20.10,100.00,100.00,100.00,1.00,1.00,1.00,1.00,100.00,100.00,1.00,1.00,100.00,100.00,43.90,84.89,100.00,100.00,30.16,41.07,100.00,1.00,100.00,100.00,8.87,16.75,7.26,15.13,44.44,95.71,1.00,1.00,1.91,5.25,1.52,30.82,1.18,20.06,3.08,3.29,2.09,5.08,1.00,23.19,1.16,25.89,2.08,4.14,3.89,5.53,43.84,77.89,100.00,100.00,1.00,1.00,100.00,100.00,100.00,100.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/04/08 15:57:58
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,-10.14295578,-1.43911576,-3.41037273,0.41468111,0.59381688,-2.12400889,-1.65367901,1.59594631,0.00000000,-0.14554967,-0.09369927,-0.22425756,-0.29858914,0.17428102,-0.14335321,-0.26923496,0.86746150,-0.18192680,0.36975867,-0.02445485,-0.24382220,0.00386020,0.00000000,1.45886385,1.57578564,-1.38096046,0.00000000,0.00000000,-1.05906653,0.00000000,1.44668007,-0.48551053,0.39324349,-0.17949684,0,15:58:07.1,0,0
2,-10.14295578,-5.25474977,-2.77783585,-1.20246017,-0.92238665,0.80974710,0.97391814,0.71229708,0.00000000,-0.15463303,-0.11686672,-0.18002364,-0.02150027,0.37149692,-0.09439693,-0.29705483,0.98913157,-0.22147779,0.01110617,0.07372947,-0.29313773,-0.00707620,0.00000000,0.49096480,0.94114852,0.31766748,0.00000000,0.00000000,-0.05894516,0.00000000,1.35073698,0.61075646,0.12867001,0.17518824,0,15:58:07.2,0,0
3,-12.95477581,0.00000000,-4.63189363,0.78575945,0.69634670,0.35386729,0.20364593,1.59594631,0.00000000,-0.14728220,-0.18095802,-0.19576098,-0.28491879,-0.24135453,-0.10412068,-0.32365778,0.16934370,-0.20122698,0.03392768,-0.16350003,-0.23314834,0.00281756,0.00000000,-2.36921310,3.32034469,0.47114795,0.00000000,0.00000000,1.45196319,0.00000000,-0.85835499,-4.04192829,-0.45691919,0.22660568,0,15:58:07.3,0,0
4,-7.91093969,0.00000000,-2.67530608,-0.06270581,0.70324051,-0.49872833,-0.15358338,1.59594631,0.00000000,-0.12447297,-0.18095802,-0.18002364,-0.08452453,-0.56910074,-0.05354356,-0.41715634,0.16466783,-0.27073613,-0.08704686,-0.07017432,-0.30977881,-0.02177368,0.00000000,1.62233698,1.38080657,-0.42429286,0.00000000,0.00000000,-0.78005326,0.00000000,-1.86199832,-0.43031394,-2.04045105,-0.36632225,0,15:58:07.4,0,0
5,0.00000000,2.37600517,-1.90003049,-0.05581195,0.05486966,-1.01729357,-1.40874803,1.59594631,0.00000000,-0.18633582,-0.11154042,-0.21281613,-0.24474767,0.04424598,-0.12687892,-0.23513171,0.94709074,-0.23509508,0.01568536,-0.19546524,-0.28734773,0.00087888,0.00000000,0.17863148,-1.19027102,-0.87721944,0.00000000,0.00000000,1.17294991,0.00000000,-0.03465188,-0.51888621,-0.34871683,0.31104830,0,15:58:07.5,0,0
6,0.00000000,2.37600517,-0.47857678,1.28555822,0.70324051,2.14627552,1.66665912,2.94431353,0.00000000,-0.15617575,-0.21771669,-0.18906318,0.08940610,-0.25061411,-0.07399604,-0.29578596,0.41481560,-0.24804369,-0.08246768,-0.09292048,-0.32351983,-0.00173559,0.00000000,1.15980124,1.85668325,-0.87721944,0.00000000,0.00000000,1.17294991,0.00000000,-0.03465188,-0.12668699,-0.34871683,0.31104830,0,15:58:07.6,0,0
7,0.00000000,2.37600517,0.40500453,-0.05581195,-0.03871981,0.33509859,0.52527606,1.59594631,0.00000000,-0.16524814,-0.26337928,-0.23620316,-0.27189755,-0.43323725,-0.17651802,-0.35706806,0.02129092,-0.20876814,0.34253082,-0.00807896,-0.27957594,-0.02062336,0.00000000,-0.40550217,-1.87095046,-4.18558788,0.00000000,0.00000000,-1.05906653,0.00000000,-0.03465188,-0.37050587,-0.34871683,-0.20718215,0,15:58:07.7,0,0
8,0.00000000,-1.43911576,-5.43295765,-0.70418280,-0.68709069,-0.41776901,-0.46723551,1.59594631,0.00000000,-0.17424966,-0.20851605,-0.20259920,-0.04871724,-0.43323725,-0.11710277,-0.35706806,0.23487896,-0.20689751,0.16933559,-0.02161498,-0.29011554,-0.02961757,0.00000000,-3.56382990,1.08592284,0.47114795,0.00000000,0.00000000,1.45196319,0.00000000,0.92201573,-0.30265763,1.84801245,0.35989693,0,15:58:07.8,0,0
9,7.62140608,2.37600517,6.08146238,-0.05581195,0.05486966,-0.14802657,-0.56331980,0.71229708,0.00000000,-0.17871712,-0.26789066,-0.22418979,-0.11625289,-0.26450232,-0.11710277,-0.32156429,0.28690746,-0.25710320,-0.02516801,0.08193700,-0.36317745,-0.01868117,0.00000000,-1.51165438,1.97013581,0.47114795,0.00000000,0.00000000,1.17294991,0.00000000,-0.85835499,-0.99921328,-0.45691919,-0.14345749,0,15:58:07.9,0,0
10,0.00000000,-1.43911576,-2.78350854,-0.09787908,-0.52504712,0.47924632,0.35287273,-0.63607025,0.00000000,-0.18769667,-0.17533970,-0.28482780,-0.34835047,-0.02957627,-0.21231966,-0.30976838,0.79221606,-0.24823232,-0.02516801,-0.06196892,-0.37605414,-0.04113062,0.00000000,-3.27379394,0.88668221,-0.53249532,0.00000000,0.00000000,1.45196319,0.00000000,-1.38301933,-1.44103014,-0.34871683,-0.44538674,0,15:58:08.0,0,0
11,7.62140608,0.00000000,3.84944606,2.13402343,1.43830705,0.18258861,-0.24715415,1.59594631,0.00000000,-0.16524814,-0.09038001,-0.17825802,0.10751333,0.16500622,-0.07399604,-0.26485237,0.32028475,-0.19979867,0.16933559,-0.03060214,-0.27976716,0.00386020,0.00000000,0.43323189,-0.12286992,0.47114795,0.00000000,0.00000000,1.17294991,0.00000000,0.92201573,0.84899902,0.99954724,0.82316881,0,15:58:08.1,0,0
12,12.95683002,2.37600517,2.83241224,-0.05581195,-0.52504712,-0.43692186,-0.28301546,1.59594631,0.00000000,-0.17281148,-0.13987952,-0.18002364,0.00579523,-0.88699847,-0.06973202,-0.39575455,-0.39307410,-0.22616659,-0.08704686,0.00998326,-0.30977881,0.01100128,0.00000000,-6.68492413,3.79722404,0.35098276,0.00000000,0.00000000,4.98807096,0.00000000,-0.85835499,-0.95706993,-0.45691919,0.19951418,0,15:58:08.2,0,0
13,0.00000000,-1.43911576,8.03575993,-1.28409958,-1.26700747,-0.48836428,-0.28229806,1.59594631,0.00000000,-0.13815744,-0.18291502,-0.19010748,-0.04801364,-0.55521256,-0.11057840,-0.38486934,0.16934370,-0.21254930,0.01110617,-0.08835604,-0.28734773,0.01644288,0.00000000,0.07851204,-2.42546415,-2.72932792,0.00000000,0.00000000,-2.64268374,0.00000000,0.74443322,-0.69697696,0.26448074,-0.46001098,0,15:58:08.3,0,0
14,0.00000000,2.37600517,-2.83646607,-0.05581195,0.05486966,0.74545479,0.82097447,1.59594631,0.00000000,-0.12907408,-0.08319420,-0.17744708,-0.08755598,-0.68914419,-0.04672663,-0.36251670,-0.28127018,-0.21021412,-0.06422536,-0.27960002,-0.30411884,0.01163511,0.00000000,2.95730782,3.96590018,-1.95374250,0.00000000,0.00000000,4.98807096,0.00000000,-1.38301933,-3.39192080,-0.34871683,0.23283859,0,15:58:08.4,0,0
15,0.00000000,2.37600517,-1.48809862,0.55049175,0.66117340,1.02690017,0.62482387,1.59594631,0.00000000,-0.14103049,-0.01420551,-0.17290160,-0.07377126,-0.10032232,-0.06302715,-0.29105806,0.30311534,-0.19030632,0.21479023,-0.01520812,-0.26028669,0.00644813,0.00000000,0.72599727,-5.75207233,0.35098276,0.00000000,0.00000000,4.98807096,0.00000000,0.49001241,1.57108212,1.50339162,1.05509806,0,15:58:08.5,0,0
16,0.00000000,2.37600517,-1.48809862,0.41468111,0.08125662,0.08459156,0.08505526,1.59594631,0.00000000,-0.16214171,-0.02360716,-0.14359958,0.12040780,-0.52738768,-0.03070302,-0.35144651,0.15538523,-0.22594735,-0.24540097,-0.11749417,-0.30411884,0.03913521,0.00000000,-1.37457585,2.21369028,0.42417234,0.00000000,0.00000000,-0.78005326,0.00000000,-0.03465188,1.09075499,-0.34871683,0.54976261,0,15:58:08.6,0,0
17,0.00000000,0.00000000,1.14696491,0.55049175,0.05486966,-2.47381854,-1.26190841,1.59594631,0.00000000,-0.14103049,-0.10193373,-0.20110033,-0.16722114,0.26696873,-0.12690479,-0.27312544,0.97990358,-0.21722321,0.12203661,0.09206292,-0.31456923,0.01738453,0.00000000,-1.22234333,2.21369028,-0.53249532,0.00000000,0.00000000,-0.78005326,0.00000000,0.44303674,0.44065365,0.39324349,0.18612388,0,15:58:08.7,0,0
18,7.62140608,-1.43911576,1.03762674,1.06305194,0.59381688,-0.18101020,-0.10500412,1.59594631,0.00000000,-0.14103049,-0.19941294,-0.19095321,-0.02051346,0.28085694,-0.06973202,-0.24569394,1.15032423,-0.19030632,0.13577504,0.11051460,-0.27366328,0.05827137,0.00000000,-0.39934963,2.60058570,0.47114795,0.00000000,0.00000000,1.45196319,0.00000000,2.02659678,-0.12668699,1.50339162,0.16968103,0,15:58:08.8,0,0
19,0.00000000,2.37600517,-3.12823272,-0.70418280,-0.68709069,-1.16984558,-0.98346496,1.59594631,0.00000000,-0.17122506,-0.05641623,-0.20724061,0.02406749,-0.14189579,-0.10342807,-0.37814036,0.50072759,-0.27284595,-0.17161587,-0.02445485,-0.33111319,0.03370995,0.00000000,-0.27701694,1.08592284,-1.88086271,0.00000000,0.00000000,-1.05906653,0.00000000,0.49001241,0.53780049,0.49974841,0.57693821,0,15:58:08.9,0,0
